subject,event,OverallLikeMe,TrialType,ppt_demog
489,contacting,1,Gender Trials,Asian Man
489,join,1,Gender Trials,Asian Man
489,approaching,0,Race Trials,Asian Man
489,promising,1,Gender Trials,Asian Man
489,praising,0,Race Trials,Asian Man
489,following,1,Gender Trials,Asian Man
489,join,0,Race Trials,Asian Man
489,contacting,0,Gender Trials,Asian Man
489,facing,1,Race Trials,Asian Man
489,convincing,1,Race Trials,Asian Man
489,touching,0,Gender Trials,Asian Man
489,mention,1,Race Trials,Asian Man
489,promising,0,Race Trials,Asian Man
489,facing,0,Gender Trials,Asian Man
489,accompanying,0,Race Trials,Asian Man
489,following,0,Race Trials,Asian Man
489,convincing,1,Gender Trials,Asian Man
489,introducing,1,Race Trials,Asian Man
489,looking at,1,Gender Trials,Asian Man
489,walking towards,0,Race Trials,Asian Man
489,listening to,1,Gender Trials,Asian Man
489,facing,0,Race Trials,Asian Man
489,touching,1,Race Trials,Asian Man
489,accompanying,0,Gender Trials,Asian Man
489,join,1,Race Trials,Asian Man
489,touching,0,Race Trials,Asian Man
489,approaching,0,Gender Trials,Asian Man
489,touching,1,Gender Trials,Asian Man
489,looking at,1,Gender Trials,Asian Man
489,mention,1,Race Trials,Asian Man
489,looking at,0,Gender Trials,Asian Man
489,walking towards,0,Race Trials,Asian Man
489,walking towards,1,Race Trials,Asian Man
489,accompanying,1,Gender Trials,Asian Man
489,introducing,0,Gender Trials,Asian Man
489,employing,1,Gender Trials,Asian Man
489,praising,0,Gender Trials,Asian Man
489,employing,0,Gender Trials,Asian Man
489,promising,0,Race Trials,Asian Man
489,walking towards,1,Gender Trials,Asian Man
489,following,0,Race Trials,Asian Man
489,praising,0,Gender Trials,Asian Man
489,praising,0,Race Trials,Asian Man
489,employing,0,Gender Trials,Asian Man
489,introducing,0,Race Trials,Asian Man
489,convincing,0,Gender Trials,Asian Man
600,contacting,1,Race Trials,Asian Man
600,join,0,Gender Trials,Asian Man
600,approaching,0,Gender Trials,Asian Man
600,walking towards,1,Gender Trials,Asian Man
600,mention,1,Race Trials,Asian Man
600,touching,1,Race Trials,Asian Man
600,praising,1,Race Trials,Asian Man
600,convincing,0,Race Trials,Asian Man
600,employing,0,Race Trials,Asian Man
600,approaching,1,Race Trials,Asian Man
600,join,1,Gender Trials,Asian Man
600,employing,0,Gender Trials,Asian Man
600,mention,1,Race Trials,Asian Man
600,listening to,0,Gender Trials,Asian Man
600,accompanying,1,Gender Trials,Asian Man
600,listening to,1,Race Trials,Asian Man
600,approaching,0,Race Trials,Asian Man
600,accompanying,1,Gender Trials,Asian Man
600,approaching,0,Race Trials,Asian Man
600,join,0,Gender Trials,Asian Man
600,following,0,Race Trials,Asian Man
600,introducing,0,Race Trials,Asian Man
600,listening to,1,Gender Trials,Asian Man
600,promising,1,Race Trials,Asian Man
