"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","subject","list","ppt_gender","ppt_language","ptptID","url","first_guess","correct","key_press","responses","image","verb","phrase","condition","test_part"
"1217","Welcome to the experiment. Press Continue to begin.",0,"html-button-response",0,1218,"0.0-0.0",61164,"ListB","man","english","SW_E_M_B4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3051",NA,NA,"external-html",1,5581,"0.0-1.0",61164,"ListB","man","english","SW_E_M_B4","consent.html",NA,NA,NA,NA,NA,NA,NA,NA,NA
"864","<p>On the next page, you will see portraits of 8 people and their names.</p><p>Your first task is to take a few minutes to memorise the names of these people.</p><p>You will have to recall their names during the rest of the experiment, so it is</p><p>essential that you try to memorise these people and their names as best as you can.</p><p><strong>You will then be tested on your memory of these names and portraits.</strong></p><p>The experiment will start after you have completed this memory test.</p><p>Ready?</p>",0,"html-button-response",2,6447,"0.0-2.0",61164,"ListB","man","english","SW_E_M_B4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122934","<img src='img/portrait_matrix_listB.jpg' style='width:900px;height:500px;''></img><p>If you have memorised all the portraits and names and are ready to start, press Continue.</p><p><strong>Please note: Your memory of these faces will be tested 5 times during this experiment.</strong></p>",0,"html-button-response",3,130385,"0.0-3.0-0.0",61164,"ListB","man","english","SW_E_M_B4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2527","<img src=""portrait/WM2.jpg""style=""height:400px;""></img>",7,"html-button-response",4,133922,"0.0-3.0-1.0",61164,"ListB","man","english","SW_E_M_B4",NA,"true",7,NA,NA,NA,NA,NA,NA,NA
"null","CORRECT",NA,"html-keyboard-response",5,135439,"0.0-3.0-2.0-0.0",61164,"ListB","man","english","SW_E_M_B4",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"2638","<img src=""portrait/BM2.jpg""style=""height:400px;""></img>",5,"html-button-response",6,138077,"0.0-3.0-4.0",61164,"ListB","man","english","SW_E_M_B4",NA,"true",5,NA,NA,NA,NA,NA,NA,NA
"null","CORRECT",NA,"html-keyboard-response",7,139603,"0.0-3.0-5.0-0.0",61164,"ListB","man","english","SW_E_M_B4",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"2598","<img src=""portrait/WM1.jpg""style=""height:400px;""></img>",6,"html-button-response",8,142202,"0.0-3.0-7.0",61164,"ListB","man","english","SW_E_M_B4",NA,"true",6,NA,NA,NA,NA,NA,NA,NA
"null","CORRECT",NA,"html-keyboard-response",9,143712,"0.0-3.0-8.0-0.0",61164,"ListB","man","english","SW_E_M_B4",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"3932","<img src=""portrait/BW1.jpg""style=""height:400px;""></img>",0,"html-button-response",10,147646,"0.0-3.0-10.0",61164,"ListB","man","english","SW_E_M_B4",NA,"true",0,NA,NA,NA,NA,NA,NA,NA
"null","CORRECT",NA,"html-keyboard-response",11,149158,"0.0-3.0-11.0-0.0",61164,"ListB","man","english","SW_E_M_B4",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"3771","<img src=""portrait/BW2.jpg""style=""height:400px;""></img>",2,"html-button-response",12,152930,"0.0-3.0-13.0",61164,"ListB","man","english","SW_E_M_B4",NA,"true",2,NA,NA,NA,NA,NA,NA,NA
"null","CORRECT",NA,"html-keyboard-response",13,154447,"0.0-3.0-14.0-0.0",61164,"ListB","man","english","SW_E_M_B4",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"4413","<img src=""portrait/WW1.jpg""style=""height:400px;""></img>",1,"html-button-response",14,158861,"0.0-3.0-16.0",61164,"ListB","man","english","SW_E_M_B4",NA,"true",1,NA,NA,NA,NA,NA,NA,NA
"null","CORRECT",NA,"html-keyboard-response",15,160377,"0.0-3.0-17.0-0.0",61164,"ListB","man","english","SW_E_M_B4",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"3522","<img src=""portrait/BM1.jpg""style=""height:400px;""></img>",4,"html-button-response",16,163900,"0.0-3.0-19.0",61164,"ListB","man","english","SW_E_M_B4",NA,"true",4,NA,NA,NA,NA,NA,NA,NA
"null","CORRECT",NA,"html-keyboard-response",17,165421,"0.0-3.0-20.0-0.0",61164,"ListB","man","english","SW_E_M_B4",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"2679","<img src=""portrait/WW2.jpg""style=""height:400px;""></img>",3,"html-button-response",18,168100,"0.0-3.0-22.0",61164,"ListB","man","english","SW_E_M_B4",NA,"true",3,NA,NA,NA,NA,NA,NA,NA
"null","CORRECT",NA,"html-keyboard-response",19,169619,"0.0-3.0-23.0-0.0",61164,"ListB","man","english","SW_E_M_B4",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"2305","<p>You got 8 out of 8 right first time. Press Continue.</p>",0,"html-button-response",20,171925,"0.0-3.0-25.0",61164,"ListB","man","english","SW_E_M_B4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1581","<p>In this experiment, you will view photographs of the people from the memory game.</p><p>By using the <strong>exact</strong> phrase given <i>after</i> the photograph appears and recalling the correct names of the people in the photographs, form a sentence describing an interaction. You do not need to capitalise names.</p><p>Type your answer in the space provided. Please complete every sentence before moving onto the next trial.</p><p>You will only have a few seconds to memorise each given photograph and phrase before you can respond, so try your best to focus.</p><p>An example is given below. Press 'Continue' when you are ready.</p><img src='img/speaking_example.jpg' style='width:800px;height:460px;''></img>",0,"html-button-response",21,174521,"0.0-4.0",61164,"ListB","man","english","SW_E_M_B4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2631","<p>Before the experiment starts, you will watch two example trials. Press 'Continue'.</p>",0,"html-button-response",22,178166,"0.0-5.0",61164,"ListB","man","english","SW_E_M_B4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"null","<img src='img/meet.gif' style='height:400px;''></img>",NA,"html-keyboard-response",23,181174,"0.0-6.0",61164,"ListB","man","english","SW_E_M_B4",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"null","<p>is meeting</p>",NA,"html-keyboard-response",24,183186,"0.0-7.0",61164,"ListB","man","english","SW_E_M_B4",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"1663","<p><b>Answer:</b> jane is meeting ruth</p>",0,"html-button-response",25,184850,"0.0-8.0",61164,"ListB","man","english","SW_E_M_B4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"null","<img src='img/spy.gif' style='height:400px;''></img>",NA,"html-keyboard-response",26,187864,"0.0-9.0",61164,"ListB","man","english","SW_E_M_B4",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"null","<p>is being spied on by</p>",NA,"html-keyboard-response",27,189871,"0.0-10.0",61164,"ListB","man","english","SW_E_M_B4",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"22565","<p><b>Answer:</b> fred is being spied on by mike</p>",0,"html-button-response",28,212436,"0.0-11.0",61164,"ListB","man","english","SW_E_M_B4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58043","<p>Ready to start the experiment?</p><br><p><strong>Remember to describe the picture using a full sentence,</strong></p><p><strong>that combines the names of the people with the <i>exact</i> phrase given.</strong></p><p><strong>To receive full payment you must do this correctly.</strong></p><p><strong> You do not need to capitalise names or use punctuation.</strong></p><br><p>Press 'Continue' to begin.</p>",0,"html-button-response",29,271486,"0.0-12.0",61164,"ListB","man","english","SW_E_M_B4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"null","<div style=""font-size:60px;"">+</div>",NA,"html-keyboard-response",30,273005,"0.0-13.0-0.0",61164,"ListB","man","english","SW_E_M_B4",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"null","<img src='gifs/FemaleRace4b.gif' style='height:400px;''></img>",NA,"html-keyboard-response",31,275009,"0.0-13.0-1.0",61164,"ListB","man","english","SW_E_M_B4",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"null","is approaching",NA,"html-keyboard-response",32,278022,"0.0-13.0-2.0",61164,"ListB","man","english","SW_E_M_B4",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"30595",NA,NA,"survey-text",33,308620,"0.0-13.0-3.0",61164,"ListB","man","english","SW_E_M_B4",NA,NA,NA,NA,"{""Q0"":""kate is approaching  ruth""}","<img src='gifs/FemaleRace4b.gif' style='height:400px;''></img>","approaching","is approaching","english",NA
"null","<div style=""font-size:60px;"">+</div>",NA,"html-keyboard-response",34,309129,"0.0-13.0-0.1",61164,"ListB","man","english","SW_E_M_B4",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"null","<img src='gifs/MaleRace4a.gif' style='height:400px;''></img>",NA,"html-keyboard-response",35,311132,"0.0-13.0-1.1",61164,"ListB","man","english","SW_E_M_B4",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"null","is joining",NA,"html-keyboard-response",36,314138,"0.0-13.0-2.1",61164,"ListB","man","english","SW_E_M_B4",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"11098",NA,NA,"survey-text",37,325237,"0.0-13.0-3.1",61164,"ListB","man","english","SW_E_M_B4",NA,NA,NA,NA,"{""Q0"":""mike is joining dave""}","<img src='gifs/MaleRace4a.gif' style='height:400px;''></img>","join","is joining","english",NA
"null","<div style=""font-size:60px;"">+</div>",NA,"html-keyboard-response",38,325743,"0.0-13.0-0.2",61164,"ListB","man","english","SW_E_M_B4",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"null","<img src='gifs/FemaleRace1b.gif' style='height:400px;''></img>",NA,"html-keyboard-response",39,327758,"0.0-13.0-1.2",61164,"ListB","man","english","SW_E_M_B4",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"null","is employing",NA,"html-keyboard-response",40,330768,"0.0-13.0-2.2",61164,"ListB","man","english","SW_E_M_B4",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"15369",NA,NA,"survey-text",41,346139,"0.0-13.0-3.2",61164,"ListB","man","english","SW_E_M_B4",NA,NA,NA,NA,"{""Q0"":""beth is employing jane""}","<img src='gifs/FemaleRace1b.gif' style='height:400px;''></img>","employing","is employing","english",NA
"null","<div style=""font-size:60px;"">+</div>",NA,"html-keyboard-response",42,346641,"0.0-13.0-0.3",61164,"ListB","man","english","SW_E_M_B4",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"null","<img src='gifs/ChineseGender3a.gif' style='height:400px;''></img>",NA,"html-keyboard-response",43,348648,"0.0-13.0-1.3",61164,"ListB","man","english","SW_E_M_B4",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"null","is accompanying",NA,"html-keyboard-response",44,351649,"0.0-13.0-2.3",61164,"ListB","man","english","SW_E_M_B4",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"20253",NA,NA,"survey-text",45,371904,"0.0-13.0-3.3",61164,"ListB","man","english","SW_E_M_B4",NA,NA,NA,NA,"{""Q0"":""ruth is accompanying dave""}","<img src='gifs/ChineseGender3a.gif' style='height:400px;''></img>","accompanying","is accompanying","english",NA
"null","<div style=""font-size:60px;"">+</div>",NA,"html-keyboard-response",46,372420,"0.0-13.0-0.4",61164,"ListB","man","english","SW_E_M_B4",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"null","<img src='gifs/ChineseGender4b.gif' style='height:400px;''></img>",NA,"html-keyboard-response",47,374428,"0.0-13.0-1.4",61164,"ListB","man","english","SW_E_M_B4",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"null","is accompanying",NA,"html-keyboard-response",48,377443,"0.0-13.0-2.4",61164,"ListB","man","english","SW_E_M_B4",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"17170",NA,NA,"survey-text",49,394614,"0.0-13.0-3.4",61164,"ListB","man","english","SW_E_M_B4",NA,NA,NA,NA,"{""Q0"":""jane is accompanying dave""}","<img src='gifs/ChineseGender4b.gif' style='height:400px;''></img>","accompanying","is accompanying","english",NA
"null","<div style=""font-size:60px;"">+</div>",NA,"html-keyboard-response",50,395125,"0.0-13.0-0.5",61164,"ListB","man","english","SW_E_M_B4",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"null","<img src='gifs/ChineseGender4a.gif' style='height:400px;''></img>",NA,"html-keyboard-response",51,397140,"0.0-13.0-1.5",61164,"ListB","man","english","SW_E_M_B4",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"null","is mentioning",NA,"html-keyboard-response",52,400155,"0.0-13.0-2.5",61164,"ListB","man","english","SW_E_M_B4",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"15482",NA,NA,"survey-text",53,415638,"0.0-13.0-3.5",61164,"ListB","man","english","SW_E_M_B4",NA,NA,NA,NA,"{""Q0"":""dave is mentioning jane""}","<img src='gifs/ChineseGender4a.gif' style='height:400px;''></img>","mention","is mentioning","english",NA
"null","<div style=""font-size:60px;"">+</div>",NA,"html-keyboard-response",54,416148,"0.0-13.0-0.6",61164,"ListB","man","english","SW_E_M_B4",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
