"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","subject","list","ppt_gender","ppt_language","ptptID","url","first_guess","correct","key_press","responses","image","verb","phrase","condition","test_part"
"2465.7000000029802","Welcome to the experiment. Press Continue to begin.",0,"html-button-response",0,2468,"0.0-0.0",7526,"ListB","man","chinese","SW_C_M_B1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134660.20000000298",NA,NA,"external-html",1,138167,"0.0-1.0",7526,"ListB","man","chinese","SW_C_M_B1","consent.html",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30010.10000000149","<p>在下一页中，您将看到8个人物肖像和他们各自的名字。</p><p>请花费几分钟的时间记住这些人物及其所对应的名字。</p><p>之后的实验中需要您对人物的名字做出回忆，</p><p>因此在实验开始前请确保您已 经完全记住这些人物及其所对应的名字。</p><p><strong>然后您将完成一个测试以检验您对人物和名字的记忆。</strong></p><p>完成此记忆测试后，您将正式进入实验。</p><p>准备好了吗？</p>",0,"html-button-response",2,168177,"0.0-2.0",7526,"ListB","man","chinese","SW_C_M_B1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103973.60000000149","<img src='img/portrait_matrix_listB_chinese.jpg' style='width:900px;height:500px;''></img><p>如果您已经记住了所有的人物和名字，请点击继续。</p><p><strong>请注意：您对先前记忆的面孔将在本实验中被测试5次。</strong></p>",0,"html-button-response",3,273152,"0.0-3.0-0.0",7526,"ListB","man","chinese","SW_C_M_B1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15250.89999999851","<img src=""portrait/WW2.jpg""style=""height:400px;""></img>",1,"html-button-response",4,289410,"0.0-3.0-1.0",7526,"ListB","man","chinese","SW_C_M_B1",NA,"true",3,NA,NA,NA,NA,NA,NA,NA
"8782.29999999702","<img src=""portrait/WW2.jpg""style=""height:400px;""></img>",3,"html-button-response",5,299194,"0.0-3.0-3.0-0.0",7526,"ListB","man","chinese","SW_C_M_B1",NA,"false",3,NA,NA,NA,NA,NA,NA,NA
"null","正确",NA,"html-keyboard-response",6,300698,"0.0-3.0-3.0-1.0-0.0",7526,"ListB","man","chinese","SW_C_M_B1",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"5547.79999999702","<img src=""portrait/WM2.jpg""style=""height:400px;""></img>",7,"html-button-response",7,306247,"0.0-3.0-4.0",7526,"ListB","man","chinese","SW_C_M_B1",NA,"true",7,NA,NA,NA,NA,NA,NA,NA
"null","正确",NA,"html-keyboard-response",8,307749,"0.0-3.0-5.0-0.0",7526,"ListB","man","chinese","SW_C_M_B1",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"15713.60000000149","<img src=""portrait/BM2.jpg""style=""height:400px;""></img>",5,"html-button-response",9,323463,"0.0-3.0-7.0",7526,"ListB","man","chinese","SW_C_M_B1",NA,"true",5,NA,NA,NA,NA,NA,NA,NA
