"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","subject","list","ppt_gender","ppt_language","ptptID","url","first_guess","correct","key_press","responses","image","verb","phrase","condition","test_part"
"3998.0000000000005","Welcome to the experiment. Press Continue to begin.",0,"html-button-response",0,4001,"0.0-0.0",83461,"ListA","woman","chinese","SW_C_F_A1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4157",NA,NA,"external-html",1,9161,"0.0-1.0",83461,"ListA","woman","chinese","SW_C_F_A1","consent.html",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2321","<p>在下一页中，您将看到8个人物肖像和他们各自的名字。</p><p>请花费几分钟的时间记住这些人物及其所对应的名字。</p><p>之后的实验中需要您对人物的名字做出回忆，</p><p>因此在实验开始前请确保您已 经完全记住这些人物及其所对应的名字。</p><p><strong>然后您将完成一个测试以检验您对人物和名字的记忆。</strong></p><p>完成此记忆测试后，您将正式进入实验。</p><p>准备好了吗？</p>",0,"html-button-response",2,11483,"0.0-2.0",83461,"ListA","woman","chinese","SW_C_F_A1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39318","<img src='img/portrait_matrix_listA_chinese.jpg' style='width:900px;height:500px;''></img><p>如果您已经记住了所有的人物和名字，请点击继续。</p><p><strong>请注意：您对先前记忆的面孔将在本实验中被测试5次。</strong></p>",0,"html-button-response",3,51802,"0.0-3.0-0.0",83461,"ListA","woman","chinese","SW_C_F_A1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4157","<img src=""portrait/WM2.jpg""style=""height:400px;""></img>",6,"html-button-response",4,56960,"0.0-3.0-1.0",83461,"ListA","woman","chinese","SW_C_F_A1",NA,"true",7,NA,NA,NA,NA,NA,NA,NA
"2947","<img src=""portrait/WM2.jpg""style=""height:400px;""></img>",7,"html-button-response",5,60909,"0.0-3.0-3.0-0.0",83461,"ListA","woman","chinese","SW_C_F_A1",NA,"false",7,NA,NA,NA,NA,NA,NA,NA
"null","正确",NA,"html-keyboard-response",6,62412,"0.0-3.0-3.0-1.0-0.0",83461,"ListA","woman","chinese","SW_C_F_A1",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"2397","<img src=""portrait/WW1.jpg""style=""height:400px;""></img>",1,"html-button-response",7,64809,"0.0-3.0-4.0",83461,"ListA","woman","chinese","SW_C_F_A1",NA,"true",1,NA,NA,NA,NA,NA,NA,NA
"null","正确",NA,"html-keyboard-response",8,66312,"0.0-3.0-5.0-0.0",83461,"ListA","woman","chinese","SW_C_F_A1",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"2633","<img src=""portrait/WM1.jpg""style=""height:400px;""></img>",6,"html-button-response",9,68946,"0.0-3.0-7.0",83461,"ListA","woman","chinese","SW_C_F_A1",NA,"true",6,NA,NA,NA,NA,NA,NA,NA
"null","正确",NA,"html-keyboard-response",10,70448,"0.0-3.0-8.0-0.0",83461,"ListA","woman","chinese","SW_C_F_A1",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"1273","<img src=""portrait/WW2.jpg""style=""height:400px;""></img>",3,"html-button-response",11,71721,"0.0-3.0-10.0",83461,"ListA","woman","chinese","SW_C_F_A1",NA,"true",3,NA,NA,NA,NA,NA,NA,NA
"null","正确",NA,"html-keyboard-response",12,73224,"0.0-3.0-11.0-0.0",83461,"ListA","woman","chinese","SW_C_F_A1",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"2810","<img src=""portrait/BW2.jpg""style=""height:400px;""></img>",2,"html-button-response",13,76035,"0.0-3.0-13.0",83461,"ListA","woman","chinese","SW_C_F_A1",NA,"true",2,NA,NA,NA,NA,NA,NA,NA
"null","正确",NA,"html-keyboard-response",14,77537,"0.0-3.0-14.0-0.0",83461,"ListA","woman","chinese","SW_C_F_A1",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"10021","<img src=""portrait/BM2.jpg""style=""height:400px;""></img>",5,"html-button-response",15,87558,"0.0-3.0-16.0",83461,"ListA","woman","chinese","SW_C_F_A1",NA,"true",5,NA,NA,NA,NA,NA,NA,NA
"null","正确",NA,"html-keyboard-response",16,89060,"0.0-3.0-17.0-0.0",83461,"ListA","woman","chinese","SW_C_F_A1",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"7294","<img src=""portrait/BW1.jpg""style=""height:400px;""></img>",0,"html-button-response",17,96354,"0.0-3.0-19.0",83461,"ListA","woman","chinese","SW_C_F_A1",NA,"true",0,NA,NA,NA,NA,NA,NA,NA
"null","正确",NA,"html-keyboard-response",18,97856,"0.0-3.0-20.0-0.0",83461,"ListA","woman","chinese","SW_C_F_A1",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"1877","<img src=""portrait/BM1.jpg""style=""height:400px;""></img>",4,"html-button-response",19,99734,"0.0-3.0-22.0",83461,"ListA","woman","chinese","SW_C_F_A1",NA,"true",4,NA,NA,NA,NA,NA,NA,NA
"null","正确",NA,"html-keyboard-response",20,101236,"0.0-3.0-23.0-0.0",83461,"ListA","woman","chinese","SW_C_F_A1",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"930.0000000000146","<p>您第一次在8题里答对了 7 题。 请点击继续</p>",0,"html-button-response",21,102167,"0.0-3.0-25.0",83461,"ListA","woman","chinese","SW_C_F_A1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"737.0000000000146","因为您没有全部答对，记忆游戏将重新开始。请点击继续。",0,"html-button-response",22,103905,"0.0-3.0-26.0-0.0",83461,"ListA","woman","chinese","SW_C_F_A1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5076","<img src='img/portrait_matrix_listA_chinese.jpg' style='width:900px;height:500px;''></img><p>如果您已经记住了所有的人物和名字，请点击继续。</p><p><strong>请注意：您对先前记忆的面孔将在本实验中被测试5次。</strong></p>",0,"html-button-response",23,109983,"0.0-3.1-0.1",83461,"ListA","woman","chinese","SW_C_F_A1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4293.000000000015","<img src=""portrait/WM2.jpg""style=""height:400px;""></img>",7,"html-button-response",24,115276,"0.0-3.1-1.1",83461,"ListA","woman","chinese","SW_C_F_A1",NA,"true",7,NA,NA,NA,NA,NA,NA,NA
"null","正确",NA,"html-keyboard-response",25,116779,"0.0-3.1-2.1-0.1",83461,"ListA","woman","chinese","SW_C_F_A1",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"3344.9999999999854","<img src=""portrait/WW1.jpg""style=""height:400px;""></img>",1,"html-button-response",26,120124,"0.0-3.1-4.1",83461,"ListA","woman","chinese","SW_C_F_A1",NA,"true",1,NA,NA,NA,NA,NA,NA,NA
"null","正确",NA,"html-keyboard-response",27,121627,"0.0-3.1-5.1-0.1",83461,"ListA","woman","chinese","SW_C_F_A1",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"4373","<img src=""portrait/WM1.jpg""style=""height:400px;""></img>",6,"html-button-response",28,126000,"0.0-3.1-7.1",83461,"ListA","woman","chinese","SW_C_F_A1",NA,"true",6,NA,NA,NA,NA,NA,NA,NA
"null","正确",NA,"html-keyboard-response",29,127503,"0.0-3.1-8.1-0.1",83461,"ListA","woman","chinese","SW_C_F_A1",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"4182","<img src=""portrait/WW2.jpg""style=""height:400px;""></img>",3,"html-button-response",30,131685,"0.0-3.1-10.1",83461,"ListA","woman","chinese","SW_C_F_A1",NA,"true",3,NA,NA,NA,NA,NA,NA,NA
"null","正确",NA,"html-keyboard-response",31,133188,"0.0-3.1-11.1-0.1",83461,"ListA","woman","chinese","SW_C_F_A1",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"2978","<img src=""portrait/BW2.jpg""style=""height:400px;""></img>",2,"html-button-response",32,136166,"0.0-3.1-13.1",83461,"ListA","woman","chinese","SW_C_F_A1",NA,"true",2,NA,NA,NA,NA,NA,NA,NA
"null","正确",NA,"html-keyboard-response",33,137668,"0.0-3.1-14.1-0.1",83461,"ListA","woman","chinese","SW_C_F_A1",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"5443","<img src=""portrait/BM2.jpg""style=""height:400px;""></img>",5,"html-button-response",34,143112,"0.0-3.1-16.1",83461,"ListA","woman","chinese","SW_C_F_A1",NA,"true",5,NA,NA,NA,NA,NA,NA,NA
"null","正确",NA,"html-keyboard-response",35,144614,"0.0-3.1-17.1-0.1",83461,"ListA","woman","chinese","SW_C_F_A1",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"3185","<img src=""portrait/BW1.jpg""style=""height:400px;""></img>",0,"html-button-response",36,147799,"0.0-3.1-19.1",83461,"ListA","woman","chinese","SW_C_F_A1",NA,"true",0,NA,NA,NA,NA,NA,NA,NA
"null","正确",NA,"html-keyboard-response",37,149302,"0.0-3.1-20.1-0.1",83461,"ListA","woman","chinese","SW_C_F_A1",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"1790","<img src=""portrait/BM1.jpg""style=""height:400px;""></img>",4,"html-button-response",38,151092,"0.0-3.1-22.1",83461,"ListA","woman","chinese","SW_C_F_A1",NA,"true",4,NA,NA,NA,NA,NA,NA,NA
"null","正确",NA,"html-keyboard-response",39,152595,"0.0-3.1-23.1-0.1",83461,"ListA","woman","chinese","SW_C_F_A1",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"808.9999999999709","<p>您第一次在8题里答对了 8 题。 请点击继续</p>",0,"html-button-response",40,153405,"0.0-3.1-25.1",83461,"ListA","woman","chinese","SW_C_F_A1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4926","<p>此次实验您将会看到先前记忆任务里的人物照片。</p><p>人物照片消失后您将看到一个动词短语，请正确回忆人物的名字并用特定的 动词短语组成一句完整的句子。</p><p>请在指定的框内输入您的答案。在进入下一题之前请确保您填写了完整的句子。</p><p>人物照片和动词短语只会在屏幕上出现几秒钟，因此请您答题时尽量集中注意力。</p><p>以下是例子。请您在准备好后按下“继续”。</p><img src='img/chinese_speaking_example.jpg' style='width:800px;height:460px;''></img>",0,"html-button-response",41,159331,"0.0-4.0",83461,"ListA","woman","chinese","SW_C_F_A1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1103","<p>在实验开始前，将为您展示两个示例实验。</p>",0,"html-button-response",42,161435,"0.0-5.0",83461,"ListA","woman","chinese","SW_C_F_A1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"null","<img src='img/meet.gif' style='height:400px;''></img>",NA,"html-keyboard-response",43,164438,"0.0-6.0",83461,"ListA","woman","chinese","SW_C_F_A1",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
