"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","subject","list","ppt_gender","ppt_language","url","first_guess","correct","key_press","responses","image","verb","phrase","condition","test_part"
"40915.1999999993","Welcome to the experiment. Press Continue to begin.",0,"html-button-response",0,40918,"0.0-0.0",91140,"ListB","woman","english",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8806.899999998510",NA,NA,"external-html",1,50741,"0.0-1.0",91140,"ListB","woman","english","consent.html",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41329.9000000022","<p>On the next page, you will see portraits of 8 people and their names.</p><p>Your first task is to take a few minutes to memorise the names of these people.</p><p>You will have to recall their names during the rest of the experiment, so it is</p><p>essential that you try to memorise these people and their names as best as you can.</p><p><strong>You will then be tested on your memory of these names and portraits.</strong></p><p>The experiment will start after you have completed this memory test.</p><p>Ready?</p>",0,"html-button-response",2,92073,"0.0-2.0",91140,"ListB","woman","english",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161692.200000003","<img src='img/portrait_matrix_listB.jpg' style='width:900px;height:500px;''></img><p>If you have memorised all the portraits and names and are ready to start, press Continue.</p><p><strong>Please note: Your memory of these faces will be tested 5 times during this experiment.</strong></p>",0,"html-button-response",3,254777,"0.0-3.0-0.0",91140,"ListB","woman","english",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3513.300000000750","<img src=""portrait/BM1.jpg""style=""height:400px;""></img>",4,"html-button-response",4,259294,"0.0-3.0-1.0",91140,"ListB","woman","english",NA,TRUE,4,NA,NA,NA,NA,NA,NA,NA
"null","CORRECT",NA,"html-keyboard-response",5,260812,"0.0-3.0-2.0-0.0",91140,"ListB","woman","english",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"2103.800000000750","<img src=""portrait/WW1.jpg""style=""height:400px;""></img>",1,"html-button-response",6,262918,"0.0-3.0-4.0",91140,"ListB","woman","english",NA,TRUE,1,NA,NA,NA,NA,NA,NA,NA
"null","CORRECT",NA,"html-keyboard-response",7,264428,"0.0-3.0-5.0-0.0",91140,"ListB","woman","english",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"1648.300000000750","<img src=""portrait/WW2.jpg""style=""height:400px;""></img>",3,"html-button-response",8,266079,"0.0-3.0-7.0",91140,"ListB","woman","english",NA,TRUE,3,NA,NA,NA,NA,NA,NA,NA
"null","CORRECT",NA,"html-keyboard-response",9,267588,"0.0-3.0-8.0-0.0",91140,"ListB","woman","english",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"4746.5","<img src=""portrait/BW1.jpg""style=""height:400px;""></img>",0,"html-button-response",10,272337,"0.0-3.0-10.0",91140,"ListB","woman","english",NA,TRUE,0,NA,NA,NA,NA,NA,NA,NA
"null","CORRECT",NA,"html-keyboard-response",11,273843,"0.0-3.0-11.0-0.0",91140,"ListB","woman","english",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"2538.900000002240","<img src=""portrait/BW2.jpg""style=""height:400px;""></img>",2,"html-button-response",12,276384,"0.0-3.0-13.0",91140,"ListB","woman","english",NA,TRUE,2,NA,NA,NA,NA,NA,NA,NA
"null","CORRECT",NA,"html-keyboard-response",13,277892,"0.0-3.0-14.0-0.0",91140,"ListB","woman","english",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"2536.799999997020","<img src=""portrait/BM2.jpg""style=""height:400px;""></img>",5,"html-button-response",14,280431,"0.0-3.0-16.0",91140,"ListB","woman","english",NA,TRUE,5,NA,NA,NA,NA,NA,NA,NA
"null","CORRECT",NA,"html-keyboard-response",15,281940,"0.0-3.0-17.0-0.0",91140,"ListB","woman","english",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"2304.799999997020","<img src=""portrait/WM2.jpg""style=""height:400px;""></img>",7,"html-button-response",16,284247,"0.0-3.0-19.0",91140,"ListB","woman","english",NA,TRUE,7,NA,NA,NA,NA,NA,NA,NA
"null","CORRECT",NA,"html-keyboard-response",17,285757,"0.0-3.0-20.0-0.0",91140,"ListB","woman","english",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
