"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","subject","list","ppt_gender","ppt_language","ptptID","url","first_guess","correct","key_press","responses","image","verb","phrase","condition","test_part"
"3363.0999999940395","Welcome to the experiment. Press Continue to begin.",0,"html-button-response",0,3364,"0.0-0.0",9411,"ListA","man","english","SW_E_M_A2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48270.69999998808",NA,NA,"external-html",1,52932,"0.0-1.0",9411,"ListA","man","english","SW_E_M_A2","consent.html",NA,NA,NA,NA,NA,NA,NA,NA,NA
"44791.40000000596","<p>On the next page, you will see portraits of 8 people and their names.</p><p>Your first task is to take a few minutes to memorise the names of these people.</p><p>You will have to recall their names during the rest of the experiment, so it is</p><p>essential that you try to memorise these people and their names as best as you can.</p><p><strong>You will then be tested on your memory of these names and portraits.</strong></p><p>The experiment will start after you have completed this memory test.</p><p>Ready?</p>",0,"html-button-response",2,97725,"0.0-2.0",9411,"ListA","man","english","SW_E_M_A2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49101","<img src='img/portrait_matrix_listA.jpg' style='width:900px;height:500px;''></img><p>If you have memorised all the portraits and names and are ready to start, press Continue.</p><p><strong>Please note: Your memory of these faces will be tested 5 times during this experiment.</strong></p>",0,"html-button-response",3,147836,"0.0-3.0-0.0",9411,"ListA","man","english","SW_E_M_A2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2934.7000000178814","<img src=""portrait/BW2.jpg""style=""height:400px;""></img>",0,"html-button-response",4,151772,"0.0-3.0-1.0",9411,"ListA","man","english","SW_E_M_A2",NA,"true",2,NA,NA,NA,NA,NA,NA,NA
"7885.799999982119","<img src=""portrait/BW2.jpg""style=""height:400px;""></img>",2,"html-button-response",5,160660,"0.0-3.0-3.0-0.0",9411,"ListA","man","english","SW_E_M_A2",NA,"false",2,NA,NA,NA,NA,NA,NA,NA
"null","CORRECT",NA,"html-keyboard-response",6,162186,"0.0-3.0-3.0-1.0-0.0",9411,"ListA","man","english","SW_E_M_A2",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"2873.199999988079","<img src=""portrait/WW2.jpg""style=""height:400px;""></img>",3,"html-button-response",7,165061,"0.0-3.0-4.0",9411,"ListA","man","english","SW_E_M_A2",NA,"true",3,NA,NA,NA,NA,NA,NA,NA
"null","CORRECT",NA,"html-keyboard-response",8,166579,"0.0-3.0-5.0-0.0",9411,"ListA","man","english","SW_E_M_A2",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"3200.199999988079","<img src=""portrait/WM1.jpg""style=""height:400px;""></img>",6,"html-button-response",9,169780,"0.0-3.0-7.0",9411,"ListA","man","english","SW_E_M_A2",NA,"true",6,NA,NA,NA,NA,NA,NA,NA
