"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","subject","list","ppt_gender","ppt_language","url","first_guess","correct","key_press","responses","image","verb","phrase","condition","test_part"
"1037.5","Welcome to the experiment. Press Continue to begin.",0,"html-button-response",0,1040,"0.0-0.0",16786,"ListA","woman","english",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41368.1999999881",NA,NA,"external-html",1,43447,"0.0-1.0",16786,"ListA","woman","english","consent.html",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26538.2999999821","<p>On the next page, you will see portraits of 8 people and their names.</p><p>Your first task is to take a few minutes to memorise the names of these people.</p><p>You will have to recall their names during the rest of the experiment, so it is</p><p>essential that you try to memorise these people and their names as best as you can.</p><p><strong>You will then be tested on your memory of these names and portraits.</strong></p><p>The experiment will start after you have completed this memory test.</p><p>Ready?</p>",0,"html-button-response",2,69988,"0.0-2.0",16786,"ListA","woman","english",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76018.300000011906","<img src='img/portrait_matrix_listA.jpg' style='width:900px;height:500px;''></img><p>If you have memorised all the portraits and names and are ready to start, press Continue.</p><p><strong>Please note: Your memory of these faces will be tested 5 times during this experiment.</strong></p>",0,"html-button-response",3,147012,"0.0-3.0-0.0",16786,"ListA","woman","english",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5034.5","<img src=""portrait/BW1.jpg""style=""height:400px;""></img>",0,"html-button-response",4,153055,"0.0-3.0-1.0",16786,"ListA","woman","english",NA,TRUE,0,NA,NA,NA,NA,NA,NA,NA
"null","CORRECT",NA,"html-keyboard-response",5,154573,"0.0-3.0-2.0-0.0",16786,"ListA","woman","english",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"10086.1000000238","<img src=""portrait/BM1.jpg""style=""height:400px;""></img>",4,"html-button-response",6,164662,"0.0-3.0-4.0",16786,"ListA","woman","english",NA,TRUE,4,NA,NA,NA,NA,NA,NA,NA
"null","CORRECT",NA,"html-keyboard-response",7,166180,"0.0-3.0-5.0-0.0",16786,"ListA","woman","english",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"3104.200000017880","<img src=""portrait/WM1.jpg""style=""height:400px;""></img>",6,"html-button-response",8,169287,"0.0-3.0-7.0",16786,"ListA","woman","english",NA,TRUE,6,NA,NA,NA,NA,NA,NA,NA
"null","CORRECT",NA,"html-keyboard-response",9,170798,"0.0-3.0-8.0-0.0",16786,"ListA","woman","english",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"3142.900000005960","<img src=""portrait/WM2.jpg""style=""height:400px;""></img>",7,"html-button-response",10,173944,"0.0-3.0-10.0",16786,"ListA","woman","english",NA,TRUE,7,NA,NA,NA,NA,NA,NA,NA
"null","CORRECT",NA,"html-keyboard-response",11,175456,"0.0-3.0-11.0-0.0",16786,"ListA","woman","english",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"4174.300000011920","<img src=""portrait/WW1.jpg""style=""height:400px;""></img>",1,"html-button-response",12,179632,"0.0-3.0-13.0",16786,"ListA","woman","english",NA,TRUE,1,NA,NA,NA,NA,NA,NA,NA
