"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","subject","list","ppt_gender","ppt_language","url","first_guess","correct","key_press","responses","image","verb","phrase","condition","test_part"
"1882.599999994040","Welcome to the experiment. Press Continue to begin.",0,"html-button-response",0,1884,"0.0-0.0",18400,"ListB","woman","english",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12915",NA,NA,"external-html",1,15844,"0.0-1.0",18400,"ListB","woman","english","consent.html",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18967.200000003","<p>On the next page, you will see portraits of 8 people and their names.</p><p>Your first task is to take a few minutes to memorise the names of these people.</p><p>You will have to recall their names during the rest of the experiment, so it is</p><p>essential that you try to memorise these people and their names as best as you can.</p><p><strong>You will then be tested on your memory of these names and portraits.</strong></p><p>The experiment will start after you have completed this memory test.</p><p>Ready?</p>",0,"html-button-response",2,34812,"0.0-2.0",18400,"ListB","woman","english",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52539.200000003","<img src='img/portrait_matrix_listB.jpg' style='width:900px;height:500px;''></img><p>If you have memorised all the portraits and names and are ready to start, press Continue.</p><p><strong>Please note: Your memory of these faces will be tested 5 times during this experiment.</strong></p>",0,"html-button-response",3,88359,"0.0-3.0-0.0",18400,"ListB","woman","english",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34190.799999997","<img src=""portrait/WW2.jpg""style=""height:400px;""></img>",0,"html-button-response",4,123551,"0.0-3.0-1.0",18400,"ListB","woman","english",NA,TRUE,3,NA,NA,NA,NA,NA,NA,NA
"4550.5","<img src=""portrait/WW2.jpg""style=""height:400px;""></img>",3,"html-button-response",5,129117,"0.0-3.0-3.0-0.0",18400,"ListB","woman","english",NA,FALSE,3,NA,NA,NA,NA,NA,NA,NA
"null","CORRECT",NA,"html-keyboard-response",6,130624,"0.0-3.0-3.0-1.0-0.0",18400,"ListB","woman","english",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"1617.800000011920","<img src=""portrait/WW1.jpg""style=""height:400px;""></img>",1,"html-button-response",7,132243,"0.0-3.0-4.0",18400,"ListB","woman","english",NA,TRUE,1,NA,NA,NA,NA,NA,NA,NA
"null","CORRECT",NA,"html-keyboard-response",8,133770,"0.0-3.0-5.0-0.0",18400,"ListB","woman","english",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"7086","<img src=""portrait/BW2.jpg""style=""height:400px;""></img>",2,"html-button-response",9,140856,"0.0-3.0-7.0",18400,"ListB","woman","english",NA,TRUE,2,NA,NA,NA,NA,NA,NA,NA
