"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","subject","list","ppt_gender","ppt_language","ptptID","url","first_guess","correct","key_press","responses","image","verb","phrase","condition","test_part"
"2587","Welcome to the experiment. Press Continue to begin.",0,"html-button-response",0,2590,"0.0-0.0",29801,"ListA","woman","chinese",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15768",NA,NA,"external-html",1,19414,"0.0-1.0",29801,"ListA","woman","chinese",6,"consent.html",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14013","<p>在下一页中，您将看到8个人物肖像和他们各自的名字。</p><p>请花费几分钟的时间记住这些人物及其所对应的名字。</p><p>之后的实验中需要您对人物的名字做出回忆，</p><p>因此在实验开始前请确保您已 经完全记住这些人物及其所对应的名字。</p><p><strong>然后您将完成一个测试以检验您对人物和名字的记忆。</strong></p><p>完成此记忆测试后，您将正式进入实验。</p><p>准备好了吗？</p>",0,"html-button-response",2,33429,"0.0-2.0",29801,"ListA","woman","chinese",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215076","<img src='img/portrait_matrix_listA_chinese.jpg' style='width:900px;height:500px;''></img><p>如果您已经记住了所有的人物和名字，请点击继续。</p><p><strong>请注意：您对先前记忆的面孔将在本实验中被测试5次。</strong></p>",0,"html-button-response",3,249508,"0.0-3.0-0.0",29801,"ListA","woman","chinese",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2424","<img src=""portrait/WW2.jpg""style=""height:400px;""></img>",3,"html-button-response",4,252934,"0.0-3.0-1.0",29801,"ListA","woman","chinese",6,NA,TRUE,3,NA,NA,NA,NA,NA,NA,NA
"null","正确",NA,"html-keyboard-response",5,254437,"0.0-3.0-2.0-0.0",29801,"ListA","woman","chinese",6,NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"6573","<img src=""portrait/WM1.jpg""style=""height:400px;""></img>",6,"html-button-response",6,261011,"0.0-3.0-4.0",29801,"ListA","woman","chinese",6,NA,TRUE,6,NA,NA,NA,NA,NA,NA,NA
"null","正确",NA,"html-keyboard-response",7,262514,"0.0-3.0-5.0-0.0",29801,"ListA","woman","chinese",6,NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"5661","<img src=""portrait/BW1.jpg""style=""height:400px;""></img>",0,"html-button-response",8,268176,"0.0-3.0-7.0",29801,"ListA","woman","chinese",6,NA,TRUE,0,NA,NA,NA,NA,NA,NA,NA
"null","正确",NA,"html-keyboard-response",9,269678,"0.0-3.0-8.0-0.0",29801,"ListA","woman","chinese",6,NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"13976","<img src=""portrait/BM2.jpg""style=""height:400px;""></img>",2,"html-button-response",10,283656,"0.0-3.0-10.0",29801,"ListA","woman","chinese",6,NA,TRUE,5,NA,NA,NA,NA,NA,NA,NA
"2115","<img src=""portrait/BM2.jpg""style=""height:400px;""></img>",5,"html-button-response",11,286773,"0.0-3.0-12.0-0.0",29801,"ListA","woman","chinese",6,NA,FALSE,5,NA,NA,NA,NA,NA,NA,NA
"null","正确",NA,"html-keyboard-response",12,288274,"0.0-3.0-12.0-1.0-0.0",29801,"ListA","woman","chinese",6,NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"11295","<img src=""portrait/WM2.jpg""style=""height:400px;""></img>",7,"html-button-response",13,299571,"0.0-3.0-13.0",29801,"ListA","woman","chinese",6,NA,TRUE,7,NA,NA,NA,NA,NA,NA,NA
"null","正确",NA,"html-keyboard-response",14,301072,"0.0-3.0-14.0-0.0",29801,"ListA","woman","chinese",6,NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"10996.0000000001","<img src=""portrait/BW2.jpg""style=""height:400px;""></img>",2,"html-button-response",15,312070,"0.0-3.0-16.0",29801,"ListA","woman","chinese",6,NA,TRUE,2,NA,NA,NA,NA,NA,NA,NA
"null","正确",NA,"html-keyboard-response",16,313573,"0.0-3.0-17.0-0.0",29801,"ListA","woman","chinese",6,NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"3099","<img src=""portrait/BM1.jpg""style=""height:400px;""></img>",4,"html-button-response",17,316673,"0.0-3.0-19.0",29801,"ListA","woman","chinese",6,NA,TRUE,4,NA,NA,NA,NA,NA,NA,NA
"null","正确",NA,"html-keyboard-response",18,318175,"0.0-3.0-20.0-0.0",29801,"ListA","woman","chinese",6,NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"3385","<img src=""portrait/WW1.jpg""style=""height:400px;""></img>",1,"html-button-response",19,321561,"0.0-3.0-22.0",29801,"ListA","woman","chinese",6,NA,TRUE,1,NA,NA,NA,NA,NA,NA,NA
"null","正确",NA,"html-keyboard-response",20,323064,"0.0-3.0-23.0-0.0",29801,"ListA","woman","chinese",6,NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"2164","<p>您第一次在8题里答对了 7 题。 请点击继续</p>",0,"html-button-response",21,325230,"0.0-3.0-25.0",29801,"ListA","woman","chinese",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2634","因为您没有全部答对，记忆游戏将重新开始。请点击继续。",0,"html-button-response",22,328865,"0.0-3.0-26.0-0.0",29801,"ListA","woman","chinese",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9638.999999999940","<img src='img/portrait_matrix_listA_chinese.jpg' style='width:900px;height:500px;''></img><p>如果您已经记住了所有的人物和名字，请点击继续。</p><p><strong>请注意：您对先前记忆的面孔将在本实验中被测试5次。</strong></p>",0,"html-button-response",23,339506,"0.0-3.1-0.1",29801,"ListA","woman","chinese",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
