"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","subject","list","ppt_gender","ppt_race","url","first_guess","correct","key_press","responses","image","verb","phrase","condition","test_part"
"3289","Welcome to the experiment. Press Continue to begin.",0,"html-button-response",0,3293,"0.0-0.0",35039,"ListA","man","black",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14942",NA,NA,"external-html",1,19448,"0.0-1.0",35039,"ListA","man","black","consent.html",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25702","<p>在下一页中，您将看到8个人物肖像和他们各自的名字。</p><p>请花费几分钟的时间记住这些人物及其所对应的名字。</p><p>之后的实验中需要您对人物的名字做出回忆，</p><p>因此在实验开始前请确保您已 经完全记住这些人物及其所对应的名字。</p><p><strong>然后您将完成一个测试以检验您对人物和名字的记忆。</strong></p><p>完成此记忆测试后，您将正式进入实验。</p><p>准备好了吗？</p>",0,"html-button-response",2,45150,"0.0-2.0",35039,"ListA","man","black",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67211","<img src='img/portrait_matrix_listA_chinese.jpg' style='width:900px;height:500px;''></img><p>如果您已经记住了所有的人物和名字，请点击继续。</p><p><strong>请注意：您对先前记忆的面孔将在本实验中被测试5次。</strong></p>",0,"html-button-response",3,113361,"0.0-3.0-0.0",35039,"ListA","man","black",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12457","<img src=""portrait/WM2.jpg""style=""height:400px;""></img>",7,"html-button-response",4,126822,"0.0-3.0-1.0",35039,"ListA","man","black",NA,TRUE,7,NA,NA,NA,NA,NA,NA,NA
"null","正确",NA,"html-keyboard-response",5,128331,"0.0-3.0-2.0-0.0",35039,"ListA","man","black",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"6292","<img src=""portrait/WW2.jpg""style=""height:400px;""></img>",3,"html-button-response",6,134626,"0.0-3.0-4.0",35039,"ListA","man","black",NA,TRUE,3,NA,NA,NA,NA,NA,NA,NA
"null","正确",NA,"html-keyboard-response",7,136130,"0.0-3.0-5.0-0.0",35039,"ListA","man","black",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"3787","<img src=""portrait/BM1.jpg""style=""height:400px;""></img>",4,"html-button-response",8,139919,"0.0-3.0-7.0",35039,"ListA","man","black",NA,TRUE,4,NA,NA,NA,NA,NA,NA,NA
"null","正确",NA,"html-keyboard-response",9,141423,"0.0-3.0-8.0-0.0",35039,"ListA","man","black",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"7096.999999999970","<img src=""portrait/BM2.jpg""style=""height:400px;""></img>",5,"html-button-response",10,148523,"0.0-3.0-10.0",35039,"ListA","man","black",NA,TRUE,5,NA,NA,NA,NA,NA,NA,NA
"null","正确",NA,"html-keyboard-response",11,150027,"0.0-3.0-11.0-0.0",35039,"ListA","man","black",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"3669.000000000030","<img src=""portrait/WW1.jpg""style=""height:400px;""></img>",1,"html-button-response",12,153700,"0.0-3.0-13.0",35039,"ListA","man","black",NA,TRUE,1,NA,NA,NA,NA,NA,NA,NA
"null","正确",NA,"html-keyboard-response",13,155204,"0.0-3.0-14.0-0.0",35039,"ListA","man","black",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"5388","<img src=""portrait/BW1.jpg""style=""height:400px;""></img>",0,"html-button-response",14,160595,"0.0-3.0-16.0",35039,"ListA","man","black",NA,TRUE,0,NA,NA,NA,NA,NA,NA,NA
"null","正确",NA,"html-keyboard-response",15,162098,"0.0-3.0-17.0-0.0",35039,"ListA","man","black",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"4979.000000000030","<img src=""portrait/WM1.jpg""style=""height:400px;""></img>",6,"html-button-response",16,167080,"0.0-3.0-19.0",35039,"ListA","man","black",NA,TRUE,6,NA,NA,NA,NA,NA,NA,NA
"null","正确",NA,"html-keyboard-response",17,168584,"0.0-3.0-20.0-0.0",35039,"ListA","man","black",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"4213","<img src=""portrait/BW2.jpg""style=""height:400px;""></img>",2,"html-button-response",18,172799,"0.0-3.0-22.0",35039,"ListA","man","black",NA,TRUE,2,NA,NA,NA,NA,NA,NA,NA
"null","正确",NA,"html-keyboard-response",19,174302,"0.0-3.0-23.0-0.0",35039,"ListA","man","black",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"1754","<p>您第一次在8题里答对了 8 题。 请点击继续</p>",0,"html-button-response",20,176058,"0.0-3.0-25.0",35039,"ListA","man","black",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29985","<p>此次实验您将会看到先前记忆任务里的人物照片。</p><p>人物照片消失后您将看到一个动词短语，请正确回忆人物的名字并用特定的 动词短语组成一句完整的句子。</p><p>请在指定的框内输入您的答案。在进入下一题之前请确保您填写了完整的句子。</p><p>人物照片和动词短语只会在屏幕上出现几秒钟，因此请您答题时尽量集中注意力。</p><p>以下是例子。请您在准备好后按下“继续”。</p><img src='img/chinese_speaking_example.jpg' style='width:800px;height:460px;''></img>",0,"html-button-response",21,207049,"0.0-4.0",35039,"ListA","man","black",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1828","<p>在实验开始前，将为您展示两个示例实验。</p>",0,"html-button-response",22,209879,"0.0-5.0",35039,"ListA","man","black",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"null","<img src='img/meet.gif' style='height:400px;''></img>",NA,"html-keyboard-response",23,212884,"0.0-6.0",35039,"ListA","man","black",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"null","<p>正在约见</p>",NA,"html-keyboard-response",24,214886,"0.0-7.0",35039,"ListA","man","black",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"4628","<p><b>答案:</b> 凯特正在约见贝斯</p>",0,"html-button-response",25,219516,"0.0-8.0",35039,"ListA","man","black",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"null","<img src='img/spy.gif' style='height:400px;''></img>",NA,"html-keyboard-response",26,222520,"0.0-9.0",35039,"ListA","man","black",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"null","<p>正在监视</p>",NA,"html-keyboard-response",27,224523,"0.0-10.0",35039,"ListA","man","black",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"5245","<p><b>答案:</b> 卢克生在监视戴夫</p>",0,"html-button-response",28,229771,"0.0-11.0",35039,"ListA","man","black",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6616.999999999970","<p>准备好开始了吗？</p><br><p><strong>请记住，您的答案需是一句完整的句子</strong></p><p><strong>，并用给到的图片人物和动词短语作答。</strong></p><p><strong>只有正确并完整完成实验才可获得报酬。</strong></p><p><strong> 您不需要加入任何标点符号。</strong></p><br><p>请按 ‘继续’ 键开始。</p>",0,"html-button-response",29,237390,"0.0-12.0",35039,"ListA","man","black",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"null","<div style=""font-size:60px;"">+</div>",NA,"html-keyboard-response",30,238894,"0.0-13.0-0.0",35039,"ListA","man","black",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"null","<img src='gifs/FemaleRace1b.gif' style='height:400px;''></img>",NA,"html-keyboard-response",31,240901,"0.0-13.0-1.0",35039,"ListA","man","black",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"null","正在陪伴",NA,"html-keyboard-response",32,243903,"0.0-13.0-2.0",35039,"ListA","man","black",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"14294",NA,NA,"survey-text",33,258209,"0.0-13.0-3.0",35039,"ListA","man","black",NA,NA,NA,NA,"{""Q0"":""凯特正在陪伴露丝""}","<img src='gifs/FemaleRace1b.gif' style='height:400px;''></img>","陪伴","正在陪伴","chinese",NA
"null","<div style=""font-size:60px;"">+</div>",NA,"html-keyboard-response",34,258712,"0.0-13.0-0.1",35039,"ListA","man","black",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"null","<img src='gifs/FemaleRace1a.gif' style='height:400px;''></img>",NA,"html-keyboard-response",35,260715,"0.0-13.0-1.1",35039,"ListA","man","black",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"null","正在陪伴",NA,"html-keyboard-response",36,263721,"0.0-13.0-2.1",35039,"ListA","man","black",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"11616",NA,NA,"survey-text",37,275342,"0.0-13.0-3.1",35039,"ListA","man","black",NA,NA,NA,NA,"{""Q0"":""凯特正在陪伴露丝""}","<img src='gifs/FemaleRace1a.gif' style='height:400px;''></img>","陪伴","正在陪伴","chinese",NA
"null","<div style=""font-size:60px;"">+</div>",NA,"html-keyboard-response",38,275843,"0.0-13.0-0.2",35039,"ListA","man","black",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"null","<img src='gifs/MaleRace1a.gif' style='height:400px;''></img>",NA,"html-keyboard-response",39,277847,"0.0-13.0-1.2",35039,"ListA","man","black",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"null","正在提到",NA,"html-keyboard-response",40,280850,"0.0-13.0-2.2",35039,"ListA","man","black",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"16960",NA,NA,"survey-text",41,297814,"0.0-13.0-3.2",35039,"ListA","man","black",NA,NA,NA,NA,"{""Q0"":""弗雷正在提到卢克""}","<img src='gifs/MaleRace1a.gif' style='height:400px;''></img>","提到","正在提到","chinese",NA
"null","<div style=""font-size:60px;"">+</div>",NA,"html-keyboard-response",42,298316,"0.0-13.0-0.3",35039,"ListA","man","black",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"null","<img src='gifs/MaleRace3a.gif' style='height:400px;''></img>",NA,"html-keyboard-response",43,300319,"0.0-13.0-1.3",35039,"ListA","man","black",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"null","正在加入",NA,"html-keyboard-response",44,303325,"0.0-13.0-2.3",35039,"ListA","man","black",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"8840",NA,NA,"survey-text",45,312169,"0.0-13.0-3.3",35039,"ListA","man","black",NA,NA,NA,NA,"{""Q0"":""麦克正在加入卢克""}","<img src='gifs/MaleRace3a.gif' style='height:400px;''></img>","加入","正在加入","chinese",NA
"null","<div style=""font-size:60px;"">+</div>",NA,"html-keyboard-response",46,312671,"0.0-13.0-0.4",35039,"ListA","man","black",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"null","<img src='gifs/BlackGender3a.gif' style='height:400px;''></img>",NA,"html-keyboard-response",47,314678,"0.0-13.0-1.4",35039,"ListA","man","black",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"null","正在说服",NA,"html-keyboard-response",48,317680,"0.0-13.0-2.4",35039,"ListA","man","black",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"9717",NA,NA,"survey-text",49,327402,"0.0-13.0-3.4",35039,"ListA","man","black",NA,NA,NA,NA,"{""Q0"":""卢克正在说服霍普""}","<img src='gifs/BlackGender3a.gif' style='height:400px;''></img>","说服","正在说服","chinese",NA
"null","<div style=""font-size:60px;"">+</div>",NA,"html-keyboard-response",50,327903,"0.0-13.0-0.5",35039,"ListA","man","black",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"null","<img src='gifs/BlackGender1a.gif' style='height:400px;''></img>",NA,"html-keyboard-response",51,329906,"0.0-13.0-1.5",35039,"ListA","man","black",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"null","正在走向",NA,"html-keyboard-response",52,332908,"0.0-13.0-2.5",35039,"ListA","man","black",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"7873",NA,NA,"survey-text",53,340785,"0.0-13.0-3.5",35039,"ListA","man","black",NA,NA,NA,NA,"{""Q0"":""露丝正在走向卢克""}","<img src='gifs/BlackGender1a.gif' style='height:400px;''></img>","走向","正在走向","chinese",NA
"null","<div style=""font-size:60px;"">+</div>",NA,"html-keyboard-response",54,341288,"0.0-13.0-0.6",35039,"ListA","man","black",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"null","<img src='gifs/MaleRace1b.gif' style='height:400px;''></img>",NA,"html-keyboard-response",55,343291,"0.0-13.0-1.6",35039,"ListA","man","black",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
