"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","subject","list","ppt_gender","ppt_language","ptptID","url","first_guess","correct","key_press","responses","image","verb","phrase","condition","test_part"
"1509.4000000953674","Welcome to the experiment. Press Continue to begin.",0,"html-button-response",0,1511,"0.0-0.0",78106,"ListB","man","chinese","CMB4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3309.300000190735",NA,NA,"external-html",1,5829,"0.0-1.0",78106,"ListB","man","chinese","CMB4","consent.html",NA,NA,NA,NA,NA,NA,NA,NA,NA
"918.0999999046326","<p>在下一页中，您将看到8个人物肖像和他们各自的名字。</p><p>请花费几分钟的时间记住这些人物及其所对应的名字。</p><p>之后的实验中需要您对人物的名字做出回忆，</p><p>因此在实验开始前请确保您已 经完全记住这些人物及其所对应的名字。</p><p><strong>然后您将完成一个测试以检验您对人物和名字的记忆。</strong></p><p>完成此记忆测试后，您将正式进入实验。</p><p>准备好了吗？</p>",0,"html-button-response",2,6747,"0.0-2.0",78106,"ListB","man","chinese","CMB4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1030.2000000476837","<img src='img/portrait_matrix_listB_chinese.jpg' style='width:900px;height:500px;''></img><p>如果您已经记住了所有的人物和名字，请点击继续。</p><p><strong>请注意：您对先前记忆的面孔将在本实验中被测试5次。</strong></p>",0,"html-button-response",3,8784,"0.0-3.0-0.0",78106,"ListB","man","chinese","CMB4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2109.2000000476837","<img src=""portrait/BW2.jpg""style=""height:400px;""></img>",2,"html-button-response",4,11908,"0.0-3.0-1.0",78106,"ListB","man","chinese","CMB4",NA,"true",2,NA,NA,NA,NA,NA,NA,NA
"null","正确",NA,"html-keyboard-response",5,13410,"0.0-3.0-2.0-0.0",78106,"ListB","man","chinese","CMB4",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"7336.100000143051","<img src=""portrait/WM1.jpg""style=""height:400px;""></img>",6,"html-button-response",6,20747,"0.0-3.0-4.0",78106,"ListB","man","chinese","CMB4",NA,"true",6,NA,NA,NA,NA,NA,NA,NA
"null","正确",NA,"html-keyboard-response",7,22248,"0.0-3.0-5.0-0.0",78106,"ListB","man","chinese","CMB4",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"9208","<img src=""portrait/WM2.jpg""style=""height:400px;""></img>",7,"html-button-response",8,31457,"0.0-3.0-7.0",78106,"ListB","man","chinese","CMB4",NA,"true",7,NA,NA,NA,NA,NA,NA,NA
"null","正确",NA,"html-keyboard-response",9,32959,"0.0-3.0-8.0-0.0",78106,"ListB","man","chinese","CMB4",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"6219.200000047684","<img src=""portrait/WW1.jpg""style=""height:400px;""></img>",1,"html-button-response",10,39179,"0.0-3.0-10.0",78106,"ListB","man","chinese","CMB4",NA,"true",1,NA,NA,NA,NA,NA,NA,NA
"null","正确",NA,"html-keyboard-response",11,40680,"0.0-3.0-11.0-0.0",78106,"ListB","man","chinese","CMB4",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"2868.5","<img src=""portrait/BM1.jpg""style=""height:400px;""></img>",4,"html-button-response",12,43550,"0.0-3.0-13.0",78106,"ListB","man","chinese","CMB4",NA,"true",4,NA,NA,NA,NA,NA,NA,NA
"null","正确",NA,"html-keyboard-response",13,45073,"0.0-3.0-14.0-0.0",78106,"ListB","man","chinese","CMB4",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
