gif,picture_condition,language,list,left_name,right_name,left_race,right_race,left_gender,right_gender
BlackGender1a.gif,gender_black,english,ListA,ruth,luke,black,black,female,male
BlackGender1b.gif,gender_black,english,ListA,luke,ruth,black,black,male,female
BlackGender2a.gif,gender_black,english,ListA,Ruth,Dave,black,black,Female,Male
BlackGender2b.gif,gender_black,english,ListA,Dave,Ruth,black,black,Male,Female
BlackGender3a.gif,gender_black,english,ListA,Jane,Luke,black,black,Female,Male
BlackGender3b.gif,gender_black,english,ListA,Luke,Jane ,black,black,Male,Female
BlackGender4a.gif,gender_black,english,ListA,Jane,Dave,black,black,Female ,Male
BlackGender4b.gif,gender_black,english,ListA,Dave,Jane,black,black,Male,Female
ChineseGender1a.gif,gender_asian,english,ListA,Fred,Kate,asian,asian,Male ,Female
ChineseGender1b.gif,gender_asian,english,ListA,Kate ,Fred,asian,asian,Female,Male
ChineseGender2a.gif,gender_asian,english,ListA,Fred,Beth,asian,asian,Male,Female
ChineseGender2b.gif,gender_asian,english,ListA,Beth,Fred,asian,asian,Female,Male
ChineseGender3a.gif,gender_asian,english,ListA,Mike,Beth,asian,asian,Male,Female
ChineseGender3b.gif,gender_asian,english,ListA,Beth,Mike,asian,asian,Female,Male
ChineseGender4a.gif,gender_asian,english,ListA,Mike,Kate,asian,asian,Male,Female
ChineseGender4b.gif,gender_asian,english,ListA,Kate,Mike,asian,asian,Female,Male
FemaleRace1a.gif,race_female,english,ListA,Ruth,Kate,Black,Asian,female,female
FemaleRace1b.gif,race_female,english,ListA,Kate ,Ruth,Asian,Black,female,female
FemaleRace2a.gif,race_female,english,ListA,Jane,Kate,Black,Asian,female,female
FemaleRace2b.gif,race_female,english,ListA,Kate,Jane,Asian,Black,female,female
FemaleRace3a.gif,race_female,english,ListA,Ruth,Beth,Black,Asian,female,female
FemaleRace3b.gif,race_female,english,ListA,Beth,Ruth,Asian,Black,female,female
FemaleRace4a.gif,race_female,english,ListA,Jane,Beth,Black,Asian,female,female
FemaleRace4b.gif,race_female,english,ListA,Beth,Jane,Asian,Black,female,female
MaleRace1a.gif,race_male,english,ListA,Fred,Luke,Asian,Black,male,male
MaleRace1b.gif,race_male,english,ListA,Luke,Fred ,Black,Asian,male,male
MaleRace2a.gif,race_male,english,ListA,Fred,Dave,Asian,Black,male,male
MaleRace2b.gif,race_male,english,ListA,Dave,Fred,Black,Asian,male,male
MaleRace3a.gif,race_male,english,ListA,Mike,Luke,Asian,Black,male,male
MaleRace3b.gif,race_male,english,ListA,Luke ,Mike,Black,Asian,male,male
MaleRace4a.gif,race_male,english,ListA,Mike,Dave,Asian,Black,male,male
MaleRace4b.gif,race_male,english,ListA,Dave,Mike,Black,Asian,male,male
BlackGender1a.gif,gender_black,english,ListB,beth,fred,black,black,female,male
BlackGender1b.gif,gender_black,english,ListB,fred,Beth,black,black,Male,Female
BlackGender2a.gif,gender_black,english,ListB,beth,Mike,black,black,Female,Male
BlackGender2b.gif,gender_black,english,ListB,Mike,Beth,black,black,Male,Female
BlackGender3a.gif,gender_black,english,ListB,Kate,Fred,black,black,Female,Male
BlackGender3b.gif,gender_black,english,ListB,Fred,Kate,black,black,Male,Female
BlackGender4a.gif,gender_black,english,ListB,Kate,Mike,black,black,Female,Male
BlackGender4b.gif,gender_black,english,ListB,Mike,Kate,black,black,Male,Female
ChineseGender1a.gif,gender_asian,english,ListB,Luke,Jane,asian,asian,Male,Female
ChineseGender1b.gif,gender_asian,english,ListB,Jane,Luke,asian,asian,Female,Male
ChineseGender2a.gif,gender_asian,english,ListB,Luke,Ruth,asian,asian,Male,Female
ChineseGender2b.gif,gender_asian,english,ListB,Ruth,Luke,asian,asian,Female,Male
ChineseGender3a.gif,gender_asian,english,ListB,Dave,Ruth,asian,asian,Male,Female
ChineseGender3b.gif,gender_asian,english,ListB,Ruth,Dave,asian,asian,Female,Male
ChineseGender4a.gif,gender_asian,english,ListB,Dave,Jane,asian,asian,Male,Female
ChineseGender4b.gif,gender_asian,english,ListB,Jane,Dave,asian,asian,Female,Male
FemaleRace1a.gif,race_female,english,ListB,Beth,Jane,Black,Asian,female,female
FemaleRace1b.gif,race_female,english,ListB,Jane,Beth,Asian,Black,female,female
FemaleRace2a.gif,race_female,english,ListB,Kate,Jane,Black,asian,female,female
FemaleRace2b.gif,race_female,english,ListB,Jane,Kate,Asian,Black,female,female
FemaleRace3a.gif,race_female,english,ListB,Beth,Ruth,Black,Asian,female,female
FemaleRace3b.gif,race_female,english,ListB,Ruth,Beth,Asian,Black,female,female
FemaleRace4a.gif,race_female,english,ListB,Kate,Ruth,Black,Asian,female,female
FemaleRace4b.gif,race_female,english,ListB,Ruth,Kate,Asian, Black,female,female
MaleRace1a.gif,race_male,english,ListB,Luke,Fred,Asian,Black,male,male
MaleRace1b.gif,race_male,english,ListB,Fred,Luke,Black,Asian,male,male
MaleRace2a.gif,race_male,english,ListB,Luke,Mike,Asian,Black,male,male
MaleRace2b.gif,race_male,english,ListB,Mike,Luke,Black,Asian,male,male
MaleRace3a.gif,race_male,english,ListB,Dave,Fred,Asian,Black,male,male
MaleRace3b.gif,race_male,english,ListB,Fred,Dave,Black,Asian,male,male
MaleRace4a.gif,race_male,english,ListB,Dave,Mike,Asian,Black,male,male
MaleRace4b.gif,race_male,english,ListB,Mike,Dave,Black,Asian,male,male
BlackGender1a.gif,gender_black,chinese,ListA,露丝,卢克,black,black,female,male
BlackGender1b.gif,gender_black,chinese,ListA,卢克,露丝,black,black,male,female
BlackGender2a.gif,gender_black,chinese,ListA,露丝,戴夫,black,black,female,male
BlackGender2b.gif,gender_black,chinese,ListA,戴夫,露丝,black,black,male,female
BlackGender3a.gif,gender_black,chinese,ListA,霍普,卢克,black,black,female,male
BlackGender3b.gif,gender_black,chinese,ListA,卢克,霍普,black,black,male,female
BlackGender4a.gif,gender_black,chinese,ListA,霍普,戴夫,black,black,female,male
BlackGender4b.gif,gender_black,chinese,ListA,戴夫,霍普,black,black,male,female
ChineseGender1a.gif,gender_asian,chinese,ListA,弗雷,凯特,asian,asian,male,female
ChineseGender1b.gif,gender_asian,chinese,ListA,凯特,弗雷,asian,asian,female,male
ChineseGender2a.gif,gender_asian,chinese,ListA,弗雷,贝斯,asian,asian,male,female
ChineseGender2b.gif,gender_asian,chinese,ListA,贝斯,弗雷,asian,asian,female,male
ChineseGender3a.gif,gender_asian,chinese,ListA,麦克,贝斯,asian,asian,male,female
ChineseGender3b.gif,gender_asian,chinese,ListA,贝斯,麦克,asian,asian,female,male
ChineseGender4a.gif,gender_asian,chinese,ListA,麦克,凯特,asian,asian,male,female
ChineseGender4b.gif,gender_asian,chinese,ListA,凯特,麦克,asian,asian,female,male
FemaleRace1a.gif,race_female,chinese,ListA,露丝,凯特,black,asian,female,female
FemaleRace1b.gif,race_female,chinese,ListA,凯特,露丝,asian,black,female,female
FemaleRace2a.gif,race_female,chinese,ListA,霍普,凯特,black,asian,female,female
FemaleRace2b.gif,race_female,chinese,ListA,凯特,霍普,asian,black,female,female
FemaleRace3a.gif,race_female,chinese,ListA,露丝,贝斯,black,asian,female,female
FemaleRace3b.gif,race_female,chinese,ListA,贝斯,露丝,asian,black,female,female
FemaleRace4a.gif,race_female,chinese,ListA,霍普,贝斯,black,asian,female,female
FemaleRace4b.gif,race_female,chinese,ListA,贝斯,霍普,asian,black,female,female
MaleRace1a.gif,race_male,chinese,ListA,弗雷,卢克,asian,black,male,male
MaleRace1b.gif,race_male,chinese,ListA,卢克,弗雷,black,asian,male,male
MaleRace2a.gif,race_male,chinese,ListA,弗雷,戴夫,asian,black,male,male
MaleRace2b.gif,race_male,chinese,ListA,戴夫,弗雷,black,asian,male,male
MaleRace3a.gif,race_male,chinese,ListA,麦克,卢克,asian,black,male,male
MaleRace3b.gif,race_male,chinese,ListA,卢克,麦克,black,asian,male,male
MaleRace4a.gif,race_male,chinese,ListA,麦克,戴夫,asian,black,male,male
MaleRace4b.gif,race_male,chinese,ListA,戴夫,麦克,black,asian,male,male
BlackGender1a.gif,gender_black,chinese,ListB,贝斯,弗雷,black,black,female,male
BlackGender1b.gif,gender_black,chinese,ListB,弗雷,贝斯,black,black,male,female
BlackGender2a.gif,gender_black,chinese,ListB,贝斯,麦克,black,black,female,male
BlackGender2b.gif,gender_black,chinese,ListB,麦克,贝斯,black,black,male,female
BlackGender3a.gif,gender_black,chinese,ListB,凯特,弗雷,black,black,female,male
BlackGender3b.gif,gender_black,chinese,ListB,弗雷,凯特,black,black,male,female
BlackGender4a.gif,gender_black,chinese,ListB,凯特,麦克,black,black,female,male
BlackGender4b.gif,gender_black,chinese,ListB,麦克,凯特,black,black,male,female
ChineseGender1a.gif,gender_asian,chinese,ListB,卢克,霍普,asian,asian,male,female
ChineseGender1b.gif,gender_asian,chinese,ListB,霍普,卢克,asian,asian,female,male
ChineseGender2a.gif,gender_asian,chinese,ListB,卢克,露丝,asian,asian,male,female
ChineseGender2b.gif,gender_asian,chinese,ListB,露丝,卢克,asian,asian,female,male
ChineseGender3a.gif,gender_asian,chinese,ListB,戴夫,露丝,asian,asian,male,female
ChineseGender3b.gif,gender_asian,chinese,ListB,露丝,戴夫,asian,asian,female,male
ChineseGender4a.gif,gender_asian,chinese,ListB,戴夫,霍普,asian,asian,male,female
ChineseGender4b.gif,gender_asian,chinese,ListB,霍普,戴夫,asian,asian,female,male
FemaleRace1a.gif,race_female,chinese,ListB,贝斯,霍普,black,asian,female,female
FemaleRace1b.gif,race_female,chinese,ListB,霍普,贝斯,asian,black,female,female
FemaleRace2a.gif,race_female,chinese,ListB,凯特,霍普,black,asian,female,female
FemaleRace2b.gif,race_female,chinese,ListB,霍普,凯特,asian,black,female,female
FemaleRace3a.gif,race_female,chinese,ListB,贝斯,露丝,black,asian,female,female
FemaleRace3b.gif,race_female,chinese,ListB,露丝,贝斯,asian,black,female,female
