"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","subject","list","ppt_gender","ppt_language","url","first_guess","correct","key_press","responses","image","verb","phrase","condition","test_part"
"1861","Welcome to the experiment. Press Continue to begin.","0","html-button-response","0","1878","0.0-0.0","43772","ListA","woman","english","","","","","","","","","",""
"3421","","","external-html","1","6379","0.0-1.0","43772","ListA","woman","english","consent.html","","","","","","","","",""
"1479","<p>On the next page, you will see portraits of 8 people and their names.</p><p>Your first task is to take a few minutes to memorise the names of these people.</p><p>You will have to recall their names during the rest of the experiment, so it is</p><p>essential that you try to memorise these people and their names as best as you can.</p><p><strong>You will then be tested on your memory of these names and portraits.</strong></p><p>The experiment will start after you have completed this memory test.</p><p>Ready?</p>","0","html-button-response","2","7863","0.0-2.0","43772","ListA","woman","english","","","","","","","","","",""
"25792","<img src='img/portrait_matrix_listA.jpg' style='width:900px;height:500px;''></img><p>If you have memorised all the portraits and names and are ready to start, press Continue.</p><p><strong>Please note: Your memory of these faces will be tested 5 times during this experiment.</strong></p>","0","html-button-response","3","34666","0.0-3.0-0.0","43772","ListA","woman","english","","","","","","","","","",""
"3208","<img src=""portrait/WW2.jpg""style=""height:400px;""></img>","3","html-button-response","4","38882","0.0-3.0-1.0","43772","ListA","woman","english","","true","3","","","","","","",""
"null","CORRECT","","html-keyboard-response","5","40392","0.0-3.0-2.0-0.0","43772","ListA","woman","english","","","","null","","","","","",""
"4687","<img src=""portrait/WM1.jpg""style=""height:400px;""></img>","6","html-button-response","6","45082","0.0-3.0-4.0","43772","ListA","woman","english","","true","6","","","","","","",""
"null","CORRECT","","html-keyboard-response","7","46590","0.0-3.0-5.0-0.0","43772","ListA","woman","english","","","","null","","","","","",""
"3107","<img src=""portrait/BM2.jpg""style=""height:400px;""></img>","5","html-button-response","8","49698","0.0-3.0-7.0","43772","ListA","woman","english","","true","5","","","","","","",""
"null","CORRECT","","html-keyboard-response","9","51205","0.0-3.0-8.0-0.0","43772","ListA","woman","english","","","","null","","","","","",""
"2940","<img src=""portrait/BM1.jpg""style=""height:400px;""></img>","4","html-button-response","10","54148","0.0-3.0-10.0","43772","ListA","woman","english","","true","4","","","","","","",""
"null","CORRECT","","html-keyboard-response","11","55657","0.0-3.0-11.0-0.0","43772","ListA","woman","english","","","","null","","","","","",""
"5172","<img src=""portrait/BW2.jpg""style=""height:400px;""></img>","2","html-button-response","12","60831","0.0-3.0-13.0","43772","ListA","woman","english","","true","2","","","","","","",""
"null","CORRECT","","html-keyboard-response","13","62341","0.0-3.0-14.0-0.0","43772","ListA","woman","english","","","","null","","","","","",""
"2905","<img src=""portrait/WM2.jpg""style=""height:400px;""></img>","7","html-button-response","14","65248","0.0-3.0-16.0","43772","ListA","woman","english","","true","7","","","","","","",""
"null","CORRECT","","html-keyboard-response","15","66756","0.0-3.0-17.0-0.0","43772","ListA","woman","english","","","","null","","","","","",""
"2956","<img src=""portrait/WW1.jpg""style=""height:400px;""></img>","1","html-button-response","16","69716","0.0-3.0-19.0","43772","ListA","woman","english","","true","1","","","","","","",""
"null","CORRECT","","html-keyboard-response","17","71225","0.0-3.0-20.0-0.0","43772","ListA","woman","english","","","","null","","","","","",""
"6221","<img src=""portrait/BW1.jpg""style=""height:400px;""></img>","0","html-button-response","18","77448","0.0-3.0-22.0","43772","ListA","woman","english","","true","0","","","","","","",""
"null","CORRECT","","html-keyboard-response","19","78960","0.0-3.0-23.0-0.0","43772","ListA","woman","english","","","","null","","","","","",""
"2685","<p>You got 8 out of 8 right first time. Press Continue.</p>","0","html-button-response","20","81648","0.0-3.0-25.0","43772","ListA","woman","english","","","","","","","","","",""
"11726","<p>In this experiment, you will view photographs of the people from the memory game.</p><p>By using the <strong>exact</strong> phrase given <i>after</i> the photograph appears and recalling the correct names of the people in the photographs, form a sentence describing an interaction. You do not need to capitalise names.</p><p>Type your answer in the space provided. Please complete every sentence before moving onto the next trial.</p><p>You will only have a few seconds to memorise each given photograph and phrase before you can respond, so try your best to focus.</p><p>An example is given below. Press 'Continue' when you are ready.</p><img src='img/speaking_example.jpg' style='width:800px;height:460px;''></img>","0","html-button-response","21","94382","0.0-4.0","43772","ListA","woman","english","","","","","","","","","",""
"2843","<p>Before the experiment starts, you will watch two example trials. Press 'Continue'.</p>","0","html-button-response","22","98232","0.0-5.0","43772","ListA","woman","english","","","","","","","","","",""
