"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","subject","list","ppt_gender","ppt_language","ptptID","url","first_guess","correct","key_press","responses","image","verb","phrase","condition","test_part"
"2789","Welcome to the experiment. Press Continue to begin.","0","html-button-response","0","2792","0.0-0.0","4438","ListB","man","english","SW_E_M_B1","","","","","","","","","",""
"7367","","","external-html","1","11183","0.0-1.0","4438","ListB","man","english","SW_E_M_B1","consent.html","","","","","","","","",""
"1766","<p>On the next page, you will see portraits of 8 people and their names.</p><p>Your first task is to take a few minutes to memorise the names of these people.</p><p>You will have to recall their names during the rest of the experiment, so it is</p><p>essential that you try to memorise these people and their names as best as you can.</p><p><strong>You will then be tested on your memory of these names and portraits.</strong></p><p>The experiment will start after you have completed this memory test.</p><p>Ready?</p>","0","html-button-response","2","12950","0.0-2.0","4438","ListB","man","english","SW_E_M_B1","","","","","","","","","",""
"59506","<img src='img/portrait_matrix_listB.jpg' style='width:900px;height:500px;''></img><p>If you have memorised all the portraits and names and are ready to start, press Continue.</p><p><strong>Please note: Your memory of these faces will be tested 5 times during this experiment.</strong></p>","0","html-button-response","3","73463","0.0-3.0-0.0","4438","ListB","man","english","SW_E_M_B1","","","","","","","","","",""
"2684","<img src=""portrait/WM2.jpg""style=""height:400px;""></img>","7","html-button-response","4","77157","0.0-3.0-1.0","4438","ListB","man","english","SW_E_M_B1","","true","7","","","","","","",""
"null","CORRECT","","html-keyboard-response","5","78670","0.0-3.0-2.0-0.0","4438","ListB","man","english","SW_E_M_B1","","","","null","","","","","",""
"2580","<img src=""portrait/BM1.jpg""style=""height:400px;""></img>","4","html-button-response","6","81251","0.0-3.0-4.0","4438","ListB","man","english","SW_E_M_B1","","true","4","","","","","","",""
"null","CORRECT","","html-keyboard-response","7","82763","0.0-3.0-5.0-0.0","4438","ListB","man","english","SW_E_M_B1","","","","null","","","","","",""
"2600","<img src=""portrait/BW2.jpg""style=""height:400px;""></img>","2","html-button-response","8","85365","0.0-3.0-7.0","4438","ListB","man","english","SW_E_M_B1","","true","2","","","","","","",""
"null","CORRECT","","html-keyboard-response","9","86882","0.0-3.0-8.0-0.0","4438","ListB","man","english","SW_E_M_B1","","","","null","","","","","",""
"3355","<img src=""portrait/BW1.jpg""style=""height:400px;""></img>","0","html-button-response","10","90239","0.0-3.0-10.0","4438","ListB","man","english","SW_E_M_B1","","true","0","","","","","","",""
"null","CORRECT","","html-keyboard-response","11","91758","0.0-3.0-11.0-0.0","4438","ListB","man","english","SW_E_M_B1","","","","null","","","","","",""
"3833","<img src=""portrait/WM1.jpg""style=""height:400px;""></img>","6","html-button-response","12","95593","0.0-3.0-13.0","4438","ListB","man","english","SW_E_M_B1","","true","6","","","","","","",""
"null","CORRECT","","html-keyboard-response","13","97110","0.0-3.0-14.0-0.0","4438","ListB","man","english","SW_E_M_B1","","","","null","","","","","",""
"4389","<img src=""portrait/WW1.jpg""style=""height:400px;""></img>","1","html-button-response","14","101499","0.0-3.0-16.0","4438","ListB","man","english","SW_E_M_B1","","true","1","","","","","","",""
"null","CORRECT","","html-keyboard-response","15","103024","0.0-3.0-17.0-0.0","4438","ListB","man","english","SW_E_M_B1","","","","null","","","","","",""
"3702","<img src=""portrait/WW2.jpg""style=""height:400px;""></img>","3","html-button-response","16","106725","0.0-3.0-19.0","4438","ListB","man","english","SW_E_M_B1","","true","3","","","","","","",""
"null","CORRECT","","html-keyboard-response","17","108249","0.0-3.0-20.0-0.0","4438","ListB","man","english","SW_E_M_B1","","","","null","","","","","",""
"2924","<img src=""portrait/BM2.jpg""style=""height:400px;""></img>","5","html-button-response","18","111176","0.0-3.0-22.0","4438","ListB","man","english","SW_E_M_B1","","true","5","","","","","","",""
"null","CORRECT","","html-keyboard-response","19","112689","0.0-3.0-23.0-0.0","4438","ListB","man","english","SW_E_M_B1","","","","null","","","","","",""
"9503","<p>You got 8 out of 8 right first time. Press Continue.</p>","0","html-button-response","20","122193","0.0-3.0-25.0","4438","ListB","man","english","SW_E_M_B1","","","","","","","","","",""
"2364","<p>In this experiment, you will view photographs of the people from the memory game.</p><p>By using the <strong>exact</strong> phrase given <i>after</i> the photograph appears and recalling the correct names of the people in the photographs, form a sentence describing an interaction. You do not need to capitalise names.</p><p>Type your answer in the space provided. Please complete every sentence before moving onto the next trial.</p><p>You will only have a few seconds to memorise each given photograph and phrase before you can respond, so try your best to focus.</p><p>An example is given below. Press 'Continue' when you are ready.</p><img src='img/speaking_example.jpg' style='width:800px;height:460px;''></img>","0","html-button-response","21","125570","0.0-4.0","4438","ListB","man","english","SW_E_M_B1","","","","","","","","","",""
