"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","subject","list","ppt_gender","ppt_language","ptptID","url","first_guess","correct","key_press","responses","image","verb","phrase","condition","test_part"
"9678","Welcome to the experiment. Press Continue to begin.","0","html-button-response","0","9694","0.0-0.0","5532","ListA","man","chinese","","","","","","","","","","",""
"89766","","","external-html","1","100834","0.0-1.0","5532","ListA","man","chinese","","consent.html","","","","","","","","",""
"1001697","<p>在下一页中，您将看到8个人物肖像和他们各自的名字。</p><p>请花费几分钟的时间记住这些人物及其所对应的名字。</p><p>之后的实验中需要您对人物的名字做出回忆，</p><p>因此在实验开始前请确保您已 经完全记住这些人物及其所对应的名字。</p><p><strong>然后您将完成一个测试以检验您对人物和名字的记忆。</strong></p><p>完成此记忆测试后，您将正式进入实验。</p><p>准备好了吗？</p>","0","html-button-response","2","1130029","0.0-2.0","5532","ListA","man","chinese","","","","","","","","","","",""
"27324","<img src='img/portrait_matrix_listA_chinese.jpg' style='width:900px;height:500px;''></img><p>如果您已经记住了所有的人物和名字，请点击继续。</p><p><strong>请注意：您对先前记忆的面孔将在本实验中被测试5次。</strong></p>","0","html-button-response","3","1158359","0.0-3.0-0.0","5532","ListA","man","chinese","","","","","","","","","","",""
"5444","<img src=""portrait/WW2.jpg""style=""height:400px;""></img>","3","html-button-response","4","1164807","0.0-3.0-1.0","5532","ListA","man","chinese","","","true","3","","","","","","",""
"null","正确","","html-keyboard-response","5","1166318","0.0-3.0-2.0-0.0","5532","ListA","man","chinese","","","","","null","","","","","",""
"4169.999999999767","<img src=""portrait/BW1.jpg""style=""height:400px;""></img>","0","html-button-response","6","1170490","0.0-3.0-4.0","5532","ListA","man","chinese","","","true","0","","","","","","",""
"null","正确","","html-keyboard-response","7","1171994","0.0-3.0-5.0-0.0","5532","ListA","man","chinese","","","","","null","","","","","",""
"6061","<img src=""portrait/BM1.jpg""style=""height:400px;""></img>","4","html-button-response","8","1178057","0.0-3.0-7.0","5532","ListA","man","chinese","","","true","4","","","","","","",""
"null","正确","","html-keyboard-response","9","1179561","0.0-3.0-8.0-0.0","5532","ListA","man","chinese","","","","","null","","","","","",""
"11712","<img src=""portrait/BW2.jpg""style=""height:400px;""></img>","3","html-button-response","10","1191275","0.0-3.0-10.0","5532","ListA","man","chinese","","","true","2","","","","","","",""
"3729","<img src=""portrait/BW2.jpg""style=""height:400px;""></img>","2","html-button-response","11","1196008","0.0-3.0-12.0-0.0","5532","ListA","man","chinese","","","false","2","","","","","","",""
"null","正确","","html-keyboard-response","12","1197512","0.0-3.0-12.0-1.0-0.0","5532","ListA","man","chinese","","","","","null","","","","","",""
"10244","<img src=""portrait/BM2.jpg""style=""height:400px;""></img>","5","html-button-response","13","1207758","0.0-3.0-13.0","5532","ListA","man","chinese","","","true","5","","","","","","",""
"null","正确","","html-keyboard-response","14","1209262","0.0-3.0-14.0-0.0","5532","ListA","man","chinese","","","","","null","","","","","",""
"5243","<img src=""portrait/WM1.jpg""style=""height:400px;""></img>","6","html-button-response","15","1214509","0.0-3.0-16.0","5532","ListA","man","chinese","","","true","6","","","","","","",""
"null","正确","","html-keyboard-response","16","1216013","0.0-3.0-17.0-0.0","5532","ListA","man","chinese","","","","","null","","","","","",""
"4594","<img src=""portrait/WW1.jpg""style=""height:400px;""></img>","1","html-button-response","17","1220609","0.0-3.0-19.0","5532","ListA","man","chinese","","","true","1","","","","","","",""
"null","正确","","html-keyboard-response","18","1222113","0.0-3.0-20.0-0.0","5532","ListA","man","chinese","","","","","null","","","","","",""
"6528","<img src=""portrait/WM2.jpg""style=""height:400px;""></img>","7","html-button-response","19","1228657","0.0-3.0-22.0","5532","ListA","man","chinese","","","true","7","","","","","","",""
"null","正确","","html-keyboard-response","20","1230164","0.0-3.0-23.0-0.0","5532","ListA","man","chinese","","","","","null","","","","","",""
"1508","<p>您第一次在8题里答对了 7 题。 请点击继续</p>","0","html-button-response","21","1231679","0.0-3.0-25.0","5532","ListA","man","chinese","","","","","","","","","","",""
"2447","因为您没有全部答对，记忆游戏将重新开始。请点击继续。","0","html-button-response","22","1235134","0.0-3.0-26.0-0.0","5532","ListA","man","chinese","","","","","","","","","","",""
"2143.000000000233","<img src='img/portrait_matrix_listA_chinese.jpg' style='width:900px;height:500px;''></img><p>如果您已经记住了所有的人物和名字，请点击继续。</p><p><strong>请注意：您对先前记忆的面孔将在本实验中被测试5次。</strong></p>","0","html-button-response","23","1238288","0.0-3.1-0.1","5532","ListA","man","chinese","","","","","","","","","","",""
"5263","<img src=""portrait/WW2.jpg""style=""height:400px;""></img>","3","html-button-response","24","1244560","0.0-3.1-1.1","5532","ListA","man","chinese","","","true","3","","","","","","",""
"null","正确","","html-keyboard-response","25","1246064","0.0-3.1-2.1-0.1","5532","ListA","man","chinese","","","","","null","","","","","",""
"3360","<img src=""portrait/BW1.jpg""style=""height:400px;""></img>","0","html-button-response","26","1249430","0.0-3.1-4.1","5532","ListA","man","chinese","","","true","0","","","","","","",""
"null","正确","","html-keyboard-response","27","1250933","0.0-3.1-5.1-0.1","5532","ListA","man","chinese","","","","","null","","","","","",""
"4495","<img src=""portrait/BM1.jpg""style=""height:400px;""></img>","4","html-button-response","28","1255432","0.0-3.1-7.1","5532","ListA","man","chinese","","","true","4","","","","","","",""
"null","正确","","html-keyboard-response","29","1256937","0.0-3.1-8.1-0.1","5532","ListA","man","chinese","","","","","null","","","","","",""
"3493","<img src=""portrait/BW2.jpg""style=""height:400px;""></img>","2","html-button-response","30","1260434","0.0-3.1-10.1","5532","ListA","man","chinese","","","true","2","","","","","","",""
"null","正确","","html-keyboard-response","31","1261938","0.0-3.1-11.1-0.1","5532","ListA","man","chinese","","","","","null","","","","","",""
"3528","<img src=""portrait/BM2.jpg""style=""height:400px;""></img>","5","html-button-response","32","1265469","0.0-3.1-13.1","5532","ListA","man","chinese","","","true","5","","","","","","",""
"null","正确","","html-keyboard-response","33","1266972","0.0-3.1-14.1-0.1","5532","ListA","man","chinese","","","","","null","","","","","",""
"12095","<img src=""portrait/WM1.jpg""style=""height:400px;""></img>","6","html-button-response","34","1279072","0.0-3.1-16.1","5532","ListA","man","chinese","","","true","6","","","","","","",""
"null","正确","","html-keyboard-response","35","1280576","0.0-3.1-17.1-0.1","5532","ListA","man","chinese","","","","","null","","","","","",""
"4110","<img src=""portrait/WW1.jpg""style=""height:400px;""></img>","1","html-button-response","36","1284688","0.0-3.1-19.1","5532","ListA","man","chinese","","","true","1","","","","","","",""
"null","正确","","html-keyboard-response","37","1286192","0.0-3.1-20.1-0.1","5532","ListA","man","chinese","","","","","null","","","","","",""
"5862","<img src=""portrait/WM2.jpg""style=""height:400px;""></img>","7","html-button-response","38","1292056","0.0-3.1-22.1","5532","ListA","man","chinese","","","true","7","","","","","","",""
"null","正确","","html-keyboard-response","39","1293560","0.0-3.1-23.1-0.1","5532","ListA","man","chinese","","","","","null","","","","","",""
"1244","<p>您第一次在8题里答对了 8 题。 请点击继续</p>","0","html-button-response","40","1294806","0.0-3.1-25.1","5532","ListA","man","chinese","","","","","","","","","","",""
