"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","subject","list","ppt_gender","ppt_language","ptptID","url","first_guess","correct","key_press","responses","image","verb","phrase","condition","test_part"
"1573.199999988079","Welcome to the experiment. Press Continue to begin.","0","html-button-response","0","1574","0.0-0.0","62877","ListA","man","english","SW_E_M_A1","","","","","","","","","",""
"1192735.6000000238","","","external-html","1","1195559","0.0-1.0","62877","ListA","man","english","SW_E_M_A1","consent.html","","","","","","","","",""
"28077.20000001788","<p>On the next page, you will see portraits of 8 people and their names.</p><p>Your first task is to take a few minutes to memorise the names of these people.</p><p>You will have to recall their names during the rest of the experiment, so it is</p><p>essential that you try to memorise these people and their names as best as you can.</p><p><strong>You will then be tested on your memory of these names and portraits.</strong></p><p>The experiment will start after you have completed this memory test.</p><p>Ready?</p>","0","html-button-response","2","1223639","0.0-2.0","62877","ListA","man","english","SW_E_M_A1","","","","","","","","","",""
"14903.199999988079","<img src='img/portrait_matrix_listA.jpg' style='width:900px;height:500px;''></img><p>If you have memorised all the portraits and names and are ready to start, press Continue.</p><p><strong>Please note: Your memory of these faces will be tested 5 times during this experiment.</strong></p>","0","html-button-response","3","1239550","0.0-3.0-0.0","62877","ListA","man","english","SW_E_M_A1","","","","","","","","","",""
"16749.80000001192","<img src=""portrait/BW1.jpg""style=""height:400px;""></img>","0","html-button-response","4","1257303","0.0-3.0-1.0","62877","ListA","man","english","SW_E_M_A1","","true","0","","","","","","",""
"null","CORRECT","","html-keyboard-response","5","1258809","0.0-3.0-2.0-0.0","62877","ListA","man","english","SW_E_M_A1","","","","null","","","","","",""
"8252.699999988079","<img src=""portrait/BM2.jpg""style=""height:400px;""></img>","5","html-button-response","6","1267062","0.0-3.0-4.0","62877","ListA","man","english","SW_E_M_A1","","true","5","","","","","","",""
"null","CORRECT","","html-keyboard-response","7","1268574","0.0-3.0-5.0-0.0","62877","ListA","man","english","SW_E_M_A1","","","","null","","","","","",""
"3773.9000000059605","<img src=""portrait/WM1.jpg""style=""height:400px;""></img>","6","html-button-response","8","1272351","0.0-3.0-7.0","62877","ListA","man","english","SW_E_M_A1","","true","6","","","","","","",""
"null","CORRECT","","html-keyboard-response","9","1273870","0.0-3.0-8.0-0.0","62877","ListA","man","english","SW_E_M_A1","","","","null","","","","","",""
"7646.300000011921","<img src=""portrait/WW2.jpg""style=""height:400px;""></img>","3","html-button-response","10","1281519","0.0-3.0-10.0","62877","ListA","man","english","SW_E_M_A1","","true","3","","","","","","",""
"null","CORRECT","","html-keyboard-response","11","1283037","0.0-3.0-11.0-0.0","62877","ListA","man","english","SW_E_M_A1","","","","null","","","","","",""
"5166.199999988079","<img src=""portrait/WM2.jpg""style=""height:400px;""></img>","7","html-button-response","12","1288206","0.0-3.0-13.0","62877","ListA","man","english","SW_E_M_A1","","true","7","","","","","","",""
"null","CORRECT","","html-keyboard-response","13","1289732","0.0-3.0-14.0-0.0","62877","ListA","man","english","SW_E_M_A1","","","","null","","","","","",""
"8255.59999999404","<img src=""portrait/WW1.jpg""style=""height:400px;""></img>","1","html-button-response","14","1297989","0.0-3.0-16.0","62877","ListA","man","english","SW_E_M_A1","","true","1","","","","","","",""
