"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","subject","list","ppt_gender","ppt_language","ptptID","url","first_guess","correct","key_press","responses","image","verb","phrase","condition","test_part"
"9270.799999982119","Welcome to the experiment. Press Continue to begin.","0","html-button-response","0","9273","0.0-0.0","65703","ListA","woman","chinese","SW_C_F_A6","","","","","","","","","",""
"24910.40000000596","","","external-html","1","35357","0.0-1.0","65703","ListA","woman","chinese","SW_C_F_A6","consent.html","","","","","","","","",""
"13580.300000011921","<p>在下一页中，您将看到8个人物肖像和他们各自的名字。</p><p>请花费几分钟的时间记住这些人物及其所对应的名字。</p><p>之后的实验中需要您对人物的名字做出回忆，</p><p>因此在实验开始前请确保您已 经完全记住这些人物及其所对应的名字。</p><p><strong>然后您将完成一个测试以检验您对人物和名字的记忆。</strong></p><p>完成此记忆测试后，您将正式进入实验。</p><p>准备好了吗？</p>","0","html-button-response","2","48938","0.0-2.0","65703","ListA","woman","chinese","SW_C_F_A6","","","","","","","","","",""
"84393.10000002384","<img src='img/portrait_matrix_listA_chinese.jpg' style='width:900px;height:500px;''></img><p>如果您已经记住了所有的人物和名字，请点击继续。</p><p><strong>请注意：您对先前记忆的面孔将在本实验中被测试5次。</strong></p>","0","html-button-response","3","134340","0.0-3.0-0.0","65703","ListA","woman","chinese","SW_C_F_A6","","","","","","","","","",""
"3438.5","<img src=""portrait/BM2.jpg""style=""height:400px;""></img>","5","html-button-response","4","138788","0.0-3.0-1.0","65703","ListA","woman","chinese","SW_C_F_A6","","true","5","","","","","","",""
"null","正确","","html-keyboard-response","5","140297","0.0-3.0-2.0-0.0","65703","ListA","woman","chinese","SW_C_F_A6","","","","null","","","","","",""
"3537.399999976158","<img src=""portrait/WM2.jpg""style=""height:400px;""></img>","7","html-button-response","6","143838","0.0-3.0-4.0","65703","ListA","woman","chinese","SW_C_F_A6","","true","7","","","","","","",""
"null","正确","","html-keyboard-response","7","145362","0.0-3.0-5.0-0.0","65703","ListA","woman","chinese","SW_C_F_A6","","","","null","","","","","",""
"3690.2000000178814","<img src=""portrait/WM1.jpg""style=""height:400px;""></img>","6","html-button-response","8","149055","0.0-3.0-7.0","65703","ListA","woman","chinese","SW_C_F_A6","","true","6","","","","","","",""
"null","正确","","html-keyboard-response","9","150570","0.0-3.0-8.0-0.0","65703","ListA","woman","chinese","SW_C_F_A6","","","","null","","","","","",""
"2298.699999988079","<img src=""portrait/BW2.jpg""style=""height:400px;""></img>","2","html-button-response","10","152871","0.0-3.0-10.0","65703","ListA","woman","chinese","SW_C_F_A6","","true","2","","","","","","",""
"null","正确","","html-keyboard-response","11","154393","0.0-3.0-11.0-0.0","65703","ListA","woman","chinese","SW_C_F_A6","","","","null","","","","","",""
"1893.5999999940395","<img src=""portrait/BM1.jpg""style=""height:400px;""></img>","4","html-button-response","12","156288","0.0-3.0-13.0","65703","ListA","woman","chinese","SW_C_F_A6","","true","4","","","","","","",""
"null","正确","","html-keyboard-response","13","157802","0.0-3.0-14.0-0.0","65703","ListA","woman","chinese","SW_C_F_A6","","","","null","","","","","",""
"2383.4000000059605","<img src=""portrait/WW1.jpg""style=""height:400px;""></img>","1","html-button-response","14","160188","0.0-3.0-16.0","65703","ListA","woman","chinese","SW_C_F_A6","","true","1","","","","","","",""
"null","正确","","html-keyboard-response","15","161709","0.0-3.0-17.0-0.0","65703","ListA","woman","chinese","SW_C_F_A6","","","","null","","","","","",""
"5242.5","<img src=""portrait/BW1.jpg""style=""height:400px;""></img>","0","html-button-response","16","166954","0.0-3.0-19.0","65703","ListA","woman","chinese","SW_C_F_A6","","true","0","","","","","","",""
