"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","subject","list","ppt_gender","ppt_language","url","first_guess","correct","key_press","responses","image","verb","phrase","condition","test_part"
"1028.800000011921","Welcome to the experiment. Press Continue to begin.","0","html-button-response","0","1031","0.0-0.0","76693","ListB","woman","english","","","","","","","","","",""
"245708.90000000596","","","external-html","1","247781","0.0-1.0","76693","ListB","woman","english","consent.html","","","","","","","","",""
"27781.29999998212","<p>On the next page, you will see portraits of 8 people and their names.</p><p>Your first task is to take a few minutes to memorise the names of these people.</p><p>You will have to recall their names during the rest of the experiment, so it is</p><p>essential that you try to memorise these people and their names as best as you can.</p><p><strong>You will then be tested on your memory of these names and portraits.</strong></p><p>The experiment will start after you have completed this memory test.</p><p>Ready?</p>","0","html-button-response","2","275563","0.0-2.0","76693","ListB","woman","english","","","","","","","","","",""
"356967","<img src='img/portrait_matrix_listB.jpg' style='width:900px;height:500px;''></img><p>If you have memorised all the portraits and names and are ready to start, press Continue.</p><p><strong>Please note: Your memory of these faces will be tested 5 times during this experiment.</strong></p>","0","html-button-response","3","633528","0.0-3.0-0.0","76693","ListB","woman","english","","","","","","","","","",""
"8524.59999999404","<img src=""portrait/WW1.jpg""style=""height:400px;""></img>","1","html-button-response","4","643062","0.0-3.0-1.0","76693","ListB","woman","english","","true","1","","","","","","",""
"null","CORRECT","","html-keyboard-response","5","644581","0.0-3.0-2.0-0.0","76693","ListB","woman","english","","","","null","","","","","",""
"12929.40000000596","<img src=""portrait/BM1.jpg""style=""height:400px;""></img>","4","html-button-response","6","657512","0.0-3.0-4.0","76693","ListB","woman","english","","true","4","","","","","","",""
"null","CORRECT","","html-keyboard-response","7","659023","0.0-3.0-5.0-0.0","76693","ListB","woman","english","","","","null","","","","","",""
"2870.800000011921","<img src=""portrait/BM2.jpg""style=""height:400px;""></img>","5","html-button-response","8","661895","0.0-3.0-7.0","76693","ListB","woman","english","","true","5","","","","","","",""
"null","CORRECT","","html-keyboard-response","9","663411","0.0-3.0-8.0-0.0","76693","ListB","woman","english","","","","null","","","","","",""
"3049.5999999940395","<img src=""portrait/WM2.jpg""style=""height:400px;""></img>","7","html-button-response","10","666462","0.0-3.0-10.0","76693","ListB","woman","english","","true","7","","","","","","",""
"null","CORRECT","","html-keyboard-response","11","667980","0.0-3.0-11.0-0.0","76693","ListB","woman","english","","","","null","","","","","",""
"2780.5999999940395","<img src=""portrait/WW2.jpg""style=""height:400px;""></img>","3","html-button-response","12","670762","0.0-3.0-13.0","76693","ListB","woman","english","","true","3","","","","","","",""
