"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","subject","list","ppt_gender","ppt_language","ptptID","url","first_guess","correct","key_press","responses","image","verb","phrase","condition","test_part"
"1543.399999999965","Welcome to the experiment. Press Continue to begin.","0","html-button-response","0","1545","0.0-0.0","96692","ListB","man","chinese","CMB7","","","","","","","","","",""
"6436","","","external-html","1","9005","0.0-1.0","96692","ListB","man","chinese","CMB7","consent.html","","","","","","","","",""
"10148.200000000012","<p>在下一页中，您将看到8个人物肖像和他们各自的名字。</p><p>请花费几分钟的时间记住这些人物及其所对应的名字。</p><p>之后的实验中需要您对人物的名字做出回忆，</p><p>因此在实验开始前请确保您已 经完全记住这些人物及其所对应的名字。</p><p><strong>然后您将完成一个测试以检验您对人物和名字的记忆。</strong></p><p>完成此记忆测试后，您将正式进入实验。</p><p>准备好了吗？</p>","0","html-button-response","2","19154","0.0-2.0","96692","ListB","man","chinese","CMB7","","","","","","","","","",""
"16947.5","<img src='img/portrait_matrix_listB_chinese.jpg' style='width:900px;height:500px;''></img><p>如果您已经记住了所有的人物和名字，请点击继续。</p><p><strong>请注意：您对先前记忆的面孔将在本实验中被测试5次。</strong></p>","0","html-button-response","3","37111","0.0-3.0-0.0","96692","ListB","man","chinese","CMB7","","","","","","","","","",""
"2565.2999999999884","<img src=""portrait/WM1.jpg""style=""height:400px;""></img>","4","html-button-response","4","40679","0.0-3.0-1.0","96692","ListB","man","chinese","CMB7","","true","6","","","","","","",""
"4108.199999999953","<img src=""portrait/WM1.jpg""style=""height:400px;""></img>","6","html-button-response","5","45789","0.0-3.0-3.0-0.0","96692","ListB","man","chinese","CMB7","","false","6","","","","","","",""
"null","正确","","html-keyboard-response","6","47291","0.0-3.0-3.0-1.0-0.0","96692","ListB","man","chinese","CMB7","","","","null","","","","","",""
"2473.6999999999534","<img src=""portrait/WW2.jpg""style=""height:400px;""></img>","3","html-button-response","7","49765","0.0-3.0-4.0","96692","ListB","man","chinese","CMB7","","true","3","","","","","","",""
"null","正确","","html-keyboard-response","8","51267","0.0-3.0-5.0-0.0","96692","ListB","man","chinese","CMB7","","","","null","","","","","",""
"1621.5","<img src=""portrait/BM1.jpg""style=""height:400px;""></img>","4","html-button-response","9","52889","0.0-3.0-7.0","96692","ListB","man","chinese","CMB7","","true","4","","","","","","",""
"null","正确","","html-keyboard-response","10","54398","0.0-3.0-8.0-0.0","96692","ListB","man","chinese","CMB7","","","","null","","","","","",""
"4317","<img src=""portrait/BM2.jpg""style=""height:400px;""></img>","5","html-button-response","11","58717","0.0-3.0-10.0","96692","ListB","man","chinese","CMB7","","true","5","","","","","","",""
"null","正确","","html-keyboard-response","12","60237","0.0-3.0-11.0-0.0","96692","ListB","man","chinese","CMB7","","","","null","","","","","",""
"3460.0999999999767","<img src=""portrait/BW1.jpg""style=""height:400px;""></img>","2","html-button-response","13","63698","0.0-3.0-13.0","96692","ListB","man","chinese","CMB7","","true","0","","","","","","",""
"3363.29999999993","<img src=""portrait/BW1.jpg""style=""height:400px;""></img>","0","html-button-response","14","68068","0.0-3.0-15.0-0.0","96692","ListB","man","chinese","CMB7","","false","0","","","","","","",""
"null","正确","","html-keyboard-response","15","69569","0.0-3.0-15.0-1.0-0.0","96692","ListB","man","chinese","CMB7","","","","null","","","","","",""
"2967.8000000000466","<img src=""portrait/WW1.jpg""style=""height:400px;""></img>","2","html-button-response","16","72538","0.0-3.0-16.0","96692","ListB","man","chinese","CMB7","","true","1","","","","","","",""
"2230.20000000007","<img src=""portrait/WW1.jpg""style=""height:400px;""></img>","1","html-button-response","17","75769","0.0-3.0-18.0-0.0","96692","ListB","man","chinese","CMB7","","false","1","","","","","","",""
