"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","subject","list","ppt_gender","ppt_language","ptptID","url","first_guess","correct","key_press","responses","image","verb","phrase","condition","test_part"
"2778.5","Welcome to the experiment. Press Continue to begin.","0","html-button-response","0","2781","0.0-0.0","14581","ListA","man","english","EMA6","","","","","","","","","",""
"64485.39999997616","","","external-html","1","68323","0.0-1.0","14581","ListA","man","english","EMA6","consent.html","","","","","","","","",""
"32324.5","<p>On the next page, you will see portraits of 8 people and their names.</p><p>Your first task is to take a few minutes to memorise the names of these people.</p><p>You will have to recall their names during the rest of the experiment, so it is</p><p>essential that you try to memorise these people and their names as best as you can.</p><p><strong>You will then be tested on your memory of these names and portraits.</strong></p><p>The experiment will start after you have completed this memory test.</p><p>Ready?</p>","0","html-button-response","2","100649","0.0-2.0","14581","ListA","man","english","EMA6","","","","","","","","","",""
"236978.59999996424","<img src='img/portrait_matrix_listA.jpg' style='width:900px;height:500px;''></img><p>If you have memorised all the portraits and names and are ready to start, press Continue.</p><p><strong>Please note: Your memory of these faces will be tested 5 times during this experiment.</strong></p>","0","html-button-response","3","338635","0.0-3.0-0.0","14581","ListA","man","english","EMA6","","","","","","","","","",""
"11275.399999976158","<img src=""portrait/BW1.jpg""style=""height:400px;""></img>","0","html-button-response","4","350913","0.0-3.0-1.0","14581","ListA","man","english","EMA6","","true","0","","","","","","",""
"null","CORRECT","","html-keyboard-response","5","352425","0.0-3.0-2.0-0.0","14581","ListA","man","english","EMA6","","","","null","","","","","",""
"3161.399999976158","<img src=""portrait/BM2.jpg""style=""height:400px;""></img>","5","html-button-response","6","355587","0.0-3.0-4.0","14581","ListA","man","english","EMA6","","true","5","","","","","","",""
"null","CORRECT","","html-keyboard-response","7","357092","0.0-3.0-5.0-0.0","14581","ListA","man","english","EMA6","","","","null","","","","","",""
"2599","<img src=""portrait/WM2.jpg""style=""height:400px;""></img>","7","html-button-response","8","359692","0.0-3.0-7.0","14581","ListA","man","english","EMA6","","true","7","","","","","","",""
"null","CORRECT","","html-keyboard-response","9","361208","0.0-3.0-8.0-0.0","14581","ListA","man","english","EMA6","","","","null","","","","","",""
"3270.7000000476837","<img src=""portrait/WM1.jpg""style=""height:400px;""></img>","6","html-button-response","10","364480","0.0-3.0-10.0","14581","ListA","man","english","EMA6","","true","6","","","","","","",""
"null","CORRECT","","html-keyboard-response","11","365984","0.0-3.0-11.0-0.0","14581","ListA","man","english","EMA6","","","","null","","","","","",""
"3267.599999964237","<img src=""portrait/BM1.jpg""style=""height:400px;""></img>","4","html-button-response","12","369253","0.0-3.0-13.0","14581","ListA","man","english","EMA6","","true","4","","","","","","",""
"null","CORRECT","","html-keyboard-response","13","370766","0.0-3.0-14.0-0.0","14581","ListA","man","english","EMA6","","","","null","","","","","",""
"3917.900000035763","<img src=""portrait/BW2.jpg""style=""height:400px;""></img>","2","html-button-response","14","374685","0.0-3.0-16.0","14581","ListA","man","english","EMA6","","true","2","","","","","","",""
"null","CORRECT","","html-keyboard-response","15","376196","0.0-3.0-17.0-0.0","14581","ListA","man","english","EMA6","","","","null","","","","","",""
"5222.600000023842","<img src=""portrait/WW1.jpg""style=""height:400px;""></img>","1","html-button-response","16","381419","0.0-3.0-19.0","14581","ListA","man","english","EMA6","","true","1","","","","","","",""
"null","CORRECT","","html-keyboard-response","17","382937","0.0-3.0-20.0-0.0","14581","ListA","man","english","EMA6","","","","null","","","","","",""
"3620.199999988079","<img src=""portrait/WW2.jpg""style=""height:400px;""></img>","3","html-button-response","18","386558","0.0-3.0-22.0","14581","ListA","man","english","EMA6","","true","3","","","","","","",""
"null","CORRECT","","html-keyboard-response","19","388069","0.0-3.0-23.0-0.0","14581","ListA","man","english","EMA6","","","","null","","","","","",""
