"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","subject","list","ppt_gender","ppt_language","ptptID","url","first_guess","correct","key_press","responses","image","verb","phrase","condition","test_part"
"13328","Welcome to the experiment. Press Continue to begin.","0","html-button-response","0","13330","0.0-0.0","44148","ListB","man","chinese","CMB3","","","","","","","","","",""
"37555.20000000001","","","external-html","1","52368","0.0-1.0","44148","ListB","man","chinese","CMB3","consent.html","","","","","","","","",""
"15166.199999999983","<p>在下一页中，您将看到8个人物肖像和他们各自的名字。</p><p>请花费几分钟的时间记住这些人物及其所对应的名字。</p><p>之后的实验中需要您对人物的名字做出回忆，</p><p>因此在实验开始前请确保您已 经完全记住这些人物及其所对应的名字。</p><p><strong>然后您将完成一个测试以检验您对人物和名字的记忆。</strong></p><p>完成此记忆测试后，您将正式进入实验。</p><p>准备好了吗？</p>","0","html-button-response","2","67536","0.0-2.0","44148","ListB","man","chinese","CMB3","","","","","","","","","",""
"184999.80000000002","<img src='img/portrait_matrix_listB_chinese.jpg' style='width:900px;height:500px;''></img><p>如果您已经记住了所有的人物和名字，请点击继续。</p><p><strong>请注意：您对先前记忆的面孔将在本实验中被测试5次。</strong></p>","0","html-button-response","3","253542","0.0-3.0-0.0","44148","ListB","man","chinese","CMB3","","","","","","","","","",""
"3365.6999999999534","<img src=""portrait/WM1.jpg""style=""height:400px;""></img>","6","html-button-response","4","257921","0.0-3.0-1.0","44148","ListB","man","chinese","CMB3","","true","6","","","","","","",""
"null","正确","","html-keyboard-response","5","259430","0.0-3.0-2.0-0.0","44148","ListB","man","chinese","CMB3","","","","null","","","","","",""
"4310.400000000023","<img src=""portrait/BW1.jpg""style=""height:400px;""></img>","0","html-button-response","6","263741","0.0-3.0-4.0","44148","ListB","man","chinese","CMB3","","true","0","","","","","","",""
"null","正确","","html-keyboard-response","7","265254","0.0-3.0-5.0-0.0","44148","ListB","man","chinese","CMB3","","","","null","","","","","",""
"2223.8000000000466","<img src=""portrait/WW2.jpg""style=""height:400px;""></img>","3","html-button-response","8","267479","0.0-3.0-7.0","44148","ListB","man","chinese","CMB3","","true","3","","","","","","",""
"null","正确","","html-keyboard-response","9","268991","0.0-3.0-8.0-0.0","44148","ListB","man","chinese","CMB3","","","","null","","","","","",""
"15078.900000000023","<img src=""portrait/WW1.jpg""style=""height:400px;""></img>","3","html-button-response","10","284070","0.0-3.0-10.0","44148","ListB","man","chinese","CMB3","","true","1","","","","","","",""
"3497.5999999999767","<img src=""portrait/WW1.jpg""style=""height:400px;""></img>","1","html-button-response","11","288572","0.0-3.0-12.0-0.0","44148","ListB","man","chinese","CMB3","","false","1","","","","","","",""
"null","正确","","html-keyboard-response","12","290079","0.0-3.0-12.0-1.0-0.0","44148","ListB","man","chinese","CMB3","","","","null","","","","","",""
"2210.5999999999767","<img src=""portrait/BW2.jpg""style=""height:400px;""></img>","2","html-button-response","13","292291","0.0-3.0-13.0","44148","ListB","man","chinese","CMB3","","true","2","","","","","","",""
"null","正确","","html-keyboard-response","14","293800","0.0-3.0-14.0-0.0","44148","ListB","man","chinese","CMB3","","","","null","","","","","",""
"2466.1999999999534","<img src=""portrait/BM2.jpg""style=""height:400px;""></img>","5","html-button-response","15","296267","0.0-3.0-16.0","44148","ListB","man","chinese","CMB3","","true","5","","","","","","",""
"null","正确","","html-keyboard-response","16","297771","0.0-3.0-17.0-0.0","44148","ListB","man","chinese","CMB3","","","","null","","","","","",""
"7633.400000000023","<img src=""portrait/WM2.jpg""style=""height:400px;""></img>","7","html-button-response","17","305405","0.0-3.0-19.0","44148","ListB","man","chinese","CMB3","","true","7","","","","","","",""
"null","正确","","html-keyboard-response","18","306930","0.0-3.0-20.0-0.0","44148","ListB","man","chinese","CMB3","","","","null","","","","","",""
"3509.5","<img src=""portrait/BM1.jpg""style=""height:400px;""></img>","4","html-button-response","19","310441","0.0-3.0-22.0","44148","ListB","man","chinese","CMB3","","true","4","","","","","","",""
"null","正确","","html-keyboard-response","20","311952","0.0-3.0-23.0-0.0","44148","ListB","man","chinese","CMB3","","","","null","","","","","",""
"1248.9000000000233","<p>您第一次在8题里答对了 7 题。 请点击继续</p>","0","html-button-response","21","313201","0.0-3.0-25.0","44148","ListB","man","chinese","CMB3","","","","","","","","","",""
"1592.3000000000466","因为您没有全部答对，记忆游戏将重新开始。请点击继续。","0","html-button-response","22","315797","0.0-3.0-26.0-0.0","44148","ListB","man","chinese","CMB3","","","","","","","","","",""
"3122.5","<img src='img/portrait_matrix_listB_chinese.jpg' style='width:900px;height:500px;''></img><p>如果您已经记住了所有的人物和名字，请点击继续。</p><p><strong>请注意：您对先前记忆的面孔将在本实验中被测试5次。</strong></p>","0","html-button-response","23","319930","0.0-3.1-0.1","44148","ListB","man","chinese","CMB3","","","","","","","","","",""
"4188","<img src=""portrait/WM1.jpg""style=""height:400px;""></img>","7","html-button-response","24","325126","0.0-3.1-1.1","44148","ListB","man","chinese","CMB3","","true","6","","","","","","",""
"3148.4000000000233","<img src=""portrait/WM1.jpg""style=""height:400px;""></img>","6","html-button-response","25","329283","0.0-3.1-3.1-0.1","44148","ListB","man","chinese","CMB3","","false","6","","","","","","",""
"null","正确","","html-keyboard-response","26","330788","0.0-3.1-3.1-1.1-0.1","44148","ListB","man","chinese","CMB3","","","","null","","","","","",""
"8417.900000000023","<img src=""portrait/BW1.jpg""style=""height:400px;""></img>","0","html-button-response","27","339207","0.0-3.1-4.1","44148","ListB","man","chinese","CMB3","","true","0","","","","","","",""
"null","正确","","html-keyboard-response","28","340716","0.0-3.1-5.1-0.1","44148","ListB","man","chinese","CMB3","","","","null","","","","","",""
"1682.6999999999534","<img src=""portrait/WW2.jpg""style=""height:400px;""></img>","3","html-button-response","29","342399","0.0-3.1-7.1","44148","ListB","man","chinese","CMB3","","true","3","","","","","","",""
"null","正确","","html-keyboard-response","30","343903","0.0-3.1-8.1-0.1","44148","ListB","man","chinese","CMB3","","","","null","","","","","",""
"5057.900000000023","<img src=""portrait/WW1.jpg""style=""height:400px;""></img>","1","html-button-response","31","348961","0.0-3.1-10.1","44148","ListB","man","chinese","CMB3","","true","1","","","","","","",""
"null","正确","","html-keyboard-response","32","350476","0.0-3.1-11.1-0.1","44148","ListB","man","chinese","CMB3","","","","null","","","","","",""
"2424.5","<img src=""portrait/BW2.jpg""style=""height:400px;""></img>","2","html-button-response","33","352901","0.0-3.1-13.1","44148","ListB","man","chinese","CMB3","","true","2","","","","","","",""
"null","正确","","html-keyboard-response","34","354414","0.0-3.1-14.1-0.1","44148","ListB","man","chinese","CMB3","","","","null","","","","","",""
"3540.1999999999534","<img src=""portrait/BM2.jpg""style=""height:400px;""></img>","5","html-button-response","35","357955","0.0-3.1-16.1","44148","ListB","man","chinese","CMB3","","true","5","","","","","","",""
"null","正确","","html-keyboard-response","36","359468","0.0-3.1-17.1-0.1","44148","ListB","man","chinese","CMB3","","","","null","","","","","",""
"1366.4000000000233","<img src=""portrait/WM2.jpg""style=""height:400px;""></img>","7","html-button-response","37","360836","0.0-3.1-19.1","44148","ListB","man","chinese","CMB3","","true","7","","","","","","",""
"null","正确","","html-keyboard-response","38","362356","0.0-3.1-20.1-0.1","44148","ListB","man","chinese","CMB3","","","","null","","","","","",""
"14509.599999999977","<img src=""portrait/BM1.jpg""style=""height:400px;""></img>","4","html-button-response","39","376866","0.0-3.1-22.1","44148","ListB","man","chinese","CMB3","","true","4","","","","","","",""
"null","正确","","html-keyboard-response","40","378372","0.0-3.1-23.1-0.1","44148","ListB","man","chinese","CMB3","","","","null","","","","","",""
"991","<p>您第一次在8题里答对了 7 题。 请点击继续</p>","0","html-button-response","41","379364","0.0-3.1-25.1","44148","ListB","man","chinese","CMB3","","","","","","","","","",""
"832.9000000000233","因为您没有全部答对，记忆游戏将重新开始。请点击继续。","0","html-button-response","42","381208","0.0-3.1-26.1-0.1","44148","ListB","man","chinese","CMB3","","","","","","","","","",""
"5698","<img src='img/portrait_matrix_listB_chinese.jpg' style='width:900px;height:500px;''></img><p>如果您已经记住了所有的人物和名字，请点击继续。</p><p><strong>请注意：您对先前记忆的面孔将在本实验中被测试5次。</strong></p>","0","html-button-response","43","387909","0.0-3.2-0.2","44148","ListB","man","chinese","CMB3","","","","","","","","","",""
"4842.400000000023","<img src=""portrait/WM1.jpg""style=""height:400px;""></img>","6","html-button-response","44","393760","0.0-3.2-1.2","44148","ListB","man","chinese","CMB3","","true","6","","","","","","",""
"null","正确","","html-keyboard-response","45","395273","0.0-3.2-2.2-0.2","44148","ListB","man","chinese","CMB3","","","","null","","","","","",""
"5905.29999999993","<img src=""portrait/BW1.jpg""style=""height:400px;""></img>","0","html-button-response","46","401179","0.0-3.2-4.2","44148","ListB","man","chinese","CMB3","","true","0","","","","","","",""
"null","正确","","html-keyboard-response","47","402691","0.0-3.2-5.2-0.2","44148","ListB","man","chinese","CMB3","","","","null","","","","","",""
