"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","subject","list","ppt_gender","ppt_language","ptptID","url","first_guess","correct","key_press","responses","image","verb","phrase","condition","test_part"
"44728.40000009537","Welcome to the experiment. Press Continue to begin.","0","html-button-response","0","44730","0.0-0.0","661","ListB","man","english","EMB5","","","","","","","","","",""
"54811.40000009537","","","external-html","1","101213","0.0-1.0","661","ListB","man","english","EMB5","consent.html","","","","","","","","",""
"45269.800000190735","<p>On the next page, you will see portraits of 8 people and their names.</p><p>Your first task is to take a few minutes to memorise the names of these people.</p><p>You will have to recall their names during the rest of the experiment, so it is</p><p>essential that you try to memorise these people and their names as best as you can.</p><p><strong>You will then be tested on your memory of these names and portraits.</strong></p><p>The experiment will start after you have completed this memory test.</p><p>Ready?</p>","0","html-button-response","2","146483","0.0-2.0","661","ListB","man","english","EMB5","","","","","","","","","",""
"22085.200000286102","<img src='img/portrait_matrix_listB.jpg' style='width:900px;height:500px;''></img><p>If you have memorised all the portraits and names and are ready to start, press Continue.</p><p><strong>Please note: Your memory of these faces will be tested 5 times during this experiment.</strong></p>","0","html-button-response","3","169569","0.0-3.0-0.0","661","ListB","man","english","EMB5","","","","","","","","","",""
"6143.800000190735","<img src=""portrait/BW2.jpg""style=""height:400px;""></img>","2","html-button-response","4","176714","0.0-3.0-1.0","661","ListB","man","english","EMB5","","true","2","","","","","","",""
"null","CORRECT","","html-keyboard-response","5","178233","0.0-3.0-2.0-0.0","661","ListB","man","english","EMB5","","","","null","","","","","",""
"12988.200000286102","<img src=""portrait/BM2.jpg""style=""height:400px;""></img>","4","html-button-response","6","191222","0.0-3.0-4.0","661","ListB","man","english","EMB5","","true","5","","","","","","",""
"5291.299999713898","<img src=""portrait/BM2.jpg""style=""height:400px;""></img>","5","html-button-response","7","197525","0.0-3.0-6.0-0.0","661","ListB","man","english","EMB5","","false","5","","","","","","",""
"null","CORRECT","","html-keyboard-response","8","199026","0.0-3.0-6.0-1.0-0.0","661","ListB","man","english","EMB5","","","","null","","","","","",""
"4545","<img src=""portrait/WM2.jpg""style=""height:400px;""></img>","7","html-button-response","9","203572","0.0-3.0-7.0","661","ListB","man","english","EMB5","","true","7","","","","","","",""
"null","CORRECT","","html-keyboard-response","10","205093","0.0-3.0-8.0-0.0","661","ListB","man","english","EMB5","","","","null","","","","","",""
"4510.400000095367","<img src=""portrait/BW1.jpg""style=""height:400px;""></img>","2","html-button-response","11","209605","0.0-3.0-10.0","661","ListB","man","english","EMB5","","true","0","","","","","","",""
"2069.5999999046326","<img src=""portrait/BW1.jpg""style=""height:400px;""></img>","0","html-button-response","12","212683","0.0-3.0-12.0-0.0","661","ListB","man","english","EMB5","","false","0","","","","","","",""
"null","CORRECT","","html-keyboard-response","13","214189","0.0-3.0-12.0-1.0-0.0","661","ListB","man","english","EMB5","","","","null","","","","","",""
"3665.800000190735","<img src=""portrait/WW1.jpg""style=""height:400px;""></img>","1","html-button-response","14","217856","0.0-3.0-13.0","661","ListB","man","english","EMB5","","true","1","","","","","","",""
"null","CORRECT","","html-keyboard-response","15","219377","0.0-3.0-14.0-0.0","661","ListB","man","english","EMB5","","","","null","","","","","",""
"4916.5","<img src=""portrait/BM1.jpg""style=""height:400px;""></img>","4","html-button-response","16","224294","0.0-3.0-16.0","661","ListB","man","english","EMB5","","true","4","","","","","","",""
"null","CORRECT","","html-keyboard-response","17","225810","0.0-3.0-17.0-0.0","661","ListB","man","english","EMB5","","","","null","","","","","",""
"9477.099999904633","<img src=""portrait/WM1.jpg""style=""height:400px;""></img>","6","html-button-response","18","235288","0.0-3.0-19.0","661","ListB","man","english","EMB5","","true","6","","","","","","",""
"null","CORRECT","","html-keyboard-response","19","236801","0.0-3.0-20.0-0.0","661","ListB","man","english","EMB5","","","","null","","","","","",""
"4924.800000190735","<img src=""portrait/WW2.jpg""style=""height:400px;""></img>","3","html-button-response","20","241726","0.0-3.0-22.0","661","ListB","man","english","EMB5","","true","3","","","","","","",""
"null","CORRECT","","html-keyboard-response","21","243236","0.0-3.0-23.0-0.0","661","ListB","man","english","EMB5","","","","null","","","","","",""
"2136","<p>You got 6 out of 8 right first time. Press Continue.</p>","0","html-button-response","22","245373","0.0-3.0-25.0","661","ListB","man","english","EMB5","","","","","","","","","",""
"3467.2000002861023","As you did not score 100%, the memory game will repeat. Press Continue.","0","html-button-response","23","249850","0.0-3.0-26.0-0.0","661","ListB","man","english","EMB5","","","","","","","","","",""
"23977.800000190735","<img src='img/portrait_matrix_listB.jpg' style='width:900px;height:500px;''></img><p>If you have memorised all the portraits and names and are ready to start, press Continue.</p><p><strong>Please note: Your memory of these faces will be tested 5 times during this experiment.</strong></p>","0","html-button-response","24","274836","0.0-3.1-0.1","661","ListB","man","english","EMB5","","","","","","","","","",""
"9754.39999961853","<img src=""portrait/BW2.jpg""style=""height:400px;""></img>","2","html-button-response","25","285598","0.0-3.1-1.1","661","ListB","man","english","EMB5","","true","2","","","","","","",""
"null","CORRECT","","html-keyboard-response","26","287116","0.0-3.1-2.1-0.1","661","ListB","man","english","EMB5","","","","null","","","","","",""
"7612.300000190735","<img src=""portrait/BM2.jpg""style=""height:400px;""></img>","7","html-button-response","27","294729","0.0-3.1-4.1","661","ListB","man","english","EMB5","","true","5","","","","","","",""
"1572.7999997138977","<img src=""portrait/BM2.jpg""style=""height:400px;""></img>","5","html-button-response","28","297303","0.0-3.1-6.1-0.1","661","ListB","man","english","EMB5","","false","5","","","","","","",""
"null","CORRECT","","html-keyboard-response","29","298823","0.0-3.1-6.1-1.1-0.1","661","ListB","man","english","EMB5","","","","null","","","","","",""
