"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","subject","list","ppt_gender","ppt_language","url","first_guess","correct","key_press","responses","image","verb","phrase","condition","test_part"
"6989.199999988079","Welcome to the experiment. Press Continue to begin.","0","html-button-response","0","6990","0.0-0.0","76994","ListA","woman","english","","","","","","","","","",""
"34858.69999998808","","","external-html","1","42973","0.0-1.0","76994","ListA","woman","english","consent.html","","","","","","","","",""
"20923","<p>On the next page, you will see portraits of 8 people and their names.</p><p>Your first task is to take a few minutes to memorise the names of these people.</p><p>You will have to recall their names during the rest of the experiment, so it is</p><p>essential that you try to memorise these people and their names as best as you can.</p><p><strong>You will then be tested on your memory of these names and portraits.</strong></p><p>The experiment will start after you have completed this memory test.</p><p>Ready?</p>","0","html-button-response","2","63897","0.0-2.0","76994","ListA","woman","english","","","","","","","","","",""
"97141.80000001192","<img src='img/portrait_matrix_listA.jpg' style='width:900px;height:500px;''></img><p>If you have memorised all the portraits and names and are ready to start, press Continue.</p><p><strong>Please note: Your memory of these faces will be tested 5 times during this experiment.</strong></p>","0","html-button-response","3","162040","0.0-3.0-0.0","76994","ListA","woman","english","","","","","","","","","",""
"3858.5","<img src=""portrait/BW2.jpg""style=""height:400px;""></img>","2","html-button-response","4","166902","0.0-3.0-1.0","76994","ListA","woman","english","","true","2","","","","","","",""
"null","CORRECT","","html-keyboard-response","5","168404","0.0-3.0-2.0-0.0","76994","ListA","woman","english","","","","null","","","","","",""
"4385.4000000059605","<img src=""portrait/BM2.jpg""style=""height:400px;""></img>","5","html-button-response","6","172790","0.0-3.0-4.0","76994","ListA","woman","english","","true","5","","","","","","",""
"null","CORRECT","","html-keyboard-response","7","174314","0.0-3.0-5.0-0.0","76994","ListA","woman","english","","","","null","","","","","",""
"1303.5","<img src=""portrait/WW2.jpg""style=""height:400px;""></img>","3","html-button-response","8","175619","0.0-3.0-7.0","76994","ListA","woman","english","","true","3","","","","","","",""
"null","CORRECT","","html-keyboard-response","9","177146","0.0-3.0-8.0-0.0","76994","ListA","woman","english","","","","null","","","","","",""
"2270.5","<img src=""portrait/WM1.jpg""style=""height:400px;""></img>","6","html-button-response","10","179418","0.0-3.0-10.0","76994","ListA","woman","english","","true","6","","","","","","",""
"null","CORRECT","","html-keyboard-response","11","180926","0.0-3.0-11.0-0.0","76994","ListA","woman","english","","","","null","","","","","",""
"5018.5999999940395","<img src=""portrait/WW1.jpg""style=""height:400px;""></img>","1","html-button-response","12","185945","0.0-3.0-13.0","76994","ListA","woman","english","","true","1","","","","","","",""
"null","CORRECT","","html-keyboard-response","13","187462","0.0-3.0-14.0-0.0","76994","ListA","woman","english","","","","null","","","","","",""
"1804","<img src=""portrait/WM2.jpg""style=""height:400px;""></img>","7","html-button-response","14","189267","0.0-3.0-16.0","76994","ListA","woman","english","","true","7","","","","","","",""
"null","CORRECT","","html-keyboard-response","15","190775","0.0-3.0-17.0-0.0","76994","ListA","woman","english","","","","null","","","","","",""
"6103.4000000059605","<img src=""portrait/BM1.jpg""style=""height:400px;""></img>","4","html-button-response","16","196879","0.0-3.0-19.0","76994","ListA","woman","english","","true","4","","","","","","",""
"null","CORRECT","","html-keyboard-response","17","198392","0.0-3.0-20.0-0.0","76994","ListA","woman","english","","","","null","","","","","",""
"4649.5","<img src=""portrait/BW1.jpg""style=""height:400px;""></img>","0","html-button-response","18","203042","0.0-3.0-22.0","76994","ListA","woman","english","","true","0","","","","","","",""
"null","CORRECT","","html-keyboard-response","19","204544","0.0-3.0-23.0-0.0","76994","ListA","woman","english","","","","null","","","","","",""
"1165.3999999761581","<p>You got 8 out of 8 right first time. Press Continue.</p>","0","html-button-response","20","205710","0.0-3.0-25.0","76994","ListA","woman","english","","","","","","","","","",""
