verb,english_translation
praising,praising
accompanying,accompanying
convincing,convincing
approaching,approaching
walking towards,walking towards
looking at,looking at
listening to,listening to
contacting,contacting
employing,employing
touching,touching
facing,facing
promising,promising
introducing,introducing
following,following
join,join
mention,mention
表扬,praising
陪伴,accompanying
说服,convincing
接近,approaching
走向,walking towards
看着,looking at
聆听,listening to
联系,contacting
聘用,employing
触摸,touching
面向,facing
答应,promising
介绍,introducing
跟随,following
加入,join
提到,mention
