rt,stimulus,button_pressed,choices,ChosenStimulus,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,study_id,session_id,subject,list,ppt_gender,url,key_press,sentence_type,verb,test_part,responses,question_order,left_part,right_part,name_order
3625,Welcome to the experiment. Press Continue to begin.,0,Continue,Continue,html-button-response,0,3633,0.0-0.0,anomymised,6560c4cfd080ba12b16d8282,6564c81d0649f48b836827b8,97636,1A,man,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25057.200000047684,NA,NA,NA,NA,external-html,1,29747,0.0-1.0,anomymised,6560c4cfd080ba12b16d8282,6564c81d0649f48b836827b8,97636,1A,man,consent.html,NA,NA,NA,NA,NA,NA,NA,NA,NA
43865.800000071526,"<p>Welcome.</p><p>In this experiment we will ask you to imagine people's motivations for saying sentences.</p><p>Each trial will begin with a sentence that somebody might say to describe an event involving two different people.</p><p>For instance, someone might say <em>Harry is being recruited by Molly</em></p><p>We want you to think about which of those two people (Molly and Harry) the speaker identifies more with. For instance, why did the speaker say <em>Harry is being recruited by Molly</em> rather than <em> Molly is recruiting Harry</em>? Might that mean that the speaker is socially closer to one of the two characters?</p><p>After you have read the sentence, you will rate on a scale which of the two characters the speaker identifies more with.</p><p>You will give your answer by clicking a button on a rating scale.</p><p>Sometimes there will also be catch questions designed to make sure that you are paying attention, which ask about a different topic.</p><p>To do this task, you will have to use your imagination to think about and visualise the events, and how the speaker might relate to the characters.</p><br><p>Ready?</p>",0,Continue,Continue,html-button-response,2,73621,0.0-2.0,anomymised,6560c4cfd080ba12b16d8282,6564c81d0649f48b836827b8,97636,1A,man,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3940.100000023842,"<p>Before the experiment starts, we will show you an example of how you will answer the questions. Press 'Continue'.</p>",0,Continue,Continue,html-button-response,3,78565,0.0-3.0,anomymised,6560c4cfd080ba12b16d8282,6564c81d0649f48b836827b8,97636,1A,man,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
null,Somebody says <br><em>Samuel is dining with Frank</em>,NA,NA,NA,html-keyboard-response,4,81569,0.0-4.0,anomymised,6560c4cfd080ba12b16d8282,6564c81d0649f48b836827b8,97636,1A,man,NA,null,NA,NA,NA,NA,NA,NA,NA,NA
25026.800000071526,<img src='img/Example-trial.jpg' style='height:550px;''></img>,0,Continue,Continue,html-button-response,5,106598,0.0-5.0,anomymised,6560c4cfd080ba12b16d8282,6564c81d0649f48b836827b8,97636,1A,man,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4740.200000047684,<p>Ready to start the experiment?</p><br><p><strong>Remember to give an answer by clicking a button on the rating scale.</strong></p><p>Press 'Continue' to begin.</p>,0,Continue,Continue,html-button-response,6,112343,0.0-6.0,anomymised,6560c4cfd080ba12b16d8282,6564c81d0649f48b836827b8,97636,1A,man,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
null,Somebody says<br><em>Luke and Fred are touching each other</em>,NA,NA,NA,html-keyboard-response,7,115350,0.0-7.0-0.0,anomymised,6560c4cfd080ba12b16d8282,6564c81d0649f48b836827b8,97636,1A,man,NA,null,NAME1 and NAME2 are touching each other,touch_conjoined,sentence,NA,NA,NA,NA,NA
10622.399999976158,NA,NA,NA,NA,survey-likert-extra-labels,8,126003,0.0-7.0-1.0,anomymised,6560c4cfd080ba12b16d8282,6564c81d0649f48b836827b8,97636,1A,man,NA,NA,Somebody says<br><em>Luke and Fred are touching each other</em>,touch_conjoined,rating_volition,"{""Q0"":3}",[0],The speaker identifies more with <br>Fred than Luke,The speaker identifies more with<br>Luke than Fred,right_to_left
null,Somebody says<br><em>Kate is feeding Luke,NA,NA,NA,html-keyboard-response,9,128008,0.0-8.0-0.0,anomymised,6560c4cfd080ba12b16d8282,6564c81d0649f48b836827b8,97636,1A,man,NA,null,W3 is feeding M1,feed,sentence,NA,NA,NA,NA,NA
23030.299999952316,NA,NA,NA,NA,survey-likert-extra-labels,10,151066,0.0-8.0-1.0,anomymised,6560c4cfd080ba12b16d8282,6564c81d0649f48b836827b8,97636,1A,man,NA,NA,Somebody says<br><em>Kate is feeding Luke,feed,rating_volition,"{""Q0"":1}",[0],Kate cooked for Luke,Luke cooked for Kate,NA
null,Somebody says<br><em>Mike is talking to Ruth</em>,NA,NA,NA,html-keyboard-response,11,153075,0.0-9.0-0.0,anomymised,6560c4cfd080ba12b16d8282,6564c81d0649f48b836827b8,97636,1A,man,NA,null,NAME1 is talking to NAME2,talk_active,sentence,NA,NA,NA,NA,NA
6700.100000023842,NA,NA,NA,NA,survey-likert-extra-labels,12,159779,0.0-9.0-1.0,anomymised,6560c4cfd080ba12b16d8282,6564c81d0649f48b836827b8,97636,1A,man,NA,NA,Somebody says<br><em>Mike is talking to Ruth</em>,talk_active,rating_volition,"{""Q0"":2}",[0],The speaker identifies more with <br>Mike than Ruth,The speaker identifies more with<br>Ruth than Mike,left_to_right
null,Somebody says<br><em>Jane and Mike are kissing each other</em>,NA,NA,NA,html-keyboard-response,13,161786,0.0-10.0-0.0,anomymised,6560c4cfd080ba12b16d8282,6564c81d0649f48b836827b8,97636,1A,man,NA,null,NAME1 and NAME2 are kissing each other,kiss_conjoined,sentence,NA,NA,NA,NA,NA
36876.60000002384,NA,NA,NA,NA,survey-likert-extra-labels,14,198667,0.0-10.0-1.0,anomymised,6560c4cfd080ba12b16d8282,6564c81d0649f48b836827b8,97636,1A,man,NA,NA,Somebody says<br><em>Jane and Mike are kissing each other</em>,kiss_conjoined,rating_volition,"{""Q0"":2}",[0],The speaker identifies more with <br>Jane than Mike,The speaker identifies more with<br>Mike than Jane,left_to_right
null,Somebody says<br><em>Luke is driving Fred,NA,NA,NA,html-keyboard-response,15,200672,0.0-11.0-0.0,anomymised,6560c4cfd080ba12b16d8282,6564c81d0649f48b836827b8,97636,1A,man,NA,null,M1 is driving M3,drive,sentence,NA,NA,NA,NA,NA
12917.299999952316,NA,NA,NA,NA,survey-likert-extra-labels,16,213595,0.0-11.0-1.0,anomymised,6560c4cfd080ba12b16d8282,6564c81d0649f48b836827b8,97636,1A,man,NA,NA,Somebody says<br><em>Luke is driving Fred,drive,rating_volition,"{""Q0"":6}",[0],Luke is Fred's passenger,Fred is Luke's passenger,NA
null,Somebody says<br><em>Fred is touching Dave</em>,NA,NA,NA,html-keyboard-response,17,215602,0.0-12.0-0.0,anomymised,6560c4cfd080ba12b16d8282,6564c81d0649f48b836827b8,97636,1A,man,NA,null,NAME1 is touching NAME2,touch_active,sentence,NA,NA,NA,NA,NA
8660.199999928474,NA,NA,NA,NA,survey-likert-extra-labels,18,224266,0.0-12.0-1.0,anomymised,6560c4cfd080ba12b16d8282,6564c81d0649f48b836827b8,97636,1A,man,NA,NA,Somebody says<br><em>Fred is touching Dave</em>,touch_active,rating_volition,"{""Q0"":3}",[0],The speaker identifies more with <br>Dave than Fred,The speaker identifies more with<br>Fred than Dave,right_to_left
null,Somebody says<br><em>Mike is fighting with Ruth</em>,NA,NA,NA,html-keyboard-response,19,226274,0.0-13.0-0.0,anomymised,6560c4cfd080ba12b16d8282,6564c81d0649f48b836827b8,97636,1A,man,NA,null,NAME1 is fighting with NAME2,fight_active,sentence,NA,NA,NA,NA,NA
8475.399999976158,NA,NA,NA,NA,survey-likert-extra-labels,20,234754,0.0-13.0-1.0,anomymised,6560c4cfd080ba12b16d8282,6564c81d0649f48b836827b8,97636,1A,man,NA,NA,Somebody says<br><em>Mike is fighting with Ruth</em>,fight_active,rating_volition,"{""Q0"":3}",[0],The speaker identifies more with <br>Mike than Ruth,The speaker identifies more with<br>Ruth than Mike,left_to_right
null,Somebody says<br><em>Dave is being opposed by Jane</em>,NA,NA,NA,html-keyboard-response,21,236761,0.0-14.0-0.0,anomymised,6560c4cfd080ba12b16d8282,6564c81d0649f48b836827b8,97636,1A,man,NA,null,NAME1 is being opposed by NAME2,oppose_passive,sentence,NA,NA,NA,NA,NA
2752.8000000715256,NA,NA,NA,NA,survey-likert-extra-labels,22,239519,0.0-14.0-1.0,anomymised,6560c4cfd080ba12b16d8282,6564c81d0649f48b836827b8,97636,1A,man,NA,NA,Somebody says<br><em>Dave is being opposed by Jane</em>,oppose_passive,rating_volition,"{""Q0"":3}",[0],The speaker identifies more with <br>Jane than Dave,The speaker identifies more with<br>Dave than Jane,right_to_left
null,Somebody says<br><em>Kate is copying Fred</em>,NA,NA,NA,html-keyboard-response,23,241525,0.0-15.0-0.0,anomymised,6560c4cfd080ba12b16d8282,6564c81d0649f48b836827b8,97636,1A,man,NA,null,NAME1 is copying NAME2,copy_active,sentence,NA,NA,NA,NA,NA
6960.100000023842,NA,NA,NA,NA,survey-likert-extra-labels,24,248489,0.0-15.0-1.0,anomymised,6560c4cfd080ba12b16d8282,6564c81d0649f48b836827b8,97636,1A,man,NA,NA,Somebody says<br><em>Kate is copying Fred</em>,copy_active,rating_volition,"{""Q0"":4}",[0],The speaker identifies more with <br>Kate than Fred,The speaker identifies more with<br>Fred than Kate,left_to_right
null,Somebody says<br><em>Kate is greeting Beth</em>,NA,NA,NA,html-keyboard-response,25,250496,0.0-16.0-0.0,anomymised,6560c4cfd080ba12b16d8282,6564c81d0649f48b836827b8,97636,1A,man,NA,null,NAME1 is greeting NAME2,greet_active,sentence,NA,NA,NA,NA,NA
5336.200000047684,NA,NA,NA,NA,survey-likert-extra-labels,26,255837,0.0-16.0-1.0,anomymised,6560c4cfd080ba12b16d8282,6564c81d0649f48b836827b8,97636,1A,man,NA,NA,Somebody says<br><em>Kate is greeting Beth</em>,greet_active,rating_volition,"{""Q0"":3}",[0],The speaker identifies more with <br>Kate than Beth,The speaker identifies more with<br>Beth than Kate,left_to_right
null,Somebody says<br><em>Jane is being hugged by Ruth</em>,NA,NA,NA,html-keyboard-response,27,257844,0.0-17.0-0.0,anomymised,6560c4cfd080ba12b16d8282,6564c81d0649f48b836827b8,97636,1A,man,NA,null,NAME1 is being hugged by NAME2,hug_passive,sentence,NA,NA,NA,NA,NA
5414.199999928474,NA,NA,NA,NA,survey-likert-extra-labels,28,263263,0.0-17.0-1.0,anomymised,6560c4cfd080ba12b16d8282,6564c81d0649f48b836827b8,97636,1A,man,NA,NA,Somebody says<br><em>Jane is being hugged by Ruth</em>,hug_passive,rating_volition,"{""Q0"":3}",[0],The speaker identifies more with <br>Ruth than Jane,The speaker identifies more with<br>Jane than Ruth,right_to_left
null,Somebody says<br><em>Ruth is shouting at Kate</em>,NA,NA,NA,html-keyboard-response,29,265268,0.0-18.0-0.0,anomymised,6560c4cfd080ba12b16d8282,6564c81d0649f48b836827b8,97636,1A,man,NA,null,NAME1 is shouting at NAME2,shout_active,sentence,NA,NA,NA,NA,NA
6123.399999976158,NA,NA,NA,NA,survey-likert-extra-labels,30,271396,0.0-18.0-1.0,anomymised,6560c4cfd080ba12b16d8282,6564c81d0649f48b836827b8,97636,1A,man,NA,NA,Somebody says<br><em>Ruth is shouting at Kate</em>,shout_active,rating_volition,"{""Q0"":1}",[0],The speaker identifies more with <br>Ruth than Kate,The speaker identifies more with<br>Kate than Ruth,left_to_right
null,Somebody says<br><em>Jane is teaching Dave,NA,NA,NA,html-keyboard-response,31,273408,0.0-19.0-0.0,anomymised,6560c4cfd080ba12b16d8282,6564c81d0649f48b836827b8,97636,1A,man,NA,null,W2 is teaching M4,teach,sentence,NA,NA,NA,NA,NA
9663.799999952316,NA,NA,NA,NA,survey-likert-extra-labels,32,283077,0.0-19.0-1.0,anomymised,6560c4cfd080ba12b16d8282,6564c81d0649f48b836827b8,97636,1A,man,NA,NA,Somebody says<br><em>Jane is teaching Dave,teach,rating_volition,"{""Q0"":1}",[0],Jane is educating Dave,Dave is educating Jane,NA
null,Somebody says<br><em>Kate is hugging Jane</em>,NA,NA,NA,html-keyboard-response,33,285083,0.0-20.0-0.0,anomymised,6560c4cfd080ba12b16d8282,6564c81d0649f48b836827b8,97636,1A,man,NA,null,NAME1 is hugging NAME2,hug_active,sentence,NA,NA,NA,NA,NA
6134,NA,NA,NA,NA,survey-likert-extra-labels,34,291221,0.0-20.0-1.0,anomymised,6560c4cfd080ba12b16d8282,6564c81d0649f48b836827b8,97636,1A,man,NA,NA,Somebody says<br><em>Kate is hugging Jane</em>,hug_active,rating_volition,"{""Q0"":5}",[0],The speaker identifies more with <br>Jane than Kate,The speaker identifies more with<br>Kate than Jane,right_to_left
null,Somebody says<br><em>Jane and Ruth are shouting at each other</em>,NA,NA,NA,html-keyboard-response,35,293227,0.0-21.0-0.0,anomymised,6560c4cfd080ba12b16d8282,6564c81d0649f48b836827b8,97636,1A,man,NA,null,NAME1 and NAME2 are shouting at each other,shout_conjoined,sentence,NA,NA,NA,NA,NA
3614.7999999523163,NA,NA,NA,NA,survey-likert-extra-labels,36,296845,0.0-21.0-1.0,anomymised,6560c4cfd080ba12b16d8282,6564c81d0649f48b836827b8,97636,1A,man,NA,NA,Somebody says<br><em>Jane and Ruth are shouting at each other</em>,shout_conjoined,rating_volition,"{""Q0"":3}",[0],The speaker identifies more with <br>Jane than Ruth,The speaker identifies more with<br>Ruth than Jane,left_to_right
null,Somebody says<br><em>Fred is hiring Ruth,NA,NA,NA,html-keyboard-response,37,298850,0.0-22.0-0.0,anomymised,6560c4cfd080ba12b16d8282,6564c81d0649f48b836827b8,97636,1A,man,NA,null,M3 is hiring W1,hire,sentence,NA,NA,NA,NA,NA
