verb,list,coding,first_mention_gender
dance1,1A,regular,W1
dance2,1A,regular,M1
dance3,1A,regular,W2
dance4,1A,regular,M2
flirt1,1A,regular,W2
flirt2,1A,regular,M2
flirt3,1A,regular,W3
flirt4,1A,regular,M3
kiss1,1A,reverse,W3
kiss2,1A,reverse,M3
kiss3,1A,reverse,W4
kiss4,1A,reverse,M4
marry1,1A,reverse,W4
marry2,1A,reverse,M4
marry3,1A,reverse,W1
marry4,1A,reverse,M1
argue1,1A,reverse,W3
argue2,1A,reverse,M3
argue3,1A,reverse,M4
argue4,1A,reverse,W4
fight1,1A,reverse,W4
fight2,1A,reverse,M4
fight3,1A,reverse,M1
fight4,1A,reverse,W1
shout1,1A,regular,W1
shout2,1A,regular,M1
shout3,1A,regular,M2
shout4,1A,regular,W2
play1,1A,regular,W2
play2,1A,regular,M2
play3,1A,regular,M3
play4,1A,regular,W3
talk1,1A,regular,W1
talk2,1A,regular,M1
talk3,1A,regular,W2
talk4,1A,regular,M2
touch1,1A,regular,W2
touch2,1A,regular,M2
touch3,1A,regular,W3
touch4,1A,regular,M3
dance1,4A,regular,W3
dance2,4A,regular,M3
dance3,4A,regular,M4
dance4,4A,regular,W4
flirt1,4A,regular,W4
flirt2,4A,regular,M4
flirt3,4A,regular,M1
flirt4,4A,regular,W1
kiss1,4A,regular,W3
kiss2,4A,regular,M3
kiss3,4A,regular,W4
kiss4,4A,regular,M4
marry1,4A,regular,W4
marry2,4A,regular,M4
marry3,4A,regular,W1
marry4,4A,regular,M1
argue1,4A,reverse,W1
argue2,4A,reverse,M1
argue3,4A,reverse,W2
argue4,4A,reverse,M2
fight1,4A,reverse,W2
fight2,4A,reverse,M2
fight3,4A,reverse,W3
fight4,4A,reverse,M3
shout1,4A,reverse,W1
shout2,4A,reverse,M1
shout3,4A,reverse,M2
shout4,4A,reverse,W2
play1,4A,reverse,W2
play2,4A,reverse,M2
play3,4A,reverse,M3
play4,4A,reverse,W3
talk1,4A,regular,W3
talk2,4A,regular,M3
talk3,4A,regular,M4
talk4,4A,regular,W4
touch1,4A,regular,W4
touch2,4A,regular,M4
touch3,4A,regular,M1
touch4,4A,regular,W1
dance1,2A,reverse,W1
dance2,2A,reverse,M1
dance3,2A,reverse,W2
dance4,2A,reverse,M2
flirt1,2A,reverse,W2
flirt2,2A,reverse,M2
flirt3,2A,reverse,W3
flirt4,2A,reverse,M3
kiss1,2A,reverse,W1
kiss2,2A,reverse,M1
kiss3,2A,reverse,M2
kiss4,2A,reverse,W2
marry1,2A,reverse,W2
marry2,2A,reverse,M2
marry3,2A,reverse,M3
marry4,2A,reverse,W3
argue1,2A,regular,W3
argue2,2A,regular,M3
argue3,2A,regular,M4
argue4,2A,regular,W4
fight1,2A,regular,W4
fight2,2A,regular,M4
fight3,2A,regular,M1
fight4,2A,regular,W1
shout1,2A,regular,W3
shout2,2A,regular,M3
shout3,2A,regular,W4
shout4,2A,regular,M4
play1,2A,regular,W4
play2,2A,regular,M4
play3,2A,regular,W1
play4,2A,regular,M1
talk1,2A,reverse,W1
talk2,2A,reverse,M1
talk3,2A,reverse,W2
talk4,2A,reverse,M2
touch1,2A,reverse,W2
touch2,2A,reverse,M2
touch3,2A,reverse,W3
touch4,2A,reverse,M3
dance1,3A,reverse,W3
dance2,3A,reverse,M3
dance3,3A,reverse,M4
dance4,3A,reverse,W4
flirt1,3A,reverse,W4
flirt2,3A,reverse,M4
flirt3,3A,reverse,M1
flirt4,3A,reverse,W1
kiss1,3A,regular,W1
kiss2,3A,regular,M1
kiss3,3A,regular,M2
kiss4,3A,regular,W2
marry1,3A,regular,W2
marry2,3A,regular,M2
marry3,3A,regular,M3
marry4,3A,regular,W3
argue1,3A,regular,W1
argue2,3A,regular,M1
argue3,3A,regular,W2
argue4,3A,regular,M2
fight1,3A,regular,W2
fight2,3A,regular,M2
fight3,3A,regular,W3
fight4,3A,regular,M3
shout1,3A,reverse,W3
shout2,3A,reverse,M3
shout3,3A,reverse,W4
shout4,3A,reverse,M4
play1,3A,reverse,W4
play2,3A,reverse,M4
play3,3A,reverse,W1
play4,3A,reverse,M1
talk1,3A,reverse,W3
talk2,3A,reverse,M3
talk3,3A,reverse,M4
talk4,3A,reverse,W4
touch1,3A,reverse,W4
touch2,3A,reverse,M4
touch3,3A,reverse,M1
touch4,3A,reverse,W1
dance1,1B,regular,W1
dance2,1B,regular,M1
dance3,1B,regular,W2
dance4,1B,regular,M2
flirt1,1B,regular,W2
flirt2,1B,regular,M2
flirt3,1B,regular,W3
flirt4,1B,regular,M3
kiss1,1B,reverse,W3
kiss2,1B,reverse,M3
kiss3,1B,reverse,W4
kiss4,1B,reverse,M4
marry1,1B,reverse,W4
marry2,1B,reverse,M4
marry3,1B,reverse,W1
marry4,1B,reverse,M1
argue1,1B,reverse,W3
argue2,1B,reverse,M3
argue3,1B,reverse,M4
argue4,1B,reverse,W4
fight1,1B,reverse,W4
fight2,1B,reverse,M4
fight3,1B,reverse,M1
fight4,1B,reverse,W1
shout1,1B,regular,W1
shout2,1B,regular,M1
shout3,1B,regular,M2
shout4,1B,regular,W2
play1,1B,regular,W2
play2,1B,regular,M2
play3,1B,regular,M3
play4,1B,regular,W3
talk1,1B,regular,W1
talk2,1B,regular,M1
talk3,1B,regular,W2
talk4,1B,regular,M2
touch1,1B,regular,W2
touch2,1B,regular,M2
touch3,1B,regular,W3
touch4,1B,regular,M3
dance1,4B,regular,W3
dance2,4B,regular,M3
dance3,4B,regular,M4
dance4,4B,regular,W4
flirt1,4B,regular,W4
flirt2,4B,regular,M4
flirt3,4B,regular,M1
flirt4,4B,regular,W1
kiss1,4B,regular,W3
kiss2,4B,regular,M3
kiss3,4B,regular,W4
kiss4,4B,regular,M4
marry1,4B,regular,W4
marry2,4B,regular,M4
marry3,4B,regular,W1
marry4,4B,regular,M1
argue1,4B,reverse,W1
argue2,4B,reverse,M1
argue3,4B,reverse,W2
argue4,4B,reverse,M2
fight1,4B,reverse,W2
fight2,4B,reverse,M2
fight3,4B,reverse,W3
fight4,4B,reverse,M3
shout1,4B,reverse,W1
shout2,4B,reverse,M1
shout3,4B,reverse,M2
shout4,4B,reverse,W2
play1,4B,reverse,W2
play2,4B,reverse,M2
play3,4B,reverse,M3
play4,4B,reverse,W3
talk1,4B,regular,W3
talk2,4B,regular,M3
talk3,4B,regular,M4
talk4,4B,regular,W4
touch1,4B,regular,W4
touch2,4B,regular,M4
touch3,4B,regular,M1
touch4,4B,regular,W1
dance1,2B,reverse,W1
dance2,2B,reverse,M1
dance3,2B,reverse,W2
dance4,2B,reverse,M2
flirt1,2B,reverse,W2
flirt2,2B,reverse,M2
flirt3,2B,reverse,W3
flirt4,2B,reverse,M3
kiss1,2B,reverse,W1
kiss2,2B,reverse,M1
kiss3,2B,reverse,M2
kiss4,2B,reverse,W2
marry1,2B,reverse,W2
marry2,2B,reverse,M2
marry3,2B,reverse,M3
marry4,2B,reverse,W3
argue1,2B,regular,W3
argue2,2B,regular,M3
argue3,2B,regular,M4
argue4,2B,regular,W4
fight1,2B,regular,W4
fight2,2B,regular,M4
fight3,2B,regular,M1
fight4,2B,regular,W1
shout1,2B,regular,W3
shout2,2B,regular,M3
shout3,2B,regular,W4
shout4,2B,regular,M4
play1,2B,regular,W4
play2,2B,regular,M4
play3,2B,regular,W1
play4,2B,regular,M1
talk1,2B,reverse,W1
talk2,2B,reverse,M1
talk3,2B,reverse,W2
talk4,2B,reverse,M2
touch1,2B,reverse,W2
touch2,2B,reverse,M2
touch3,2B,reverse,W3
touch4,2B,reverse,M3
dance1,3B,reverse,W3
dance2,3B,reverse,M3
dance3,3B,reverse,M4
dance4,3B,reverse,W4
flirt1,3B,reverse,W4
flirt2,3B,reverse,M4
flirt3,3B,reverse,M1
flirt4,3B,reverse,W1
kiss1,3B,regular,W1
kiss2,3B,regular,M1
kiss3,3B,regular,M2
kiss4,3B,regular,W2
marry1,3B,regular,W2
marry2,3B,regular,M2
marry3,3B,regular,M3
marry4,3B,regular,W3
argue1,3B,regular,W1
argue2,3B,regular,M1
argue3,3B,regular,W2
argue4,3B,regular,M2
fight1,3B,regular,W2
fight2,3B,regular,M2
fight3,3B,regular,W3
fight4,3B,regular,M3
shout1,3B,reverse,W3
shout2,3B,reverse,M3
shout3,3B,reverse,W4
shout4,3B,reverse,M4
play1,3B,reverse,W4
play2,3B,reverse,M4
play3,3B,reverse,W1
play4,3B,reverse,M1
talk1,3B,reverse,W3
talk2,3B,reverse,M3
talk3,3B,reverse,M4
talk4,3B,reverse,W4
touch1,3B,reverse,W4
touch2,3B,reverse,M4
touch3,3B,reverse,M1
touch4,3B,reverse,W1
