"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","subject","list","ppt_gender","url","key_press","sentence_type","verb","test_part","responses","question_order","left_part","right_part"
"158279","Welcome to the experiment. Press Continue to begin.","0","html-button-response","0","178443","0.0-0.0","15044","1B","woman","","","","","","","","",""
"9920","","","external-html","1","189463","0.0-1.0","15044","1B","woman","consent.html","","","","","","","",""
"481057","<p>Welcome.</p><p>In this experiment we will ask you to imagine some situations.</p><p>Each trial starts with a description of an event.</p><p>Then you will see alternative descriptions of that event, and you will rate on a scale how best they match the original description.</p><p>You will give your answer by clicking a button on a rating scale.</p><p>To do this task, you will have to use your imagination to visualise these events.</p><br><p>Ready?</p>","0","html-button-response","2","1252076","0.0-2.0","15044","1B","woman","","","","","","","","",""
"2427","<p>Before the experiment starts, you will watch an example trial. Press 'Continue'.</p>","0","html-button-response","3","1255531","0.0-3.0","15044","1B","woman","","","","","","","","",""
"null","The police officer is arresting the robber","","html-keyboard-response","4","1258537","0.0-4.0","15044","1B","woman","","null","","","","","","",""
"10004","<img src='img/Example-trial.jpg' style='height:550px;''></img>","0","html-button-response","5","1268546","0.0-5.0","15044","1B","woman","","","","","","","","",""
"3113","<p>Ready to start the experiment?</p><br><p><strong>Remember to give an answer by clicking a button on the rating scale.</strong></p><p>Press 'Continue' to begin.</p>","0","html-button-response","6","1272663","0.0-6.0","15044","1B","woman","","","","","","","","",""
"null","Kate is chasing Beth","","html-keyboard-response","7","1275671","0.0-7.0-0.0","15044","1B","woman","","null","W1 is chasing W3","chase","sentence","","","",""
"7529.999999999884","","","survey-likert-extra-labels","8","1283223","0.0-7.0-1.0-0.0","15044","1B","woman","","","W1 is chasing W3","chase","rating_causation","{""Q0"":5}","[0]","W1 is running away from W3","W3 is running away from W1"
"8535","","","survey-likert-extra-labels","9","1291761","0.0-7.0-2.0","15044","1B","woman","","","W1 is chasing W3","chase","rating_volition","{""Q0"":1}","[0]","W1 is behind W3","W3 is behind W1"
"null","Luke is reminding Jane","","html-keyboard-response","10","1293766","0.0-8.0-0.0","15044","1B","woman","","null","M2 is reminding W4","remind","sentence","","","",""
"15640.000000000116","","","survey-likert-extra-labels","11","1309411","0.0-8.0-1.0-0.0","15044","1B","woman","","","M2 is reminding W4","remind","rating_causation","{""Q0"":5}","[0]","M2 is remembering","W4 is remembering"
"6559.999999999884","","","survey-likert-extra-labels","12","1315976","0.0-8.0-2.0","15044","1B","woman","","","M2 is reminding W4","remind","rating_volition","{""Q0"":1}","[0]","M2 is telling W4 again","W4 is telling M2 again"
"null","Luke is posing for Mike","","html-keyboard-response","13","1317981","0.0-9.0-0.0","15044","1B","woman","","null","M2 is posing for M4","pose","sentence","","","",""
"4512","","","survey-likert-extra-labels","14","1322500","0.0-9.0-1.0-0.0","15044","1B","woman","","","M2 is posing for M4","pose","rating_causation","{""Q0"":5}","[0]","M2 is photographing M4","M4 is photographing M2"
"5738","","","survey-likert-extra-labels","15","1328244","0.0-9.0-2.0","15044","1B","woman","","","M2 is posing for M4","pose","rating_volition","{""Q0"":1}","[0]","M2 is modelling for M4","M4 is modelling for M2"
"null","Kate is marrying Dave","","html-keyboard-response","16","1330250","0.0-10.0-0.0","15044","1B","woman","","null","W1 is marrying M3","marry3","sentence","","","",""
"10618","","","survey-likert-extra-labels","17","1340874","0.0-10.0-2.0","15044","1B","woman","","","W1 is marrying M3","marry3","rating_volition","{""Q0"":3}","[0]","M3 wanted to marry W1","W1 wanted to marry M3"
"22656","","","survey-likert-extra-labels","18","1363537","0.0-10.0-3.0-0.0","15044","1B","woman","","","W1 is marrying M3","marry3","rating_causation","{""Q0"":2}","[0]","M3 asked to marry W1","W1 asked to marry M3"
"null","Jane is arguing with Luke","","html-keyboard-response","19","1365545","0.0-11.0-0.0","15044","1B","woman","","null","W4 is arguing with M2","argue4","sentence","","","",""
"8413","","","survey-likert-extra-labels","20","1373968","0.0-11.0-1.0-0.0","15044","1B","woman","","","W4 is arguing with M2","argue4","rating_causation","{""Q0"":3}","[0]","M2 started an argument with W4","W4 started an argument with M2"
"6222","","","survey-likert-extra-labels","21","1380196","0.0-11.0-2.0","15044","1B","woman","","","W4 is arguing with M2","argue4","rating_volition","{""Q0"":3}","[0]","M2 wanted to argue with W4","W4 wanted to argue with M2"
"null","Ruth is touching Jane","","html-keyboard-response","22","1382201","0.0-12.0-0.0","15044","1B","woman","","null","W2 is touching W4","touch1","sentence","","","",""
"16441","","","survey-likert-extra-labels","23","1398649","0.0-12.0-2.0","15044","1B","woman","","","W2 is touching W4","touch1","rating_volition","{""Q0"":2}","[0]","W2 wanted to touch W4","W4 wanted to touch W2"
"13149","","","survey-likert-extra-labels","24","1411802","0.0-12.0-3.0-0.0","15044","1B","woman","","","W2 is touching W4","touch1","rating_causation","{""Q0"":3}","[0]","W2 asked to touch W4","W4 asked to touch W2"
"null","Luke is talking to Jane","","html-keyboard-response","25","1413808","0.0-13.0-0.0","15044","1B","woman","","null","M2 is talking to W4","talk4","sentence","","","",""
"6466","","","survey-likert-extra-labels","26","1420280","0.0-13.0-1.0-0.0","15044","1B","woman","","","M2 is talking to W4","talk4","rating_causation","{""Q0"":2}","[0]","M2 started a conversation with W4","W4 started a conversation with M2"
"10656.000000000116","","","survey-likert-extra-labels","27","1430941","0.0-13.0-2.0","15044","1B","woman","","","M2 is talking to W4","talk4","rating_volition","{""Q0"":1}","[0]","M2 wanted to talk to W4","W4 wanted to talk to M2"
"null","Kate is talking to Beth","","html-keyboard-response","28","1432945","0.0-14.0-0.0","15044","1B","woman","","null","W1 is talking to W3","talk1","sentence","","","",""
"12340","","","survey-likert-extra-labels","29","1445290","0.0-14.0-2.0","15044","1B","woman","","","W1 is talking to W3","talk1","rating_volition","{""Q0"":2}","[0]","W1 wanted to talk to W3","W3 wanted to talk to W1"
"8022","","","survey-likert-extra-labels","30","1453318","0.0-14.0-3.0-0.0","15044","1B","woman","","","W1 is talking to W3","talk1","rating_causation","{""Q0"":3}","[0]","W1 started a conversation with W3","W3 started a conversation with W1"
"null","Fred is driving Dave","","html-keyboard-response","31","1455322","0.0-15.0-0.0","15044","1B","woman","","null","M1 is driving M3","drive","sentence","","","",""
"14528","","","survey-likert-extra-labels","32","1469856","0.0-15.0-1.0-0.0","15044","1B","woman","","","M1 is driving M3","drive","rating_causation","{""Q0"":5}","[0]","M3 is taking M1 somewhere","M1 is taking M3 somewhere"
"6336","","","survey-likert-extra-labels","33","1476198","0.0-15.0-2.0","15044","1B","woman","","","M1 is driving M3","drive","rating_volition","{""Q0"":1}","[0]","M3 is M1's passenger","M1 is M3's passenger"
"null","Luke is dancing with Jane","","html-keyboard-response","34","1478203","0.0-16.0-0.0","15044","1B","woman","","null","M2 is dancing with W4","dance4","sentence","","","",""
"5356","","","survey-likert-extra-labels","35","1483565","0.0-16.0-2.0","15044","1B","woman","","","M2 is dancing with W4","dance4","rating_volition","{""Q0"":2}","[0]","M2 wanted to dance with W4","W4 wanted to dance with M2"
