"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","subject","list","ppt_gender","url","key_press","sentence_type","verb","test_part","responses","question_order","left_part","right_part"
"2681.5300000000093","Welcome to the experiment. Press Continue to begin.","0","html-button-response","0","2684","0.0-0.0","16004","1A","woman","","","","","","","","",""
"66295.81000000001","","","external-html","1","70008","0.0-1.0","16004","1A","woman","consent.html","","","","","","","",""
"12959.210000000006","<p>Welcome.</p><p>In this experiment we will ask you to imagine some situations.</p><p>Each trial starts with a description of an event.</p><p>Then you will see alternative descriptions of that event, and you will rate on a scale how best they match the original description.</p><p>You will give your answer by clicking a button on a rating scale.</p><p>To do this task, you will have to use your imagination to visualise these events.</p><br><p>Ready?</p>","0","html-button-response","2","82968","0.0-2.0","16004","1A","woman","","","","","","","","",""
"3239.695000000007","<p>Before the experiment starts, you will watch an example trial. Press 'Continue'.</p>","0","html-button-response","3","87212","0.0-3.0","16004","1A","woman","","","","","","","","",""
"null","The police officer is arresting the robber","","html-keyboard-response","4","90216","0.0-4.0","16004","1A","woman","","null","","","","","","",""
"13433.089999999982","<img src='img/Example-trial.jpg' style='height:550px;''></img>","0","html-button-response","5","103651","0.0-5.0","16004","1A","woman","","","","","","","","",""
"3045.079999999987","<p>Ready to start the experiment?</p><br><p><strong>Remember to give an answer by clicking a button on the rating scale.</strong></p><p>Press 'Continue' to begin.</p>","0","html-button-response","6","107699","0.0-6.0","16004","1A","woman","","","","","","","","",""
"null","Ruth is dancing with Kate","","html-keyboard-response","7","110715","0.0-7.0-0.0","16004","1A","woman","","null","W1 is dancing with W3","dance1","sentence","","","",""
"9171.700000000012","","","survey-likert-extra-labels","8","119891","0.0-7.0-2.0","16004","1A","woman","","","W1 is dancing with W3","dance1","rating_volition","{""Q0"":3}","[0]","W1 wanted to dance with W3","W3 wanted to dance with W1"
"5287.230000000025","","","survey-likert-extra-labels","9","125180","0.0-7.0-3.0-0.0","16004","1A","woman","","","W1 is dancing with W3","dance1","rating_causation","{""Q0"":3}","[0]","W1 asked W3 to dance","W3 asked W1 to dance"
"null","Mike is posing for Dave","","html-keyboard-response","10","127185","0.0-8.0-0.0","16004","1A","woman","","null","M2 is posing for M4","pose","sentence","","","",""
"11012.485000000015","","","survey-likert-extra-labels","11","138199","0.0-8.0-1.0-0.0","16004","1A","woman","","","M2 is posing for M4","pose","rating_causation","{""Q0"":1}","[0]","M2 is photographing M4","M4 is photographing M2"
"6986.934999999998","","","survey-likert-extra-labels","12","145187","0.0-8.0-2.0","16004","1A","woman","","","M2 is posing for M4","pose","rating_volition","{""Q0"":0}","[0]","M2 is modelling for M4","M4 is modelling for M2"
"null","Beth is arguing with Mike","","html-keyboard-response","13","147190","0.0-9.0-0.0","16004","1A","woman","","null","W4 is arguing with M2","argue4","sentence","","","",""
"4321.445000000036","","","survey-likert-extra-labels","14","151512","0.0-9.0-1.0-0.0","16004","1A","woman","","","W4 is arguing with M2","argue4","rating_causation","{""Q0"":3}","[0]","M2 started an argument with W4","W4 started an argument with M2"
"4546.990000000049","","","survey-likert-extra-labels","15","156061","0.0-9.0-2.0","16004","1A","woman","","","W4 is arguing with M2","argue4","rating_volition","{""Q0"":3}","[0]","M2 wanted to argue with W4","W4 wanted to argue with M2"
"null","Dave is marrying Mike","","html-keyboard-response","16","158066","0.0-10.0-0.0","16004","1A","woman","","null","M4 is marrying M2","marry2","sentence","","","",""
"8765.86500000002","","","survey-likert-extra-labels","17","166834","0.0-10.0-1.0-0.0","16004","1A","woman","","","M4 is marrying M2","marry2","rating_causation","{""Q0"":4}","[0]","M2 asked to marry M4","M4 asked to marry M2"
"10681.305000000022","","","survey-likert-extra-labels","18","177518","0.0-10.0-2.0","16004","1A","woman","","","M4 is marrying M2","marry2","rating_volition","{""Q0"":3}","[0]","M2 wanted to marry M4","M4 wanted to marry M2"
"null","Jane is touching Beth","","html-keyboard-response","19","179527","0.0-11.0-0.0","16004","1A","woman","","null","W2 is touching W4","touch1","sentence","","","",""
"7338.774999999994","","","survey-likert-extra-labels","20","186866","0.0-11.0-2.0","16004","1A","woman","","","W2 is touching W4","touch1","rating_volition","{""Q0"":3}","[0]","W2 wanted to touch W4","W4 wanted to touch W2"
"3978.8400000000256","","","survey-likert-extra-labels","21","190846","0.0-11.0-3.0-0.0","16004","1A","woman","","","W2 is touching W4","touch1","rating_causation","{""Q0"":3}","[0]","W2 asked to touch W4","W4 asked to touch W2"
"null","Beth is kissing Mike","","html-keyboard-response","22","192848","0.0-12.0-0.0","16004","1A","woman","","null","W4 is kissing M2","kiss3","sentence","","","",""
"9013.100000000006","","","survey-likert-extra-labels","23","201863","0.0-12.0-2.0","16004","1A","woman","","","W4 is kissing M2","kiss3","rating_volition","{""Q0"":4}","[0]","M2 wanted to kiss W4","W4 wanted to kiss M2"
"3861.9649999999965","","","survey-likert-extra-labels","24","205726","0.0-12.0-3.0-0.0","16004","1A","woman","","","W4 is kissing M2","kiss3","rating_causation","{""Q0"":3}","[0]","M2 asked to kiss W4","W4 asked to kiss M2"
"null","Kate is feeding Luke","","html-keyboard-response","25","207728","0.0-13.0-0.0","16004","1A","woman","","null","W3 is feeding M1","feed","sentence","","","",""
"14649.454999999987","","","survey-likert-extra-labels","26","222380","0.0-13.0-1.0-0.0","16004","1A","woman","","","W3 is feeding M1","feed","rating_causation","{""Q0"":5}","[0]","W3 is eating M1's food","M1 is eating W3's food"
"5027.775000000023","","","survey-likert-extra-labels","27","227410","0.0-13.0-2.0","16004","1A","woman","","","W3 is feeding M1","feed","rating_volition","{""Q0"":0}","[0]","W3 is giving M1 food","M1 is giving W3 food"
"null","Luke is marrying Kate","","html-keyboard-response","28","229418","0.0-14.0-0.0","16004","1A","woman","","null","M1 is marrying W3","marry4","sentence","","","",""
"9485.570000000007","","","survey-likert-extra-labels","29","238906","0.0-14.0-1.0-0.0","16004","1A","woman","","","M1 is marrying W3","marry4","rating_causation","{""Q0"":3}","[0]","W3 asked to marry M1","M1 asked to marry W3"
"3767.164999999979","","","survey-likert-extra-labels","30","242675","0.0-14.0-2.0","16004","1A","woman","","","M1 is marrying W3","marry4","rating_volition","{""Q0"":3}","[0]","W3 wanted to marry M1","M1 wanted to marry W3"
"null","Beth is fighting with Jane","","html-keyboard-response","31","244678","0.0-15.0-0.0","16004","1A","woman","","null","W4 is fighting with W2","fight1","sentence","","","",""
"4100.764999999985","","","survey-likert-extra-labels","32","248779","0.0-15.0-2.0","16004","1A","woman","","","W4 is fighting with W2","fight1","rating_volition","{""Q0"":3}","[0]","W2 wanted to fight W4","W4 wanted to fight W2"
"5110.054999999993","","","survey-likert-extra-labels","33","253892","0.0-15.0-3.0-0.0","16004","1A","woman","","","W4 is fighting with W2","fight1","rating_causation","{""Q0"":3}","[0]","W2 started the fight with W4","W4 started the fight with W2"
"null","Ruth is chasing Kate","","html-keyboard-response","34","255894","0.0-16.0-0.0","16004","1A","woman","","null","W1 is chasing W3","chase","sentence","","","",""
"11584.824999999983","","","survey-likert-extra-labels","35","267479","0.0-16.0-2.0","16004","1A","woman","","","W1 is chasing W3","chase","rating_volition","{""Q0"":0}","[0]","W1 is behind W3","W3 is behind W1"
"7206.814999999944","","","survey-likert-extra-labels","36","274687","0.0-16.0-3.0-0.0","16004","1A","woman","","","W1 is chasing W3","chase","rating_causation","{""Q0"":6}","[0]","W1 is running away from W3","W3 is running away from W1"
"null","Fred is kissing Luke","","html-keyboard-response","37","276689","0.0-17.0-0.0","16004","1A","woman","","null","M3 is kissing M1","kiss2","sentence","","","",""
"3158.070000000007","","","survey-likert-extra-labels","38","279850","0.0-17.0-1.0-0.0","16004","1A","woman","","","M3 is kissing M1","kiss2","rating_causation","{""Q0"":3}","[0]","M1 asked to kiss M3","M3 asked to kiss M1"
"3077.054999999993","","","survey-likert-extra-labels","39","282928","0.0-17.0-2.0","16004","1A","woman","","","M3 is kissing M1","kiss2","rating_volition","{""Q0"":3}","[0]","M1 wanted to kiss M3","M3 wanted to kiss M1"
"null","Jane is shouting at Dave","","html-keyboard-response","40","284933","0.0-18.0-0.0","16004","1A","woman","","null","W2 is shouting at M4","shout4","sentence","","","",""
"5109.719999999972","","","survey-likert-extra-labels","41","290045","0.0-18.0-2.0","16004","1A","woman","","","W2 is shouting at M4","shout4","rating_volition","{""Q0"":3}","[0]","W2 wanted to shout at M4","M4 wanted to shout at W2"
"6412.67499999993","","","survey-likert-extra-labels","42","296459","0.0-18.0-3.0-0.0","16004","1A","woman","","","W2 is shouting at M4","shout4","rating_causation","{""Q0"":2}","[0]","W2 shouted at M4 first","M4 shouted at W2 first"
"null","Jane is flirting with Beth","","html-keyboard-response","43","298469","0.0-19.0-0.0","16004","1A","woman","","null","W2 is flirting with W4","flirt1","sentence","","","",""
"8426.960000000021","","","survey-likert-extra-labels","44","306898","0.0-19.0-1.0-0.0","16004","1A","woman","","","W2 is flirting with W4","flirt1","rating_causation","{""Q0"":2}","[0]","W2 started flirting with W4 first","W4 started flirting with W2 first"
"5317.520000000019","","","survey-likert-extra-labels","45","312217","0.0-19.0-2.0","16004","1A","woman","","","W2 is flirting with W4","flirt1","rating_volition","{""Q0"":1}","[0]","W2 wanted to flirt with W4","W4 wanted to flirt with W2"
"null","Mike is talking to Beth","","html-keyboard-response","46","314221","0.0-20.0-0.0","16004","1A","woman","","null","M2 is talking to W4","talk4","sentence","","","",""
"4938.409999999974","","","survey-likert-extra-labels","47","319161","0.0-20.0-2.0","16004","1A","woman","","","M2 is talking to W4","talk4","rating_volition","{""Q0"":3}","[0]","M2 wanted to talk to W4","W4 wanted to talk to M2"
"6436.185000000056","","","survey-likert-extra-labels","48","325600","0.0-20.0-3.0-0.0","16004","1A","woman","","","M2 is talking to W4","talk4","rating_causation","{""Q0"":2}","[0]","M2 started a conversation with W4","W4 started a conversation with M2"
"null","Ruth is fighting with Fred","","html-keyboard-response","49","327605","0.0-21.0-0.0","16004","1A","woman","","null","W1 is fighting with M3","fight4","sentence","","","",""
"10292.399999999965","","","survey-likert-extra-labels","50","337899","0.0-21.0-1.0-0.0","16004","1A","woman","","","W1 is fighting with M3","fight4","rating_causation","{""Q0"":3}","[0]","M3 started the fight with W1","W1 started the fight with M3"
"10913.000000000058","","","survey-likert-extra-labels","51","348813","0.0-21.0-2.0","16004","1A","woman","","","W1 is fighting with M3","fight4","rating_volition","{""Q0"":3}","[0]","M3 wanted to fight W1","W1 wanted to fight M3"
