"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","subject","list","ppt_gender","url","key_press","sentence_type","verb","test_part","responses","question_order","left_part","right_part"
"8316.699999966659","Welcome to the experiment. Press Continue to begin.","0","html-button-response","0","8324","0.0-0.0","55890","1B","man","","","","","","","","",""
"15972.19999996014","","","external-html","1","25347","0.0-1.0","55890","1B","man","consent.html","","","","","","","",""
"30338.700000022072","<p>Welcome.</p><p>In this experiment we will ask you to imagine some situations.</p><p>Each trial starts with a description of an event.</p><p>Then you will see alternative descriptions of that event, and you will rate on a scale how best they match the original description.</p><p>You will give your answer by clicking a button on a rating scale.</p><p>To do this task, you will have to use your imagination to visualise these events.</p><br><p>Ready?</p>","0","html-button-response","2","55687","0.0-2.0","55890","1B","man","","","","","","","","",""
"5684.999999997672","<p>Before the experiment starts, you will watch an example trial. Press 'Continue'.</p>","0","html-button-response","3","62375","0.0-3.0","55890","1B","man","","","","","","","","",""
"null","The police officer is arresting the robber","","html-keyboard-response","4","65379","0.0-4.0","55890","1B","man","","null","","","","","","",""
"38301.0999999824","<img src='img/Example-trial.jpg' style='height:550px;''></img>","0","html-button-response","5","103682","0.0-5.0","55890","1B","man","","","","","","","","",""
"6482.799999997951","<p>Ready to start the experiment?</p><br><p><strong>Remember to give an answer by clicking a button on the rating scale.</strong></p><p>Press 'Continue' to begin.</p>","0","html-button-response","6","111167","0.0-6.0","55890","1B","man","","","","","","","","",""
"null","Kate is fighting with Dave","","html-keyboard-response","7","114172","0.0-7.0-0.0","55890","1B","man","","null","W1 is fighting with M3","fight4","sentence","","","",""
"10635.899999993853","","","survey-likert-extra-labels","8","124810","0.0-7.0-2.0","55890","1B","man","","","W1 is fighting with M3","fight4","rating_volition","{""Q0"":5}","[0]","M3 wanted to fight W1","W1 wanted to fight M3"
"9469.40000000177","","","survey-likert-extra-labels","9","134282","0.0-7.0-3.0-0.0","55890","1B","man","","","W1 is fighting with M3","fight4","rating_causation","{""Q0"":6}","[0]","M3 started the fight with W1","W1 started the fight with M3"
"null","Dave is flirting with Kate","","html-keyboard-response","10","136285","0.0-8.0-0.0","55890","1B","man","","null","M3 is flirting with W1","flirt4","sentence","","","",""
"6956.500000029337","","","survey-likert-extra-labels","11","143243","0.0-8.0-2.0","55890","1B","man","","","M3 is flirting with W1","flirt4","rating_volition","{""Q0"":1}","[0]","M3 wanted to flirt with W1","W1 wanted to flirt with M3"
"6422.600000048988","","","survey-likert-extra-labels","12","149667","0.0-8.0-3.0-0.0","55890","1B","man","","","M3 is flirting with W1","flirt4","rating_causation","{""Q0"":0}","[0]","M3 started flirting with W1 first","W1 started flirting with M3 first"
"null","Fred is dancing with Dave","","html-keyboard-response","13","151671","0.0-9.0-0.0","55890","1B","man","","null","M1 is dancing with M3","dance2","sentence","","","",""
"10367.800000007264","","","survey-likert-extra-labels","14","162039","0.0-9.0-1.0-0.0","55890","1B","man","","","M1 is dancing with M3","dance2","rating_causation","{""Q0"":1}","[0]","M1 asked M3 to dance","M3 asked M1 to dance"
