"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","subject","list","ppt_gender","url","key_press","sentence_type","verb","test_part","responses","question_order","left_part","right_part"
"1661.6500000091037","Welcome to the experiment. Press Continue to begin.","0","html-button-response","0","1665","0.0-0.0","618","1A","man","","","","","","","","",""
"50810.1650000026","","","external-html","1","53505","0.0-1.0","618","1A","man","consent.html","","","","","","","",""
"3234.2700000008335","<p>Welcome.</p><p>In this experiment we will ask you to imagine some situations.</p><p>Each trial starts with a description of an event.</p><p>Then you will see alternative descriptions of that event, and you will rate on a scale how best they match the original description.</p><p>You will give your answer by clicking a button on a rating scale.</p><p>To do this task, you will have to use your imagination to visualise these events.</p><br><p>Ready?</p>","0","html-button-response","2","56742","0.0-2.0","618","1A","man","","","","","","","","",""
"3688.609999997425","<p>Before the experiment starts, you will watch an example trial. Press 'Continue'.</p>","0","html-button-response","3","61433","0.0-3.0","618","1A","man","","","","","","","","",""
"null","The police officer is arresting the robber","","html-keyboard-response","4","64437","0.0-4.0","618","1A","man","","null","","","","","","",""
"31144.244999988587","<img src='img/Example-trial.jpg' style='height:550px;''></img>","0","html-button-response","5","95583","0.0-5.0","618","1A","man","","","","","","","","",""
"4620.955000005779","<p>Ready to start the experiment?</p><br><p><strong>Remember to give an answer by clicking a button on the rating scale.</strong></p><p>Press 'Continue' to begin.</p>","0","html-button-response","6","101207","0.0-6.0","618","1A","man","","","","","","","","",""
"null","Ruth is marrying Fred","","html-keyboard-response","7","104212","0.0-7.0-0.0","618","1A","man","","null","W1 is marrying M3","marry3","sentence","","","",""
"26112.65500000445","","","survey-likert-extra-labels","8","130328","0.0-7.0-2.0","618","1A","man","","","W1 is marrying M3","marry3","rating_volition","{""Q0"":6}","[0]","M3 wanted to marry W1","W1 wanted to marry M3"
"28041.245000000345","","","survey-likert-extra-labels","9","158372","0.0-7.0-3.0-0.0","618","1A","man","","","W1 is marrying M3","marry3","rating_causation","{""Q0"":1}","[0]","M3 asked to marry W1","W1 asked to marry M3"
"null","Ruth is talking to Kate","","html-keyboard-response","10","160374","0.0-8.0-0.0","618","1A","man","","null","W1 is talking to W3","talk1","sentence","","","",""
"5671.184999999241","","","survey-likert-extra-labels","11","166047","0.0-8.0-2.0","618","1A","man","","","W1 is talking to W3","talk1","rating_volition","{""Q0"":4}","[0]","W1 wanted to talk to W3","W3 wanted to talk to W1"
"5462.589999995544","","","survey-likert-extra-labels","12","171513","0.0-8.0-3.0-0.0","618","1A","man","","","W1 is talking to W3","talk1","rating_causation","{""Q0"":1}","[0]","W1 started a conversation with W3","W3 started a conversation with W1"
"null","Jane is flirting with Beth","","html-keyboard-response","13","173517","0.0-9.0-0.0","618","1A","man","","null","W2 is flirting with W4","flirt1","sentence","","","",""
"8935.90499999118","","","survey-likert-extra-labels","14","182455","0.0-9.0-1.0-0.0","618","1A","man","","","W2 is flirting with W4","flirt1","rating_causation","{""Q0"":1}","[0]","W2 started flirting with W4 first","W4 started flirting with W2 first"
"15188.3450000023","","","survey-likert-extra-labels","15","197646","0.0-9.0-2.0","618","1A","man","","","W2 is flirting with W4","flirt1","rating_volition","{""Q0"":1}","[0]","W2 wanted to flirt with W4","W4 wanted to flirt with W2"
"null","Beth is kissing Mike","","html-keyboard-response","16","199649","0.0-10.0-0.0","618","1A","man","","null","W4 is kissing M2","kiss3","sentence","","","",""
"17659.500000008848","","","survey-likert-extra-labels","17","217310","0.0-10.0-2.0","618","1A","man","","","W4 is kissing M2","kiss3","rating_volition","{""Q0"":5}","[0]","M2 wanted to kiss W4","W4 wanted to kiss M2"
"14930.390000008629","","","survey-likert-extra-labels","18","232243","0.0-10.0-3.0-0.0","618","1A","man","","","W4 is kissing M2","kiss3","rating_causation","{""Q0"":5}","[0]","M2 asked to kiss W4","W4 asked to kiss M2"
"null","Jane is touching Beth","","html-keyboard-response","19","234246","0.0-11.0-0.0","618","1A","man","","null","W2 is touching W4","touch1","sentence","","","",""
"16370.079999993322","","","survey-likert-extra-labels","20","250618","0.0-11.0-2.0","618","1A","man","","","W2 is touching W4","touch1","rating_volition","{""Q0"":0}","[0]","W2 wanted to touch W4","W4 wanted to touch W2"
"8567.829999999958","","","survey-likert-extra-labels","21","259189","0.0-11.0-3.0-0.0","618","1A","man","","","W2 is touching W4","touch1","rating_causation","{""Q0"":0}","[0]","W2 asked to touch W4","W4 asked to touch W2"
"null","Fred is arguing with Luke","","html-keyboard-response","22","261191","0.0-12.0-0.0","618","1A","man","","null","M3 is arguing with M1","argue2","sentence","","","",""
"8046.26499999722","","","survey-likert-extra-labels","23","269239","0.0-12.0-1.0-0.0","618","1A","man","","","M3 is arguing with M1","argue2","rating_causation","{""Q0"":5}","[0]","M1 started an argument with M3","M3 started an argument with M1"
"9819.159999999101","","","survey-likert-extra-labels","24","279061","0.0-12.0-2.0","618","1A","man","","","M3 is arguing with M1","argue2","rating_volition","{""Q0"":3}","[0]","M1 wanted to argue with M3","M3 wanted to argue with M1"
"null","Kate is playing with Luke","","html-keyboard-response","25","281063","0.0-13.0-0.0","618","1A","man","","null","W3 is playing with M1","play4","sentence","","","",""
"8614.014999999199","","","survey-likert-extra-labels","26","289679","0.0-13.0-2.0","618","1A","man","","","W3 is playing with M1","play4","rating_volition","{""Q0"":2}","[0]","W3 wanted to play with M1","M1 wanted to play with W3"
"12301.089999993565","","","survey-likert-extra-labels","27","301982","0.0-13.0-3.0-0.0","618","1A","man","","","W3 is playing with M1","play4","rating_causation","{""Q0"":1}","[0]","W3 asked to play with M1","M1 asked to play with W3"
