"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","subject","list","condition","ppt_gender","url","key_press","sentence_type","verb","test_part","responses","question_order","left_part","right_part"
"1210.6500000227243","Welcome to the experiment. Press Continue to begin.","0","html-button-response","0","1219","0.0-0.0","2162","1A","conjoined","woman","","","","","","","","",""
"22584.075000020675","","","external-html","1","24851","0.0-1.0","2162","1A","conjoined","woman","consent.html","","","","","","","",""
"12740.619999996852","<p>Welcome.</p><p>In this experiment we will ask you to imagine some situations.</p><p>Each trial starts with a description of an event.</p><p>Then you will see alternative descriptions of that event, and you will rate on a scale how best they match the original description.</p><p>You will give your answer by clicking a button on a rating scale.</p><p>To do this task, you will have to use your imagination to visualise these events.</p><br><p>Ready?</p>","0","html-button-response","2","37595","0.0-2.0","2162","1A","conjoined","woman","","","","","","","","",""
"1548.819999967236","<p>Before the experiment starts, you will watch an example trial. Press 'Continue'.</p>","0","html-button-response","3","40148","0.0-3.0","2162","1A","conjoined","woman","","","","","","","","",""
"null","The police officer is arresting the robber","","html-keyboard-response","4","43160","0.0-4.0","2162","1A","conjoined","woman","","null","","","","","","",""
"13230.804999999236","<img src='img/Example-trial.jpg' style='height:550px;''></img>","0","html-button-response","5","56397","0.0-5.0","2162","1A","conjoined","woman","","","","","","","","",""
"1625.4550000303425","<p>Ready to start the experiment?</p><br><p><strong>Remember to give an answer by clicking a button on the rating scale.</strong></p><p>Press 'Continue' to begin.</p>","0","html-button-response","6","59030","0.0-6.0","2162","1A","conjoined","woman","","","","","","","","",""
"null","Fred and Ruth are touching each other","","html-keyboard-response","7","62042","0.0-7.0-0.0","2162","1A","conjoined","woman","","null","M3 and W1 are touching each other","touch4","sentence","","","",""
"4941.630000015721","","","survey-likert-extra-labels","8","66992","0.0-7.0-1.0-0.0","2162","1A","conjoined","woman","","","M3 and W1 are touching each other","touch4","rating_causation","{""Q0"":3}","[0]","M3 asked to touch W1","W1 asked to touch M3"
"7525.069999974221","","","survey-likert-extra-labels","9","74523","0.0-7.0-2.0","2162","1A","conjoined","woman","","","M3 and W1 are touching each other","touch4","rating_volition","{""Q0"":0}","[0]","M3 wanted to touch W1","W1 wanted to touch M3"
"null","Kate and Luke are touching each other","","html-keyboard-response","10","76529","0.0-8.0-0.0","2162","1A","conjoined","woman","","null","W3 and M1 are touching each other","touch3","sentence","","","",""
"7316.359999997076","","","survey-likert-extra-labels","11","83849","0.0-8.0-2.0","2162","1A","conjoined","woman","","","W3 and M1 are touching each other","touch3","rating_volition","{""Q0"":3}","[0]","W3 wanted to touch M1","M1 wanted to touch W3"
"3138.72500002617","","","survey-likert-extra-labels","12","86994","0.0-8.0-3.0-0.0","2162","1A","conjoined","woman","","","W3 and M1 are touching each other","touch3","rating_causation","{""Q0"":0}","[0]","W3 asked to touch M1","M1 asked to touch W3"
"null","Fred and Ruth are flirting with each other","","html-keyboard-response","13","88999","0.0-9.0-0.0","2162","1A","conjoined","woman","","null","M3 and W1 are flirting with each other","flirt4","sentence","","","",""
"5188.020000001416","","","survey-likert-extra-labels","14","94190","0.0-9.0-1.0-0.0","2162","1A","conjoined","woman","","","M3 and W1 are flirting with each other","flirt4","rating_causation","{""Q0"":0}","[0]","M3 started flirting with W1 first","W1 started flirting with M3 first"
"2992.530000046827","","","survey-likert-extra-labels","15","97189","0.0-9.0-2.0","2162","1A","conjoined","woman","","","M3 and W1 are flirting with each other","flirt4","rating_volition","{""Q0"":6}","[0]","M3 wanted to flirt with W1","W1 wanted to flirt with M3"
"null","Beth and Mike are kissing each other","","html-keyboard-response","16","99195","0.0-10.0-0.0","2162","1A","conjoined","woman","","null","W4 and M2 are kissing each other","kiss3","sentence","","","",""
"3757.744999951683","","","survey-likert-extra-labels","17","102957","0.0-10.0-2.0","2162","1A","conjoined","woman","","","W4 and M2 are kissing each other","kiss3","rating_volition","{""Q0"":0}","[0]","M2 wanted to kiss W4","W4 wanted to kiss M2"
"3223.3000000123866","","","survey-likert-extra-labels","18","106187","0.0-10.0-3.0-0.0","2162","1A","conjoined","woman","","","W4 and M2 are kissing each other","kiss3","rating_causation","{""Q0"":6}","[0]","M2 asked to kiss W4","W4 asked to kiss M2"
"null","Kate and Ruth are kissing each other","","html-keyboard-response","19","108192","0.0-11.0-0.0","2162","1A","conjoined","woman","","null","W3 and W1 are kissing each other","kiss1","sentence","","","",""
"6243.789999978617","","","survey-likert-extra-labels","20","114440","0.0-11.0-1.0-0.0","2162","1A","conjoined","woman","","","W3 and W1 are kissing each other","kiss1","rating_causation","{""Q0"":0}","[0]","W1 asked to kiss W3","W3 asked to kiss W1"
"3671.135000011418","","","survey-likert-extra-labels","21","118115","0.0-11.0-2.0","2162","1A","conjoined","woman","","","W3 and W1 are kissing each other","kiss1","rating_volition","{""Q0"":6}","[0]","W1 wanted to kiss W3","W3 wanted to kiss W1"
"null","Mike is posing for Dave","","html-keyboard-response","22","120121","0.0-12.0-0.0","2162","1A","conjoined","woman","","null","M2 is posing for M4","pose","sentence","","","",""
"5441.334999981336","","","survey-likert-extra-labels","23","125566","0.0-12.0-1.0-0.0","2162","1A","conjoined","woman","","","M2 is posing for M4","pose","rating_causation","{""Q0"":6}","[0]","M2 is photographing M4","M4 is photographing M2"
"3535.4999999981374","","","survey-likert-extra-labels","24","129108","0.0-12.0-2.0","2162","1A","conjoined","woman","","","M2 is posing for M4","pose","rating_volition","{""Q0"":0}","[0]","M2 is modelling for M4","M4 is modelling for M2"
"null","Kate and Luke are flirting with each other","","html-keyboard-response","25","131115","0.0-13.0-0.0","2162","1A","conjoined","woman","","null","W3 and M1 are flirting with each other","flirt3","sentence","","","",""
"3951.0649999720044","","","survey-likert-extra-labels","26","135070","0.0-13.0-1.0-0.0","2162","1A","conjoined","woman","","","W3 and M1 are flirting with each other","flirt3","rating_causation","{""Q0"":6}","[0]","W3 started flirting with M1 first","M1 started flirting with W3 first"
"2365.334999980405","","","survey-likert-extra-labels","27","137441","0.0-13.0-2.0","2162","1A","conjoined","woman","","","W3 and M1 are flirting with each other","flirt3","rating_volition","{""Q0"":0}","[0]","W3 wanted to flirt with M1","M1 wanted to flirt with W3"
"null","Jane is carrying Beth","","html-keyboard-response","28","139448","0.0-14.0-0.0","2162","1A","conjoined","woman","","null","W2 is carrying W4","carry","sentence","","","",""
"4523.125000006985","","","survey-likert-extra-labels","29","143975","0.0-14.0-1.0-0.0","2162","1A","conjoined","woman","","","W2 is carrying W4","carry","rating_causation","{""Q0"":0}","[0]","W2 is being moved by W4","W4 is being moved by W2"
