"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","subject","list","condition","ppt_gender","url","key_press","sentence_type","verb","test_part","responses","question_order","left_part","right_part"
"8686","Welcome to the experiment. Press Continue to begin.","0","html-button-response","0","8690","0.0-0.0","37247","1B","conjoined","woman","","","","","","","","",""
"7695","","","external-html","1","17466","0.0-1.0","37247","1B","conjoined","woman","consent.html","","","","","","","",""
"2619","<p>Welcome.</p><p>In this experiment we will ask you to imagine some situations.</p><p>Each trial starts with a description of an event.</p><p>Then you will see alternative descriptions of that event, and you will rate on a scale how best they match the original description.</p><p>You will give your answer by clicking a button on a rating scale.</p><p>To do this task, you will have to use your imagination to visualise these events.</p><br><p>Ready?</p>","0","html-button-response","2","20087","0.0-2.0","37247","1B","conjoined","woman","","","","","","","","",""
"2510","<p>Before the experiment starts, you will watch an example trial. Press 'Continue'.</p>","0","html-button-response","3","23598","0.0-3.0","37247","1B","conjoined","woman","","","","","","","","",""
"null","The police officer is arresting the robber","","html-keyboard-response","4","26602","0.0-4.0","37247","1B","conjoined","woman","","null","","","","","","",""
"9803","<img src='img/Example-trial.jpg' style='height:550px;''></img>","0","html-button-response","5","36406","0.0-5.0","37247","1B","conjoined","woman","","","","","","","","",""
"2511","<p>Ready to start the experiment?</p><br><p><strong>Remember to give an answer by clicking a button on the rating scale.</strong></p><p>Press 'Continue' to begin.</p>","0","html-button-response","6","39919","0.0-6.0","37247","1B","conjoined","woman","","","","","","","","",""
"null","Luke is posing for Mike","","html-keyboard-response","7","42922","0.0-7.0-0.0","37247","1B","conjoined","woman","","null","M2 is posing for M4","pose","sentence","","","",""
"9088","","","survey-likert-extra-labels","8","52012","0.0-7.0-2.0","37247","1B","conjoined","woman","","","M2 is posing for M4","pose","rating_volition","{""Q0"":0}","[0]","M2 is modelling for M4","M4 is modelling for M2"
"4406","","","survey-likert-extra-labels","9","56421","0.0-7.0-3.0-0.0","37247","1B","conjoined","woman","","","M2 is posing for M4","pose","rating_causation","{""Q0"":6}","[0]","M2 is photographing M4","M4 is photographing M2"
"null","Kate and Dave are marrying each other","","html-keyboard-response","10","58423","0.0-8.0-0.0","37247","1B","conjoined","woman","","null","W1 and M3 are marrying each other","marry3","sentence","","","",""
"6183","","","survey-likert-extra-labels","11","64608","0.0-8.0-1.0-0.0","37247","1B","conjoined","woman","","","W1 and M3 are marrying each other","marry3","rating_causation","{""Q0"":3}","[0]","M3 asked to marry W1","W1 asked to marry M3"
"3551","","","survey-likert-extra-labels","12","68161","0.0-8.0-2.0","37247","1B","conjoined","woman","","","W1 and M3 are marrying each other","marry3","rating_volition","{""Q0"":3}","[0]","M3 wanted to marry W1","W1 wanted to marry M3"
"null","Luke is reminding Jane","","html-keyboard-response","13","70164","0.0-9.0-0.0","37247","1B","conjoined","woman","","null","M2 is reminding W4","remind","sentence","","","",""
"7121","","","survey-likert-extra-labels","14","77286","0.0-9.0-1.0-0.0","37247","1B","conjoined","woman","","","M2 is reminding W4","remind","rating_causation","{""Q0"":0}","[0]","M2 is remembering","W4 is remembering"
"6231","","","survey-likert-extra-labels","15","83519","0.0-9.0-2.0","37247","1B","conjoined","woman","","","M2 is reminding W4","remind","rating_volition","{""Q0"":0}","[0]","M2 is telling W4 again","W4 is telling M2 again"
