"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","subject","list","condition","ppt_gender","url","key_press","sentence_type","verb","test_part","responses","question_order","left_part","right_part"
"5806","Welcome to the experiment. Press Continue to begin.","0","html-button-response","0","5817","0.0-0.0","37336","1B","conjoined","man","","","","","","","","",""
"39788","","","external-html","1","46697","0.0-1.0","37336","1B","conjoined","man","consent.html","","","","","","","",""
"18021","<p>Welcome.</p><p>In this experiment we will ask you to imagine some situations.</p><p>Each trial starts with a description of an event.</p><p>Then you will see alternative descriptions of that event, and you will rate on a scale how best they match the original description.</p><p>You will give your answer by clicking a button on a rating scale.</p><p>To do this task, you will have to use your imagination to visualise these events.</p><br><p>Ready?</p>","0","html-button-response","2","64721","0.0-2.0","37336","1B","conjoined","man","","","","","","","","",""
"7297","<p>Before the experiment starts, you will watch an example trial. Press 'Continue'.</p>","0","html-button-response","3","73021","0.0-3.0","37336","1B","conjoined","man","","","","","","","","",""
"null","The police officer is arresting the robber","","html-keyboard-response","4","76027","0.0-4.0","37336","1B","conjoined","man","","null","","","","","","",""
"22381","<img src='img/Example-trial.jpg' style='height:550px;''></img>","0","html-button-response","5","98409","0.0-5.0","37336","1B","conjoined","man","","","","","","","","",""
"4102","<p>Ready to start the experiment?</p><br><p><strong>Remember to give an answer by clicking a button on the rating scale.</strong></p><p>Press 'Continue' to begin.</p>","0","html-button-response","6","103514","0.0-6.0","37336","1B","conjoined","man","","","","","","","","",""
"null","Dave and Fred are kissing each other","","html-keyboard-response","7","106519","0.0-7.0-0.0","37336","1B","conjoined","man","","null","M3 and M1 are kissing each other","kiss2","sentence","","","",""
"58815","","","survey-likert-extra-labels","8","165343","0.0-7.0-1.0-0.0","37336","1B","conjoined","man","","","M3 and M1 are kissing each other","kiss2","rating_causation","{""Q0"":5}","[0]","M1 asked to kiss M3","M3 asked to kiss M1"
"27236.00000000003","","","survey-likert-extra-labels","9","192581","0.0-7.0-2.0","37336","1B","conjoined","man","","","M3 and M1 are kissing each other","kiss2","rating_volition","{""Q0"":5}","[0]","M1 wanted to kiss M3","M3 wanted to kiss M1"
"null","Ruth and Jane are playing with each other","","html-keyboard-response","10","194586","0.0-8.0-0.0","37336","1B","conjoined","man","","null","W2 and W4 are playing with each other","play1","sentence","","","",""
"19209","","","survey-likert-extra-labels","11","213800","0.0-8.0-1.0-0.0","37336","1B","conjoined","man","","","W2 and W4 are playing with each other","play1","rating_causation","{""Q0"":1}","[0]","W2 asked to play with W4","W4 asked to play with W2"
"24296","","","survey-likert-extra-labels","12","238118","0.0-8.0-2.0","37336","1B","conjoined","man","","","W2 and W4 are playing with each other","play1","rating_volition","{""Q0"":3}","[0]","W2 wanted to play with W4","W4 wanted to play with W2"
"null","Ruth and Jane are touching each other","","html-keyboard-response","13","240125","0.0-9.0-0.0","37336","1B","conjoined","man","","null","W2 and W4 are touching each other","touch1","sentence","","","",""
