rt,stimulus,button_pressed,trial_type,trial_index,time_elapsed,internal_node_id,subject,list,condition,ppt_gender,url,key_press,sentence_type,verb,test_part,responses,question_order,left_part,right_part
7171,Welcome to the experiment. Press Continue to begin.,0,html-button-response,0,7178,0.0-0.0,63043,4B,conjoined,woman,,,,,,,,,
6648,,,external-html,1,14900,0.0-1.0,63043,4B,conjoined,woman,consent.html,,,,,,,,
25003,"<p>Welcome.</p><p>In this experiment we will ask you to imagine some situations.</p><p>Each trial starts with a description of an event.</p><p>Then you will see alternative descriptions of that event, and you will rate on a scale how best they match the original description.</p><p>You will give your answer by clicking a button on a rating scale.</p><p>To do this task, you will have to use your imagination to visualise these events.</p><br><p>Ready?</p>",0,html-button-response,2,39905,0.0-2.0,63043,4B,conjoined,woman,,,,,,,,,
3183,"<p>Before the experiment starts, you will watch an example trial. Press 'Continue'.</p>",0,html-button-response,3,44091,0.0-3.0,63043,4B,conjoined,woman,,,,,,,,,
null,The police officer is arresting the robber,,html-keyboard-response,4,47096,0.0-4.0,63043,4B,conjoined,woman,,null,,,,,,,
7691,<img src='img/Example-trial.jpg' style='height:550px;''></img>,0,html-button-response,5,54788,0.0-5.0,63043,4B,conjoined,woman,,,,,,,,,
2655,<p>Ready to start the experiment?</p><br><p><strong>Remember to give an answer by clicking a button on the rating scale.</strong></p><p>Press 'Continue' to begin.</p>,0,html-button-response,6,58444,0.0-6.0,63043,4B,conjoined,woman,,,,,,,,,
null,Ruth is shouting at Mike,,html-keyboard-response,7,61448,0.0-7.0-0.0,63043,4B,conjoined,woman,,null,W2 is shouting at M4,shout4,sentence,,,,
3087,,,survey-likert-extra-labels,8,64538,0.0-7.0-1.0-0.0,63043,4B,conjoined,woman,,,W2 is shouting at M4,shout4,rating_causation,"{""Q0"":6}",[0],M4 shouted at W2 first,W2 shouted at M4 first
10146,,,survey-likert-extra-labels,9,74686,0.0-7.0-2.0,63043,4B,conjoined,woman,,,W2 is shouting at M4,shout4,rating_volition,"{""Q0"":6}",[0],M4 wanted to shout at W2,W2 wanted to shout at M4
null,Ruth is carrying Jane,,html-keyboard-response,10,76690,0.0-8.0-0.0,63043,4B,conjoined,woman,,null,W2 is carrying W4,carry,sentence,,,,
4815,,,survey-likert-extra-labels,11,81508,0.0-8.0-1.0-0.0,63043,4B,conjoined,woman,,,W2 is carrying W4,carry,rating_causation,"{""Q0"":6}",[0],W2 is being moved by W4,W4 is being moved by W2
4062,,,survey-likert-extra-labels,12,85571,0.0-8.0-2.0,63043,4B,conjoined,woman,,,W2 is carrying W4,carry,rating_volition,"{""Q0"":0}",[0],W2 is transporting W4,W4 is transporting W2
null,Jane is marrying Ruth,,html-keyboard-response,13,87575,0.0-9.0-0.0,63043,4B,conjoined,woman,,null,W4 is marrying W2,marry1,sentence,,,,
4962,,,survey-likert-extra-labels,14,92539,0.0-9.0-2.0,63043,4B,conjoined,woman,,,W4 is marrying W2,marry1,rating_volition,"{""Q0"":0}",[0],W4 wanted to marry W2,W2 wanted to marry W4
5604,,,survey-likert-extra-labels,15,98146,0.0-9.0-3.0-0.0,63043,4B,conjoined,woman,,,W4 is marrying W2,marry1,rating_causation,"{""Q0"":0}",[0],W4 asked to marry W2,W2 asked to marry W4
null,Fred is driving Dave,,html-keyboard-response,16,100150,0.0-10.0-0.0,63043,4B,conjoined,woman,,null,M1 is driving M3,drive,sentence,,,,
5961,,,survey-likert-extra-labels,17,106114,0.0-10.0-2.0,63043,4B,conjoined,woman,,,M1 is driving M3,drive,rating_volition,"{""Q0"":0}",[0],M3 is M1's passenger,M1 is M3's passenger
6543,,,survey-likert-extra-labels,18,112659,0.0-10.0-3.0-0.0,63043,4B,conjoined,woman,,,M1 is driving M3,drive,rating_causation,"{""Q0"":6}",[0],M3 is taking M1 somewhere,M1 is taking M3 somewhere
null,Beth is talking to Kate,,html-keyboard-response,19,114663,0.0-11.0-0.0,63043,4B,conjoined,woman,,null,W3 is talking to W1,talk1,sentence,,,,
5179,,,survey-likert-extra-labels,20,119844,0.0-11.0-2.0,63043,4B,conjoined,woman,,,W3 is talking to W1,talk1,rating_volition,"{""Q0"":0}",[0],W3 wanted to talk to W1,W1 wanted to talk to W3
2597,,,survey-likert-extra-labels,21,122444,0.0-11.0-3.0-0.0,63043,4B,conjoined,woman,,,W3 is talking to W1,talk1,rating_causation,"{""Q0"":0}",[0],W3 started a conversation with W1,W1 started a conversation with W3
null,Jane is kissing Luke,,html-keyboard-response,22,124448,0.0-12.0-0.0,63043,4B,conjoined,woman,,null,W4 is kissing M2,kiss3,sentence,,,,
2813,,,survey-likert-extra-labels,23,127262,0.0-12.0-2.0,63043,4B,conjoined,woman,,,W4 is kissing M2,kiss3,rating_volition,"{""Q0"":0}",[0],W4 wanted to kiss M2,M2 wanted to kiss W4
3230,,,survey-likert-extra-labels,24,130495,0.0-12.0-3.0-0.0,63043,4B,conjoined,woman,,,W4 is kissing M2,kiss3,rating_causation,"{""Q0"":0}",[0],W4 asked to kiss M2,M2 asked to kiss W4
null,Dave is hiring Kate,,html-keyboard-response,25,132498,0.0-13.0-0.0,63043,4B,conjoined,woman,,null,M3 is hiring W1,hire,sentence,,,,
2565,,,survey-likert-extra-labels,26,135065,0.0-13.0-2.0,63043,4B,conjoined,woman,,,M3 is hiring W1,hire,rating_volition,"{""Q0"":0}",[0],M3 is employing W1,W1 is employing M3
3343,,,survey-likert-extra-labels,27,138411,0.0-13.0-3.0-0.0,63043,4B,conjoined,woman,,,M3 is hiring W1,hire,rating_causation,"{""Q0"":6}",[0],M3 will work for W1,W1 will work for M3
null,Beth is fighting with Fred,,html-keyboard-response,28,140415,0.0-14.0-0.0,63043,4B,conjoined,woman,,null,W3 is fighting with M1,fight3,sentence,,,,
4222,,,survey-likert-extra-labels,29,144639,0.0-14.0-2.0,63043,4B,conjoined,woman,,,W3 is fighting with M1,fight3,rating_volition,"{""Q0"":6}",[0],M1 wanted to fight W3,W3 wanted to fight M1
2978,,,survey-likert-extra-labels,30,147619,0.0-14.0-3.0-0.0,63043,4B,conjoined,woman,,,W3 is fighting with M1,fight3,rating_causation,"{""Q0"":6}",[0],M1 started the fight with W3,W3 started the fight with M1
null,Dave is playing with Kate,,html-keyboard-response,31,149622,0.0-15.0-0.0,63043,4B,conjoined,woman,,null,M3 is playing with W1,play3,sentence,,,,
5340,,,survey-likert-extra-labels,32,154964,0.0-15.0-2.0,63043,4B,conjoined,woman,,,M3 is playing with W1,play3,rating_volition,"{""Q0"":6}",[0],W1 wanted to play with M3,M3 wanted to play with W1
5844,,,survey-likert-extra-labels,33,160810,0.0-15.0-3.0-0.0,63043,4B,conjoined,woman,,,M3 is playing with W1,play3,rating_causation,"{""Q0"":6}",[0],W1 asked to play with M3,M3 asked to play with W1
null,Kate is touching Dave,,html-keyboard-response,34,162814,0.0-16.0-0.0,63043,4B,conjoined,woman,,null,W1 is touching M3,touch4,sentence,,,,
3266,,,survey-likert-extra-labels,35,166082,0.0-16.0-2.0,63043,4B,conjoined,woman,,,W1 is touching M3,touch4,rating_volition,"{""Q0"":0}",[0],W1 wanted to touch M3,M3 wanted to touch W1
3750,,,survey-likert-extra-labels,36,169834,0.0-16.0-3.0-0.0,63043,4B,conjoined,woman,,,W1 is touching M3,touch4,rating_causation,"{""Q0"":0}",[0],W1 asked to touch M3,M3 asked to touch W1
null,Beth is playing with Fred,,html-keyboard-response,37,171838,0.0-17.0-0.0,63043,4B,conjoined,woman,,null,W3 is playing with M1,play4,sentence,,,,
4171,,,survey-likert-extra-labels,38,176010,0.0-17.0-1.0-0.0,63043,4B,conjoined,woman,,,W3 is playing with M1,play4,rating_causation,"{""Q0"":6}",[0],M1 asked to play with W3,W3 asked to play with M1
4159,,,survey-likert-extra-labels,39,180173,0.0-17.0-2.0,63043,4B,conjoined,woman,,,W3 is playing with M1,play4,rating_volition,"{""Q0"":6}",[0],M1 wanted to play with W3,W3 wanted to play with M1
null,Kate is arguing with Beth,,html-keyboard-response,40,182177,0.0-18.0-0.0,63043,4B,conjoined,woman,,null,W1 is arguing with W3,argue1,sentence,,,,
6030,,,survey-likert-extra-labels,41,188209,0.0-18.0-1.0-0.0,63043,4B,conjoined,woman,,,W1 is arguing with W3,argue1,rating_causation,"{""Q0"":6}",[0],W3 started an argument with W1,W1 started an argument with W3
3193,,,survey-likert-extra-labels,42,191406,0.0-18.0-2.0,63043,4B,conjoined,woman,,,W1 is arguing with W3,argue1,rating_volition,"{""Q0"":6}",[0],W3 wanted to argue with W1,W1 wanted to argue with W3
null,Kate is chasing Beth,,html-keyboard-response,43,193410,0.0-19.0-0.0,63043,4B,conjoined,woman,,null,W1 is chasing W3,chase,sentence,,,,
10996,,,survey-likert-extra-labels,44,204407,0.0-19.0-1.0-0.0,63043,4B,conjoined,woman,,,W1 is chasing W3,chase,rating_causation,"{""Q0"":6}",[0],W1 is running away from W3,W3 is running away from W1
7787,,,survey-likert-extra-labels,45,212197,0.0-19.0-2.0,63043,4B,conjoined,woman,,,W1 is chasing W3,chase,rating_volition,"{""Q0"":0}",[0],W1 is behind W3,W3 is behind W1
null,Ruth is fighting with Jane,,html-keyboard-response,46,214201,0.0-20.0-0.0,63043,4B,conjoined,woman,,null,W2 is fighting with W4,fight1,sentence,,,,
2981,,,survey-likert-extra-labels,47,217184,0.0-20.0-1.0-0.0,63043,4B,conjoined,woman,,,W2 is fighting with W4,fight1,rating_causation,"{""Q0"":6}",[0],W4 started the fight with W2,W2 started the fight with W4
5147,,,survey-likert-extra-labels,48,222334,0.0-20.0-2.0,63043,4B,conjoined,woman,,,W2 is fighting with W4,fight1,rating_volition,"{""Q0"":6}",[0],W4 wanted to fight W2,W2 wanted to fight W4
null,Dave is fighting with Kate,,html-keyboard-response,49,224338,0.0-21.0-0.0,63043,4B,conjoined,woman,,null,M3 is fighting with W1,fight4,sentence,,,,
10655,,,survey-likert-extra-labels,50,234994,0.0-21.0-2.0,63043,4B,conjoined,woman,,,M3 is fighting with W1,fight4,rating_volition,"{""Q0"":6}",[0],W1 wanted to fight M3,M3 wanted to fight W1
3229,,,survey-likert-extra-labels,51,238226,0.0-21.0-3.0-0.0,63043,4B,conjoined,woman,,,M3 is fighting with W1,fight4,rating_causation,"{""Q0"":6}",[0],W1 started the fight with M3,M3 started the fight with W1
null,Fred is touching Beth,,html-keyboard-response,52,240230,0.0-22.0-0.0,63043,4B,conjoined,woman,,null,M1 is touching W3,touch3,sentence,,,,
4660,,,survey-likert-extra-labels,53,244893,0.0-22.0-1.0-0.0,63043,4B,conjoined,woman,,,M1 is touching W3,touch3,rating_causation,"{""Q0"":0}",[0],M1 asked to touch W3,W3 asked to touch M1
6716,,,survey-likert-extra-labels,54,251611,0.0-22.0-2.0,63043,4B,conjoined,woman,,,M1 is touching W3,touch3,rating_volition,"{""Q0"":0}",[0],M1 wanted to touch W3,W3 wanted to touch M1
null,Fred is flirting with Beth,,html-keyboard-response,55,253616,0.0-23.0-0.0,63043,4B,conjoined,woman,,null,M1 is flirting with W3,flirt3,sentence,,,,
