"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","subject","list","condition","ppt_gender","url","key_press","sentence_type","verb","test_part","responses","question_order","left_part","right_part"
"2209.949999989476","Welcome to the experiment. Press Continue to begin.","0","html-button-response","0","2221","0.0-0.0","75007","1A","conjoined","man","","","","","","","","",""
"13957.330000004731","","","external-html","1","17261","0.0-1.0","75007","1A","conjoined","man","consent.html","","","","","","","",""
"15223.119999995106","<p>Welcome.</p><p>In this experiment we will ask you to imagine some situations.</p><p>Each trial starts with a description of an event.</p><p>Then you will see alternative descriptions of that event, and you will rate on a scale how best they match the original description.</p><p>You will give your answer by clicking a button on a rating scale.</p><p>To do this task, you will have to use your imagination to visualise these events.</p><br><p>Ready?</p>","0","html-button-response","2","32490","0.0-2.0","75007","1A","conjoined","man","","","","","","","","",""
"3723.9799999952083","<p>Before the experiment starts, you will watch an example trial. Press 'Continue'.</p>","0","html-button-response","3","37234","0.0-3.0","75007","1A","conjoined","man","","","","","","","","",""
"null","The police officer is arresting the robber","","html-keyboard-response","4","40264","0.0-4.0","75007","1A","conjoined","man","","null","","","","","","",""
"15315.815000009025","<img src='img/Example-trial.jpg' style='height:550px;''></img>","0","html-button-response","5","55587","0.0-5.0","75007","1A","conjoined","man","","","","","","","","",""
"8755.850000001374","<p>Ready to start the experiment?</p><br><p><strong>Remember to give an answer by clicking a button on the rating scale.</strong></p><p>Press 'Continue' to begin.</p>","0","html-button-response","6","65354","0.0-6.0","75007","1A","conjoined","man","","","","","","","","",""
"null","Ruth and Kate are talking to each other","","html-keyboard-response","7","68394","0.0-7.0-0.0","75007","1A","conjoined","man","","null","W1 and W3 are talking to each other","talk1","sentence","","","",""
"13776.564999992843","","","survey-likert-extra-labels","8","82179","0.0-7.0-2.0","75007","1A","conjoined","man","","","W1 and W3 are talking to each other","talk1","rating_volition","{""Q0"":3}","[0]","W1 wanted to talk to W3","W3 wanted to talk to W1"
"14160.45499999018","","","survey-likert-extra-labels","9","96349","0.0-7.0-3.0-0.0","75007","1A","conjoined","man","","","W1 and W3 are talking to each other","talk1","rating_causation","{""Q0"":3}","[0]","W1 started a conversation with W3","W3 started a conversation with W1"
"null","Jane and Dave are dancing with each other","","html-keyboard-response","10","98366","0.0-8.0-0.0","75007","1A","conjoined","man","","null","W2 and M4 are dancing with each other","dance3","sentence","","","",""
"6440.589999998338","","","survey-likert-extra-labels","11","104812","0.0-8.0-2.0","75007","1A","conjoined","man","","","W2 and M4 are dancing with each other","dance3","rating_volition","{""Q0"":3}","[0]","W2 wanted to dance with M4","M4 wanted to dance with W2"
"9167.004999995697","","","survey-likert-extra-labels","12","113988","0.0-8.0-3.0-0.0","75007","1A","conjoined","man","","","W2 and M4 are dancing with each other","dance3","rating_causation","{""Q0"":3}","[0]","W2 asked M4 to dance","M4 asked W2 to dance"
"null","Ruth and Fred are fighting each other","","html-keyboard-response","13","116009","0.0-9.0-0.0","75007","1A","conjoined","man","","null","W1 and M3 are fighting each other","fight4","sentence","","","",""
"7291.649999999208","","","survey-likert-extra-labels","14","123307","0.0-9.0-1.0-0.0","75007","1A","conjoined","man","","","W1 and M3 are fighting each other","fight4","rating_causation","{""Q0"":3}","[0]","M3 started the fight with W1","W1 started the fight with M3"
"5225.879999998142","","","survey-likert-extra-labels","15","128540","0.0-9.0-2.0","75007","1A","conjoined","man","","","W1 and M3 are fighting each other","fight4","rating_volition","{""Q0"":3}","[0]","M3 wanted to fight W1","W1 wanted to fight M3"
"null","Kate and Luke are flirting with each other","","html-keyboard-response","16","130556","0.0-10.0-0.0","75007","1A","conjoined","man","","null","W3 and M1 are flirting with each other","flirt3","sentence","","","",""
"6658.880000002682","","","survey-likert-extra-labels","17","137220","0.0-10.0-2.0","75007","1A","conjoined","man","","","W3 and M1 are flirting with each other","flirt3","rating_volition","{""Q0"":3}","[0]","W3 wanted to flirt with M1","M1 wanted to flirt with W3"
"6383.864999996149","","","survey-likert-extra-labels","18","143611","0.0-10.0-3.0-0.0","75007","1A","conjoined","man","","","W3 and M1 are flirting with each other","flirt3","rating_causation","{""Q0"":3}","[0]","W3 started flirting with M1 first","M1 started flirting with W3 first"
"null","Mike and Dave are touching each other","","html-keyboard-response","19","145622","0.0-11.0-0.0","75007","1A","conjoined","man","","null","M2 and M4 are touching each other","touch2","sentence","","","",""
"8022.5700000009965","","","survey-likert-extra-labels","20","153651","0.0-11.0-1.0-0.0","75007","1A","conjoined","man","","","M2 and M4 are touching each other","touch2","rating_causation","{""Q0"":3}","[0]","M2 asked to touch M4","M4 asked to touch M2"
"2824.0350000123726","","","survey-likert-extra-labels","21","156483","0.0-11.0-2.0","75007","1A","conjoined","man","","","M2 and M4 are touching each other","touch2","rating_volition","{""Q0"":3}","[0]","M2 wanted to touch M4","M4 wanted to touch M2"
"null","Dave and Mike are marrying each other","","html-keyboard-response","22","158493","0.0-12.0-0.0","75007","1A","conjoined","man","","null","M4 and M2 are marrying each other","marry2","sentence","","","",""
"7304.185000000871","","","survey-likert-extra-labels","23","165803","0.0-12.0-1.0-0.0","75007","1A","conjoined","man","","","M4 and M2 are marrying each other","marry2","rating_causation","{""Q0"":3}","[0]","M2 asked to marry M4","M4 asked to marry M2"
"3577.6199999963865","","","survey-likert-extra-labels","24","169388","0.0-12.0-2.0","75007","1A","conjoined","man","","","M4 and M2 are marrying each other","marry2","rating_volition","{""Q0"":3}","[0]","M2 wanted to marry M4","M4 wanted to marry M2"
"null","Jane is teaching Dave","","html-keyboard-response","25","171398","0.0-13.0-0.0","75007","1A","conjoined","man","","null","W2 is teaching M4","teach","sentence","","","",""
"12247.125000008964","","","survey-likert-extra-labels","26","183651","0.0-13.0-2.0","75007","1A","conjoined","man","","","W2 is teaching M4","teach","rating_volition","{""Q0"":0}","[0]","W2 is educating M4","M4 is educating W2"
"11120.71499999729","","","survey-likert-extra-labels","27","194779","0.0-13.0-3.0-0.0","75007","1A","conjoined","man","","","W2 is teaching M4","teach","rating_causation","{""Q0"":6}","[0]","W2 is learning from M4","M4 is learning from W2"
"null","Mike and Dave are flirting with each other","","html-keyboard-response","28","196786","0.0-14.0-0.0","75007","1A","conjoined","man","","null","M2 and M4 are flirting with each other","flirt2","sentence","","","",""
"4443.644999992102","","","survey-likert-extra-labels","29","201236","0.0-14.0-2.0","75007","1A","conjoined","man","","","M2 and M4 are flirting with each other","flirt2","rating_volition","{""Q0"":3}","[0]","M2 wanted to flirt with M4","M4 wanted to flirt with M2"
"4137.199999997392","","","survey-likert-extra-labels","30","205381","0.0-14.0-3.0-0.0","75007","1A","conjoined","man","","","M2 and M4 are flirting with each other","flirt2","rating_causation","{""Q0"":3}","[0]","M2 started flirting with M4 first","M4 started flirting with M2 first"
"null","Beth and Mike are kissing each other","","html-keyboard-response","31","207388","0.0-15.0-0.0","75007","1A","conjoined","man","","null","W4 and M2 are kissing each other","kiss3","sentence","","","",""
"4154.900000008638","","","survey-likert-extra-labels","32","211547","0.0-15.0-2.0","75007","1A","conjoined","man","","","W4 and M2 are kissing each other","kiss3","rating_volition","{""Q0"":3}","[0]","M2 wanted to kiss W4","W4 wanted to kiss M2"
"3032.5400000001537","","","survey-likert-extra-labels","33","214587","0.0-15.0-3.0-0.0","75007","1A","conjoined","man","","","W4 and M2 are kissing each other","kiss3","rating_causation","{""Q0"":3}","[0]","M2 asked to kiss W4","W4 asked to kiss M2"
"null","Mike and Beth are shouting at each other","","html-keyboard-response","34","216604","0.0-16.0-0.0","75007","1A","conjoined","man","","null","M2 and W4 are shouting at each other","shout3","sentence","","","",""
"4328.529999998864","","","survey-likert-extra-labels","35","220939","0.0-16.0-1.0-0.0","75007","1A","conjoined","man","","","M2 and W4 are shouting at each other","shout3","rating_causation","{""Q0"":3}","[0]","M2 shouted at W4 first","W4 shouted at M2 first"
"2578.0349999986356","","","survey-likert-extra-labels","36","223524","0.0-16.0-2.0","75007","1A","conjoined","man","","","M2 and W4 are shouting at each other","shout3","rating_volition","{""Q0"":3}","[0]","M2 wanted to shout at W4","W4 wanted to shout at M2"
"null","Kate is feeding Luke","","html-keyboard-response","37","225530","0.0-17.0-0.0","75007","1A","conjoined","man","","null","W3 is feeding M1","feed","sentence","","","",""
"7530.450000005658","","","survey-likert-extra-labels","38","233067","0.0-17.0-2.0","75007","1A","conjoined","man","","","W3 is feeding M1","feed","rating_volition","{""Q0"":0}","[0]","W3 is giving M1 food","M1 is giving W3 food"
"12984.989999997197","","","survey-likert-extra-labels","39","246060","0.0-17.0-3.0-0.0","75007","1A","conjoined","man","","","W3 is feeding M1","feed","rating_causation","{""Q0"":6}","[0]","W3 is eating M1's food","M1 is eating W3's food"
"null","Beth and Jane are fighting each other","","html-keyboard-response","40","248069","0.0-18.0-0.0","75007","1A","conjoined","man","","null","W4 and W2 are fighting each other","fight1","sentence","","","",""
"5736.870000007912","","","survey-likert-extra-labels","41","253812","0.0-18.0-1.0-0.0","75007","1A","conjoined","man","","","W4 and W2 are fighting each other","fight1","rating_causation","{""Q0"":3}","[0]","W2 started the fight with W4","W4 started the fight with W2"
"5175.300000002608","","","survey-likert-extra-labels","42","258996","0.0-18.0-2.0","75007","1A","conjoined","man","","","W4 and W2 are fighting each other","fight1","rating_volition","{""Q0"":3}","[0]","W2 wanted to fight W4","W4 wanted to fight W2"
"null","Ruth and Kate are shouting at each other","","html-keyboard-response","43","261014","0.0-19.0-0.0","75007","1A","conjoined","man","","null","W1 and W3 are shouting at each other","shout1","sentence","","","",""
"8862.599999993108","","","survey-likert-extra-labels","44","269883","0.0-19.0-2.0","75007","1A","conjoined","man","","","W1 and W3 are shouting at each other","shout1","rating_volition","{""Q0"":3}","[0]","W1 wanted to shout at W3","W3 wanted to shout at W1"
"4736.424999995506","","","survey-likert-extra-labels","45","274627","0.0-19.0-3.0-0.0","75007","1A","conjoined","man","","","W1 and W3 are shouting at each other","shout1","rating_causation","{""Q0"":3}","[0]","W1 shouted at W3 first","W3 shouted at W1 first"
"null","Jane and Beth are playing with each other","","html-keyboard-response","46","276636","0.0-20.0-0.0","75007","1A","conjoined","man","","null","W2 and W4 are playing with each other","play1","sentence","","","",""
