verb,list,coding,first_mention_gender
hug1,1A,regular,W1
hug2,1A,regular,M1
hug3,1A,regular,W2
hug4,1A,regular,M2
seduce1,1A,regular,W2
seduce2,1A,regular,M2
seduce3,1A,regular,W3
seduce4,1A,regular,M3
kiss1,1A,reverse,W3
kiss2,1A,reverse,M3
kiss3,1A,reverse,W4
kiss4,1A,reverse,M4
greet1,1A,reverse,W4
greet2,1A,reverse,M4
greet3,1A,reverse,W1
greet4,1A,reverse,M1
look1,1A,reverse,W3
look2,1A,reverse,M3
look3,1A,reverse,M4
look4,1A,reverse,W4
copy1,1A,reverse,W4
copy2,1A,reverse,M4
copy3,1A,reverse,M1
copy4,1A,reverse,W1
shout1,1A,regular,W1
shout2,1A,regular,M1
shout3,1A,regular,M2
shout4,1A,regular,W2
challenge1,1A,regular,W2
challenge2,1A,regular,M2
challenge3,1A,regular,M3
challenge4,1A,regular,W3
oppose1,1A,regular,W1
oppose2,1A,regular,M1
oppose3,1A,regular,W2
oppose4,1A,regular,M2
touch1,1A,regular,W2
touch2,1A,regular,M2
touch3,1A,regular,W3
touch4,1A,regular,M3
hug1,4A,regular,W3
hug2,4A,regular,M3
hug3,4A,regular,M4
hug4,4A,regular,W4
seduce1,4A,regular,W4
seduce2,4A,regular,M4
seduce3,4A,regular,M1
seduce4,4A,regular,W1
kiss1,4A,regular,W3
kiss2,4A,regular,M3
kiss3,4A,regular,W4
kiss4,4A,regular,M4
greet1,4A,regular,W4
greet2,4A,regular,M4
greet3,4A,regular,W1
greet4,4A,regular,M1
look1,4A,reverse,W1
look2,4A,reverse,M1
look3,4A,reverse,W2
look4,4A,reverse,M2
copy1,4A,reverse,W2
copy2,4A,reverse,M2
copy3,4A,reverse,W3
copy4,4A,reverse,M3
shout1,4A,reverse,W1
shout2,4A,reverse,M1
shout3,4A,reverse,M2
shout4,4A,reverse,W2
challenge1,4A,reverse,W2
challenge2,4A,reverse,M2
challenge3,4A,reverse,M3
challenge4,4A,reverse,W3
oppose1,4A,regular,W3
oppose2,4A,regular,M3
oppose3,4A,regular,M4
oppose4,4A,regular,W4
touch1,4A,regular,W4
touch2,4A,regular,M4
touch3,4A,regular,M1
touch4,4A,regular,W1
hug1,2A,reverse,W1
hug2,2A,reverse,M1
hug3,2A,reverse,W2
hug4,2A,reverse,M2
seduce1,2A,reverse,W2
seduce2,2A,reverse,M2
seduce3,2A,reverse,W3
seduce4,2A,reverse,M3
kiss1,2A,reverse,W1
kiss2,2A,reverse,M1
kiss3,2A,reverse,M2
kiss4,2A,reverse,W2
greet1,2A,reverse,W2
greet2,2A,reverse,M2
greet3,2A,reverse,M3
greet4,2A,reverse,W3
look1,2A,regular,W3
look2,2A,regular,M3
look3,2A,regular,M4
look4,2A,regular,W4
copy1,2A,regular,W4
copy2,2A,regular,M4
copy3,2A,regular,M1
copy4,2A,regular,W1
shout1,2A,regular,W3
shout2,2A,regular,M3
shout3,2A,regular,W4
shout4,2A,regular,M4
challenge1,2A,regular,W4
challenge2,2A,regular,M4
challenge3,2A,regular,W1
challenge4,2A,regular,M1
oppose1,2A,reverse,W1
oppose2,2A,reverse,M1
oppose3,2A,reverse,W2
oppose4,2A,reverse,M2
touch1,2A,reverse,W2
touch2,2A,reverse,M2
touch3,2A,reverse,W3
touch4,2A,reverse,M3
hug1,3A,reverse,W3
hug2,3A,reverse,M3
hug3,3A,reverse,M4
hug4,3A,reverse,W4
seduce1,3A,reverse,W4
seduce2,3A,reverse,M4
seduce3,3A,reverse,M1
seduce4,3A,reverse,W1
kiss1,3A,regular,W1
kiss2,3A,regular,M1
kiss3,3A,regular,M2
kiss4,3A,regular,W2
greet1,3A,regular,W2
greet2,3A,regular,M2
greet3,3A,regular,M3
greet4,3A,regular,W3
look1,3A,regular,W1
look2,3A,regular,M1
look3,3A,regular,W2
look4,3A,regular,M2
copy1,3A,regular,W2
copy2,3A,regular,M2
copy3,3A,regular,W3
copy4,3A,regular,M3
shout1,3A,reverse,W3
shout2,3A,reverse,M3
shout3,3A,reverse,W4
shout4,3A,reverse,M4
challenge1,3A,reverse,W4
challenge2,3A,reverse,M4
challenge3,3A,reverse,W1
challenge4,3A,reverse,M1
oppose1,3A,reverse,W3
oppose2,3A,reverse,M3
oppose3,3A,reverse,M4
oppose4,3A,reverse,W4
touch1,3A,reverse,W4
touch2,3A,reverse,M4
touch3,3A,reverse,M1
touch4,3A,reverse,W1
hug1,1B,regular,W1
hug2,1B,regular,M1
hug3,1B,regular,W2
hug4,1B,regular,M2
seduce1,1B,regular,W2
seduce2,1B,regular,M2
seduce3,1B,regular,W3
seduce4,1B,regular,M3
kiss1,1B,reverse,W3
kiss2,1B,reverse,M3
kiss3,1B,reverse,W4
kiss4,1B,reverse,M4
greet1,1B,reverse,W4
greet2,1B,reverse,M4
greet3,1B,reverse,W1
greet4,1B,reverse,M1
look1,1B,reverse,W3
look2,1B,reverse,M3
look3,1B,reverse,M4
look4,1B,reverse,W4
copy1,1B,reverse,W4
copy2,1B,reverse,M4
copy3,1B,reverse,M1
copy4,1B,reverse,W1
shout1,1B,regular,W1
shout2,1B,regular,M1
shout3,1B,regular,M2
shout4,1B,regular,W2
challenge1,1B,regular,W2
challenge2,1B,regular,M2
challenge3,1B,regular,M3
challenge4,1B,regular,W3
oppose1,1B,regular,W1
oppose2,1B,regular,M1
oppose3,1B,regular,W2
oppose4,1B,regular,M2
touch1,1B,regular,W2
touch2,1B,regular,M2
touch3,1B,regular,W3
touch4,1B,regular,M3
hug1,4B,regular,W3
hug2,4B,regular,M3
hug3,4B,regular,M4
hug4,4B,regular,W4
seduce1,4B,regular,W4
seduce2,4B,regular,M4
seduce3,4B,regular,M1
seduce4,4B,regular,W1
kiss1,4B,regular,W3
kiss2,4B,regular,M3
kiss3,4B,regular,W4
kiss4,4B,regular,M4
greet1,4B,regular,W4
greet2,4B,regular,M4
greet3,4B,regular,W1
