rt,stimulus,button_pressed,choices,ChosenStimulus,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,study_id,session_id,subject,list,ppt_gender,url,key_press,sentence_type,verb,test_part,responses,question_order,left_part,right_part
51662.19999998808,Welcome to the experiment. Press Continue to begin.,0,Continue,Continue,html-button-response,0,51666,0.0-0.0,anomymised,656582dc9140dccdaa20d120,65671a33b3f79fb5a94825bb,27706,1C,woman,NA,NA,NA,NA,NA,NA,NA,NA,NA
12772.40000000596,NA,NA,NA,NA,external-html,1,65620,0.0-1.0,anomymised,656582dc9140dccdaa20d120,65671a33b3f79fb5a94825bb,27706,1C,woman,consent.html,NA,NA,NA,NA,NA,NA,NA,NA
13588.699999988079,"<p>Welcome.</p><p>In this experiment we will ask you to imagine some situations.</p><p>Each trial starts with a description of an event.</p><p>Then you will see alternative descriptions of that event, and you will rate on a scale how best they match the original description.</p><p>You will give your answer by clicking a button on a rating scale.</p><p>To do this task, you will have to use your imagination to visualise these events.</p><br><p>Ready?</p>",0,Continue,Continue,html-button-response,2,79212,0.0-2.0,anomymised,656582dc9140dccdaa20d120,65671a33b3f79fb5a94825bb,27706,1C,woman,NA,NA,NA,NA,NA,NA,NA,NA,NA
1635,"<p>Before the experiment starts, you will watch an example trial. Press 'Continue'.</p>",0,Continue,Continue,html-button-response,3,81853,0.0-3.0,anomymised,656582dc9140dccdaa20d120,65671a33b3f79fb5a94825bb,27706,1C,woman,NA,NA,NA,NA,NA,NA,NA,NA,NA
null,The police officer is arresting the robber,NA,NA,NA,html-keyboard-response,4,84881,0.0-4.0,anomymised,656582dc9140dccdaa20d120,65671a33b3f79fb5a94825bb,27706,1C,woman,NA,null,NA,NA,NA,NA,NA,NA,NA
12084.89999999106,<img src='img/Example-trial.jpg' style='height:550px;''></img>,0,Continue,Continue,html-button-response,5,96968,0.0-5.0,anomymised,656582dc9140dccdaa20d120,65671a33b3f79fb5a94825bb,27706,1C,woman,NA,NA,NA,NA,NA,NA,NA,NA,NA
3503.9000000059605,<p>Ready to start the experiment?</p><br><p><strong>Remember to give an answer by clicking a button on the rating scale.</strong></p><p>Press 'Continue' to begin.</p>,0,Continue,Continue,html-button-response,6,101482,0.0-6.0,anomymised,656582dc9140dccdaa20d120,65671a33b3f79fb5a94825bb,27706,1C,woman,NA,NA,NA,NA,NA,NA,NA,NA,NA
null,Beth is being challenged by Jane,NA,NA,NA,html-keyboard-response,7,104506,0.0-7.0-0.0,anomymised,656582dc9140dccdaa20d120,65671a33b3f79fb5a94825bb,27706,1C,woman,NA,null,W4 is being challenged by W2,challenge1,sentence,NA,NA,NA,NA
5819.5,NA,NA,NA,NA,survey-likert-extra-labels,8,110327,0.0-7.0-1.0-0.0,anomymised,656582dc9140dccdaa20d120,65671a33b3f79fb5a94825bb,27706,1C,woman,NA,NA,W4 is being challenged by W2,challenge1,rating_causation,"{""Q0"":0}",[0],W2 started challenging W4 first,W4 started challenging W2 first
10002.10000000894,NA,NA,NA,NA,survey-likert-extra-labels,9,120335,0.0-7.0-2.0,anomymised,656582dc9140dccdaa20d120,65671a33b3f79fb5a94825bb,27706,1C,woman,NA,NA,W4 is being challenged by W2,challenge1,rating_volition,"{""Q0"":1}",[0],W2 wanted to challenge W4,W4 wanted to challenge W2
null,Kate is being opposed by Ruth,NA,NA,NA,html-keyboard-response,10,122344,0.0-8.0-0.0,anomymised,656582dc9140dccdaa20d120,65671a33b3f79fb5a94825bb,27706,1C,woman,NA,null,W3 is being opposed by W1,oppose1,sentence,NA,NA,NA,NA
6016.29999999702,NA,NA,NA,NA,survey-likert-extra-labels,11,128362,0.0-8.0-2.0,anomymised,656582dc9140dccdaa20d120,65671a33b3f79fb5a94825bb,27706,1C,woman,NA,NA,W3 is being opposed by W1,oppose1,rating_volition,"{""Q0"":0}",[0],W1 wanted to oppose W3,W3 wanted to oppose W1
7680.0999999940395,NA,NA,NA,NA,survey-likert-extra-labels,12,136047,0.0-8.0-3.0-0.0,anomymised,656582dc9140dccdaa20d120,65671a33b3f79fb5a94825bb,27706,1C,woman,NA,NA,W3 is being opposed by W1,oppose1,rating_causation,"{""Q0"":2}",[0],W1 started opposing W3,W3 started opposing W1
null,Kate is feeding Luke,NA,NA,NA,html-keyboard-response,13,138064,0.0-9.0-0.0,anomymised,656582dc9140dccdaa20d120,65671a33b3f79fb5a94825bb,27706,1C,woman,NA,null,W3 is feeding M1,feed,sentence,NA,NA,NA,NA
9579.70000000298,NA,NA,NA,NA,survey-likert-extra-labels,14,147646,0.0-9.0-2.0,anomymised,656582dc9140dccdaa20d120,65671a33b3f79fb5a94825bb,27706,1C,woman,NA,NA,W3 is feeding M1,feed,rating_volition,"{""Q0"":0}",[0],W3 cooked for M1,M1 cooked for W3
9200.5,NA,NA,NA,NA,survey-likert-extra-labels,15,156851,0.0-9.0-3.0-0.0,anomymised,656582dc9140dccdaa20d120,65671a33b3f79fb5a94825bb,27706,1C,woman,NA,NA,W3 is feeding M1,feed,rating_causation,"{""Q0"":6}",[0],W3 is eating M1's food,M1 is eating W3's food
null,Mike is posing for Dave,NA,NA,NA,html-keyboard-response,16,158858,0.0-10.0-0.0,anomymised,656582dc9140dccdaa20d120,65671a33b3f79fb5a94825bb,27706,1C,woman,NA,null,M2 is posing for M4,pose,sentence,NA,NA,NA,NA
5257.0999999940395,NA,NA,NA,NA,survey-likert-extra-labels,17,164117,0.0-10.0-2.0,anomymised,656582dc9140dccdaa20d120,65671a33b3f79fb5a94825bb,27706,1C,woman,NA,NA,M2 is posing for M4,pose,rating_volition,"{""Q0"":0}",[0],M2 is modelling for M4,M4 is modelling for M2
7805.699999988079,NA,NA,NA,NA,survey-likert-extra-labels,18,171927,0.0-10.0-3.0-0.0,anomymised,656582dc9140dccdaa20d120,65671a33b3f79fb5a94825bb,27706,1C,woman,NA,NA,M2 is posing for M4,pose,rating_causation,"{""Q0"":6}",[0],M2 is photographing M4,M4 is photographing M2
null,Jane is carrying Beth,NA,NA,NA,html-keyboard-response,19,173949,0.0-11.0-0.0,anomymised,656582dc9140dccdaa20d120,65671a33b3f79fb5a94825bb,27706,1C,woman,NA,null,W2 is carrying W4,carry,sentence,NA,NA,NA,NA
6741.29999999702,NA,NA,NA,NA,survey-likert-extra-labels,20,180691,0.0-11.0-1.0-0.0,anomymised,656582dc9140dccdaa20d120,65671a33b3f79fb5a94825bb,27706,1C,woman,NA,NA,W2 is carrying W4,carry,rating_causation,"{""Q0"":6}",[0],W2 is being moved by W4,W4 is being moved by W2
5093.600000008941,NA,NA,NA,NA,survey-likert-extra-labels,21,185784,0.0-11.0-2.0,anomymised,656582dc9140dccdaa20d120,65671a33b3f79fb5a94825bb,27706,1C,woman,NA,NA,W2 is carrying W4,carry,rating_volition,"{""Q0"":0}",[0],W2 is transporting W4,W4 is transporting W2
null,Mike is being kissed by Beth,NA,NA,NA,html-keyboard-response,22,187811,0.0-12.0-0.0,anomymised,656582dc9140dccdaa20d120,65671a33b3f79fb5a94825bb,27706,1C,woman,NA,null,M2 is being kissed by W4,kiss3,sentence,NA,NA,NA,NA
8541.59999999404,NA,NA,NA,NA,survey-likert-extra-labels,23,196354,0.0-12.0-1.0-0.0,anomymised,656582dc9140dccdaa20d120,65671a33b3f79fb5a94825bb,27706,1C,woman,NA,NA,M2 is being kissed by W4,kiss3,rating_causation,"{""Q0"":3}",[0],M2 asked to kiss W4,W4 asked to kiss M2
7427.5999999940395,NA,NA,NA,NA,survey-likert-extra-labels,24,203786,0.0-12.0-2.0,anomymised,656582dc9140dccdaa20d120,65671a33b3f79fb5a94825bb,27706,1C,woman,NA,NA,M2 is being kissed by W4,kiss3,rating_volition,"{""Q0"":3}",[0],M2 wanted to kiss W4,W4 wanted to kiss M2
null,Kate is being shouted at by Ruth,NA,NA,NA,html-keyboard-response,25,205798,0.0-13.0-0.0,anomymised,656582dc9140dccdaa20d120,65671a33b3f79fb5a94825bb,27706,1C,woman,NA,null,W3 is being shouted at by W1,shout1,sentence,NA,NA,NA,NA
8096,NA,NA,NA,NA,survey-likert-extra-labels,26,213895,0.0-13.0-1.0-0.0,anomymised,656582dc9140dccdaa20d120,65671a33b3f79fb5a94825bb,27706,1C,woman,NA,NA,W3 is being shouted at by W1,shout1,rating_causation,"{""Q0"":2}",[0],W1 shouted at W3 first,W3 shouted at W1 first
7416.100000008941,NA,NA,NA,NA,survey-likert-extra-labels,27,221313,0.0-13.0-2.0,anomymised,656582dc9140dccdaa20d120,65671a33b3f79fb5a94825bb,27706,1C,woman,NA,NA,W3 is being shouted at by W1,shout1,rating_volition,"{""Q0"":2}",[0],W1 wanted to shout at W3,W3 wanted to shout at W1
null,Luke is being touched by Kate,NA,NA,NA,html-keyboard-response,28,223328,0.0-14.0-0.0,anomymised,656582dc9140dccdaa20d120,65671a33b3f79fb5a94825bb,27706,1C,woman,NA,null,M1 is being touched by W3,touch3,sentence,NA,NA,NA,NA
9479.79999999702,NA,NA,NA,NA,survey-likert-extra-labels,29,232809,0.0-14.0-1.0-0.0,anomymised,656582dc9140dccdaa20d120,65671a33b3f79fb5a94825bb,27706,1C,woman,NA,NA,M1 is being touched by W3,touch3,rating_causation,"{""Q0"":3}",[0],W3 asked to touch M1,M1 asked to touch W3
7787.20000000298,NA,NA,NA,NA,survey-likert-extra-labels,30,240600,0.0-14.0-2.0,anomymised,656582dc9140dccdaa20d120,65671a33b3f79fb5a94825bb,27706,1C,woman,NA,NA,M1 is being touched by W3,touch3,rating_volition,"{""Q0"":2}",[0],W3 wanted to touch M1,M1 wanted to touch W3
null,Fred is being shouted at by Luke,NA,NA,NA,html-keyboard-response,31,242598,0.0-15.0-0.0,anomymised,656582dc9140dccdaa20d120,65671a33b3f79fb5a94825bb,27706,1C,woman,NA,null,M3 is being shouted at by M1,shout2,sentence,NA,NA,NA,NA
6427.70000000298,NA,NA,NA,NA,survey-likert-extra-labels,32,249027,0.0-15.0-1.0-0.0,anomymised,656582dc9140dccdaa20d120,65671a33b3f79fb5a94825bb,27706,1C,woman,NA,NA,M3 is being shouted at by M1,shout2,rating_causation,"{""Q0"":2}",[0],M1 shouted at M3 first,M3 shouted at M1 first
9049.09999999404,NA,NA,NA,NA,survey-likert-extra-labels,33,258079,0.0-15.0-2.0,anomymised,656582dc9140dccdaa20d120,65671a33b3f79fb5a94825bb,27706,1C,woman,NA,NA,M3 is being shouted at by M1,shout2,rating_volition,"{""Q0"":4}",[0],M1 wanted to shout at M3,M3 wanted to shout at M1
null,Jane is being greeted by Beth,NA,NA,NA,html-keyboard-response,34,260104,0.0-16.0-0.0,anomymised,656582dc9140dccdaa20d120,65671a33b3f79fb5a94825bb,27706,1C,woman,NA,null,W2 is being greeted by W4,greet1,sentence,NA,NA,NA,NA
6414.70000000298,NA,NA,NA,NA,survey-likert-extra-labels,35,266520,0.0-16.0-1.0-0.0,anomymised,656582dc9140dccdaa20d120,65671a33b3f79fb5a94825bb,27706,1C,woman,NA,NA,W2 is being greeted by W4,greet1,rating_causation,"{""Q0"":5}",[0],W2 started greeting W4 first,W4 started greeting W2 first
19887.20000000298,NA,NA,NA,NA,survey-likert-extra-labels,36,286411,0.0-16.0-2.0,anomymised,656582dc9140dccdaa20d120,65671a33b3f79fb5a94825bb,27706,1C,woman,NA,NA,W2 is being greeted by W4,greet1,rating_volition,"{""Q0"":6}",[0],W2 wanted to greet W4,W4 wanted to greet W2
null,Beth is being hugged by Mike,NA,NA,NA,html-keyboard-response,37,288419,0.0-17.0-0.0,anomymised,656582dc9140dccdaa20d120,65671a33b3f79fb5a94825bb,27706,1C,woman,NA,null,W4 is being hugged by M2,hug4,sentence,NA,NA,NA,NA
9414.300000011921,NA,NA,NA,NA,survey-likert-extra-labels,38,297835,0.0-17.0-1.0-0.0,anomymised,656582dc9140dccdaa20d120,65671a33b3f79fb5a94825bb,27706,1C,woman,NA,NA,W4 is being hugged by M2,hug4,rating_causation,"{""Q0"":2}",[0],M2 asked to hug W4,W4 asked to hug M2
7656.9000000059605,NA,NA,NA,NA,survey-likert-extra-labels,39,305490,0.0-17.0-2.0,anomymised,656582dc9140dccdaa20d120,65671a33b3f79fb5a94825bb,27706,1C,woman,NA,NA,W4 is being hugged by M2,hug4,rating_volition,"{""Q0"":1}",[0],M2 wanted to hug W4,W4 wanted to hug M2
null,Ruth is being kissed by Kate,NA,NA,NA,html-keyboard-response,40,307495,0.0-18.0-0.0,anomymised,656582dc9140dccdaa20d120,65671a33b3f79fb5a94825bb,27706,1C,woman,NA,null,W1 is being kissed by W3,kiss1,sentence,NA,NA,NA,NA
3883.5,NA,NA,NA,NA,survey-likert-extra-labels,41,311381,0.0-18.0-1.0-0.0,anomymised,656582dc9140dccdaa20d120,65671a33b3f79fb5a94825bb,27706,1C,woman,NA,NA,W1 is being kissed by W3,kiss1,rating_causation,"{""Q0"":3}",[0],W1 asked to kiss W3,W3 asked to kiss W1
6951.70000000298,NA,NA,NA,NA,survey-likert-extra-labels,42,318337,0.0-18.0-2.0,anomymised,656582dc9140dccdaa20d120,65671a33b3f79fb5a94825bb,27706,1C,woman,NA,NA,W1 is being kissed by W3,kiss1,rating_volition,"{""Q0"":5}",[0],W1 wanted to kiss W3,W3 wanted to kiss W1
null,Beth is being seduced by Jane,NA,NA,NA,html-keyboard-response,43,320342,0.0-19.0-0.0,anomymised,656582dc9140dccdaa20d120,65671a33b3f79fb5a94825bb,27706,1C,woman,NA,null,W4 is being seduced by W2,seduce1,sentence,NA,NA,NA,NA
6124.800000011921,NA,NA,NA,NA,survey-likert-extra-labels,44,326468,0.0-19.0-1.0-0.0,anomymised,656582dc9140dccdaa20d120,65671a33b3f79fb5a94825bb,27706,1C,woman,NA,NA,W4 is being seduced by W2,seduce1,rating_causation,"{""Q0"":1}",[0],W2 started seducing W4 first,W4 started seducing W2 first
7803.899999991059,NA,NA,NA,NA,survey-likert-extra-labels,45,334276,0.0-19.0-2.0,anomymised,656582dc9140dccdaa20d120,65671a33b3f79fb5a94825bb,27706,1C,woman,NA,NA,W4 is being seduced by W2,seduce1,rating_volition,"{""Q0"":1}",[0],W2 wanted to seduce W4,W4 wanted to seduce W2
null,Kate is being greeted by Luke,NA,NA,NA,html-keyboard-response,46,336300,0.0-20.0-0.0,anomymised,656582dc9140dccdaa20d120,65671a33b3f79fb5a94825bb,27706,1C,woman,NA,null,W3 is being greeted by M1,greet4,sentence,NA,NA,NA,NA
8150.20000000298,NA,NA,NA,NA,survey-likert-extra-labels,47,344452,0.0-20.0-1.0-0.0,anomymised,656582dc9140dccdaa20d120,65671a33b3f79fb5a94825bb,27706,1C,woman,NA,NA,W3 is being greeted by M1,greet4,rating_causation,"{""Q0"":5}",[0],W3 started greeting M1 first,M1 started greeting W3 first
7531.79999999702,NA,NA,NA,NA,survey-likert-extra-labels,48,351988,0.0-20.0-2.0,anomymised,656582dc9140dccdaa20d120,65671a33b3f79fb5a94825bb,27706,1C,woman,NA,NA,W3 is being greeted by M1,greet4,rating_volition,"{""Q0"":5}",[0],W3 wanted to greet M1,M1 wanted to greet W3
null,Fred is being hugged by Luke,NA,NA,NA,html-keyboard-response,49,353997,0.0-21.0-0.0,anomymised,656582dc9140dccdaa20d120,65671a33b3f79fb5a94825bb,27706,1C,woman,NA,null,M3 is being hugged by M1,hug2,sentence,NA,NA,NA,NA
5628.5,NA,NA,NA,NA,survey-likert-extra-labels,50,359627,0.0-21.0-1.0-0.0,anomymised,656582dc9140dccdaa20d120,65671a33b3f79fb5a94825bb,27706,1C,woman,NA,NA,M3 is being hugged by M1,hug2,rating_causation,"{""Q0"":2}",[0],M1 asked to hug M3,M3 asked to hug M1
5653.0999999940395,NA,NA,NA,NA,survey-likert-extra-labels,51,365279,0.0-21.0-2.0,anomymised,656582dc9140dccdaa20d120,65671a33b3f79fb5a94825bb,27706,1C,woman,NA,NA,M3 is being hugged by M1,hug2,rating_volition,"{""Q0"":1}",[0],M1 wanted to hug M3,M3 wanted to hug M1
