rt,stimulus,button_pressed,choices,ChosenStimulus,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,study_id,session_id,subject,list,ppt_gender,url,key_press,sentence_type,verb,test_part,responses,question_order,left_part,right_part
2835.7000000029802,Welcome to the experiment. Press Continue to begin.,0,Continue,Continue,html-button-response,0,2840,0.0-0.0,anomymised,65658173009eeb17459c8404,656776d541acc528d873ee3f,28078,2,man,NA,NA,NA,NA,NA,NA,NA,NA,NA
7106.79999999702,NA,NA,NA,NA,external-html,1,11087,0.0-1.0,anomymised,65658173009eeb17459c8404,656776d541acc528d873ee3f,28078,2,man,consent.html,NA,NA,NA,NA,NA,NA,NA,NA
1900.7000000029802,"<p>Welcome.</p><p>In this experiment we will ask you to imagine some situations.</p><p>Each trial starts with a description of an event.</p><p>Then you will see alternative descriptions of that event, and you will rate on a scale how best they match the original description.</p><p>You will give your answer by clicking a button on a rating scale.</p><p>To do this task, you will have to use your imagination to visualise these events.</p><br><p>Ready?</p>",0,Continue,Continue,html-button-response,2,12990,0.0-2.0,anomymised,65658173009eeb17459c8404,656776d541acc528d873ee3f,28078,2,man,NA,NA,NA,NA,NA,NA,NA,NA,NA
2609.7999999970198,"<p>Before the experiment starts, you will watch an example trial. Press 'Continue'.</p>",0,Continue,Continue,html-button-response,3,16613,0.0-3.0,anomymised,65658173009eeb17459c8404,656776d541acc528d873ee3f,28078,2,man,NA,NA,NA,NA,NA,NA,NA,NA,NA
null,The police officer is arresting the robber,NA,NA,NA,html-keyboard-response,4,19642,0.0-4.0,anomymised,65658173009eeb17459c8404,656776d541acc528d873ee3f,28078,2,man,NA,null,NA,NA,NA,NA,NA,NA,NA
18147.29999999702,<img src='img/Example-trial.jpg' style='height:550px;''></img>,0,Continue,Continue,html-button-response,5,37791,0.0-5.0,anomymised,65658173009eeb17459c8404,656776d541acc528d873ee3f,28078,2,man,NA,NA,NA,NA,NA,NA,NA,NA,NA
35654.80000001192,<p>Ready to start the experiment?</p><br><p><strong>Remember to give an answer by clicking a button on the rating scale.</strong></p><p>Press 'Continue' to begin.</p>,0,Continue,Continue,html-button-response,6,74456,0.0-6.0,anomymised,65658173009eeb17459c8404,656776d541acc528d873ee3f,28078,2,man,NA,NA,NA,NA,NA,NA,NA,NA,NA
null,Dave is being greeted by Mike,NA,NA,NA,html-keyboard-response,7,77485,0.0-7.0-0.0,anomymised,65658173009eeb17459c8404,656776d541acc528d873ee3f,28078,2,man,NA,null,M2 is being greeted by M4,greet2,sentence,NA,NA,NA,NA
14778.90000000596,NA,NA,NA,NA,survey-likert-extra-labels,8,92267,0.0-7.0-2.0,anomymised,65658173009eeb17459c8404,656776d541acc528d873ee3f,28078,2,man,NA,NA,M2 is being greeted by M4,greet2,rating_volition,"{""Q0"":0}",[0],M4 wanted to greet M2,M2 wanted to greet M4
21880.5,NA,NA,NA,NA,survey-likert-extra-labels,9,114151,0.0-7.0-3.0-0.0,anomymised,65658173009eeb17459c8404,656776d541acc528d873ee3f,28078,2,man,NA,NA,M2 is being greeted by M4,greet2,rating_causation,"{""Q0"":0}",[0],M4 started greeting M2 first,M2 started greeting M4 first
null,Ruth is being seduced by Kate,NA,NA,NA,html-keyboard-response,10,116159,0.0-8.0-0.0,anomymised,65658173009eeb17459c8404,656776d541acc528d873ee3f,28078,2,man,NA,null,W4 is being seduced by W2,seduce1,sentence,NA,NA,NA,NA
8448.89999999106,NA,NA,NA,NA,survey-likert-extra-labels,11,124610,0.0-8.0-1.0-0.0,anomymised,65658173009eeb17459c8404,656776d541acc528d873ee3f,28078,2,man,NA,NA,W4 is being seduced by W2,seduce1,rating_causation,"{""Q0"":6}",[0],W4 started seducing W2 first,W2 started seducing W4 first
7550.70000000298,NA,NA,NA,NA,survey-likert-extra-labels,12,132163,0.0-8.0-2.0,anomymised,65658173009eeb17459c8404,656776d541acc528d873ee3f,28078,2,man,NA,NA,W4 is being seduced by W2,seduce1,rating_volition,"{""Q0"":6}",[0],W4 wanted to seduce W2,W2 wanted to seduce W4
null,Kate is teaching Mike,NA,NA,NA,html-keyboard-response,13,134176,0.0-9.0-0.0,anomymised,65658173009eeb17459c8404,656776d541acc528d873ee3f,28078,2,man,NA,null,W2 is teaching M4,teach,sentence,NA,NA,NA,NA
4521.79999999702,NA,NA,NA,NA,survey-likert-extra-labels,14,138700,0.0-9.0-1.0-0.0,anomymised,65658173009eeb17459c8404,656776d541acc528d873ee3f,28078,2,man,NA,NA,W2 is teaching M4,teach,rating_causation,"{""Q0"":6}",[0],W2 is learning from M4,M4 is learning from W2
9607.10000000894,NA,NA,NA,NA,survey-likert-extra-labels,15,148310,0.0-9.0-2.0,anomymised,65658173009eeb17459c8404,656776d541acc528d873ee3f,28078,2,man,NA,NA,W2 is teaching M4,teach,rating_volition,"{""Q0"":0}",[0],W2 is educating M4,M4 is educating W2
null,Luke is hiring Beth,NA,NA,NA,html-keyboard-response,16,150328,0.0-10.0-0.0,anomymised,65658173009eeb17459c8404,656776d541acc528d873ee3f,28078,2,man,NA,null,M3 is hiring W1,hire,sentence,NA,NA,NA,NA
