rt,stimulus,button_pressed,choices,ChosenStimulus,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,study_id,session_id,subject,list,ppt_gender,url,key_press,sentence_type,verb,test_part,responses,question_order,left_part,right_part
3632.699999988079,Welcome to the experiment. Press Continue to begin.,0,Continue,Continue,html-button-response,0,3635,0.0-0.0,anomymised,656582f39349a91f9e20cf14,656738c900b32685a1c9fe2a,51431,1,woman,NA,NA,NA,NA,NA,NA,NA,NA,NA
5935.199999988079,NA,NA,NA,NA,external-html,1,10614,0.0-1.0,anomymised,656582f39349a91f9e20cf14,656738c900b32685a1c9fe2a,51431,1,woman,consent.html,NA,NA,NA,NA,NA,NA,NA,NA
14701.700000017881,"<p>Welcome.</p><p>In this experiment we will ask you to imagine some situations.</p><p>Each trial starts with a description of an event.</p><p>Then you will see alternative descriptions of that event, and you will rate on a scale how best they match the original description.</p><p>You will give your answer by clicking a button on a rating scale.</p><p>To do this task, you will have to use your imagination to visualise these events.</p><br><p>Ready?</p>",0,Continue,Continue,html-button-response,2,25317,0.0-2.0,anomymised,656582f39349a91f9e20cf14,656738c900b32685a1c9fe2a,51431,1,woman,NA,NA,NA,NA,NA,NA,NA,NA,NA
1452.199999988079,"<p>Before the experiment starts, you will watch an example trial. Press 'Continue'.</p>",0,Continue,Continue,html-button-response,3,27771,0.0-3.0,anomymised,656582f39349a91f9e20cf14,656738c900b32685a1c9fe2a,51431,1,woman,NA,NA,NA,NA,NA,NA,NA,NA,NA
null,The police officer is arresting the robber,NA,NA,NA,html-keyboard-response,4,30779,0.0-4.0,anomymised,656582f39349a91f9e20cf14,656738c900b32685a1c9fe2a,51431,1,woman,NA,null,NA,NA,NA,NA,NA,NA,NA
8413.90000000596,<img src='img/Example-trial.jpg' style='height:550px;''></img>,0,Continue,Continue,html-button-response,5,39194,0.0-5.0,anomymised,656582f39349a91f9e20cf14,656738c900b32685a1c9fe2a,51431,1,woman,NA,NA,NA,NA,NA,NA,NA,NA,NA
1744.9000000059605,<p>Ready to start the experiment?</p><br><p><strong>Remember to give an answer by clicking a button on the rating scale.</strong></p><p>Press 'Continue' to begin.</p>,0,Continue,Continue,html-button-response,6,41941,0.0-6.0,anomymised,656582f39349a91f9e20cf14,656738c900b32685a1c9fe2a,51431,1,woman,NA,NA,NA,NA,NA,NA,NA,NA,NA
null,Kate is being copied by Luke,NA,NA,NA,html-keyboard-response,7,44945,0.0-7.0-0.0,anomymised,656582f39349a91f9e20cf14,656738c900b32685a1c9fe2a,51431,1,woman,NA,null,W3 is being copied by M1,copy3,sentence,NA,NA,NA,NA
5522.699999988079,NA,NA,NA,NA,survey-likert-extra-labels,8,50470,0.0-7.0-1.0-0.0,anomymised,656582f39349a91f9e20cf14,656738c900b32685a1c9fe2a,51431,1,woman,NA,NA,W3 is being copied by M1,copy3,rating_causation,"{""Q0"":0}",[0],M1 started copying W3 first,W3 started copying M1 first
5733.5999999940395,NA,NA,NA,NA,survey-likert-extra-labels,9,56205,0.0-7.0-2.0,anomymised,656582f39349a91f9e20cf14,656738c900b32685a1c9fe2a,51431,1,woman,NA,NA,W3 is being copied by M1,copy3,rating_volition,"{""Q0"":1}",[0],M1 wanted to copy W3,W3 wanted to copy M1
null,Ruth is being touched by Fred,NA,NA,NA,html-keyboard-response,10,58210,0.0-8.0-0.0,anomymised,656582f39349a91f9e20cf14,656738c900b32685a1c9fe2a,51431,1,woman,NA,null,W1 is being touched by M3,touch4,sentence,NA,NA,NA,NA
4793.600000023842,NA,NA,NA,NA,survey-likert-extra-labels,11,63005,0.0-8.0-2.0,anomymised,656582f39349a91f9e20cf14,656738c900b32685a1c9fe2a,51431,1,woman,NA,NA,W1 is being touched by M3,touch4,rating_volition,"{""Q0"":5}",[0],W1 wanted to touch M3,M3 wanted to touch W1
1956.8999999761581,NA,NA,NA,NA,survey-likert-extra-labels,12,64965,0.0-8.0-3.0-0.0,anomymised,656582f39349a91f9e20cf14,656738c900b32685a1c9fe2a,51431,1,woman,NA,NA,W1 is being touched by M3,touch4,rating_causation,"{""Q0"":""""}",[0],W1 asked to touch M3,M3 asked to touch W1
null,Fred is being hugged by Luke,NA,NA,NA,html-keyboard-response,13,66969,0.0-9.0-0.0,anomymised,656582f39349a91f9e20cf14,656738c900b32685a1c9fe2a,51431,1,woman,NA,null,M3 is being hugged by M1,hug2,sentence,NA,NA,NA,NA
6498.0999999940395,NA,NA,NA,NA,survey-likert-extra-labels,14,73469,0.0-9.0-2.0,anomymised,656582f39349a91f9e20cf14,656738c900b32685a1c9fe2a,51431,1,woman,NA,NA,M3 is being hugged by M1,hug2,rating_volition,"{""Q0"":5}",[0],M3 wanted to hug M1,M1 wanted to hug M3
3459.4000000059605,NA,NA,NA,NA,survey-likert-extra-labels,15,76931,0.0-9.0-3.0-0.0,anomymised,656582f39349a91f9e20cf14,656738c900b32685a1c9fe2a,51431,1,woman,NA,NA,M3 is being hugged by M1,hug2,rating_causation,"{""Q0"":5}",[0],M3 asked to hug M1,M1 asked to hug M3
null,Dave is being seduced by Mike,NA,NA,NA,html-keyboard-response,16,78935,0.0-10.0-0.0,anomymised,656582f39349a91f9e20cf14,656738c900b32685a1c9fe2a,51431,1,woman,NA,null,M4 is being seduced by M2,seduce2,sentence,NA,NA,NA,NA
9588.200000017881,NA,NA,NA,NA,survey-likert-extra-labels,17,88524,0.0-10.0-1.0-0.0,anomymised,656582f39349a91f9e20cf14,656738c900b32685a1c9fe2a,51431,1,woman,NA,NA,M4 is being seduced by M2,seduce2,rating_causation,"{""Q0"":5}",[0],M4 started seducing M2 first,M2 started seducing M4 first
6019.4000000059605,NA,NA,NA,NA,survey-likert-extra-labels,18,94546,0.0-10.0-2.0,anomymised,656582f39349a91f9e20cf14,656738c900b32685a1c9fe2a,51431,1,woman,NA,NA,M4 is being seduced by M2,seduce2,rating_volition,"{""Q0"":5}",[0],M4 wanted to seduce M2,M2 wanted to seduce M4
null,Beth is being touched by Jane,NA,NA,NA,html-keyboard-response,19,96551,0.0-11.0-0.0,anomymised,656582f39349a91f9e20cf14,656738c900b32685a1c9fe2a,51431,1,woman,NA,null,W4 is being touched by W2,touch1,sentence,NA,NA,NA,NA
3520.4000000059605,NA,NA,NA,NA,survey-likert-extra-labels,20,100073,0.0-11.0-1.0-0.0,anomymised,656582f39349a91f9e20cf14,656738c900b32685a1c9fe2a,51431,1,woman,NA,NA,W4 is being touched by W2,touch1,rating_causation,"{""Q0"":5}",[0],W4 asked to touch W2,W2 asked to touch W4
2230.5,NA,NA,NA,NA,survey-likert-extra-labels,21,102305,0.0-11.0-2.0,anomymised,656582f39349a91f9e20cf14,656738c900b32685a1c9fe2a,51431,1,woman,NA,NA,W4 is being touched by W2,touch1,rating_volition,"{""Q0"":5}",[0],W4 wanted to touch W2,W2 wanted to touch W4
null,Beth is being opposed by Mike,NA,NA,NA,html-keyboard-response,22,104308,0.0-12.0-0.0,anomymised,656582f39349a91f9e20cf14,656738c900b32685a1c9fe2a,51431,1,woman,NA,null,W4 is being opposed by M2,oppose4,sentence,NA,NA,NA,NA
3285.4000000059605,NA,NA,NA,NA,survey-likert-extra-labels,23,107595,0.0-12.0-1.0-0.0,anomymised,656582f39349a91f9e20cf14,656738c900b32685a1c9fe2a,51431,1,woman,NA,NA,W4 is being opposed by M2,oppose4,rating_causation,"{""Q0"":5}",[0],W4 started opposing M2,M2 started opposing W4
2571.9000000059605,NA,NA,NA,NA,survey-likert-extra-labels,24,110170,0.0-12.0-2.0,anomymised,656582f39349a91f9e20cf14,656738c900b32685a1c9fe2a,51431,1,woman,NA,NA,W4 is being opposed by M2,oppose4,rating_volition,"{""Q0"":5}",[0],W4 wanted to oppose M2,M2 wanted to oppose W4
null,Dave is being shouted at by Jane,NA,NA,NA,html-keyboard-response,25,112173,0.0-13.0-0.0,anomymised,656582f39349a91f9e20cf14,656738c900b32685a1c9fe2a,51431,1,woman,NA,null,M4 is being shouted at by W2,shout4,sentence,NA,NA,NA,NA
