rt,stimulus,button_pressed,choices,ChosenStimulus,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,study_id,session_id,subject,list,ppt_gender,url,key_press,sentence_type,verb,test_part,responses,question_order,left_part,right_part
3806.5,Welcome to the experiment. Press Continue to begin.,0,Continue,Continue,html-button-response,0,3810,0.0-0.0,anomymised,6565812bd48bb6bd55b14982,656703bad07b24c4dd19e8f4,5667,2B,man,NA,NA,NA,NA,NA,NA,NA,NA,NA
20871.90000000596,NA,NA,NA,NA,external-html,1,25803,0.0-1.0,anomymised,6565812bd48bb6bd55b14982,656703bad07b24c4dd19e8f4,5667,2B,man,consent.html,NA,NA,NA,NA,NA,NA,NA,NA
60514.10000000894,"<p>Welcome.</p><p>In this experiment we will ask you to imagine some situations.</p><p>Each trial starts with a description of an event.</p><p>Then you will see alternative descriptions of that event, and you will rate on a scale how best they match the original description.</p><p>You will give your answer by clicking a button on a rating scale.</p><p>To do this task, you will have to use your imagination to visualise these events.</p><br><p>Ready?</p>",0,Continue,Continue,html-button-response,2,86317,0.0-2.0,anomymised,6565812bd48bb6bd55b14982,656703bad07b24c4dd19e8f4,5667,2B,man,NA,NA,NA,NA,NA,NA,NA,NA,NA
9706.09999999404,"<p>Before the experiment starts, you will watch an example trial. Press 'Continue'.</p>",0,Continue,Continue,html-button-response,3,97038,0.0-3.0,anomymised,6565812bd48bb6bd55b14982,656703bad07b24c4dd19e8f4,5667,2B,man,NA,NA,NA,NA,NA,NA,NA,NA,NA
null,The police officer is arresting the robber,NA,NA,NA,html-keyboard-response,4,100046,0.0-4.0,anomymised,6565812bd48bb6bd55b14982,656703bad07b24c4dd19e8f4,5667,2B,man,NA,null,NA,NA,NA,NA,NA,NA,NA
26574.79999999702,<img src='img/Example-trial.jpg' style='height:550px;''></img>,0,Continue,Continue,html-button-response,5,126622,0.0-5.0,anomymised,6565812bd48bb6bd55b14982,656703bad07b24c4dd19e8f4,5667,2B,man,NA,NA,NA,NA,NA,NA,NA,NA,NA
3623.5,<p>Ready to start the experiment?</p><br><p><strong>Remember to give an answer by clicking a button on the rating scale.</strong></p><p>Press 'Continue' to begin.</p>,0,Continue,Continue,html-button-response,6,131252,0.0-6.0,anomymised,6565812bd48bb6bd55b14982,656703bad07b24c4dd19e8f4,5667,2B,man,NA,NA,NA,NA,NA,NA,NA,NA,NA
null,Kate is being seduced by Ruth,NA,NA,NA,html-keyboard-response,7,134269,0.0-7.0-0.0,anomymised,6565812bd48bb6bd55b14982,656703bad07b24c4dd19e8f4,5667,2B,man,NA,null,W2 is being seduced by W4,seduce1,sentence,NA,NA,NA,NA
8263.800000011921,NA,NA,NA,NA,survey-likert-extra-labels,8,142535,0.0-7.0-2.0,anomymised,6565812bd48bb6bd55b14982,656703bad07b24c4dd19e8f4,5667,2B,man,NA,NA,W2 is being seduced by W4,seduce1,rating_volition,"{""Q0"":0}",[0],W4 wanted to seduce W2,W2 wanted to seduce W4
9655.5,NA,NA,NA,NA,survey-likert-extra-labels,9,152192,0.0-7.0-3.0-0.0,anomymised,6565812bd48bb6bd55b14982,656703bad07b24c4dd19e8f4,5667,2B,man,NA,NA,W2 is being seduced by W4,seduce1,rating_causation,"{""Q0"":0}",[0],W4 started seducing W2 first,W2 started seducing W4 first
null,Dave is being hugged by Ruth,NA,NA,NA,html-keyboard-response,10,154195,0.0-8.0-0.0,anomymised,6565812bd48bb6bd55b14982,656703bad07b24c4dd19e8f4,5667,2B,man,NA,null,M2 is being hugged by W4,hug4,sentence,NA,NA,NA,NA
24471.70000000298,NA,NA,NA,NA,survey-likert-extra-labels,11,178668,0.0-8.0-1.0-0.0,anomymised,6565812bd48bb6bd55b14982,656703bad07b24c4dd19e8f4,5667,2B,man,NA,NA,M2 is being hugged by W4,hug4,rating_causation,"{""Q0"":5}",[0],W4 asked to hug M2,M2 asked to hug W4
7196.5999999940395,NA,NA,NA,NA,survey-likert-extra-labels,12,185866,0.0-8.0-2.0,anomymised,6565812bd48bb6bd55b14982,656703bad07b24c4dd19e8f4,5667,2B,man,NA,NA,M2 is being hugged by W4,hug4,rating_volition,"{""Q0"":2}",[0],W4 wanted to hug M2,M2 wanted to hug W4
null,Kate is teaching Mike,NA,NA,NA,html-keyboard-response,13,187892,0.0-9.0-0.0,anomymised,6565812bd48bb6bd55b14982,656703bad07b24c4dd19e8f4,5667,2B,man,NA,null,W2 is teaching M4,teach,sentence,NA,NA,NA,NA
10300.5,NA,NA,NA,NA,survey-likert-extra-labels,14,198194,0.0-9.0-1.0-0.0,anomymised,6565812bd48bb6bd55b14982,656703bad07b24c4dd19e8f4,5667,2B,man,NA,NA,W2 is teaching M4,teach,rating_causation,"{""Q0"":5}",[0],W2 is learning from M4,M4 is learning from W2
7425.29999999702,NA,NA,NA,NA,survey-likert-extra-labels,15,205621,0.0-9.0-2.0,anomymised,6565812bd48bb6bd55b14982,656703bad07b24c4dd19e8f4,5667,2B,man,NA,NA,W2 is teaching M4,teach,rating_volition,"{""Q0"":1}",[0],W2 is educating M4,M4 is educating W2
null,Kate is being challenged by Ruth,NA,NA,NA,html-keyboard-response,16,207633,0.0-10.0-0.0,anomymised,6565812bd48bb6bd55b14982,656703bad07b24c4dd19e8f4,5667,2B,man,NA,null,W2 is being challenged by W4,challenge1,sentence,NA,NA,NA,NA
15026.89999999106,NA,NA,NA,NA,survey-likert-extra-labels,17,222663,0.0-10.0-1.0-0.0,anomymised,6565812bd48bb6bd55b14982,656703bad07b24c4dd19e8f4,5667,2B,man,NA,NA,W2 is being challenged by W4,challenge1,rating_causation,"{""Q0"":2}",[0],W4 started challenging W2 first,W2 started challenging W4 first
8552.5,NA,NA,NA,NA,survey-likert-extra-labels,18,231217,0.0-10.0-2.0,anomymised,6565812bd48bb6bd55b14982,656703bad07b24c4dd19e8f4,5667,2B,man,NA,NA,W2 is being challenged by W4,challenge1,rating_volition,"{""Q0"":5}",[0],W4 wanted to challenge W2,W2 wanted to challenge W4
null,Ruth is being kissed by Dave,NA,NA,NA,html-keyboard-response,19,233234,0.0-11.0-0.0,anomymised,6565812bd48bb6bd55b14982,656703bad07b24c4dd19e8f4,5667,2B,man,NA,null,W4 is being kissed by M2,kiss3,sentence,NA,NA,NA,NA
7897.20000000298,NA,NA,NA,NA,survey-likert-extra-labels,20,241132,0.0-11.0-2.0,anomymised,6565812bd48bb6bd55b14982,656703bad07b24c4dd19e8f4,5667,2B,man,NA,NA,W4 is being kissed by M2,kiss3,rating_volition,"{""Q0"":5}",[0],W4 wanted to kiss M2,M2 wanted to kiss W4
6978.70000000298,NA,NA,NA,NA,survey-likert-extra-labels,21,248113,0.0-11.0-3.0-0.0,anomymised,6565812bd48bb6bd55b14982,656703bad07b24c4dd19e8f4,5667,2B,man,NA,NA,W4 is being kissed by M2,kiss3,rating_causation,"{""Q0"":3}",[0],W4 asked to kiss M2,M2 asked to kiss W4
null,Beth is being copied by Luke,NA,NA,NA,html-keyboard-response,22,250123,0.0-12.0-0.0,anomymised,6565812bd48bb6bd55b14982,656703bad07b24c4dd19e8f4,5667,2B,man,NA,null,W1 is being copied by M3,copy4,sentence,NA,NA,NA,NA
6310.70000000298,NA,NA,NA,NA,survey-likert-extra-labels,23,256435,0.0-12.0-2.0,anomymised,6565812bd48bb6bd55b14982,656703bad07b24c4dd19e8f4,5667,2B,man,NA,NA,W1 is being copied by M3,copy4,rating_volition,"{""Q0"":6}",[0],W1 wanted to copy M3,M3 wanted to copy W1
16028.09999999404,NA,NA,NA,NA,survey-likert-extra-labels,24,272465,0.0-12.0-3.0-0.0,anomymised,6565812bd48bb6bd55b14982,656703bad07b24c4dd19e8f4,5667,2B,man,NA,NA,W1 is being copied by M3,copy4,rating_causation,"{""Q0"":5}",[0],W1 started copying M3 first,M3 started copying W1 first
null,Luke is hiring Beth,NA,NA,NA,html-keyboard-response,25,274474,0.0-13.0-0.0,anomymised,6565812bd48bb6bd55b14982,656703bad07b24c4dd19e8f4,5667,2B,man,NA,null,M3 is hiring W1,hire,sentence,NA,NA,NA,NA
