rt,stimulus,button_pressed,choices,ChosenStimulus,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,study_id,session_id,subject,list,ppt_gender,url,key_press,sentence_type,verb,test_part,responses,question_order,left_part,right_part
3052,Welcome to the experiment. Press Continue to begin.,0,Continue,Continue,html-button-response,0,3062,0.0-0.0,anomymised,656582bcfaaa3e760f369b3c,656609b01d177cd7ddaad922,88013,2A,woman,NA,NA,NA,NA,NA,NA,NA,NA,NA
29878,NA,NA,NA,NA,external-html,1,34020,0.0-1.0,anomymised,656582bcfaaa3e760f369b3c,656609b01d177cd7ddaad922,88013,2A,woman,consent.html,NA,NA,NA,NA,NA,NA,NA,NA
15665,"<p>Welcome.</p><p>In this experiment we will ask you to imagine some situations.</p><p>Each trial starts with a description of an event.</p><p>Then you will see alternative descriptions of that event, and you will rate on a scale how best they match the original description.</p><p>You will give your answer by clicking a button on a rating scale.</p><p>To do this task, you will have to use your imagination to visualise these events.</p><br><p>Ready?</p>",0,Continue,Continue,html-button-response,2,49687,0.0-2.0,anomymised,656582bcfaaa3e760f369b3c,656609b01d177cd7ddaad922,88013,2A,woman,NA,NA,NA,NA,NA,NA,NA,NA,NA
3561,"<p>Before the experiment starts, you will watch an example trial. Press 'Continue'.</p>",0,Continue,Continue,html-button-response,3,54261,0.0-3.0,anomymised,656582bcfaaa3e760f369b3c,656609b01d177cd7ddaad922,88013,2A,woman,NA,NA,NA,NA,NA,NA,NA,NA,NA
null,The police officer is arresting the robber,NA,NA,NA,html-keyboard-response,4,57290,0.0-4.0,anomymised,656582bcfaaa3e760f369b3c,656609b01d177cd7ddaad922,88013,2A,woman,NA,null,NA,NA,NA,NA,NA,NA,NA
21875,<img src='img/Example-trial.jpg' style='height:550px;''></img>,0,Continue,Continue,html-button-response,5,79166,0.0-5.0,anomymised,656582bcfaaa3e760f369b3c,656609b01d177cd7ddaad922,88013,2A,woman,NA,NA,NA,NA,NA,NA,NA,NA,NA
3405,<p>Ready to start the experiment?</p><br><p><strong>Remember to give an answer by clicking a button on the rating scale.</strong></p><p>Press 'Continue' to begin.</p>,0,Continue,Continue,html-button-response,6,83583,0.0-6.0,anomymised,656582bcfaaa3e760f369b3c,656609b01d177cd7ddaad922,88013,2A,woman,NA,NA,NA,NA,NA,NA,NA,NA,NA
null,Ruth is being greeted by Kate,NA,NA,NA,html-keyboard-response,7,86603,0.0-7.0-0.0,anomymised,656582bcfaaa3e760f369b3c,656609b01d177cd7ddaad922,88013,2A,woman,NA,null,W4 is being greeted by W2,greet1,sentence,NA,NA,NA,NA
23974,NA,NA,NA,NA,survey-likert-extra-labels,8,110579,0.0-7.0-1.0-0.0,anomymised,656582bcfaaa3e760f369b3c,656609b01d177cd7ddaad922,88013,2A,woman,NA,NA,W4 is being greeted by W2,greet1,rating_causation,"{""Q0"":0}",[0],W2 started greeting W4 first,W4 started greeting W2 first
19660,NA,NA,NA,NA,survey-likert-extra-labels,9,130242,0.0-7.0-2.0,anomymised,656582bcfaaa3e760f369b3c,656609b01d177cd7ddaad922,88013,2A,woman,NA,NA,W4 is being greeted by W2,greet1,rating_volition,"{""Q0"":1}",[0],W2 wanted to greet W4,W4 wanted to greet W2
null,Dave is posing for Mike,NA,NA,NA,html-keyboard-response,10,132258,0.0-8.0-0.0,anomymised,656582bcfaaa3e760f369b3c,656609b01d177cd7ddaad922,88013,2A,woman,NA,null,M2 is posing for M4,pose,sentence,NA,NA,NA,NA
8351,NA,NA,NA,NA,survey-likert-extra-labels,11,140612,0.0-8.0-2.0,anomymised,656582bcfaaa3e760f369b3c,656609b01d177cd7ddaad922,88013,2A,woman,NA,NA,M2 is posing for M4,pose,rating_volition,"{""Q0"":0}",[0],M2 is modelling for M4,M4 is modelling for M2
12192,NA,NA,NA,NA,survey-likert-extra-labels,12,152806,0.0-8.0-3.0-0.0,anomymised,656582bcfaaa3e760f369b3c,656609b01d177cd7ddaad922,88013,2A,woman,NA,NA,M2 is posing for M4,pose,rating_causation,"{""Q0"":5}",[0],M2 is photographing M4,M4 is photographing M2
null,Dave is being hugged by Ruth,NA,NA,NA,html-keyboard-response,13,154806,0.0-9.0-0.0,anomymised,656582bcfaaa3e760f369b3c,656609b01d177cd7ddaad922,88013,2A,woman,NA,null,M2 is being hugged by W4,hug4,sentence,NA,NA,NA,NA
20596,NA,NA,NA,NA,survey-likert-extra-labels,14,175403,0.0-9.0-1.0-0.0,anomymised,656582bcfaaa3e760f369b3c,656609b01d177cd7ddaad922,88013,2A,woman,NA,NA,M2 is being hugged by W4,hug4,rating_causation,"{""Q0"":4}",[0],M2 asked to hug W4,W4 asked to hug M2
17909,NA,NA,NA,NA,survey-likert-extra-labels,15,193313,0.0-9.0-2.0,anomymised,656582bcfaaa3e760f369b3c,656609b01d177cd7ddaad922,88013,2A,woman,NA,NA,M2 is being hugged by W4,hug4,rating_volition,"{""Q0"":4}",[0],M2 wanted to hug W4,W4 wanted to hug M2
null,Ruth is being copied by Kate,NA,NA,NA,html-keyboard-response,16,195326,0.0-10.0-0.0,anomymised,656582bcfaaa3e760f369b3c,656609b01d177cd7ddaad922,88013,2A,woman,NA,null,W4 is being copied by W2,copy1,sentence,NA,NA,NA,NA
10854,NA,NA,NA,NA,survey-likert-extra-labels,17,206181,0.0-10.0-2.0,anomymised,656582bcfaaa3e760f369b3c,656609b01d177cd7ddaad922,88013,2A,woman,NA,NA,W4 is being copied by W2,copy1,rating_volition,"{""Q0"":0}",[0],W2 wanted to copy W4,W4 wanted to copy W2
16044,NA,NA,NA,NA,survey-likert-extra-labels,18,222227,0.0-10.0-3.0-0.0,anomymised,656582bcfaaa3e760f369b3c,656609b01d177cd7ddaad922,88013,2A,woman,NA,NA,W4 is being copied by W2,copy1,rating_causation,"{""Q0"":0}",[0],W2 started copying W4 first,W4 started copying W2 first
null,Kate is being touched by Ruth,NA,NA,NA,html-keyboard-response,19,224228,0.0-11.0-0.0,anomymised,656582bcfaaa3e760f369b3c,656609b01d177cd7ddaad922,88013,2A,woman,NA,null,W2 is being touched by W4,touch1,sentence,NA,NA,NA,NA
10726,NA,NA,NA,NA,survey-likert-extra-labels,20,234955,0.0-11.0-2.0,anomymised,656582bcfaaa3e760f369b3c,656609b01d177cd7ddaad922,88013,2A,woman,NA,NA,W2 is being touched by W4,touch1,rating_volition,"{""Q0"":4}",[0],W2 wanted to touch W4,W4 wanted to touch W2
10731,NA,NA,NA,NA,survey-likert-extra-labels,21,245687,0.0-11.0-3.0-0.0,anomymised,656582bcfaaa3e760f369b3c,656609b01d177cd7ddaad922,88013,2A,woman,NA,NA,W2 is being touched by W4,touch1,rating_causation,"{""Q0"":3}",[0],W2 asked to touch W4,W4 asked to touch W2
null,Kate is being seduced by Ruth,NA,NA,NA,html-keyboard-response,22,247700,0.0-12.0-0.0,anomymised,656582bcfaaa3e760f369b3c,656609b01d177cd7ddaad922,88013,2A,woman,NA,null,W2 is being seduced by W4,seduce1,sentence,NA,NA,NA,NA
10116,NA,NA,NA,NA,survey-likert-extra-labels,23,257819,0.0-12.0-2.0,anomymised,656582bcfaaa3e760f369b3c,656609b01d177cd7ddaad922,88013,2A,woman,NA,NA,W2 is being seduced by W4,seduce1,rating_volition,"{""Q0"":4}",[0],W2 wanted to seduce W4,W4 wanted to seduce W2
10190,NA,NA,NA,NA,survey-likert-extra-labels,24,268010,0.0-12.0-3.0-0.0,anomymised,656582bcfaaa3e760f369b3c,656609b01d177cd7ddaad922,88013,2A,woman,NA,NA,W2 is being seduced by W4,seduce1,rating_causation,"{""Q0"":6}",[0],W2 started seducing W4 first,W4 started seducing W2 first
null,Mike is being copied by Dave,NA,NA,NA,html-keyboard-response,25,270020,0.0-13.0-0.0,anomymised,656582bcfaaa3e760f369b3c,656609b01d177cd7ddaad922,88013,2A,woman,NA,null,M4 is being copied by M2,copy2,sentence,NA,NA,NA,NA
