rt,stimulus,button_pressed,trial_type,trial_index,time_elapsed,internal_node_id,subject,list,ppt_race,ppt_gender,url,first_guess,correct,key_press,responses,image_type,phrase_type,test_part
3371,Welcome to the experiment. Press Continue to begin.,0,html-button-response,0,3375,0.0-0.0,22399,List1B,white,man,,,,,,,,
42537,,,external-html,1,47278,0.0-1.0,22399,List1B,white,man,consent.html,,,,,,,
19537,"<p>On the next page, you will see portraits of 8 people and their names.</p><p>Your first task is to take a few minutes to memorise the names of these people.</p><p>You will have to recall their names during the rest of the experiment, so it is</p><p>essential that you try to memorise these people and their names as best as you can.</p><br><p><strong>You will then be tested on your memory of these names and portraits.</strong></p><br><p>The experiment will start after you have completed this memory test.</p><br><p>Ready?</p>",0,html-button-response,2,66817,0.0-2.0,22399,List1B,white,man,,,,,,,,
108747,"<img src='img/portrait_matrix_list1.JPG' style='width:900px;height:500px;''></img><p>If you have memorised all the portraits and names and are ready to start, press Continue.</p><p><strong>Please note: Your memory of these faces will be tested 4 times during this experiment.</strong></p>",0,html-button-response,3,176566,0.0-3.0-0.0,22399,List1B,white,man,,,,,,,,
4373,"<img src=""portrait/BW2.jpg""style=""width:400px;height:400px;""></img>",2,html-button-response,4,181945,0.0-3.0-1.0,22399,List1B,white,man,,TRUE,2,,,,,
null,CORRECT,,html-keyboard-response,5,183450,0.0-3.0-2.0-0.0,22399,List1B,white,man,,,,null,,,,
3547,"<img src=""portrait/WW1.jpg""style=""width:400px;height:400px;""></img>",1,html-button-response,6,186999,0.0-3.0-4.0,22399,List1B,white,man,,TRUE,1,,,,,
null,CORRECT,,html-keyboard-response,7,188503,0.0-3.0-5.0-0.0,22399,List1B,white,man,,,,null,,,,
4605,"<img src=""portrait/WM1.jpg""style=""width:400px;height:400px;""></img>",6,html-button-response,8,193109,0.0-3.0-7.0,22399,List1B,white,man,,TRUE,6,,,,,
null,CORRECT,,html-keyboard-response,9,194612,0.0-3.0-8.0-0.0,22399,List1B,white,man,,,,null,,,,
8642,"<img src=""portrait/BW1.jpg""style=""width:400px;height:400px;""></img>",0,html-button-response,10,203255,0.0-3.0-10.0,22399,List1B,white,man,,TRUE,0,,,,,
null,CORRECT,,html-keyboard-response,11,204758,0.0-3.0-11.0-0.0,22399,List1B,white,man,,,,null,,,,
6531,"<img src=""portrait/BM1.jpg""style=""width:400px;height:400px;""></img>",4,html-button-response,12,211294,0.0-3.0-13.0,22399,List1B,white,man,,TRUE,4,,,,,
