rt,stimulus,button_pressed,trial_type,trial_index,time_elapsed,internal_node_id,subject,list,ppt_race,ppt_gender,url,first_guess,correct,key_press,responses,image_type,phrase_type,test_part
6756,Welcome to the experiment. Press Continue to begin.,0,html-button-response,0,6790,0.0-0.0,69449,List1B,white,woman,,,,,,,,
6870,,,external-html,1,14914,0.0-1.0,69449,List1B,white,woman,consent.html,,,,,,,
7690,"<p>On the next page, you will see portraits of 8 people and their names.</p><p>Your first task is to take a few minutes to memorise the names of these people.</p><p>You will have to recall their names during the rest of the experiment, so it is</p><p>essential that you try to memorise these people and their names as best as you can.</p><br><p><strong>You will then be tested on your memory of these names and portraits.</strong></p><br><p>The experiment will start after you have completed this memory test.</p><br><p>Ready?</p>",0,html-button-response,2,22606,0.0-2.0,69449,List1B,white,woman,,,,,,,,
35279,"<img src='img/portrait_matrix_list1.JPG' style='width:900px;height:500px;''></img><p>If you have memorised all the portraits and names and are ready to start, press Continue.</p><p><strong>Please note: Your memory of these faces will be tested 4 times during this experiment.</strong></p>",0,html-button-response,3,58902,0.0-3.0-0.0,69449,List1B,white,woman,,,,,,,,
11907,"<img src=""portrait/BW1.jpg""style=""width:400px;height:400px;""></img>",0,html-button-response,4,71813,0.0-3.0-1.0,69449,List1B,white,woman,,TRUE,0,,,,,
null,CORRECT,,html-keyboard-response,5,73315,0.0-3.0-2.0-0.0,69449,List1B,white,woman,,,,null,,,,
2111,"<img src=""portrait/WW2.jpg""style=""width:400px;height:400px;""></img>",3,html-button-response,6,75428,0.0-3.0-4.0,69449,List1B,white,woman,,TRUE,3,,,,,
null,CORRECT,,html-keyboard-response,7,76931,0.0-3.0-5.0-0.0,69449,List1B,white,woman,,,,null,,,,
1872,"<img src=""portrait/BM2.jpg""style=""width:400px;height:400px;""></img>",5,html-button-response,8,78804,0.0-3.0-7.0,69449,List1B,white,woman,,TRUE,5,,,,,
null,CORRECT,,html-keyboard-response,9,80308,0.0-3.0-8.0-0.0,69449,List1B,white,woman,,,,null,,,,
2272,"<img src=""portrait/BW2.jpg""style=""width:400px;height:400px;""></img>",0,html-button-response,10,82582,0.0-3.0-10.0,69449,List1B,white,woman,,TRUE,2,,,,,
2232,"<img src=""portrait/BW2.jpg""style=""width:400px;height:400px;""></img>",2,html-button-response,11,85816,0.0-3.0-12.0-0.0,69449,List1B,white,woman,,FALSE,2,,,,,
null,CORRECT,,html-keyboard-response,12,87319,0.0-3.0-12.0-1.0-0.0,69449,List1B,white,woman,,,,null,,,,
