rt,stimulus,button_pressed,trial_type,trial_index,time_elapsed,internal_node_id,subject,list,ppt_race,ppt_gender,url,first_guess,correct,key_press,responses,image_type,phrase_type,test_part
1654,Welcome to the experiment. Press Continue to begin.,0,html-button-response,0,1657,0.0-0.0,84387,List1A,white,woman,,,,,,,,
14127,,,external-html,1,17362,0.0-1.0,84387,List1A,white,woman,consent.html,,,,,,,
10605,"<p>On the next page, you will see portraits of 8 people and their names.</p><p>Your first task is to take a few minutes to memorise the names of these people.</p><p>You will have to recall their names during the rest of the experiment, so it is</p><p>essential that you try to memorise these people and their names as best as you can.</p><br><p><strong>You will then be tested on your memory of these names and portraits.</strong></p><br><p>The experiment will start after you have completed this memory test.</p><br><p>Ready?</p>",0,html-button-response,2,27969,0.0-2.0,84387,List1A,white,woman,,,,,,,,
26548,"<img src='img/portrait_matrix_list1.JPG' style='width:900px;height:500px;''></img><p>If you have memorised all the portraits and names and are ready to start, press Continue.</p><p><strong>Please note: Your memory of these faces will be tested 4 times during this experiment.</strong></p>",0,html-button-response,3,55521,0.0-3.0-0.0,84387,List1A,white,woman,,,,,,,,
3907,"<img src=""portrait/BM1.jpg""style=""width:400px;height:400px;""></img>",4,html-button-response,4,60433,0.0-3.0-1.0,84387,List1A,white,woman,,TRUE,4,,,,,
null,CORRECT,,html-keyboard-response,5,61941,0.0-3.0-2.0-0.0,84387,List1A,white,woman,,,,null,,,,
6591,"<img src=""portrait/WM2.jpg""style=""width:400px;height:400px;""></img>",7,html-button-response,6,68538,0.0-3.0-4.0,84387,List1A,white,woman,,TRUE,7,,,,,
null,CORRECT,,html-keyboard-response,7,70043,0.0-3.0-5.0-0.0,84387,List1A,white,woman,,,,null,,,,
5328,"<img src=""portrait/WW1.jpg""style=""width:400px;height:400px;""></img>",1,html-button-response,8,75379,0.0-3.0-7.0,84387,List1A,white,woman,,TRUE,1,,,,,
null,CORRECT,,html-keyboard-response,9,76883,0.0-3.0-8.0-0.0,84387,List1A,white,woman,,,,null,,,,
3419,"<img src=""portrait/WW2.jpg""style=""width:400px;height:400px;""></img>",3,html-button-response,10,80304,0.0-3.0-10.0,84387,List1A,white,woman,,TRUE,3,,,,,
null,CORRECT,,html-keyboard-response,11,81808,0.0-3.0-11.0-0.0,84387,List1A,white,woman,,,,null,,,,
3885,"<img src=""portrait/BW1.jpg""style=""width:400px;height:400px;""></img>",0,html-button-response,12,85697,0.0-3.0-13.0,84387,List1A,white,woman,,TRUE,0,,,,,
null,CORRECT,,html-keyboard-response,13,87199,0.0-3.0-14.0-0.0,84387,List1A,white,woman,,,,null,,,,
3489,"<img src=""portrait/WM1.jpg""style=""width:400px;height:400px;""></img>",6,html-button-response,14,90688,0.0-3.0-16.0,84387,List1A,white,woman,,TRUE,6,,,,,
null,CORRECT,,html-keyboard-response,15,92193,0.0-3.0-17.0-0.0,84387,List1A,white,woman,,,,null,,,,
2717,"<img src=""portrait/BW2.jpg""style=""width:400px;height:400px;""></img>",2,html-button-response,16,94913,0.0-3.0-19.0,84387,List1A,white,woman,,TRUE,2,,,,,
null,CORRECT,,html-keyboard-response,17,96418,0.0-3.0-20.0-0.0,84387,List1A,white,woman,,,,null,,,,
