verb,list,left,right,left_gender,left_race,right_gender,right_race,syntax,auxiliary,left_height,right_height,height_diff,left_width,right_width,width_diff,left_volume,right_volume,volume_diff
argue1,list1A,mike,beth,man,white,woman,white,transitive,is,120,105,15,23,19,4,2760,1995,765
argue2,list1A,kate,fred,woman,white,man,white,intransitive,are,105,115,-10,24,22,2,2520,2530,-10
argue3,list1A,dave,ruth,man,black,woman,black,transitive,is,123,120,3,20,21,-1,2460,2520,-60
argue4,list1A,jane,luke,woman,black,man,black,intransitive,are,105,122,-17,23,26,-3,2415,3172,-757
argue5,list1A,mike,luke,man,white,man,black,transitive,is,122,121,1,22,21,1,2684,2541,143
argue6,list1A,dave,fred,man,black,man,white,intransitive,are,115,110,5,20,22,-2,2300,2420,-120
argue7,list1A,kate,ruth,woman,white,woman,black,transitive,is,110,122,-12,21,23,-2,2310,2806,-496
argue8,list1A,jane,beth,woman,black,woman,white,intransitive,are,117,113,4,23,23,0,2691,2599,92
argue1,list1B,beth,mike,woman,white,man,white,transitive,is,105,120,-15,19,23,-4,1995,2760,-765
argue2,list1B,fred,kate,man,white,woman,white,intransitive,are,115,105,10,22,24,-2,2530,2520,10
argue3,list1B,ruth,dave,woman,black,man,black,transitive,is,120,123,-3,21,20,1,2520,2460,60
argue4,list1B,luke,jane,man,black,woman,black,intransitive,are,122,105,17,26,23,3,3172,2415,757
argue5,list1B,luke,mike,man,black,man,white,transitive,is,121,122,-1,21,22,-1,2541,2684,-143
argue6,list1B,fred,dave,man,white,man,black,intransitive,are,110,115,-5,22,20,2,2420,2300,120
argue7,list1B,ruth,kate,woman,black,woman,white,transitive,is,122,110,12,23,21,2,2806,2310,496
argue8,list1B,beth,jane,woman,white,woman,black,intransitive,are,113,117,-4,23,23,0,2599,2691,-92
argue1,list2A,dave,ruth,man,white,woman,white,transitive,is,120,105,15,23,19,4,2760,1995,765
argue2,list2A,jane,luke,woman,white,man,white,intransitive,are,105,115,-10,24,22,2,2520,2530,-10
argue3,list2A,mike,beth,man,black,woman,black,transitive,is,123,120,3,20,21,-1,2460,2520,-60
argue4,list2A,kate,fred,woman,black,man,black,intransitive,are,105,122,-17,23,26,-3,2415,3172,-757
argue5,list2A,dave,fred,man,white,man,black,transitive,is,122,121,1,22,21,1,2684,2541,143
argue6,list2A,mike,luke,man,black,man,white,intransitive,are,115,110,5,20,22,-2,2300,2420,-120
argue7,list2A,jane,beth,woman,white,woman,black,transitive,is,110,122,-12,21,23,-2,2310,2806,-496
argue8,list2A,kate,ruth,woman,black,woman,white,intransitive,are,117,113,4,23,23,0,2691,2599,92
argue1,list2B,ruth,dave,woman,white,man,white,transitive,is,105,120,-15,19,23,-4,1995,2760,-765
argue2,list2B,luke,jane,man,white,woman,white,intransitive,are,115,105,10,22,24,-2,2530,2520,10
argue3,list2B,beth,mike,woman,black,man,black,transitive,is,120,123,-3,21,20,1,2520,2460,60
argue4,list2B,fred,kate,man,black,woman,black,intransitive,are,122,105,17,26,23,3,3172,2415,757
argue5,list2B,fred,dave,man,black,man,white,transitive,is,121,122,-1,21,22,-1,2541,2684,-143
argue6,list2B,luke,mike,man,white,man,black,intransitive,are,110,115,-5,22,20,2,2420,2300,120
argue7,list2B,beth,jane,woman,black,woman,white,transitive,is,122,110,12,23,21,2,2806,2310,496
argue8,list2B,ruth,kate,woman,white,woman,black,intransitive,are,113,117,-4,23,23,0,2599,2691,-92
dance1,list1A,fred,kate,man,white,woman,white,transitive,is,122,116,6,20,24,-4,2440,2784,-344
dance2,list1A,beth,mike,woman,white,man,white,intransitive,are,104,127,-23,19,21,-2,1976,2667,-691
dance3,list1A,luke,jane,man,black,woman,black,transitive,is,128,113,15,24,21,3,3072,2373,699
dance4,list1A,ruth,dave,woman,black,man,black,intransitive,are,124,123,1,24,25,-1,2976,3075,-99
dance5,list1A,fred,dave,man,white,man,black,transitive,is,121,120,1,22,24,-2,2662,2880,-218
dance6,list1A,luke,mike,man,black,man,white,intransitive,are,119,128,-9,22,22,0,2618,2816,-198
dance7,list1A,beth,jane,woman,white,woman,black,transitive,is,119,126,-7,21,23,-2,2499,2898,-399
dance8,list1A,ruth,kate,woman,black,woman,white,intransitive,are,128,114,14,21,20,1,2688,2280,408
dance1,list1B,kate,fred,woman,white,man,white,transitive,is,116,122,-6,24,20,4,2784,2440,344
dance2,list1B,mike,beth,man,white,woman,white,intransitive,are,127,104,23,21,19,2,2667,1976,691
dance3,list1B,jane,luke,woman,black,man,black,transitive,is,113,128,-15,21,24,-3,2373,3072,-699
dance4,list1B,dave,ruth,man,black,woman,black,intransitive,are,123,124,-1,25,24,1,3075,2976,99
dance5,list1B,dave,fred,man,black,man,white,transitive,is,120,121,-1,24,22,2,2880,2662,218
dance6,list1B,mike,luke,man,white,man,black,intransitive,are,128,119,9,22,22,0,2816,2618,198
dance7,list1B,jane,beth,woman,black,woman,white,transitive,is,126,119,7,23,21,2,2898,2499,399
dance8,list1B,kate,ruth,woman,white,woman,black,intransitive,are,114,128,-14,20,21,-1,2280,2688,-408
dance1,list2A,luke,jane,man,white,woman,white,transitive,is,122,116,6,20,24,-4,2440,2784,-344
dance2,list2A,ruth,dave,woman,white,man,white,intransitive,are,104,127,-23,19,21,-2,1976,2667,-691
dance3,list2A,fred,kate,man,black,woman,black,transitive,is,128,113,15,24,21,3,3072,2373,699
dance4,list2A,beth,mike,woman,black,man,black,intransitive,are,124,123,1,24,25,-1,2976,3075,-99
dance5,list2A,luke,mike,man,white,man,black,transitive,is,121,120,1,22,24,-2,2662,2880,-218
dance6,list2A,fred,dave,man,black,man,white,intransitive,are,119,128,-9,22,22,0,2618,2816,-198
dance7,list2A,ruth,kate,woman,white,woman,black,transitive,is,119,126,-7,21,23,-2,2499,2898,-399
dance8,list2A,beth,jane,woman,black,woman,white,intransitive,are,128,114,14,21,20,1,2688,2280,408
dance1,list2B,jane,luke,woman,white,man,white,transitive,is,116,122,-6,24,20,4,2784,2440,344
dance2,list2B,dave,ruth,man,white,woman,white,intransitive,are,127,104,23,21,19,2,2667,1976,691
dance3,list2B,kate,fred,woman,black,man,black,transitive,is,113,128,-15,21,24,-3,2373,3072,-699
dance4,list2B,mike,beth,man,black,woman,black,intransitive,are,123,124,-1,25,24,1,3075,2976,99
dance5,list2B,mike,luke,man,black,man,white,transitive,is,120,121,-1,24,22,2,2880,2662,218
dance6,list2B,dave,fred,man,white,man,black,intransitive,are,128,119,9,22,22,0,2816,2618,198
dance7,list2B,kate,ruth,woman,black,woman,white,transitive,is,126,119,7,23,21,2,2898,2499,399
dance8,list2B,jane,beth,woman,white,woman,black,intransitive,are,114,128,-14,20,21,-1,2280,2688,-408
fight1,list1A,mike,kate,man,white,woman,white,transitive,is,126,106,20,26,22,4,3276,2332,944
fight2,list1A,beth,fred,woman,white,man,white,intransitive,are,114,125,-11,24,21,3,2736,2625,111
fight3,list1A,dave,jane,man,black,woman,black,transitive,is,127,119,8,21,20,1,2667,2380,287
fight4,list1A,ruth,luke,woman,black,man,black,intransitive,are,120,128,-8,25,25,0,3000,3200,-200
fight5,list1A,mike,dave,man,white,man,black,transitive,is,125,117,8,26,21,5,3250,2457,793
fight6,list1A,luke,fred,man,black,man,white,intransitive,are,127,115,12,27,18,9,3429,2070,1359
