rt,stimulus,button_pressed,trial_type,trial_index,time_elapsed,internal_node_id,subject,list,ppt_race,ppt_gender,url,first_guess,correct,key_press,responses,image_type,phrase_type,test_part
3742,Welcome to the experiment. Press Continue to begin.,0,html-button-response,0,3752,0.0-0.0,65282,List1A,black,woman,,,,,,,,
51609,,,external-html,1,56443,0.0-1.0,65282,List1A,black,woman,consent.html,,,,,,,
39625,"<p>On the next page, you will see portraits of 8 people and their names.</p><p>Your first task is to take a few minutes to memorise the names of these people.</p><p>You will have to recall their names during the rest of the experiment, so it is</p><p>essential that you try to memorise these people and their names as best as you can.</p><br><p><strong>You will then be tested on your memory of these names and portraits.</strong></p><br><p>The experiment will start after you have completed this memory test.</p><br><p>Ready?</p>",0,html-button-response,2,96072,0.0-2.0,65282,List1A,black,woman,,,,,,,,
93889,"<img src='img/portrait_matrix_list1.JPG' style='width:900px;height:500px;''></img><p>If you have memorised all the portraits and names and are ready to start, press Continue.</p><p><strong>Please note: Your memory of these faces will be tested 4 times during this experiment.</strong></p>",0,html-button-response,3,190969,0.0-3.0-0.0,65282,List1A,black,woman,,,,,,,,
7648,"<img src=""portrait/BM2.jpg""style=""width:400px;height:400px;""></img>",5,html-button-response,4,199626,0.0-3.0-1.0,65282,List1A,black,woman,,TRUE,5,,,,,
null,CORRECT,,html-keyboard-response,5,201141,0.0-3.0-2.0-0.0,65282,List1A,black,woman,,,,null,,,,
4323,"<img src=""portrait/WM1.jpg""style=""width:400px;height:400px;""></img>",6,html-button-response,6,205470,0.0-3.0-4.0,65282,List1A,black,woman,,TRUE,6,,,,,
null,CORRECT,,html-keyboard-response,7,206978,0.0-3.0-5.0-0.0,65282,List1A,black,woman,,,,null,,,,
13804,"<img src=""portrait/BW2.jpg""style=""width:400px;height:400px;""></img>",3,html-button-response,8,220787,0.0-3.0-7.0,65282,List1A,black,woman,,TRUE,2,,,,,
4197,"<img src=""portrait/BW2.jpg""style=""width:400px;height:400px;""></img>",2,html-button-response,9,225991,0.0-3.0-9.0-0.0,65282,List1A,black,woman,,FALSE,2,,,,,
null,CORRECT,,html-keyboard-response,10,227500,0.0-3.0-9.0-1.0-0.0,65282,List1A,black,woman,,,,null,,,,
16672,"<img src=""portrait/WM2.jpg""style=""width:400px;height:400px;""></img>",7,html-button-response,11,244176,0.0-3.0-10.0,65282,List1A,black,woman,,TRUE,7,,,,,
null,CORRECT,,html-keyboard-response,12,245684,0.0-3.0-11.0-0.0,65282,List1A,black,woman,,,,null,,,,
5734,"<img src=""portrait/BW1.jpg""style=""width:400px;height:400px;""></img>",0,html-button-response,13,251422,0.0-3.0-13.0,65282,List1A,black,woman,,TRUE,0,,,,,
null,CORRECT,,html-keyboard-response,14,252953,0.0-3.0-14.0-0.0,65282,List1A,black,woman,,,,null,,,,
5471,"<img src=""portrait/WW1.jpg""style=""width:400px;height:400px;""></img>",1,html-button-response,15,258427,0.0-3.0-16.0,65282,List1A,black,woman,,TRUE,1,,,,,
null,CORRECT,,html-keyboard-response,16,259955,0.0-3.0-17.0-0.0,65282,List1A,black,woman,,,,null,,,,
7948,"<img src=""portrait/BM1.jpg""style=""width:400px;height:400px;""></img>",4,html-button-response,17,267907,0.0-3.0-19.0,65282,List1A,black,woman,,TRUE,4,,,,,
null,CORRECT,,html-keyboard-response,18,269416,0.0-3.0-20.0-0.0,65282,List1A,black,woman,,,,null,,,,
