rt,stimulus,button_pressed,trial_type,trial_index,time_elapsed,internal_node_id,subject,list,ppt_race,ppt_gender,url,first_guess,correct,key_press,responses,image_type,phrase_type,test_part
1859,Welcome to the experiment. Press Continue to begin.,0,html-button-response,0,1867,0.0-0.0,8049,List2A,black,woman,,,,,,,,
111722,,,external-html,1,114644,0.0-1.0,8049,List2A,black,woman,consent.html,,,,,,,
23025,"<p>On the next page, you will see portraits of 8 people and their names.</p><p>Your first task is to take a few minutes to memorise the names of these people.</p><p>You will have to recall their names during the rest of the experiment, so it is</p><p>essential that you try to memorise these people and their names as best as you can.</p><br><p><strong>You will then be tested on your memory of these names and portraits.</strong></p><br><p>The experiment will start after you have completed this memory test.</p><br><p>Ready?</p>",0,html-button-response,2,137671,0.0-2.0,8049,List2A,black,woman,,,,,,,,
57710,"<img src='img/portrait_matrix_list2.JPG' style='width:900px;height:500px;''></img><p>If you have memorised all the portraits and names and are ready to start, press Continue.</p><p><strong>Please note: Your memory of these faces will be tested 4 times during this experiment.</strong></p>",0,html-button-response,3,196385,0.0-3.0-0.0,8049,List2A,black,woman,,,,,,,,
6466,"<img src=""portrait/BM2.jpg""style=""width:400px;height:400px;""></img>",6,html-button-response,4,203855,0.0-3.0-1.0,8049,List2A,black,woman,,TRUE,5,,,,,
8826,"<img src=""portrait/BM2.jpg""style=""width:400px;height:400px;""></img>",5,html-button-response,5,213688,0.0-3.0-3.0-0.0,8049,List2A,black,woman,,FALSE,5,,,,,
null,CORRECT,,html-keyboard-response,6,215202,0.0-3.0-3.0-1.0-0.0,8049,List2A,black,woman,,,,null,,,,
3715,"<img src=""portrait/BW2.jpg""style=""width:400px;height:400px;""></img>",2,html-button-response,7,218921,0.0-3.0-4.0,8049,List2A,black,woman,,TRUE,2,,,,,
null,CORRECT,,html-keyboard-response,8,220434,0.0-3.0-5.0-0.0,8049,List2A,black,woman,,,,null,,,,
7055,"<img src=""portrait/WM1.jpg""style=""width:400px;height:400px;""></img>",6,html-button-response,9,227491,0.0-3.0-7.0,8049,List2A,black,woman,,TRUE,6,,,,,
null,CORRECT,,html-keyboard-response,10,228996,0.0-3.0-8.0-0.0,8049,List2A,black,woman,,,,null,,,,
4760,"<img src=""portrait/WM2.jpg""style=""width:400px;height:400px;""></img>",7,html-button-response,11,233758,0.0-3.0-10.0,8049,List2A,black,woman,,TRUE,7,,,,,
