rt,stimulus,button_pressed,trial_type,trial_index,time_elapsed,internal_node_id,subject,list,ppt_race,ppt_gender,url,first_guess,correct,key_press,responses,image_type,phrase_type,test_part
1932,Welcome to the experiment. Press Continue to begin.,0,html-button-response,0,1938,0.0-0.0,24830,List2A,white,woman,,,,,,,,
21644,,,external-html,1,24640,0.0-1.0,24830,List2A,white,woman,consent.html,,,,,,,
9500,"<p>On the next page, you will see portraits of 8 people and their names.</p><p>Your first task is to take a few minutes to memorise the names of these people.</p><p>You will have to recall their names during the rest of the experiment, so it is</p><p>essential that you try to memorise these people and their names as best as you can.</p><br><p><strong>You will then be tested on your memory of these names and portraits.</strong></p><br><p>The experiment will start after you have completed this memory test.</p><br><p>Ready?</p>",0,html-button-response,2,34143,0.0-2.0,24830,List2A,white,woman,,,,,,,,
61041,"<img src='img/portrait_matrix_list2.jpg' style='width:900px;height:500px;''></img><p>If you have memorised all the portraits and names and are ready to start, press Continue.</p><p><strong>Please note: Your memory of these faces will be tested 4 times during this experiment.</strong></p>",0,html-button-response,3,96191,0.0-3.0-0.0,24830,List2A,white,woman,,,,,,,,
15083,"<img src=""portrait/BW2.jpg""style=""height:400px;""></img>",2,html-button-response,4,112280,0.0-3.0-1.0,24830,List2A,white,woman,,TRUE,2,,,,,
null,CORRECT,,html-keyboard-response,5,113786,0.0-3.0-2.0-0.0,24830,List2A,white,woman,,,,null,,,,
3042,"<img src=""portrait/BM2.jpg""style=""height:400px;""></img>",4,html-button-response,6,116831,0.0-3.0-4.0,24830,List2A,white,woman,,TRUE,5,,,,,
4763,"<img src=""portrait/BM2.jpg""style=""height:400px;""></img>",5,html-button-response,7,122603,0.0-3.0-6.0-0.0,24830,List2A,white,woman,,FALSE,5,,,,,
null,CORRECT,,html-keyboard-response,8,124107,0.0-3.0-6.0-1.0-0.0,24830,List2A,white,woman,,,,null,,,,
11266,"<img src=""portrait/BW1.jpg""style=""height:400px;""></img>",3,html-button-response,9,135377,0.0-3.0-7.0,24830,List2A,white,woman,,TRUE,0,,,,,
2706,"<img src=""portrait/BW1.jpg""style=""height:400px;""></img>",0,html-button-response,10,139087,0.0-3.0-9.0-0.0,24830,List2A,white,woman,,FALSE,0,,,,,
null,CORRECT,,html-keyboard-response,11,140591,0.0-3.0-9.0-1.0-0.0,24830,List2A,white,woman,,,,null,,,,
4525,"<img src=""portrait/WW1.jpg""style=""height:400px;""></img>",1,html-button-response,12,145119,0.0-3.0-10.0,24830,List2A,white,woman,,TRUE,1,,,,,
null,CORRECT,,html-keyboard-response,13,146623,0.0-3.0-11.0-0.0,24830,List2A,white,woman,,,,null,,,,
2197,"<img src=""portrait/BM1.jpg""style=""height:400px;""></img>",4,html-button-response,14,148823,0.0-3.0-13.0,24830,List2A,white,woman,,TRUE,4,,,,,
null,CORRECT,,html-keyboard-response,15,150326,0.0-3.0-14.0-0.0,24830,List2A,white,woman,,,,null,,,,
10373,"<img src=""portrait/WM1.jpg""style=""height:400px;""></img>",7,html-button-response,16,160702,0.0-3.0-16.0,24830,List2A,white,woman,,TRUE,6,,,,,
4427,"<img src=""portrait/WM1.jpg""style=""height:400px;""></img>",6,html-button-response,17,166135,0.0-3.0-18.0-0.0,24830,List2A,white,woman,,FALSE,6,,,,,
null,CORRECT,,html-keyboard-response,18,167638,0.0-3.0-18.0-1.0-0.0,24830,List2A,white,woman,,,,null,,,,
7262,"<img src=""portrait/WM2.jpg""style=""height:400px;""></img>",7,html-button-response,19,174903,0.0-3.0-19.0,24830,List2A,white,woman,,TRUE,7,,,,,
null,CORRECT,,html-keyboard-response,20,176406,0.0-3.0-20.0-0.0,24830,List2A,white,woman,,,,null,,,,
6486,"<img src=""portrait/WW2.jpg""style=""height:400px;""></img>",0,html-button-response,21,182895,0.0-3.0-22.0,24830,List2A,white,woman,,TRUE,3,,,,,
2995,"<img src=""portrait/WW2.jpg""style=""height:400px;""></img>",3,html-button-response,22,186895,0.0-3.0-24.0-0.0,24830,List2A,white,woman,,FALSE,3,,,,,
null,CORRECT,,html-keyboard-response,23,188397,0.0-3.0-24.0-1.0-0.0,24830,List2A,white,woman,,,,null,,,,
2590,<p>You got 4 out of 8 right first time. Press Continue.</p>,0,html-button-response,24,190990,0.0-3.0-25.0,24830,List2A,white,woman,,,,,,,,
2700,"As you did not score 100%, the memory game will repeat. Press Continue.",0,html-button-response,25,194695,0.0-3.0-26.0-0.0,24830,List2A,white,woman,,,,,,,,
36071,"<img src='img/portrait_matrix_list2.jpg' style='width:900px;height:500px;''></img><p>If you have memorised all the portraits and names and are ready to start, press Continue.</p><p><strong>Please note: Your memory of these faces will be tested 4 times during this experiment.</strong></p>",0,html-button-response,26,231772,0.0-3.1-0.1,24830,List2A,white,woman,,,,,,,,
2438,"<img src=""portrait/BW2.jpg""style=""height:400px;""></img>",2,html-button-response,27,235215,0.0-3.1-1.1,24830,List2A,white,woman,,TRUE,2,,,,,
null,CORRECT,,html-keyboard-response,28,236718,0.0-3.1-2.1-0.1,24830,List2A,white,woman,,,,null,,,,
16181,"<img src=""portrait/BM2.jpg""style=""height:400px;""></img>",6,html-button-response,29,252902,0.0-3.1-4.1,24830,List2A,white,woman,,TRUE,5,,,,,
2836,"<img src=""portrait/BM2.jpg""style=""height:400px;""></img>",5,html-button-response,30,256743,0.0-3.1-6.1-0.1,24830,List2A,white,woman,,FALSE,5,,,,,
null,CORRECT,,html-keyboard-response,31,258245,0.0-3.1-6.1-1.1-0.1,24830,List2A,white,woman,,,,null,,,,
3854,"<img src=""portrait/BW1.jpg""style=""height:400px;""></img>",0,html-button-response,32,262100,0.0-3.1-7.1,24830,List2A,white,woman,,TRUE,0,,,,,
null,CORRECT,,html-keyboard-response,33,263603,0.0-3.1-8.1-0.1,24830,List2A,white,woman,,,,null,,,,
3495,"<img src=""portrait/WW1.jpg""style=""height:400px;""></img>",1,html-button-response,34,267102,0.0-3.1-10.1,24830,List2A,white,woman,,TRUE,1,,,,,
null,CORRECT,,html-keyboard-response,35,268604,0.0-3.1-11.1-0.1,24830,List2A,white,woman,,,,null,,,,
3966,"<img src=""portrait/BM1.jpg""style=""height:400px;""></img>",4,html-button-response,36,272574,0.0-3.1-13.1,24830,List2A,white,woman,,TRUE,4,,,,,
null,CORRECT,,html-keyboard-response,37,274077,0.0-3.1-14.1-0.1,24830,List2A,white,woman,,,,null,,,,
8678,"<img src=""portrait/WM1.jpg""style=""height:400px;""></img>",7,html-button-response,38,282758,0.0-3.1-16.1,24830,List2A,white,woman,,TRUE,6,,,,,
3268,"<img src=""portrait/WM1.jpg""style=""height:400px;""></img>",6,html-button-response,39,287031,0.0-3.1-18.1-0.1,24830,List2A,white,woman,,FALSE,6,,,,,
null,CORRECT,,html-keyboard-response,40,288535,0.0-3.1-18.1-1.1-0.1,24830,List2A,white,woman,,,,null,,,,
8548,"<img src=""portrait/WM2.jpg""style=""height:400px;""></img>",7,html-button-response,41,297087,0.0-3.1-19.1,24830,List2A,white,woman,,TRUE,7,,,,,
null,CORRECT,,html-keyboard-response,42,298590,0.0-3.1-20.1-0.1,24830,List2A,white,woman,,,,null,,,,
2300,"<img src=""portrait/WW2.jpg""style=""height:400px;""></img>",3,html-button-response,43,300894,0.0-3.1-22.1,24830,List2A,white,woman,,TRUE,3,,,,,
null,CORRECT,,html-keyboard-response,44,302403,0.0-3.1-23.1-0.1,24830,List2A,white,woman,,,,null,,,,
3584,<p>You got 6 out of 8 right first time. Press Continue.</p>,0,html-button-response,45,305990,0.0-3.1-25.1,24830,List2A,white,woman,,,,,,,,
1995,"As you did not score 100%, the memory game will repeat. Press Continue.",0,html-button-response,46,308990,0.0-3.1-26.1-0.1,24830,List2A,white,woman,,,,,,,,
22675,"<img src='img/portrait_matrix_list2.jpg' style='width:900px;height:500px;''></img><p>If you have memorised all the portraits and names and are ready to start, press Continue.</p><p><strong>Please note: Your memory of these faces will be tested 4 times during this experiment.</strong></p>",0,html-button-response,47,332669,0.0-3.2-0.2,24830,List2A,white,woman,,,,,,,,
8886,"<img src=""portrait/BW2.jpg""style=""height:400px;""></img>",2,html-button-response,48,342558,0.0-3.2-1.2,24830,List2A,white,woman,,TRUE,2,,,,,
null,CORRECT,,html-keyboard-response,49,344063,0.0-3.2-2.2-0.2,24830,List2A,white,woman,,,,null,,,,
2549,"<img src=""portrait/BM2.jpg""style=""height:400px;""></img>",5,html-button-response,50,346615,0.0-3.2-4.2,24830,List2A,white,woman,,TRUE,5,,,,,
null,CORRECT,,html-keyboard-response,51,348118,0.0-3.2-5.2-0.2,24830,List2A,white,woman,,,,null,,,,
1996,"<img src=""portrait/BW1.jpg""style=""height:400px;""></img>",0,html-button-response,52,350126,0.0-3.2-7.2,24830,List2A,white,woman,,TRUE,0,,,,,
null,CORRECT,,html-keyboard-response,53,351629,0.0-3.2-8.2-0.2,24830,List2A,white,woman,,,,null,,,,
2608,"<img src=""portrait/WW1.jpg""style=""height:400px;""></img>",1,html-button-response,54,354239,0.0-3.2-10.2,24830,List2A,white,woman,,TRUE,1,,,,,
null,CORRECT,,html-keyboard-response,55,355741,0.0-3.2-11.2-0.2,24830,List2A,white,woman,,,,null,,,,
