rt,stimulus,button_pressed,trial_type,trial_index,time_elapsed,internal_node_id,subject,list,ppt_race,ppt_gender,url,first_guess,correct,key_press,responses,image_type,phrase_type,test_part
2382,Welcome to the experiment. Press Continue to begin.,0,html-button-response,0,2384,0.0-0.0,34877,List2A,white,man,,,,,,,,
39703,,,external-html,1,43131,0.0-1.0,34877,List2A,white,man,consent.html,,,,,,,
11698,"<p>On the next page, you will see portraits of 8 people and their names.</p><p>Your first task is to take a few minutes to memorise the names of these people.</p><p>You will have to recall their names during the rest of the experiment, so it is</p><p>essential that you try to memorise these people and their names as best as you can.</p><br><p><strong>You will then be tested on your memory of these names and portraits.</strong></p><br><p>The experiment will start after you have completed this memory test.</p><br><p>Ready?</p>",0,html-button-response,2,54830,0.0-2.0,34877,List2A,white,man,,,,,,,,
80480,"<img src='img/portrait_matrix_list2.jpg' style='width:900px;height:500px;''></img><p>If you have memorised all the portraits and names and are ready to start, press Continue.</p><p><strong>Please note: Your memory of these faces will be tested 4 times during this experiment.</strong></p>",0,html-button-response,3,136318,0.0-3.0-0.0,34877,List2A,white,man,,,,,,,,
8191,"<img src=""portrait/BW2.jpg""style=""height:400px;""></img>",2,html-button-response,4,145515,0.0-3.0-1.0,34877,List2A,white,man,,TRUE,2,,,,,
null,CORRECT,,html-keyboard-response,5,147024,0.0-3.0-2.0-0.0,34877,List2A,white,man,,,,null,,,,
7272,"<img src=""portrait/WW1.jpg""style=""height:400px;""></img>",1,html-button-response,6,154298,0.0-3.0-4.0,34877,List2A,white,man,,TRUE,1,,,,,
null,CORRECT,,html-keyboard-response,7,155802,0.0-3.0-5.0-0.0,34877,List2A,white,man,,,,null,,,,
1974,"<img src=""portrait/WM1.jpg""style=""height:400px;""></img>",6,html-button-response,8,157777,0.0-3.0-7.0,34877,List2A,white,man,,TRUE,6,,,,,
null,CORRECT,,html-keyboard-response,9,159288,0.0-3.0-8.0-0.0,34877,List2A,white,man,,,,null,,,,
3085,"<img src=""portrait/WW2.jpg""style=""height:400px;""></img>",3,html-button-response,10,162374,0.0-3.0-10.0,34877,List2A,white,man,,TRUE,3,,,,,
null,CORRECT,,html-keyboard-response,11,163875,0.0-3.0-11.0-0.0,34877,List2A,white,man,,,,null,,,,
1760,"<img src=""portrait/BW1.jpg""style=""height:400px;""></img>",0,html-button-response,12,165636,0.0-3.0-13.0,34877,List2A,white,man,,TRUE,0,,,,,
null,CORRECT,,html-keyboard-response,13,167143,0.0-3.0-14.0-0.0,34877,List2A,white,man,,,,null,,,,
1954,"<img src=""portrait/WM2.jpg""style=""height:400px;""></img>",7,html-button-response,14,169099,0.0-3.0-16.0,34877,List2A,white,man,,TRUE,7,,,,,
null,CORRECT,,html-keyboard-response,15,170602,0.0-3.0-17.0-0.0,34877,List2A,white,man,,,,null,,,,
1759,"<img src=""portrait/BM1.jpg""style=""height:400px;""></img>",4,html-button-response,16,172362,0.0-3.0-19.0,34877,List2A,white,man,,TRUE,4,,,,,
null,CORRECT,,html-keyboard-response,17,173867,0.0-3.0-20.0-0.0,34877,List2A,white,man,,,,null,,,,
1814,"<img src=""portrait/BM2.jpg""style=""height:400px;""></img>",5,html-button-response,18,175682,0.0-3.0-22.0,34877,List2A,white,man,,TRUE,5,,,,,
null,CORRECT,,html-keyboard-response,19,177190,0.0-3.0-23.0-0.0,34877,List2A,white,man,,,,null,,,,
1650,<p>You got 8 out of 8 right first time. Press Continue.</p>,0,html-button-response,20,178842,0.0-3.0-25.0,34877,List2A,white,man,,,,,,,,
89943,"<p>In this experiment, you will view photographs of the people from the memory game interacting.</p><p>By using the <strong>exact</strong> phrase given <i>after</i> the photograph appears and recalling the correct names of the people in the photographs, form a sentence describing the interaction. You do not need to capitalise names.</p><p>Type your answer in the space provided. Please complete every sentence before moving onto the next trial.</p><p>You will only have a few seconds to memorise each given photograph and phrase before you can respond, so try your best to focus.</p><p>An example is given below. Press 'Continue' when you are ready.</p><img src='img/speaking_example.jpg' style='width:800px;height:460px;''></img>",0,html-button-response,21,269792,0.0-4.0,34877,List2A,white,man,,,,,,,,
2848,"<p>Before the experiment starts, you will watch two example trials. Press 'Continue'.</p>",0,html-button-response,22,273643,0.0-5.0,34877,List2A,white,man,,,,,,,,
null,<img src='img/meet_eg.gif' style='height:400px;''></img>,,html-keyboard-response,23,276653,0.0-6.0,34877,List2A,white,man,,,,null,,,,
null,<p>is meeting</p>,,html-keyboard-response,24,278659,0.0-7.0,34877,List2A,white,man,,,,null,,,,
2678,<p><b>Answer:</b> jane is meeting ruth</p>,0,html-button-response,25,281339,0.0-8.0,34877,List2A,white,man,,,,,,,,
null,<img src='img/look_eg.gif' style='height:400px;''></img>,,html-keyboard-response,26,284342,0.0-9.0,34877,List2A,white,man,,,,null,,,,
null,<p>are looking at each other</p>,,html-keyboard-response,27,286343,0.0-10.0,34877,List2A,white,man,,,,null,,,,
1110,<p><b>Answer:</b> fred and mike are looking at each other</p>,0,html-button-response,28,287453,0.0-11.0,34877,List2A,white,man,,,,,,,,
10833,"<p>Ready to start the experiment?</p><br><p><strong>Remember to describe the picture using a full sentence,</strong></p><p><strong>that combines the names of the people with the <i>exact</i> phrase given.</strong></p><p><strong>To receive full payment you must do this correctly.</strong></p><p><strong> You do not need to capitalise names or use punctuation.</strong></p><br><p>Press 'Continue' to begin.</p>",0,html-button-response,29,299289,0.0-12.0,34877,List2A,white,man,,,,,,,,
null,"<div style=""font-size:60px;"">+</div>",,html-keyboard-response,30,300798,0.0-13.0-0.0,34877,List2A,white,man,,,,null,,,,
null,"<img src=""stim_listA/touch1.gif""style=""height:400px;""></stim_listA>",,html-keyboard-response,31,302799,0.0-13.0-1.0,34877,List2A,white,man,,,,null,,,,
null,is touching,,html-keyboard-response,32,304800,0.0-13.0-2.0,34877,List2A,white,man,,,,null,,,,
11285,,,survey-text,33,316085,0.0-13.0-3.0,34877,List2A,white,man,,,,,"{""Q0"":""dave is touching jane""}","<img src=""stim_listA/touch1.gif""style=""height:400px;""></stim_listA>",is touching,
null,"<div style=""font-size:60px;"">+</div>",,html-keyboard-response,34,316592,0.0-13.0-0.1,34877,List2A,white,man,,,,null,,,,
null,"<img src=""stim_listA/marry4.gif""style=""height:400px;""></stim_listA>",,html-keyboard-response,35,318594,0.0-13.0-1.1,34877,List2A,white,man,,,,null,,,,
null,are marrying each other,,html-keyboard-response,36,320596,0.0-13.0-2.1,34877,List2A,white,man,,,,null,,,,
14830,,,survey-text,37,335427,0.0-13.0-3.1,34877,List2A,white,man,,,,,"{""Q0"":""fred is marrying kate""}","<img src=""stim_listA/marry4.gif""style=""height:400px;""></stim_listA>",are marrying each other,
null,"<div style=""font-size:60px;"">+</div>",,html-keyboard-response,38,335928,0.0-13.0-0.2,34877,List2A,white,man,,,,null,,,,
null,"<img src=""stim_listA/shout2.gif""style=""height:400px;""></stim_listA>",,html-keyboard-response,39,337929,0.0-13.0-1.2,34877,List2A,white,man,,,,null,,,,
null,are shouting at each other,,html-keyboard-response,40,339932,0.0-13.0-2.2,34877,List2A,white,man,,,,null,,,,
19309,,,survey-text,41,359249,0.0-13.0-3.2,34877,List2A,white,man,,,,,"{""Q0"":""dave is shouting at jane""}","<img src=""stim_listA/shout2.gif""style=""height:400px;""></stim_listA>",are shouting at each other,
null,"<div style=""font-size:60px;"">+</div>",,html-keyboard-response,42,359755,0.0-13.0-0.3,34877,List2A,white,man,,,,null,,,,
null,"<img src=""stim_listA/marry8.gif""style=""height:400px;""></stim_listA>",,html-keyboard-response,43,361758,0.0-13.0-1.3,34877,List2A,white,man,,,,null,,,,
null,are marrying each other,,html-keyboard-response,44,363758,0.0-13.0-2.3,34877,List2A,white,man,,,,null,,,,
