"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","subject","list","ppt_race","ppt_gender","url","first_guess","correct","key_press","responses","image_type","phrase_type","test_part"
"4793","Welcome to the experiment. Press Continue to begin.","0","html-button-response","0","4797","0.0-0.0","43493","List1A","black","woman","","","","","","","",""
"16213","","","external-html","1","22381","0.0-1.0","43493","List1A","black","woman","consent.html","","","","","","",""
"2238","<p>On the next page, you will see portraits of 8 people and their names.</p><p>Your first task is to take a few minutes to memorise the names of these people.</p><p>You will have to recall their names during the rest of the experiment, so it is</p><p>essential that you try to memorise these people and their names as best as you can.</p><br><p><strong>You will then be tested on your memory of these names and portraits.</strong></p><br><p>The experiment will start after you have completed this memory test.</p><br><p>Ready?</p>","0","html-button-response","2","24620","0.0-2.0","43493","List1A","black","woman","","","","","","","",""
"35421","<img src='img/portrait_matrix_list1.jpg' style='width:900px;height:500px;''></img><p>If you have memorised all the portraits and names and are ready to start, press Continue.</p><p><strong>Please note: Your memory of these faces will be tested 4 times during this experiment.</strong></p>","0","html-button-response","3","61044","0.0-3.0-0.0","43493","List1A","black","woman","","","","","","","",""
"3902","<img src=""portrait/BM2.jpg""style=""height:400px;""></img>","5","html-button-response","4","65949","0.0-3.0-1.0","43493","List1A","black","woman","","true","5","","","","",""
"null","CORRECT","","html-keyboard-response","5","67454","0.0-3.0-2.0-0.0","43493","List1A","black","woman","","","","null","","","",""
"56131","<img src=""portrait/WW2.jpg""style=""height:400px;""></img>","2","html-button-response","6","123590","0.0-3.0-4.0","43493","List1A","black","woman","","true","3","","","","",""
"7173","<img src=""portrait/WW2.jpg""style=""height:400px;""></img>","3","html-button-response","7","131769","0.0-3.0-6.0-0.0","43493","List1A","black","woman","","false","3","","","","",""
"null","CORRECT","","html-keyboard-response","8","133290","0.0-3.0-6.0-1.0-0.0","43493","List1A","black","woman","","","","null","","","",""
"8044","<img src=""portrait/BW2.jpg""style=""height:400px;""></img>","2","html-button-response","9","141334","0.0-3.0-7.0","43493","List1A","black","woman","","true","2","","","","",""
"null","CORRECT","","html-keyboard-response","10","142836","0.0-3.0-8.0-0.0","43493","List1A","black","woman","","","","null","","","",""
"9912","<img src=""portrait/WM1.jpg""style=""height:400px;""></img>","6","html-button-response","11","152750","0.0-3.0-10.0","43493","List1A","black","woman","","true","6","","","","",""
"null","CORRECT","","html-keyboard-response","12","154259","0.0-3.0-11.0-0.0","43493","List1A","black","woman","","","","null","","","",""
"2673","<img src=""portrait/BW1.jpg""style=""height:400px;""></img>","0","html-button-response","13","156934","0.0-3.0-13.0","43493","List1A","black","woman","","true","0","","","","",""
"null","CORRECT","","html-keyboard-response","14","158436","0.0-3.0-14.0-0.0","43493","List1A","black","woman","","","","null","","","",""
"2369","<img src=""portrait/BM1.jpg""style=""height:400px;""></img>","4","html-button-response","15","160806","0.0-3.0-16.0","43493","List1A","black","woman","","true","4","","","","",""
"null","CORRECT","","html-keyboard-response","16","162315","0.0-3.0-17.0-0.0","43493","List1A","black","woman","","","","null","","","",""
"2466","<img src=""portrait/WW1.jpg""style=""height:400px;""></img>","1","html-button-response","17","164782","0.0-3.0-19.0","43493","List1A","black","woman","","true","1","","","","",""
"null","CORRECT","","html-keyboard-response","18","166286","0.0-3.0-20.0-0.0","43493","List1A","black","woman","","","","null","","","",""
"36176","<img src=""portrait/WM2.jpg""style=""height:400px;""></img>","7","html-button-response","19","202463","0.0-3.0-22.0","43493","List1A","black","woman","","true","7","","","","",""
"null","CORRECT","","html-keyboard-response","20","203970","0.0-3.0-23.0-0.0","43493","List1A","black","woman","","","","null","","","",""
"3202","<p>You got 7 out of 8 right first time. Press Continue.</p>","0","html-button-response","21","207174","0.0-3.0-25.0","43493","List1A","black","woman","","","","","","","",""
"3870","As you did not score 100%, the memory game will repeat. Press Continue.","0","html-button-response","22","212047","0.0-3.0-26.0-0.0","43493","List1A","black","woman","","","","","","","",""
"28137","<img src='img/portrait_matrix_list1.jpg' style='width:900px;height:500px;''></img><p>If you have memorised all the portraits and names and are ready to start, press Continue.</p><p><strong>Please note: Your memory of these faces will be tested 4 times during this experiment.</strong></p>","0","html-button-response","23","241191","0.0-3.1-0.1","43493","List1A","black","woman","","","","","","","",""
"2965","<img src=""portrait/BM2.jpg""style=""height:400px;""></img>","5","html-button-response","24","245159","0.0-3.1-1.1","43493","List1A","black","woman","","true","5","","","","",""
"null","CORRECT","","html-keyboard-response","25","246674","0.0-3.1-2.1-0.1","43493","List1A","black","woman","","","","null","","","",""
"6947","<img src=""portrait/WW2.jpg""style=""height:400px;""></img>","3","html-button-response","26","253623","0.0-3.1-4.1","43493","List1A","black","woman","","true","3","","","","",""
"null","CORRECT","","html-keyboard-response","27","255133","0.0-3.1-5.1-0.1","43493","List1A","black","woman","","","","null","","","",""
"11148","<img src=""portrait/BW2.jpg""style=""height:400px;""></img>","2","html-button-response","28","266283","0.0-3.1-7.1","43493","List1A","black","woman","","true","2","","","","",""
"null","CORRECT","","html-keyboard-response","29","267784","0.0-3.1-8.1-0.1","43493","List1A","black","woman","","","","null","","","",""
"6801","<img src=""portrait/WM1.jpg""style=""height:400px;""></img>","6","html-button-response","30","274586","0.0-3.1-10.1","43493","List1A","black","woman","","true","6","","","","",""
"null","CORRECT","","html-keyboard-response","31","276095","0.0-3.1-11.1-0.1","43493","List1A","black","woman","","","","null","","","",""
"2522","<img src=""portrait/BW1.jpg""style=""height:400px;""></img>","0","html-button-response","32","278618","0.0-3.1-13.1","43493","List1A","black","woman","","true","0","","","","",""
"null","CORRECT","","html-keyboard-response","33","280143","0.0-3.1-14.1-0.1","43493","List1A","black","woman","","","","null","","","",""
"2114","<img src=""portrait/BM1.jpg""style=""height:400px;""></img>","4","html-button-response","34","282259","0.0-3.1-16.1","43493","List1A","black","woman","","true","4","","","","",""
"null","CORRECT","","html-keyboard-response","35","283773","0.0-3.1-17.1-0.1","43493","List1A","black","woman","","","","null","","","",""
"3853","<img src=""portrait/WW1.jpg""style=""height:400px;""></img>","1","html-button-response","36","287626","0.0-3.1-19.1","43493","List1A","black","woman","","true","1","","","","",""
"null","CORRECT","","html-keyboard-response","37","289132","0.0-3.1-20.1-0.1","43493","List1A","black","woman","","","","null","","","",""
"2020","<img src=""portrait/WM2.jpg""style=""height:400px;""></img>","7","html-button-response","38","291154","0.0-3.1-22.1","43493","List1A","black","woman","","true","7","","","","",""
"null","CORRECT","","html-keyboard-response","39","292663","0.0-3.1-23.1-0.1","43493","List1A","black","woman","","","","null","","","",""
"1978","<p>You got 8 out of 8 right first time. Press Continue.</p>","0","html-button-response","40","294642","0.0-3.1-25.1","43493","List1A","black","woman","","","","","","","",""
"32663","<p>In this experiment, you will view photographs of the people from the memory game interacting.</p><p>By using the <strong>exact</strong> phrase given <i>after</i> the photograph appears and recalling the correct names of the people in the photographs, form a sentence describing the interaction. You do not need to capitalise names.</p><p>Type your answer in the space provided. Please complete every sentence before moving onto the next trial.</p><p>You will only have a few seconds to memorise each given photograph and phrase before you can respond, so try your best to focus.</p><p>An example is given below. Press 'Continue' when you are ready.</p><img src='img/speaking_example.jpg' style='width:800px;height:460px;''></img>","0","html-button-response","41","328308","0.0-4.0","43493","List1A","black","woman","","","","","","","",""
"2815","<p>Before the experiment starts, you will watch two example trials. Press 'Continue'.</p>","0","html-button-response","42","332140","0.0-5.0","43493","List1A","black","woman","","","","","","","",""
"null","<img src='img/meet_eg.gif' style='height:400px;''></img>","","html-keyboard-response","43","335143","0.0-6.0","43493","List1A","black","woman","","","","null","","","",""
"null","<p>is meeting</p>","","html-keyboard-response","44","337147","0.0-7.0","43493","List1A","black","woman","","","","null","","","",""
"7407","<p><b>Answer:</b> kate is meeting beth</p>","0","html-button-response","45","344556","0.0-8.0","43493","List1A","black","woman","","","","","","","",""
"null","<img src='img/look_eg.gif' style='height:400px;''></img>","","html-keyboard-response","46","347564","0.0-9.0","43493","List1A","black","woman","","","","null","","","",""
"null","<p>are looking at each other</p>","","html-keyboard-response","47","349571","0.0-10.0","43493","List1A","black","woman","","","","null","","","",""
"4928","<p><b>Answer:</b> luke and dave are looking at each other</p>","0","html-button-response","48","354499","0.0-11.0","43493","List1A","black","woman","","","","","","","",""
"11371","<p>Ready to start the experiment?</p><br><p><strong>Remember to describe the picture using a full sentence,</strong></p><p><strong>that combines the names of the people with the <i>exact</i> phrase given.</strong></p><p><strong>To receive full payment you must do this correctly.</strong></p><p><strong> You do not need to capitalise names or use punctuation.</strong></p><br><p>Press 'Continue' to begin.</p>","0","html-button-response","49","366876","0.0-12.0","43493","List1A","black","woman","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","","html-keyboard-response","50","368405","0.0-13.0-0.0","43493","List1A","black","woman","","","","null","","","",""
"null","<img src=""stim_listA/argue1.gif""style=""height:400px;""></stim_listA>","","html-keyboard-response","51","370407","0.0-13.0-1.0","43493","List1A","black","woman","","","","null","","","",""
"null","is arguing with","","html-keyboard-response","52","372413","0.0-13.0-2.0","43493","List1A","black","woman","","","","null","","","",""
"16559","","","survey-text","53","388975","0.0-13.0-3.0","43493","List1A","black","woman","","","","","{""Q0"":""Mike is arguing with Beth""}","<img src=""stim_listA/argue1.gif""style=""height:400px;""></stim_listA>","is arguing with",""
"null","<div style=""font-size:60px;"">+</div>","","html-keyboard-response","54","389477","0.0-13.0-0.1","43493","List1A","black","woman","","","","null","","","",""
"null","<img src=""stim_listA/talk3.gif""style=""height:400px;""></stim_listA>","","html-keyboard-response","55","391479","0.0-13.0-1.1","43493","List1A","black","woman","","","","null","","","",""
"null","is talking to","","html-keyboard-response","56","393481","0.0-13.0-2.1","43493","List1A","black","woman","","","","null","","","",""
"41245","","","survey-text","57","434727","0.0-13.0-3.1","43493","List1A","black","woman","","","","","{""Q0"":""Kate is talking to Luke""}","<img src=""stim_listA/talk3.gif""style=""height:400px;""></stim_listA>","is talking to",""
"null","<div style=""font-size:60px;"">+</div>","","html-keyboard-response","58","435228","0.0-13.0-0.2","43493","List1A","black","woman","","","","null","","","",""
"null","<img src=""stim_listA/play4.gif""style=""height:400px;""></stim_listA>","","html-keyboard-response","59","437235","0.0-13.0-1.2","43493","List1A","black","woman","","","","null","","","",""
"null","are playing with each other","","html-keyboard-response","60","439236","0.0-13.0-2.2","43493","List1A","black","woman","","","","null","","","",""
"17538","","","survey-text","61","456776","0.0-13.0-3.2","43493","List1A","black","woman","","","","","{""Q0"":""Ruth and Luke are playing with each other.""}","<img src=""stim_listA/play4.gif""style=""height:400px;""></stim_listA>","are playing with each other",""
"null","<div style=""font-size:60px;"">+</div>","","html-keyboard-response","62","457277","0.0-13.0-0.3","43493","List1A","black","woman","","","","null","","","",""
"null","<img src=""stim_listA/touch1.gif""style=""height:400px;""></stim_listA>","","html-keyboard-response","63","459279","0.0-13.0-1.3","43493","List1A","black","woman","","","","null","","","",""
"null","is touching","","html-keyboard-response","64","461281","0.0-13.0-2.3","43493","List1A","black","woman","","","","null","","","",""
