rt,stimulus,button_pressed,trial_type,trial_index,time_elapsed,internal_node_id,subject,list,ppt_race,ppt_gender,url,first_guess,correct,key_press,responses,image_type,phrase_type,test_part
3032,Welcome to the experiment. Press Continue to begin.,0,html-button-response,0,3040,0.0-0.0,56067,List1B,white,woman,,,,,,,,
37856,,,external-html,1,41953,0.0-1.0,56067,List1B,white,woman,consent.html,,,,,,,
1491,"<p>On the next page, you will see portraits of 8 people and their names.</p><p>Your first task is to take a few minutes to memorise the names of these people.</p><p>You will have to recall their names during the rest of the experiment, so it is</p><p>essential that you try to memorise these people and their names as best as you can.</p><br><p><strong>You will then be tested on your memory of these names and portraits.</strong></p><br><p>The experiment will start after you have completed this memory test.</p><br><p>Ready?</p>",0,html-button-response,2,43446,0.0-2.0,56067,List1B,white,woman,,,,,,,,
12761,"<img src='img/portrait_matrix_list1.jpg' style='width:900px;height:500px;''></img><p>If you have memorised all the portraits and names and are ready to start, press Continue.</p><p><strong>Please note: Your memory of these faces will be tested 4 times during this experiment.</strong></p>",0,html-button-response,3,57210,0.0-3.0-0.0,56067,List1B,white,woman,,,,,,,,
2801,"<img src=""portrait/BM2.jpg""style=""height:400px;""></img>",5,html-button-response,4,61015,0.0-3.0-1.0,56067,List1B,white,woman,,TRUE,5,,,,,
null,CORRECT,,html-keyboard-response,5,62520,0.0-3.0-2.0-0.0,56067,List1B,white,woman,,,,null,,,,
3873,"<img src=""portrait/WW1.jpg""style=""height:400px;""></img>",0,html-button-response,6,66395,0.0-3.0-4.0,56067,List1B,white,woman,,TRUE,1,,,,,
4563,"<img src=""portrait/WW1.jpg""style=""height:400px;""></img>",1,html-button-response,7,71960,0.0-3.0-6.0-0.0,56067,List1B,white,woman,,FALSE,1,,,,,
null,CORRECT,,html-keyboard-response,8,73464,0.0-3.0-6.0-1.0-0.0,56067,List1B,white,woman,,,,null,,,,
2704,"<img src=""portrait/WW2.jpg""style=""height:400px;""></img>",2,html-button-response,9,76170,0.0-3.0-7.0,56067,List1B,white,woman,,TRUE,3,,,,,
2383,"<img src=""portrait/WW2.jpg""style=""height:400px;""></img>",3,html-button-response,10,79555,0.0-3.0-9.0-0.0,56067,List1B,white,woman,,FALSE,3,,,,,
null,CORRECT,,html-keyboard-response,11,81058,0.0-3.0-9.0-1.0-0.0,56067,List1B,white,woman,,,,null,,,,
2538,"<img src=""portrait/WM1.jpg""style=""height:400px;""></img>",5,html-button-response,12,83597,0.0-3.0-10.0,56067,List1B,white,woman,,TRUE,6,,,,,
2037,"<img src=""portrait/WM1.jpg""style=""height:400px;""></img>",6,html-button-response,13,86637,0.0-3.0-12.0-0.0,56067,List1B,white,woman,,FALSE,6,,,,,
null,CORRECT,,html-keyboard-response,14,88139,0.0-3.0-12.0-1.0-0.0,56067,List1B,white,woman,,,,null,,,,
5553,"<img src=""portrait/BW2.jpg""style=""height:400px;""></img>",0,html-button-response,15,93695,0.0-3.0-13.0,56067,List1B,white,woman,,TRUE,2,,,,,
2053,"<img src=""portrait/BW2.jpg""style=""height:400px;""></img>",2,html-button-response,16,96750,0.0-3.0-15.0-0.0,56067,List1B,white,woman,,FALSE,2,,,,,
null,CORRECT,,html-keyboard-response,17,98253,0.0-3.0-15.0-1.0-0.0,56067,List1B,white,woman,,,,null,,,,
3455,"<img src=""portrait/WM2.jpg""style=""height:400px;""></img>",6,html-button-response,18,101710,0.0-3.0-16.0,56067,List1B,white,woman,,TRUE,7,,,,,
1948,"<img src=""portrait/WM2.jpg""style=""height:400px;""></img>",7,html-button-response,19,104659,0.0-3.0-18.0-0.0,56067,List1B,white,woman,,FALSE,7,,,,,
null,CORRECT,,html-keyboard-response,20,106162,0.0-3.0-18.0-1.0-0.0,56067,List1B,white,woman,,,,null,,,,
9416,"<img src=""portrait/BW1.jpg""style=""height:400px;""></img>",1,html-button-response,21,115580,0.0-3.0-19.0,56067,List1B,white,woman,,TRUE,0,,,,,
2295,"<img src=""portrait/BW1.jpg""style=""height:400px;""></img>",0,html-button-response,22,118877,0.0-3.0-21.0-0.0,56067,List1B,white,woman,,FALSE,0,,,,,
null,CORRECT,,html-keyboard-response,23,120380,0.0-3.0-21.0-1.0-0.0,56067,List1B,white,woman,,,,null,,,,
1904,"<img src=""portrait/BM1.jpg""style=""height:400px;""></img>",7,html-button-response,24,122287,0.0-3.0-22.0,56067,List1B,white,woman,,TRUE,4,,,,,
2035,"<img src=""portrait/BM1.jpg""style=""height:400px;""></img>",4,html-button-response,25,125325,0.0-3.0-24.0-0.0,56067,List1B,white,woman,,FALSE,4,,,,,
null,CORRECT,,html-keyboard-response,26,126828,0.0-3.0-24.0-1.0-0.0,56067,List1B,white,woman,,,,null,,,,
1960,<p>You got 1 out of 8 right first time. Press Continue.</p>,0,html-button-response,27,128791,0.0-3.0-25.0,56067,List1B,white,woman,,,,,,,,
3737,"As you did not score 100%, the memory game will repeat. Press Continue.",0,html-button-response,28,133530,0.0-3.0-26.0-0.0,56067,List1B,white,woman,,,,,,,,
