rt,stimulus,button_pressed,trial_type,trial_index,time_elapsed,internal_node_id,subject,list,ppt_race,ppt_gender,url,first_guess,correct,key_press,responses,image_type,phrase_type,test_part
1709,Welcome to the experiment. Press Continue to begin.,0,html-button-response,0,1721,0.0-0.0,56272,List1A,black,man,,,,,,,,
9145,,,external-html,1,12036,0.0-1.0,56272,List1A,black,man,consent.html,,,,,,,
18047,"<p>On the next page, you will see portraits of 8 people and their names.</p><p>Your first task is to take a few minutes to memorise the names of these people.</p><p>You will have to recall their names during the rest of the experiment, so it is</p><p>essential that you try to memorise these people and their names as best as you can.</p><br><p><strong>You will then be tested on your memory of these names and portraits.</strong></p><br><p>The experiment will start after you have completed this memory test.</p><br><p>Ready?</p>",0,html-button-response,2,30089,0.0-2.0,56272,List1A,black,man,,,,,,,,
21336,"<img src='img/portrait_matrix_list1.jpg' style='width:900px;height:500px;''></img><p>If you have memorised all the portraits and names and are ready to start, press Continue.</p><p><strong>Please note: Your memory of these faces will be tested 4 times during this experiment.</strong></p>",0,html-button-response,3,52434,0.0-3.0-0.0,56272,List1A,black,man,,,,,,,,
6664,"<img src=""portrait/BM2.jpg""style=""height:400px;""></img>",5,html-button-response,4,60110,0.0-3.0-1.0,56272,List1A,black,man,,TRUE,5,,,,,
null,CORRECT,,html-keyboard-response,5,61621,0.0-3.0-2.0-0.0,56272,List1A,black,man,,,,null,,,,
4473,"<img src=""portrait/WW1.jpg""style=""height:400px;""></img>",1,html-button-response,6,66104,0.0-3.0-4.0,56272,List1A,black,man,,TRUE,1,,,,,
null,CORRECT,,html-keyboard-response,7,67609,0.0-3.0-5.0-0.0,56272,List1A,black,man,,,,null,,,,
8141,"<img src=""portrait/BM1.jpg""style=""height:400px;""></img>",4,html-button-response,8,75760,0.0-3.0-7.0,56272,List1A,black,man,,TRUE,4,,,,,
null,CORRECT,,html-keyboard-response,9,77265,0.0-3.0-8.0-0.0,56272,List1A,black,man,,,,null,,,,
2976,"<img src=""portrait/WW2.jpg""style=""height:400px;""></img>",2,html-button-response,10,80250,0.0-3.0-10.0,56272,List1A,black,man,,TRUE,3,,,,,
7792,"<img src=""portrait/WW2.jpg""style=""height:400px;""></img>",3,html-button-response,11,89051,0.0-3.0-12.0-0.0,56272,List1A,black,man,,FALSE,3,,,,,
null,CORRECT,,html-keyboard-response,12,90559,0.0-3.0-12.0-1.0-0.0,56272,List1A,black,man,,,,null,,,,
5092,"<img src=""portrait/WM2.jpg""style=""height:400px;""></img>",7,html-button-response,13,95659,0.0-3.0-13.0,56272,List1A,black,man,,TRUE,7,,,,,
null,CORRECT,,html-keyboard-response,14,97164,0.0-3.0-14.0-0.0,56272,List1A,black,man,,,,null,,,,
3652,"<img src=""portrait/BW2.jpg""style=""height:400px;""></img>",0,html-button-response,15,100823,0.0-3.0-16.0,56272,List1A,black,man,,TRUE,2,,,,,
2157,"<img src=""portrait/BW2.jpg""style=""height:400px;""></img>",2,html-button-response,16,103989,0.0-3.0-18.0-0.0,56272,List1A,black,man,,FALSE,2,,,,,
null,CORRECT,,html-keyboard-response,17,105498,0.0-3.0-18.0-1.0-0.0,56272,List1A,black,man,,,,null,,,,
2775,"<img src=""portrait/WM1.jpg""style=""height:400px;""></img>",6,html-button-response,18,108280,0.0-3.0-19.0,56272,List1A,black,man,,TRUE,6,,,,,
null,CORRECT,,html-keyboard-response,19,109784,0.0-3.0-20.0-0.0,56272,List1A,black,man,,,,null,,,,
4502,"<img src=""portrait/BW1.jpg""style=""height:400px;""></img>",0,html-button-response,20,114294,0.0-3.0-22.0,56272,List1A,black,man,,TRUE,0,,,,,
null,CORRECT,,html-keyboard-response,21,115798,0.0-3.0-23.0-0.0,56272,List1A,black,man,,,,null,,,,
1927,<p>You got 6 out of 8 right first time. Press Continue.</p>,0,html-button-response,22,117733,0.0-3.0-25.0,56272,List1A,black,man,,,,,,,,
4536,"As you did not score 100%, the memory game will repeat. Press Continue.",0,html-button-response,23,123275,0.0-3.0-26.0-0.0,56272,List1A,black,man,,,,,,,,
13362,"<img src='img/portrait_matrix_list1.jpg' style='width:900px;height:500px;''></img><p>If you have memorised all the portraits and names and are ready to start, press Continue.</p><p><strong>Please note: Your memory of these faces will be tested 4 times during this experiment.</strong></p>",0,html-button-response,24,137645,0.0-3.1-0.1,56272,List1A,black,man,,,,,,,,
2783,"<img src=""portrait/BM2.jpg""style=""height:400px;""></img>",5,html-button-response,25,141439,0.0-3.1-1.1,56272,List1A,black,man,,TRUE,5,,,,,
null,CORRECT,,html-keyboard-response,26,142944,0.0-3.1-2.1-0.1,56272,List1A,black,man,,,,null,,,,
6081,"<img src=""portrait/WW1.jpg""style=""height:400px;""></img>",1,html-button-response,27,149032,0.0-3.1-4.1,56272,List1A,black,man,,TRUE,1,,,,,
null,CORRECT,,html-keyboard-response,28,150537,0.0-3.1-5.1-0.1,56272,List1A,black,man,,,,null,,,,
2299,"<img src=""portrait/BM1.jpg""style=""height:400px;""></img>",4,html-button-response,29,152843,0.0-3.1-7.1,56272,List1A,black,man,,TRUE,4,,,,,
null,CORRECT,,html-keyboard-response,30,154347,0.0-3.1-8.1-0.1,56272,List1A,black,man,,,,null,,,,
3232,"<img src=""portrait/WW2.jpg""style=""height:400px;""></img>",2,html-button-response,31,157585,0.0-3.1-10.1,56272,List1A,black,man,,TRUE,3,,,,,
1697,"<img src=""portrait/WW2.jpg""style=""height:400px;""></img>",3,html-button-response,32,160292,0.0-3.1-12.1-0.1,56272,List1A,black,man,,FALSE,3,,,,,
null,CORRECT,,html-keyboard-response,33,161796,0.0-3.1-12.1-1.1-0.1,56272,List1A,black,man,,,,null,,,,
6731,"<img src=""portrait/WM2.jpg""style=""height:400px;""></img>",7,html-button-response,34,168536,0.0-3.1-13.1,56272,List1A,black,man,,TRUE,7,,,,,
null,CORRECT,,html-keyboard-response,35,170042,0.0-3.1-14.1-0.1,56272,List1A,black,man,,,,null,,,,
3017,"<img src=""portrait/BW2.jpg""style=""height:400px;""></img>",2,html-button-response,36,173065,0.0-3.1-16.1,56272,List1A,black,man,,TRUE,2,,,,,
null,CORRECT,,html-keyboard-response,37,174570,0.0-3.1-17.1-0.1,56272,List1A,black,man,,,,null,,,,
2112,"<img src=""portrait/WM1.jpg""style=""height:400px;""></img>",6,html-button-response,38,176691,0.0-3.1-19.1,56272,List1A,black,man,,TRUE,6,,,,,
null,CORRECT,,html-keyboard-response,39,178196,0.0-3.1-20.1-0.1,56272,List1A,black,man,,,,null,,,,
1853,"<img src=""portrait/BW1.jpg""style=""height:400px;""></img>",0,html-button-response,40,180057,0.0-3.1-22.1,56272,List1A,black,man,,TRUE,0,,,,,
null,CORRECT,,html-keyboard-response,41,181561,0.0-3.1-23.1-0.1,56272,List1A,black,man,,,,null,,,,
1417,<p>You got 7 out of 8 right first time. Press Continue.</p>,0,html-button-response,42,182986,0.0-3.1-25.1,56272,List1A,black,man,,,,,,,,
1653,"As you did not score 100%, the memory game will repeat. Press Continue.",0,html-button-response,43,185645,0.0-3.1-26.1-0.1,56272,List1A,black,man,,,,,,,,
10006,"<img src='img/portrait_matrix_list1.jpg' style='width:900px;height:500px;''></img><p>If you have memorised all the portraits and names and are ready to start, press Continue.</p><p><strong>Please note: Your memory of these faces will be tested 4 times during this experiment.</strong></p>",0,html-button-response,44,196659,0.0-3.2-0.2,56272,List1A,black,man,,,,,,,,
2361,"<img src=""portrait/BM2.jpg""style=""height:400px;""></img>",5,html-button-response,45,200030,0.0-3.2-1.2,56272,List1A,black,man,,TRUE,5,,,,,
null,CORRECT,,html-keyboard-response,46,201534,0.0-3.2-2.2-0.2,56272,List1A,black,man,,,,null,,,,
6121,"<img src=""portrait/WW1.jpg""style=""height:400px;""></img>",1,html-button-response,47,207663,0.0-3.2-4.2,56272,List1A,black,man,,TRUE,1,,,,,
null,CORRECT,,html-keyboard-response,48,209167,0.0-3.2-5.2-0.2,56272,List1A,black,man,,,,null,,,,
1848,"<img src=""portrait/BM1.jpg""style=""height:400px;""></img>",4,html-button-response,49,211023,0.0-3.2-7.2,56272,List1A,black,man,,TRUE,4,,,,,
null,CORRECT,,html-keyboard-response,50,212527,0.0-3.2-8.2-0.2,56272,List1A,black,man,,,,null,,,,
3613,"<img src=""portrait/WW2.jpg""style=""height:400px;""></img>",3,html-button-response,51,216148,0.0-3.2-10.2,56272,List1A,black,man,,TRUE,3,,,,,
null,CORRECT,,html-keyboard-response,52,217655,0.0-3.2-11.2-0.2,56272,List1A,black,man,,,,null,,,,
3061,"<img src=""portrait/WM2.jpg""style=""height:400px;""></img>",7,html-button-response,53,220732,0.0-3.2-13.2,56272,List1A,black,man,,TRUE,7,,,,,
null,CORRECT,,html-keyboard-response,54,222245,0.0-3.2-14.2-0.2,56272,List1A,black,man,,,,null,,,,
2451,"<img src=""portrait/BW2.jpg""style=""height:400px;""></img>",2,html-button-response,55,224701,0.0-3.2-16.2,56272,List1A,black,man,,TRUE,2,,,,,
null,CORRECT,,html-keyboard-response,56,226206,0.0-3.2-17.2-0.2,56272,List1A,black,man,,,,null,,,,
1752,"<img src=""portrait/WM1.jpg""style=""height:400px;""></img>",6,html-button-response,57,227966,0.0-3.2-19.2,56272,List1A,black,man,,TRUE,6,,,,,
null,CORRECT,,html-keyboard-response,58,229470,0.0-3.2-20.2-0.2,56272,List1A,black,man,,,,null,,,,
1642,"<img src=""portrait/BW1.jpg""style=""height:400px;""></img>",0,html-button-response,59,231119,0.0-3.2-22.2,56272,List1A,black,man,,TRUE,0,,,,,
null,CORRECT,,html-keyboard-response,60,232624,0.0-3.2-23.2-0.2,56272,List1A,black,man,,,,null,,,,
1541,<p>You got 8 out of 8 right first time. Press Continue.</p>,0,html-button-response,61,234171,0.0-3.2-25.2,56272,List1A,black,man,,,,,,,,
28805,"<p>In this experiment, you will view photographs of the people from the memory game interacting.</p><p>By using the <strong>exact</strong> phrase given <i>after</i> the photograph appears and recalling the correct names of the people in the photographs, form a sentence describing the interaction. You do not need to capitalise names.</p><p>Type your answer in the space provided. Please complete every sentence before moving onto the next trial.</p><p>You will only have a few seconds to memorise each given photograph and phrase before you can respond, so try your best to focus.</p><p>An example is given below. Press 'Continue' when you are ready.</p><img src='img/speaking_example.jpg' style='width:800px;height:460px;''></img>",0,html-button-response,62,263983,0.0-4.0,56272,List1A,black,man,,,,,,,,
2515,"<p>Before the experiment starts, you will watch two example trials. Press 'Continue'.</p>",0,html-button-response,63,267502,0.0-5.0,56272,List1A,black,man,,,,,,,,
null,<img src='img/meet_eg.gif' style='height:400px;''></img>,,html-keyboard-response,64,270509,0.0-6.0,56272,List1A,black,man,,,,null,,,,
null,<p>is meeting</p>,,html-keyboard-response,65,272513,0.0-7.0,56272,List1A,black,man,,,,null,,,,
3532,<p><b>Answer:</b> kate is meeting beth</p>,0,html-button-response,66,276051,0.0-8.0,56272,List1A,black,man,,,,,,,,
null,<img src='img/look_eg.gif' style='height:400px;''></img>,,html-keyboard-response,67,279062,0.0-9.0,56272,List1A,black,man,,,,null,,,,
null,<p>are looking at each other</p>,,html-keyboard-response,68,281065,0.0-10.0,56272,List1A,black,man,,,,null,,,,
3084,<p><b>Answer:</b> luke and dave are looking at each other</p>,0,html-button-response,69,284154,0.0-11.0,56272,List1A,black,man,,,,,,,,
3314,"<p>Ready to start the experiment?</p><br><p><strong>Remember to describe the picture using a full sentence,</strong></p><p><strong>that combines the names of the people with the <i>exact</i> phrase given.</strong></p><p><strong>To receive full payment you must do this correctly.</strong></p><p><strong> You do not need to capitalise names or use punctuation.</strong></p><br><p>Press 'Continue' to begin.</p>",0,html-button-response,70,288475,0.0-12.0,56272,List1A,black,man,,,,,,,,
null,"<div style=""font-size:60px;"">+</div>",,html-keyboard-response,71,289980,0.0-13.0-0.0,56272,List1A,black,man,,,,null,,,,
null,"<img src=""stim_listA/argue3.gif""style=""height:400px;""></stim_listA>",,html-keyboard-response,72,291992,0.0-13.0-1.0,56272,List1A,black,man,,,,null,,,,
null,is arguing with,,html-keyboard-response,73,293999,0.0-13.0-2.0,56272,List1A,black,man,,,,null,,,,
17622,,,survey-text,74,311629,0.0-13.0-3.0,56272,List1A,black,man,,,,,"{""Q0"":""Dave is arguing with Ruth.""}","<img src=""stim_listA/argue3.gif""style=""height:400px;""></stim_listA>",is arguing with,
null,"<div style=""font-size:60px;"">+</div>",,html-keyboard-response,75,312137,0.0-13.0-0.1,56272,List1A,black,man,,,,null,,,,
