rt,stimulus,button_pressed,trial_type,trial_index,time_elapsed,internal_node_id,subject,list,ppt_race,ppt_gender,url,first_guess,correct,key_press,responses,image_type,phrase_type,test_part
2672,Welcome to the experiment. Press Continue to begin.,0,html-button-response,0,2681,0.0-0.0,87306,List2B,black,woman,,,,,,,,
95146,,,external-html,1,98969,0.0-1.0,87306,List2B,black,woman,consent.html,,,,,,,
23746,"<p>On the next page, you will see portraits of 8 people and their names.</p><p>Your first task is to take a few minutes to memorise the names of these people.</p><p>You will have to recall their names during the rest of the experiment, so it is</p><p>essential that you try to memorise these people and their names as best as you can.</p><br><p><strong>You will then be tested on your memory of these names and portraits.</strong></p><br><p>The experiment will start after you have completed this memory test.</p><br><p>Ready?</p>",0,html-button-response,2,122720,0.0-2.0,87306,List2B,black,woman,,,,,,,,
192434,"<img src='img/portrait_matrix_list2.jpg' style='width:900px;height:500px;''></img><p>If you have memorised all the portraits and names and are ready to start, press Continue.</p><p><strong>Please note: Your memory of these faces will be tested 4 times during this experiment.</strong></p>",0,html-button-response,3,316165,0.0-3.0-0.0,87306,List2B,black,woman,,,,,,,,
8301,"<img src=""portrait/BW1.jpg""style=""height:400px;""></img>",0,html-button-response,4,325475,0.0-3.0-1.0,87306,List2B,black,woman,,TRUE,0,,,,,
null,CORRECT,,html-keyboard-response,5,326984,0.0-3.0-2.0-0.0,87306,List2B,black,woman,,,,null,,,,
7004,"<img src=""portrait/WM2.jpg""style=""height:400px;""></img>",7,html-button-response,6,333997,0.0-3.0-4.0,87306,List2B,black,woman,,TRUE,7,,,,,
null,CORRECT,,html-keyboard-response,7,335507,0.0-3.0-5.0-0.0,87306,List2B,black,woman,,,,null,,,,
3750,"<img src=""portrait/WM1.jpg""style=""height:400px;""></img>",6,html-button-response,8,339264,0.0-3.0-7.0,87306,List2B,black,woman,,TRUE,6,,,,,
null,CORRECT,,html-keyboard-response,9,340768,0.0-3.0-8.0-0.0,87306,List2B,black,woman,,,,null,,,,
2504,"<img src=""portrait/BW2.jpg""style=""height:400px;""></img>",2,html-button-response,10,343278,0.0-3.0-10.0,87306,List2B,black,woman,,TRUE,2,,,,,
null,CORRECT,,html-keyboard-response,11,344782,0.0-3.0-11.0-0.0,87306,List2B,black,woman,,,,null,,,,
1851,"<img src=""portrait/WW2.jpg""style=""height:400px;""></img>",3,html-button-response,12,346638,0.0-3.0-13.0,87306,List2B,black,woman,,TRUE,3,,,,,
null,CORRECT,,html-keyboard-response,13,348156,0.0-3.0-14.0-0.0,87306,List2B,black,woman,,,,null,,,,
4909,"<img src=""portrait/WW1.jpg""style=""height:400px;""></img>",1,html-button-response,14,353070,0.0-3.0-16.0,87306,List2B,black,woman,,TRUE,1,,,,,
null,CORRECT,,html-keyboard-response,15,354577,0.0-3.0-17.0-0.0,87306,List2B,black,woman,,,,null,,,,
2548,"<img src=""portrait/BM1.jpg""style=""height:400px;""></img>",4,html-button-response,16,357130,0.0-3.0-19.0,87306,List2B,black,woman,,TRUE,4,,,,,
null,CORRECT,,html-keyboard-response,17,358649,0.0-3.0-20.0-0.0,87306,List2B,black,woman,,,,null,,,,
2110,"<img src=""portrait/BM2.jpg""style=""height:400px;""></img>",5,html-button-response,18,360764,0.0-3.0-22.0,87306,List2B,black,woman,,TRUE,5,,,,,
null,CORRECT,,html-keyboard-response,19,362268,0.0-3.0-23.0-0.0,87306,List2B,black,woman,,,,null,,,,
1745,<p>You got 8 out of 8 right first time. Press Continue.</p>,0,html-button-response,20,364022,0.0-3.0-25.0,87306,List2B,black,woman,,,,,,,,
97769,"<p>In this experiment, you will view photographs of the people from the memory game interacting.</p><p>By using the <strong>exact</strong> phrase given <i>after</i> the photograph appears and recalling the correct names of the people in the photographs, form a sentence describing the interaction. You do not need to capitalise names.</p><p>Type your answer in the space provided. Please complete every sentence before moving onto the next trial.</p><p>You will only have a few seconds to memorise each given photograph and phrase before you can respond, so try your best to focus.</p><p>An example is given below. Press 'Continue' when you are ready.</p><img src='img/speaking_example.jpg' style='width:800px;height:460px;''></img>",0,html-button-response,21,462801,0.0-4.0,87306,List2B,black,woman,,,,,,,,
3555,"<p>Before the experiment starts, you will watch two example trials. Press 'Continue'.</p>",0,html-button-response,22,467359,0.0-5.0,87306,List2B,black,woman,,,,,,,,
null,<img src='img/meet_eg.gif' style='height:400px;''></img>,,html-keyboard-response,23,470365,0.0-6.0,87306,List2B,black,woman,,,,null,,,,
null,<p>is meeting</p>,,html-keyboard-response,24,472368,0.0-7.0,87306,List2B,black,woman,,,,null,,,,
2754,<p><b>Answer:</b> jane is meeting ruth</p>,0,html-button-response,25,475125,0.0-8.0,87306,List2B,black,woman,,,,,,,,
null,<img src='img/look_eg.gif' style='height:400px;''></img>,,html-keyboard-response,26,478132,0.0-9.0,87306,List2B,black,woman,,,,null,,,,
null,<p>are looking at each other</p>,,html-keyboard-response,27,480134,0.0-10.0,87306,List2B,black,woman,,,,null,,,,
5953,<p><b>Answer:</b> fred and mike are looking at each other</p>,0,html-button-response,28,486091,0.0-11.0,87306,List2B,black,woman,,,,,,,,
18611,"<p>Ready to start the experiment?</p><br><p><strong>Remember to describe the picture using a full sentence,</strong></p><p><strong>that combines the names of the people with the <i>exact</i> phrase given.</strong></p><p><strong>To receive full payment you must do this correctly.</strong></p><p><strong> You do not need to capitalise names or use punctuation.</strong></p><br><p>Press 'Continue' to begin.</p>",0,html-button-response,29,505715,0.0-12.0,87306,List2B,black,woman,,,,,,,,
null,"<div style=""font-size:60px;"">+</div>",,html-keyboard-response,30,507219,0.0-13.0-0.0,87306,List2B,black,woman,,,,null,,,,
null,"<img src=""stim_listB/shout8.gif""style=""height:400px;""></stim_listB>",,html-keyboard-response,31,509227,0.0-13.0-1.0,87306,List2B,black,woman,,,,null,,,,
null,are shouting at each other,,html-keyboard-response,32,511232,0.0-13.0-2.0,87306,List2B,black,woman,,,,null,,,,
13656,,,survey-text,33,524894,0.0-13.0-3.0,87306,List2B,black,woman,,,,,"{""Q0"":""Kate and Jane are shouting at each other""}","<img src=""stim_listB/shout8.gif""style=""height:400px;""></stim_listB>",are shouting at each other,
null,"<div style=""font-size:60px;"">+</div>",,html-keyboard-response,34,525400,0.0-13.0-0.1,87306,List2B,black,woman,,,,null,,,,
null,"<img src=""stim_listB/play8.gif""style=""height:400px;""></stim_listB>",,html-keyboard-response,35,527404,0.0-13.0-1.1,87306,List2B,black,woman,,,,null,,,,
null,are playing with each other,,html-keyboard-response,36,529407,0.0-13.0-2.1,87306,List2B,black,woman,,,,null,,,,
26626,,,survey-text,37,556036,0.0-13.0-3.1,87306,List2B,black,woman,,,,,"{""Q0"":""Ruth and Beth are playing with each other""}","<img src=""stim_listB/play8.gif""style=""height:400px;""></stim_listB>",are playing with each other,
null,"<div style=""font-size:60px;"">+</div>",,html-keyboard-response,38,556542,0.0-13.0-0.2,87306,List2B,black,woman,,,,null,,,,
null,"<img src=""stim_listB/flirt5.gif""style=""height:400px;""></stim_listB>",,html-keyboard-response,39,558546,0.0-13.0-1.2,87306,List2B,black,woman,,,,null,,,,
null,is flirting with,,html-keyboard-response,40,560551,0.0-13.0-2.2,87306,List2B,black,woman,,,,null,,,,
16175,,,survey-text,41,576733,0.0-13.0-3.2,87306,List2B,black,woman,,,,,"{""Q0"":""Mike is flirting with Luke""}","<img src=""stim_listB/flirt5.gif""style=""height:400px;""></stim_listB>",is flirting with,
null,"<div style=""font-size:60px;"">+</div>",,html-keyboard-response,42,577239,0.0-13.0-0.3,87306,List2B,black,woman,,,,null,,,,
null,"<img src=""stim_listB/kiss4.gif""style=""height:400px;""></stim_listB>",,html-keyboard-response,43,579246,0.0-13.0-1.3,87306,List2B,black,woman,,,,null,,,,
null,are kissing each other,,html-keyboard-response,44,581250,0.0-13.0-2.3,87306,List2B,black,woman,,,,null,,,,
8453,,,survey-text,45,589708,0.0-13.0-3.3,87306,List2B,black,woman,,,,,"{""Q0"":""Kate and Mike are kissing each other""}","<img src=""stim_listB/kiss4.gif""style=""height:400px;""></stim_listB>",are kissing each other,
null,"<div style=""font-size:60px;"">+</div>",,html-keyboard-response,46,590212,0.0-13.0-0.4,87306,List2B,black,woman,,,,null,,,,
null,"<img src=""stim_listB/fight2.gif""style=""height:400px;""></stim_listB>",,html-keyboard-response,47,592216,0.0-13.0-1.4,87306,List2B,black,woman,,,,null,,,,
null,are fighting each other,,html-keyboard-response,48,594225,0.0-13.0-2.4,87306,List2B,black,woman,,,,null,,,,
10253,,,survey-text,49,604483,0.0-13.0-3.4,87306,List2B,black,woman,,,,,"{""Q0"":""Luke and Ruth are fighting each other""}","<img src=""stim_listB/fight2.gif""style=""height:400px;""></stim_listB>",are fighting each other,
null,"<div style=""font-size:60px;"">+</div>",,html-keyboard-response,50,604996,0.0-13.0-0.5,87306,List2B,black,woman,,,,null,,,,
null,"<img src=""stim_listB/flirt8.gif""style=""height:400px;""></stim_listB>",,html-keyboard-response,51,607014,0.0-13.0-1.5,87306,List2B,black,woman,,,,null,,,,
null,are flirting with each other,,html-keyboard-response,52,609018,0.0-13.0-2.5,87306,List2B,black,woman,,,,null,,,,
10237,,,survey-text,53,619259,0.0-13.0-3.5,87306,List2B,black,woman,,,,,"{""Q0"":""Jane and Kate are flirting with each other""}","<img src=""stim_listB/flirt8.gif""style=""height:400px;""></stim_listB>",are flirting with each other,
null,"<div style=""font-size:60px;"">+</div>",,html-keyboard-response,54,619763,0.0-13.0-0.6,87306,List2B,black,woman,,,,null,,,,
null,"<img src=""stim_listB/argue4.gif""style=""height:400px;""></stim_listB>",,html-keyboard-response,55,621771,0.0-13.0-1.6,87306,List2B,black,woman,,,,null,,,,
null,are arguing with each other,,html-keyboard-response,56,623774,0.0-13.0-2.6,87306,List2B,black,woman,,,,null,,,,
16575,,,survey-text,57,640353,0.0-13.0-3.6,87306,List2B,black,woman,,,,,"{""Q0"":""Kate and Fred are arguing with each other""}","<img src=""stim_listB/argue4.gif""style=""height:400px;""></stim_listB>",are arguing with each other,
null,"<div style=""font-size:60px;"">+</div>",,html-keyboard-response,58,640856,0.0-13.0-0.7,87306,List2B,black,woman,,,,null,,,,
null,"<img src=""stim_listB/talk6.gif""style=""height:400px;""></stim_listB>",,html-keyboard-response,59,642861,0.0-13.0-1.7,87306,List2B,black,woman,,,,null,,,,
null,are talking to each other,,html-keyboard-response,60,644865,0.0-13.0-2.7,87306,List2B,black,woman,,,,null,,,,
18754,,,survey-text,61,663623,0.0-13.0-3.7,87306,List2B,black,woman,,,,,"{""Q0"":""Fred and Dave are talking to each other""}","<img src=""stim_listB/talk6.gif""style=""height:400px;""></stim_listB>",are talking to each other,
null,"<div style=""font-size:60px;"">+</div>",,html-keyboard-response,62,664127,0.0-13.0-0.8,87306,List2B,black,woman,,,,null,,,,
null,"<img src=""stim_listB/marry2.gif""style=""height:400px;""></stim_listB>",,html-keyboard-response,63,666135,0.0-13.0-1.8,87306,List2B,black,woman,,,,null,,,,
null,are marrying each other,,html-keyboard-response,64,668139,0.0-13.0-2.8,87306,List2B,black,woman,,,,null,,,,
12212,,,survey-text,65,680353,0.0-13.0-3.8,87306,List2B,black,woman,,,,,"{""Q0"":""Luke and Jane are marrying each other""}","<img src=""stim_listB/marry2.gif""style=""height:400px;""></stim_listB>",are marrying each other,
null,"<div style=""font-size:60px;"">+</div>",,html-keyboard-response,66,680869,0.0-13.0-0.9,87306,List2B,black,woman,,,,null,,,,
null,"<img src=""stim_listB/shout3.gif""style=""height:400px;""></stim_listB>",,html-keyboard-response,67,682873,0.0-13.0-1.9,87306,List2B,black,woman,,,,null,,,,
null,is shouting at,,html-keyboard-response,68,684876,0.0-13.0-2.9,87306,List2B,black,woman,,,,null,,,,
14397,,,survey-text,69,699278,0.0-13.0-3.9,87306,List2B,black,woman,,,,,"{""Q0"":""Beth is shouting at Fred""}","<img src=""stim_listB/shout3.gif""style=""height:400px;""></stim_listB>",is shouting at,
null,"<div style=""font-size:60px;"">+</div>",,html-keyboard-response,70,699783,0.0-13.0-0.10,87306,List2B,black,woman,,,,null,,,,
null,"<img src=""stim_listB/marry1.gif""style=""height:400px;""></stim_listB>",,html-keyboard-response,71,701788,0.0-13.0-1.10,87306,List2B,black,woman,,,,null,,,,
null,is marrying,,html-keyboard-response,72,703791,0.0-13.0-2.10,87306,List2B,black,woman,,,,null,,,,
12414,,,survey-text,73,716209,0.0-13.0-3.10,87306,List2B,black,woman,,,,,"{""Q0"":""Ruth is marrying Dave""}","<img src=""stim_listB/marry1.gif""style=""height:400px;""></stim_listB>",is marrying,
null,"<div style=""font-size:60px;"">+</div>",,html-keyboard-response,74,716713,0.0-13.0-0.11,87306,List2B,black,woman,,,,null,,,,
null,"<img src=""stim_listB/shout2.gif""style=""height:400px;""></stim_listB>",,html-keyboard-response,75,718716,0.0-13.0-1.11,87306,List2B,black,woman,,,,null,,,,
null,are shouting at each other,,html-keyboard-response,76,720720,0.0-13.0-2.11,87306,List2B,black,woman,,,,null,,,,
17229,,,survey-text,77,737958,0.0-13.0-3.11,87306,List2B,black,woman,,,,,"{""Q0"":""Jane and Dave are shouting at each other""}","<img src=""stim_listB/shout2.gif""style=""height:400px;""></stim_listB>",are shouting at each other,
null,"<div style=""font-size:60px;"">+</div>",,html-keyboard-response,78,738462,0.0-13.0-0.12,87306,List2B,black,woman,,,,null,,,,
null,"<img src=""stim_listB/argue3.gif""style=""height:400px;""></stim_listB>",,html-keyboard-response,79,740466,0.0-13.0-1.12,87306,List2B,black,woman,,,,null,,,,
null,is arguing with,,html-keyboard-response,80,742468,0.0-13.0-2.12,87306,List2B,black,woman,,,,null,,,,
14751,,,survey-text,81,757223,0.0-13.0-3.12,87306,List2B,black,woman,,,,,"{""Q0"":""Mike is arguing with Beth""}","<img src=""stim_listB/argue3.gif""style=""height:400px;""></stim_listB>",is arguing with,
null,"<div style=""font-size:60px;"">+</div>",,html-keyboard-response,82,757726,0.0-13.0-0.13,87306,List2B,black,woman,,,,null,,,,
null,"<img src=""stim_listB/fight6.gif""style=""height:400px;""></stim_listB>",,html-keyboard-response,83,759731,0.0-13.0-1.13,87306,List2B,black,woman,,,,null,,,,
null,are fighting each other,,html-keyboard-response,84,761733,0.0-13.0-2.13,87306,List2B,black,woman,,,,null,,,,
11905,,,survey-text,85,773642,0.0-13.0-3.13,87306,List2B,black,woman,,,,,"{""Q0"":""Fred and Luke are fighting each other""}","<img src=""stim_listB/fight6.gif""style=""height:400px;""></stim_listB>",are fighting each other,
null,"<div style=""font-size:60px;"">+</div>",,html-keyboard-response,86,774146,0.0-13.0-0.14,87306,List2B,black,woman,,,,null,,,,
null,"<img src=""stim_listB/shout6.gif""style=""height:400px;""></stim_listB>",,html-keyboard-response,87,776151,0.0-13.0-1.14,87306,List2B,black,woman,,,,null,,,,
null,are shouting at each other,,html-keyboard-response,88,778158,0.0-13.0-2.14,87306,List2B,black,woman,,,,null,,,,
16974,,,survey-text,89,795136,0.0-13.0-3.14,87306,List2B,black,woman,,,,,"{""Q0"":""Mike and Dave are shouting at each other""}","<img src=""stim_listB/shout6.gif""style=""height:400px;""></stim_listB>",are shouting at each other,
null,"<div style=""font-size:60px;"">+</div>",,html-keyboard-response,90,795643,0.0-13.0-0.15,87306,List2B,black,woman,,,,null,,,,
null,"<img src=""stim_listB/touch4.gif""style=""height:400px;""></stim_listB>",,html-keyboard-response,91,797650,0.0-13.0-1.15,87306,List2B,black,woman,,,,null,,,,
null,are touching each other,,html-keyboard-response,92,799657,0.0-13.0-2.15,87306,List2B,black,woman,,,,null,,,,
10944,,,survey-text,93,810606,0.0-13.0-3.15,87306,List2B,black,woman,,,,,"{""Q0"":""Beth and Fred are touching each other""}","<img src=""stim_listB/touch4.gif""style=""height:400px;""></stim_listB>",are touching each other,
null,"<div style=""font-size:60px;"">+</div>",,html-keyboard-response,94,811109,0.0-13.0-0.16,87306,List2B,black,woman,,,,null,,,,
null,"<img src=""stim_listB/argue8.gif""style=""height:400px;""></stim_listB>",,html-keyboard-response,95,813114,0.0-13.0-1.16,87306,List2B,black,woman,,,,null,,,,
null,are arguing with each other,,html-keyboard-response,96,815118,0.0-13.0-2.16,87306,List2B,black,woman,,,,null,,,,
15364,,,survey-text,97,830486,0.0-13.0-3.16,87306,List2B,black,woman,,,,,"{""Q0"":""Kate and Ruth are arguing with each other""}","<img src=""stim_listB/argue8.gif""style=""height:400px;""></stim_listB>",are arguing with each other,
null,"<div style=""font-size:60px;"">+</div>",,html-keyboard-response,98,830990,0.0-13.0-0.17,87306,List2B,black,woman,,,,null,,,,
null,"<img src=""stim_listB/marry3.gif""style=""height:400px;""></stim_listB>",,html-keyboard-response,99,832994,0.0-13.0-1.17,87306,List2B,black,woman,,,,null,,,,
null,is marrying,,html-keyboard-response,100,834997,0.0-13.0-2.17,87306,List2B,black,woman,,,,null,,,,
8933,,,survey-text,101,843935,0.0-13.0-3.17,87306,List2B,black,woman,,,,,"{""Q0"":""Beth is marrying Mike""}","<img src=""stim_listB/marry3.gif""style=""height:400px;""></stim_listB>",is marrying,
null,"<div style=""font-size:60px;"">+</div>",,html-keyboard-response,102,844439,0.0-13.0-0.18,87306,List2B,black,woman,,,,null,,,,
null,"<img src=""stim_listB/talk5.gif""style=""height:400px;""></stim_listB>",,html-keyboard-response,103,846448,0.0-13.0-1.18,87306,List2B,black,woman,,,,null,,,,
null,is talking to,,html-keyboard-response,104,848454,0.0-13.0-2.18,87306,List2B,black,woman,,,,null,,,,
8833,,,survey-text,105,857291,0.0-13.0-3.18,87306,List2B,black,woman,,,,,"{""Q0"":""Mike is talking to Luke""}","<img src=""stim_listB/talk5.gif""style=""height:400px;""></stim_listB>",is talking to,
null,"<div style=""font-size:60px;"">+</div>",,html-keyboard-response,106,857799,0.0-13.0-0.19,87306,List2B,black,woman,,,,null,,,,
null,"<img src=""stim_listB/kiss6.gif""style=""height:400px;""></stim_listB>",,html-keyboard-response,107,859804,0.0-13.0-1.19,87306,List2B,black,woman,,,,null,,,,
null,are kissing each other,,html-keyboard-response,108,861806,0.0-13.0-2.19,87306,List2B,black,woman,,,,null,,,,
