rt,stimulus,button_pressed,trial_type,trial_index,time_elapsed,internal_node_id,subject,list,ppt_race,ppt_gender,url,first_guess,correct,key_press,responses,image_type,phrase_type,test_part,response,stimulus1,stimulus2,question_type,survey_item
1674.6,Welcome to the experiment. Press Continue to begin.,0,html-button-response,0,1677,0.0-0.0,13580,List2A,white,woman,,,,,,,,,,,,,
58291.2,,,external-html,1,61105,0.0-1.0,13580,List2A,white,woman,consent.html,,,,,,,,,,,,
18841.1,"<p>On the next page, you will see portraits of 8 people and their names.</p><p>Your first task is to take a few minutes to memorise the names of these people.</p><p>You will have to recall their names during the rest of the experiment, so it is</p><p>essential that you try to memorise these people and their names as best as you can.</p><br><p><strong>You will then be tested on your memory of these names and portraits.</strong></p><br><p>The experiment will start after you have completed this memory test.</p><br><p>Ready?</p>",0,html-button-response,2,79948,0.0-2.0,13580,List2A,white,woman,,,,,,,,,,,,,
177157.2,"<img src='img/portrait_matrix_list2.jpg' style='width:900px;height:500px;''></img><p>If you have memorised all the portraits and names and are ready to start, press Continue.</p><p><strong>Please note: Your memory of these faces will be tested 4 times during this experiment.</strong></p>",0,html-button-response,3,258102,0.0-3.0-0.0,13580,List2A,white,woman,,,,,,,,,,,,,
4583.5,"<img src=""portrait/WW2.jpg""style=""height:400px;""></img>",2,html-button-response,4,263691,0.0-3.0-1.0,13580,List2A,white,woman,,TRUE,3,,,,,,,,,,
11076.3,"<img src=""portrait/WW2.jpg""style=""height:400px;""></img>",3,html-button-response,5,275775,0.0-3.0-3.0-0.0,13580,List2A,white,woman,,FALSE,3,,,,,,,,,,
null,CORRECT,,html-keyboard-response,6,277281,0.0-3.0-3.0-1.0-0.0,13580,List2A,white,woman,,,,null,,,,,,,,,
5836.2,"<img src=""portrait/BM2.jpg""style=""height:400px;""></img>",5,html-button-response,7,283121,0.0-3.0-4.0,13580,List2A,white,woman,,TRUE,5,,,,,,,,,,
null,CORRECT,,html-keyboard-response,8,284624,0.0-3.0-5.0-0.0,13580,List2A,white,woman,,,,null,,,,,,,,,
13796.3,"<img src=""portrait/WM2.jpg""style=""height:400px;""></img>",7,html-button-response,9,298422,0.0-3.0-7.0,13580,List2A,white,woman,,TRUE,7,,,,,,,,,,
null,CORRECT,,html-keyboard-response,10,299932,0.0-3.0-8.0-0.0,13580,List2A,white,woman,,,,null,,,,,,,,,
4311.8,"<img src=""portrait/WM1.jpg""style=""height:400px;""></img>",6,html-button-response,11,304246,0.0-3.0-10.0,13580,List2A,white,woman,,TRUE,6,,,,,,,,,,
null,CORRECT,,html-keyboard-response,12,305749,0.0-3.0-11.0-0.0,13580,List2A,white,woman,,,,null,,,,,,,,,
2141.8,"<img src=""portrait/BM1.jpg""style=""height:400px;""></img>",4,html-button-response,13,307892,0.0-3.0-13.0,13580,List2A,white,woman,,TRUE,4,,,,,,,,,,
null,CORRECT,,html-keyboard-response,14,309395,0.0-3.0-14.0-0.0,13580,List2A,white,woman,,,,null,,,,,,,,,
5773,"<img src=""portrait/WW1.jpg""style=""height:400px;""></img>",1,html-button-response,15,315170,0.0-3.0-16.0,13580,List2A,white,woman,,TRUE,1,,,,,,,,,,
null,CORRECT,,html-keyboard-response,16,316672,0.0-3.0-17.0-0.0,13580,List2A,white,woman,,,,null,,,,,,,,,
5380.5,"<img src=""portrait/BW2.jpg""style=""height:400px;""></img>",2,html-button-response,17,322054,0.0-3.0-19.0,13580,List2A,white,woman,,TRUE,2,,,,,,,,,,
null,CORRECT,,html-keyboard-response,18,323556,0.0-3.0-20.0-0.0,13580,List2A,white,woman,,,,null,,,,,,,,,
3615.6,"<img src=""portrait/BW1.jpg""style=""height:400px;""></img>",0,html-button-response,19,327173,0.0-3.0-22.0,13580,List2A,white,woman,,TRUE,0,,,,,,,,,,
null,CORRECT,,html-keyboard-response,20,328681,0.0-3.0-23.0-0.0,13580,List2A,white,woman,,,,null,,,,,,,,,
5386.1,<p>You got 7 out of 8 right first time. Press Continue.</p>,0,html-button-response,21,334069,0.0-3.0-25.0,13580,List2A,white,woman,,,,,,,,,,,,,
3303.6,"As you did not score 100%, the memory game will repeat. Press Continue.",0,html-button-response,22,338377,0.0-3.0-26.0-0.0,13580,List2A,white,woman,,,,,,,,,,,,,
3576,"<img src='img/portrait_matrix_list2.jpg' style='width:900px;height:500px;''></img><p>If you have memorised all the portraits and names and are ready to start, press Continue.</p><p><strong>Please note: Your memory of these faces will be tested 4 times during this experiment.</strong></p>",0,html-button-response,23,342957,0.0-3.1-0.1,13580,List2A,white,woman,,,,,,,,,,,,,
2801.2,"<img src=""portrait/WW2.jpg""style=""height:400px;""></img>",3,html-button-response,24,346762,0.0-3.1-1.1,13580,List2A,white,woman,,TRUE,3,,,,,,,,,,
null,CORRECT,,html-keyboard-response,25,348265,0.0-3.1-2.1-0.1,13580,List2A,white,woman,,,,null,,,,,,,,,
5561.1,"<img src=""portrait/BM2.jpg""style=""height:400px;""></img>",5,html-button-response,26,353828,0.0-3.1-4.1,13580,List2A,white,woman,,TRUE,5,,,,,,,,,,
null,CORRECT,,html-keyboard-response,27,355332,0.0-3.1-5.1-0.1,13580,List2A,white,woman,,,,null,,,,,,,,,
4669.8,"<img src=""portrait/WM2.jpg""style=""height:400px;""></img>",7,html-button-response,28,360003,0.0-3.1-7.1,13580,List2A,white,woman,,TRUE,7,,,,,,,,,,
null,CORRECT,,html-keyboard-response,29,361509,0.0-3.1-8.1-0.1,13580,List2A,white,woman,,,,null,,,,,,,,,
1975.8,"<img src=""portrait/WM1.jpg""style=""height:400px;""></img>",6,html-button-response,30,363487,0.0-3.1-10.1,13580,List2A,white,woman,,TRUE,6,,,,,,,,,,
null,CORRECT,,html-keyboard-response,31,364989,0.0-3.1-11.1-0.1,13580,List2A,white,woman,,,,null,,,,,,,,,
2245.9,"<img src=""portrait/BM1.jpg""style=""height:400px;""></img>",4,html-button-response,32,367237,0.0-3.1-13.1,13580,List2A,white,woman,,TRUE,4,,,,,,,,,,
null,CORRECT,,html-keyboard-response,33,368740,0.0-3.1-14.1-0.1,13580,List2A,white,woman,,,,null,,,,,,,,,
4094,"<img src=""portrait/WW1.jpg""style=""height:400px;""></img>",1,html-button-response,34,372836,0.0-3.1-16.1,13580,List2A,white,woman,,TRUE,1,,,,,,,,,,
