rt,stimulus,button_pressed,trial_type,trial_index,time_elapsed,internal_node_id,subject,list,ppt_race,ppt_gender,url,first_guess,correct,key_press,responses,image_type,phrase_type,test_part,response,stimulus1,stimulus2,question_type,survey_item
3479.2,Welcome to the experiment. Press Continue to begin.,0,html-button-response,0,3488,0.0-0.0,16972,List2A,black,man,,,,,,,,,,,,,
6962.5,,,external-html,1,11631,0.0-1.0,16972,List2A,black,man,consent.html,,,,,,,,,,,,
6500.7,"<p>On the next page, you will see portraits of 8 people and their names.</p><p>Your first task is to take a few minutes to memorise the names of these people.</p><p>You will have to recall their names during the rest of the experiment, so it is</p><p>essential that you try to memorise these people and their names as best as you can.</p><br><p><strong>You will then be tested on your memory of these names and portraits.</strong></p><br><p>The experiment will start after you have completed this memory test.</p><br><p>Ready?</p>",0,html-button-response,2,18135,0.0-2.0,16972,List2A,black,man,,,,,,,,,,,,,
23080.3,"<img src='img/portrait_matrix_list2.jpg' style='width:900px;height:500px;''></img><p>If you have memorised all the portraits and names and are ready to start, press Continue.</p><p><strong>Please note: Your memory of these faces will be tested 4 times during this experiment.</strong></p>",0,html-button-response,3,42229,0.0-3.0-0.0,16972,List2A,black,man,,,,,,,,,,,,,
5645.2,"<img src=""portrait/BW1.jpg""style=""height:400px;""></img>",0,html-button-response,4,48884,0.0-3.0-1.0,16972,List2A,black,man,,TRUE,0,,,,,,,,,,
null,CORRECT,,html-keyboard-response,5,50392,0.0-3.0-2.0-0.0,16972,List2A,black,man,,,,null,,,,,,,,,
5125.6,"<img src=""portrait/BM1.jpg""style=""height:400px;""></img>",4,html-button-response,6,55520,0.0-3.0-4.0,16972,List2A,black,man,,TRUE,4,,,,,,,,,,
null,CORRECT,,html-keyboard-response,7,57025,0.0-3.0-5.0-0.0,16972,List2A,black,man,,,,null,,,,,,,,,
4373.6,"<img src=""portrait/WW2.jpg""style=""height:400px;""></img>",3,html-button-response,8,61400,0.0-3.0-7.0,16972,List2A,black,man,,TRUE,3,,,,,,,,,,
null,CORRECT,,html-keyboard-response,9,62903,0.0-3.0-8.0-0.0,16972,List2A,black,man,,,,null,,,,,,,,,
5690.5,"<img src=""portrait/WM2.jpg""style=""height:400px;""></img>",7,html-button-response,10,68597,0.0-3.0-10.0,16972,List2A,black,man,,TRUE,7,,,,,,,,,,
null,CORRECT,,html-keyboard-response,11,70100,0.0-3.0-11.0-0.0,16972,List2A,black,man,,,,null,,,,,,,,,
5060,"<img src=""portrait/BM2.jpg""style=""height:400px;""></img>",5,html-button-response,12,75162,0.0-3.0-13.0,16972,List2A,black,man,,TRUE,5,,,,,,,,,,
null,CORRECT,,html-keyboard-response,13,76666,0.0-3.0-14.0-0.0,16972,List2A,black,man,,,,null,,,,,,,,,
4242.6,"<img src=""portrait/WW1.jpg""style=""height:400px;""></img>",1,html-button-response,14,80912,0.0-3.0-16.0,16972,List2A,black,man,,TRUE,1,,,,,,,,,,
null,CORRECT,,html-keyboard-response,15,82415,0.0-3.0-17.0-0.0,16972,List2A,black,man,,,,null,,,,,,,,,
3890.1,"<img src=""portrait/BW2.jpg""style=""height:400px;""></img>",2,html-button-response,16,86307,0.0-3.0-19.0,16972,List2A,black,man,,TRUE,2,,,,,,,,,,
null,CORRECT,,html-keyboard-response,17,87810,0.0-3.0-20.0-0.0,16972,List2A,black,man,,,,null,,,,,,,,,
4331.8,"<img src=""portrait/WM1.jpg""style=""height:400px;""></img>",6,html-button-response,18,92145,0.0-3.0-22.0,16972,List2A,black,man,,TRUE,6,,,,,,,,,,
null,CORRECT,,html-keyboard-response,19,93648,0.0-3.0-23.0-0.0,16972,List2A,black,man,,,,null,,,,,,,,,
2117.6,<p>You got 8 out of 8 right first time. Press Continue.</p>,0,html-button-response,20,95771,0.0-3.0-25.0,16972,List2A,black,man,,,,,,,,,,,,,
48896.6,"<p>In this experiment, you will view photographs of the people from the memory game interacting.</p><p>By using the <strong>exact</strong> phrase given <i>after</i> the photograph appears and recalling the correct names of the people in the photographs, form a sentence describing the interaction. You do not need to capitalise names.</p><p>Type your answer in the space provided. Please complete every sentence before moving onto the next trial.</p><p>You will only have a few seconds to memorise each given photograph and phrase before you can respond, so try your best to focus.</p><p>An example is given below. Press 'Continue' when you are ready.</p><img src='img/speaking_example.jpg' style='width:800px;height:460px;''></img>",0,html-button-response,21,145673,0.0-4.0,16972,List2A,black,man,,,,,,,,,,,,,
3083.6,"<p>Before the experiment starts, you will watch two example trials. Press 'Continue'.</p>",0,html-button-response,22,149760,0.0-5.0,16972,List2A,black,man,,,,,,,,,,,,,
null,<img src='img/play_eg.gif' style='height:400px;''></img>,,html-keyboard-response,23,152765,0.0-6.0,16972,List2A,black,man,,,,null,,,,,,,,,
null,<p>is playing with</p>,,html-keyboard-response,24,154767,0.0-7.0,16972,List2A,black,man,,,,null,,,,,,,,,
9319.8,<p><b>Answer:</b> jane is playing with ruth</p>,0,html-button-response,25,164088,0.0-8.0,16972,List2A,black,man,,,,,,,,,,,,,
null,<img src='img/dance_eg.gif' style='height:400px;''></img>,,html-keyboard-response,26,167092,0.0-9.0,16972,List2A,black,man,,,,null,,,,,,,,,
null,<p>is being entertained by</p>,,html-keyboard-response,27,169096,0.0-10.0,16972,List2A,black,man,,,,null,,,,,,,,,
4432.8,<p><b>Answer:</b> fred is being entertained by mike</p>,0,html-button-response,28,173530,0.0-11.0,16972,List2A,black,man,,,,,,,,,,,,,
11335.6,"<p>Ready to start the experiment?</p><br><p><strong>Remember to describe the picture using a full sentence,</strong></p><p><strong>that combines the names of the people with the <i>exact</i> phrase given.</strong></p><p><strong>To receive full payment you must do this correctly.</strong></p><p><strong> You do not need to capitalise names or use punctuation.</strong></p><br><p>Press 'Continue' to begin.</p>",0,html-button-response,29,185868,0.0-12.0,16972,List2A,black,man,,,,,,,,,,,,,
null,"<div style=""font-size:60px;"">+</div>",,html-keyboard-response,30,187372,0.0-13.0-0.0,16972,List2A,black,man,,,,null,,,,,,,,,
null,"<img src=""stim_listA/kiss5.gif""style=""height:400px;""></stim_listA>",,html-keyboard-response,31,189374,0.0-13.0-1.0,16972,List2A,black,man,,,,null,,,,,,,,,
null,is kissing,,html-keyboard-response,32,191376,0.0-13.0-2.0,16972,List2A,black,man,,,,null,,,,,,,,,
20980,,,survey-text,33,212363,0.0-13.0-3.0,16972,List2A,black,man,,,,,"{""Q0"":""fred is kissing luke""}","<img src=""stim_listA/kiss5.gif""style=""height:400px;""></stim_listA>",is kissing,,,,,,
null,"<div style=""font-size:60px;"">+</div>",,html-keyboard-response,34,212867,0.0-13.0-0.1,16972,List2A,black,man,,,,null,,,,,,,,,
null,"<img src=""stim_listA/seduce3.gif""style=""height:400px;""></stim_listA>",,html-keyboard-response,35,214869,0.0-13.0-1.1,16972,List2A,black,man,,,,null,,,,,,,,,
null,is seducing,,html-keyboard-response,36,216871,0.0-13.0-2.1,16972,List2A,black,man,,,,null,,,,,,,,,
