rt,stimulus,button_pressed,trial_type,trial_index,time_elapsed,internal_node_id,subject,list,ppt_race,ppt_gender,url,first_guess,correct,key_press,responses,image_type,phrase_type,test_part,response,stimulus1,stimulus2,question_type,survey_item
7606.7,Welcome to the experiment. Press Continue to begin.,0,html-button-response,0,7610,0.0-0.0,2398,List1A,black,woman,,,,,,,,,,,,,
49679.1,,,external-html,1,58872,0.0-1.0,2398,List1A,black,woman,consent.html,,,,,,,,,,,,
17796.6,"<p>On the next page, you will see portraits of 8 people and their names.</p><p>Your first task is to take a few minutes to memorise the names of these people.</p><p>You will have to recall their names during the rest of the experiment, so it is</p><p>essential that you try to memorise these people and their names as best as you can.</p><br><p><strong>You will then be tested on your memory of these names and portraits.</strong></p><br><p>The experiment will start after you have completed this memory test.</p><br><p>Ready?</p>",0,html-button-response,2,76670,0.0-2.0,2398,List1A,black,woman,,,,,,,,,,,,,
118811.3,"<img src='img/portrait_matrix_list1.jpg' style='width:900px;height:500px;''></img><p>If you have memorised all the portraits and names and are ready to start, press Continue.</p><p><strong>Please note: Your memory of these faces will be tested 4 times during this experiment.</strong></p>",0,html-button-response,3,196482,0.0-3.0-0.0,2398,List1A,black,woman,,,,,,,,,,,,,
5439.8,"<img src=""portrait/BW1.jpg""style=""height:400px;""></img>",0,html-button-response,4,202929,0.0-3.0-1.0,2398,List1A,black,woman,,TRUE,0,,,,,,,,,,
null,CORRECT,,html-keyboard-response,5,204448,0.0-3.0-2.0-0.0,2398,List1A,black,woman,,,,null,,,,,,,,,
4278.9,"<img src=""portrait/BM1.jpg""style=""height:400px;""></img>",4,html-button-response,6,208729,0.0-3.0-4.0,2398,List1A,black,woman,,TRUE,4,,,,,,,,,,
null,CORRECT,,html-keyboard-response,7,210250,0.0-3.0-5.0-0.0,2398,List1A,black,woman,,,,null,,,,,,,,,
3422.7,"<img src=""portrait/BM2.jpg""style=""height:400px;""></img>",5,html-button-response,8,213674,0.0-3.0-7.0,2398,List1A,black,woman,,TRUE,5,,,,,,,,,,
null,CORRECT,,html-keyboard-response,9,215193,0.0-3.0-8.0-0.0,2398,List1A,black,woman,,,,null,,,,,,,,,
13463.6,"<img src=""portrait/WW2.jpg""style=""height:400px;""></img>",3,html-button-response,10,228658,0.0-3.0-10.0,2398,List1A,black,woman,,TRUE,3,,,,,,,,,,
null,CORRECT,,html-keyboard-response,11,230175,0.0-3.0-11.0-0.0,2398,List1A,black,woman,,,,null,,,,,,,,,
2459.8,"<img src=""portrait/WM2.jpg""style=""height:400px;""></img>",7,html-button-response,12,232636,0.0-3.0-13.0,2398,List1A,black,woman,,TRUE,7,,,,,,,,,,
null,CORRECT,,html-keyboard-response,13,234158,0.0-3.0-14.0-0.0,2398,List1A,black,woman,,,,null,,,,,,,,,
4097.1,"<img src=""portrait/BW2.jpg""style=""height:400px;""></img>",2,html-button-response,14,238256,0.0-3.0-16.0,2398,List1A,black,woman,,TRUE,2,,,,,,,,,,
null,CORRECT,,html-keyboard-response,15,239783,0.0-3.0-17.0-0.0,2398,List1A,black,woman,,,,null,,,,,,,,,
4234.2,"<img src=""portrait/WM1.jpg""style=""height:400px;""></img>",6,html-button-response,16,244019,0.0-3.0-19.0,2398,List1A,black,woman,,TRUE,6,,,,,,,,,,
null,CORRECT,,html-keyboard-response,17,245540,0.0-3.0-20.0-0.0,2398,List1A,black,woman,,,,null,,,,,,,,,
5463.5,"<img src=""portrait/WW1.jpg""style=""height:400px;""></img>",2,html-button-response,18,251009,0.0-3.0-22.0,2398,List1A,black,woman,,TRUE,1,,,,,,,,,,
4951.5,"<img src=""portrait/WW1.jpg""style=""height:400px;""></img>",1,html-button-response,19,256975,0.0-3.0-24.0-0.0,2398,List1A,black,woman,,FALSE,1,,,,,,,,,,
null,CORRECT,,html-keyboard-response,20,258483,0.0-3.0-24.0-1.0-0.0,2398,List1A,black,woman,,,,null,,,,,,,,,
1384.4,<p>You got 7 out of 8 right first time. Press Continue.</p>,0,html-button-response,21,259869,0.0-3.0-25.0,2398,List1A,black,woman,,,,,,,,,,,,,
2330.8,"As you did not score 100%, the memory game will repeat. Press Continue.",0,html-button-response,22,263205,0.0-3.0-26.0-0.0,2398,List1A,black,woman,,,,,,,,,,,,,
13092.4,"<img src='img/portrait_matrix_list1.jpg' style='width:900px;height:500px;''></img><p>If you have memorised all the portraits and names and are ready to start, press Continue.</p><p><strong>Please note: Your memory of these faces will be tested 4 times during this experiment.</strong></p>",0,html-button-response,23,277309,0.0-3.1-0.1,2398,List1A,black,woman,,,,,,,,,,,,,
4629.4,"<img src=""portrait/BW1.jpg""style=""height:400px;""></img>",0,html-button-response,24,282943,0.0-3.1-1.1,2398,List1A,black,woman,,TRUE,0,,,,,,,,,,
null,CORRECT,,html-keyboard-response,25,284452,0.0-3.1-2.1-0.1,2398,List1A,black,woman,,,,null,,,,,,,,,
2057.4,"<img src=""portrait/BM1.jpg""style=""height:400px;""></img>",4,html-button-response,26,286511,0.0-3.1-4.1,2398,List1A,black,woman,,TRUE,4,,,,,,,,,,
null,CORRECT,,html-keyboard-response,27,288021,0.0-3.1-5.1-0.1,2398,List1A,black,woman,,,,null,,,,,,,,,
1939.3,"<img src=""portrait/BM2.jpg""style=""height:400px;""></img>",5,html-button-response,28,289961,0.0-3.1-7.1,2398,List1A,black,woman,,TRUE,5,,,,,,,,,,
null,CORRECT,,html-keyboard-response,29,291474,0.0-3.1-8.1-0.1,2398,List1A,black,woman,,,,null,,,,,,,,,
5499.8,"<img src=""portrait/WW2.jpg""style=""height:400px;""></img>",2,html-button-response,30,296975,0.0-3.1-10.1,2398,List1A,black,woman,,TRUE,3,,,,,,,,,,
2011.4,"<img src=""portrait/WW2.jpg""style=""height:400px;""></img>",3,html-button-response,31,299991,0.0-3.1-12.1-0.1,2398,List1A,black,woman,,FALSE,3,,,,,,,,,,
null,CORRECT,,html-keyboard-response,32,301514,0.0-3.1-12.1-1.1-0.1,2398,List1A,black,woman,,,,null,,,,,,,,,
2190.3,"<img src=""portrait/WM2.jpg""style=""height:400px;""></img>",7,html-button-response,33,303705,0.0-3.1-13.1,2398,List1A,black,woman,,TRUE,7,,,,,,,,,,
null,CORRECT,,html-keyboard-response,34,305209,0.0-3.1-14.1-0.1,2398,List1A,black,woman,,,,null,,,,,,,,,
1846.5,"<img src=""portrait/BW2.jpg""style=""height:400px;""></img>",2,html-button-response,35,307058,0.0-3.1-16.1,2398,List1A,black,woman,,TRUE,2,,,,,,,,,,
null,CORRECT,,html-keyboard-response,36,308577,0.0-3.1-17.1-0.1,2398,List1A,black,woman,,,,null,,,,,,,,,
1597.8,"<img src=""portrait/WM1.jpg""style=""height:400px;""></img>",6,html-button-response,37,310176,0.0-3.1-19.1,2398,List1A,black,woman,,TRUE,6,,,,,,,,,,
null,CORRECT,,html-keyboard-response,38,311690,0.0-3.1-20.1-0.1,2398,List1A,black,woman,,,,null,,,,,,,,,
3460.2,"<img src=""portrait/WW1.jpg""style=""height:400px;""></img>",1,html-button-response,39,315152,0.0-3.1-22.1,2398,List1A,black,woman,,TRUE,1,,,,,,,,,,
null,CORRECT,,html-keyboard-response,40,316661,0.0-3.1-23.1-0.1,2398,List1A,black,woman,,,,null,,,,,,,,,
1290.4,<p>You got 7 out of 8 right first time. Press Continue.</p>,0,html-button-response,41,317954,0.0-3.1-25.1,2398,List1A,black,woman,,,,,,,,,,,,,
1903.1,"As you did not score 100%, the memory game will repeat. Press Continue.",0,html-button-response,42,320870,0.0-3.1-26.1-0.1,2398,List1A,black,woman,,,,,,,,,,,,,
7824.3,"<img src='img/portrait_matrix_list1.jpg' style='width:900px;height:500px;''></img><p>If you have memorised all the portraits and names and are ready to start, press Continue.</p><p><strong>Please note: Your memory of these faces will be tested 4 times during this experiment.</strong></p>",0,html-button-response,43,329696,0.0-3.2-0.2,2398,List1A,black,woman,,,,,,,,,,,,,
1893.1,"<img src=""portrait/BW1.jpg""style=""height:400px;""></img>",0,html-button-response,44,332597,0.0-3.2-1.2,2398,List1A,black,woman,,TRUE,0,,,,,,,,,,
null,CORRECT,,html-keyboard-response,45,334115,0.0-3.2-2.2-0.2,2398,List1A,black,woman,,,,null,,,,,,,,,
1521.4,"<img src=""portrait/BM1.jpg""style=""height:400px;""></img>",4,html-button-response,46,335638,0.0-3.2-4.2,2398,List1A,black,woman,,TRUE,4,,,,,,,,,,
null,CORRECT,,html-keyboard-response,47,337159,0.0-3.2-5.2-0.2,2398,List1A,black,woman,,,,null,,,,,,,,,
2059.5,"<img src=""portrait/BM2.jpg""style=""height:400px;""></img>",5,html-button-response,48,339220,0.0-3.2-7.2,2398,List1A,black,woman,,TRUE,5,,,,,,,,,,
null,CORRECT,,html-keyboard-response,49,340729,0.0-3.2-8.2-0.2,2398,List1A,black,woman,,,,null,,,,,,,,,
3162.1,"<img src=""portrait/WW2.jpg""style=""height:400px;""></img>",2,html-button-response,50,343892,0.0-3.2-10.2,2398,List1A,black,woman,,TRUE,3,,,,,,,,,,
1608.9,"<img src=""portrait/WW2.jpg""style=""height:400px;""></img>",3,html-button-response,51,346514,0.0-3.2-12.2-0.2,2398,List1A,black,woman,,FALSE,3,,,,,,,,,,
null,CORRECT,,html-keyboard-response,52,348029,0.0-3.2-12.2-1.2-0.2,2398,List1A,black,woman,,,,null,,,,,,,,,
7381.4,"<img src=""portrait/WM2.jpg""style=""height:400px;""></img>",7,html-button-response,53,355412,0.0-3.2-13.2,2398,List1A,black,woman,,TRUE,7,,,,,,,,,,
null,CORRECT,,html-keyboard-response,54,356923,0.0-3.2-14.2-0.2,2398,List1A,black,woman,,,,null,,,,,,,,,
1547.6,"<img src=""portrait/BW2.jpg""style=""height:400px;""></img>",2,html-button-response,55,358474,0.0-3.2-16.2,2398,List1A,black,woman,,TRUE,2,,,,,,,,,,
null,CORRECT,,html-keyboard-response,56,359987,0.0-3.2-17.2-0.2,2398,List1A,black,woman,,,,null,,,,,,,,,
1617.9,"<img src=""portrait/WM1.jpg""style=""height:400px;""></img>",6,html-button-response,57,361606,0.0-3.2-19.2,2398,List1A,black,woman,,TRUE,6,,,,,,,,,,
null,CORRECT,,html-keyboard-response,58,363115,0.0-3.2-20.2-0.2,2398,List1A,black,woman,,,,null,,,,,,,,,
3559.8,"<img src=""portrait/WW1.jpg""style=""height:400px;""></img>",1,html-button-response,59,366676,0.0-3.2-22.2,2398,List1A,black,woman,,TRUE,1,,,,,,,,,,
null,CORRECT,,html-keyboard-response,60,368192,0.0-3.2-23.2-0.2,2398,List1A,black,woman,,,,null,,,,,,,,,
1338.3,<p>You got 7 out of 8 right first time. Press Continue.</p>,0,html-button-response,61,369532,0.0-3.2-25.2,2398,List1A,black,woman,,,,,,,,,,,,,
1541,"As you did not score 100%, the memory game will repeat. Press Continue.",0,html-button-response,62,372088,0.0-3.2-26.2-0.2,2398,List1A,black,woman,,,,,,,,,,,,,
5323.1,"<img src='img/portrait_matrix_list1.jpg' style='width:900px;height:500px;''></img><p>If you have memorised all the portraits and names and are ready to start, press Continue.</p><p><strong>Please note: Your memory of these faces will be tested 4 times during this experiment.</strong></p>",0,html-button-response,63,378426,0.0-3.3-0.3,2398,List1A,black,woman,,,,,,,,,,,,,
2161.9,"<img src=""portrait/BW1.jpg""style=""height:400px;""></img>",0,html-button-response,64,381599,0.0-3.3-1.3,2398,List1A,black,woman,,TRUE,0,,,,,,,,,,
null,CORRECT,,html-keyboard-response,65,383111,0.0-3.3-2.3-0.3,2398,List1A,black,woman,,,,null,,,,,,,,,
1902.9,"<img src=""portrait/BM1.jpg""style=""height:400px;""></img>",4,html-button-response,66,385015,0.0-3.3-4.3,2398,List1A,black,woman,,TRUE,4,,,,,,,,,,
