"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","subject","list","ppt_race","ppt_gender","url","first_guess","correct","key_press","responses","image_type","phrase_type","test_part","response","stimulus1","stimulus2","question_type","survey_item"
"4477.699999988079","Welcome to the experiment. Press Continue to begin.","0","html-button-response","0","4484","0.0-0.0","35012","List2A","white","woman","","","","","","","","","","","","",""
"41423.5","","","external-html","1","47376","0.0-1.0","35012","List2A","white","woman","consent.html","","","","","","","","","","","",""
"8206.299999982119","<p>On the next page, you will see portraits of 8 people and their names.</p><p>Your first task is to take a few minutes to memorise the names of these people.</p><p>You will have to recall their names during the rest of the experiment, so it is</p><p>essential that you try to memorise these people and their names as best as you can.</p><br><p><strong>You will then be tested on your memory of these names and portraits.</strong></p><br><p>The experiment will start after you have completed this memory test.</p><br><p>Ready?</p>","0","html-button-response","2","55585","0.0-2.0","35012","List2A","white","woman","","","","","","","","","","","","",""
"120642.90000000596","<img src='img/portrait_matrix_list2.jpg' style='width:900px;height:500px;''></img><p>If you have memorised all the portraits and names and are ready to start, press Continue.</p><p><strong>Please note: Your memory of these faces will be tested 4 times during this experiment.</strong></p>","0","html-button-response","3","177230","0.0-3.0-0.0","35012","List2A","white","woman","","","","","","","","","","","","",""
"3112","<img src=""portrait/BW2.jpg""style=""height:400px;""></img>","2","html-button-response","4","181350","0.0-3.0-1.0","35012","List2A","white","woman","","true","2","","","","","","","","","",""
"null","CORRECT","","html-keyboard-response","5","182867","0.0-3.0-2.0-0.0","35012","List2A","white","woman","","","","null","","","","","","","","",""
"2566","<img src=""portrait/WW1.jpg""style=""height:400px;""></img>","1","html-button-response","6","185436","0.0-3.0-4.0","35012","List2A","white","woman","","true","1","","","","","","","","","",""
"null","CORRECT","","html-keyboard-response","7","186950","0.0-3.0-5.0-0.0","35012","List2A","white","woman","","","","null","","","","","","","","",""
"4195.800000011921","<img src=""portrait/WM1.jpg""style=""height:400px;""></img>","5","html-button-response","8","191148","0.0-3.0-7.0","35012","List2A","white","woman","","true","6","","","","","","","","","",""
"3707.300000011921","<img src=""portrait/WM1.jpg""style=""height:400px;""></img>","6","html-button-response","9","195866","0.0-3.0-9.0-0.0","35012","List2A","white","woman","","false","6","","","","","","","","","",""
