"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","subject","list","ppt_race","ppt_gender","url","first_guess","correct","key_press","responses","image_type","phrase_type","test_part","response","stimulus1","stimulus2","question_type","survey_item"
"12246.600000023842","Welcome to the experiment. Press Continue to begin.","0","html-button-response","0","12249","0.0-0.0","50057","List1B","white","woman","","","","","","","","","","","","",""
"7866.5","","","external-html","1","21619","0.0-1.0","50057","List1B","white","woman","consent.html","","","","","","","","","","","",""
"101922.80000001192","<p>On the next page, you will see portraits of 8 people and their names.</p><p>Your first task is to take a few minutes to memorise the names of these people.</p><p>You will have to recall their names during the rest of the experiment, so it is</p><p>essential that you try to memorise these people and their names as best as you can.</p><br><p><strong>You will then be tested on your memory of these names and portraits.</strong></p><br><p>The experiment will start after you have completed this memory test.</p><br><p>Ready?</p>","0","html-button-response","2","123543","0.0-2.0","50057","List1B","white","woman","","","","","","","","","","","","",""
"63749.30000001192","<img src='img/portrait_matrix_list1.jpg' style='width:900px;height:500px;''></img><p>If you have memorised all the portraits and names and are ready to start, press Continue.</p><p><strong>Please note: Your memory of these faces will be tested 4 times during this experiment.</strong></p>","0","html-button-response","3","188298","0.0-3.0-0.0","50057","List1B","white","woman","","","","","","","","","","","","",""
"3279.399999976158","<img src=""portrait/WM1.jpg""style=""height:400px;""></img>","6","html-button-response","4","192589","0.0-3.0-1.0","50057","List1B","white","woman","","true","6","","","","","","","","","",""
"null","CORRECT","","html-keyboard-response","5","194108","0.0-3.0-2.0-0.0","50057","List1B","white","woman","","","","null","","","","","","","","",""
"2217.800000011921","<img src=""portrait/WM2.jpg""style=""height:400px;""></img>","7","html-button-response","6","196328","0.0-3.0-4.0","50057","List1B","white","woman","","true","7","","","","","","","","","",""
"null","CORRECT","","html-keyboard-response","7","197859","0.0-3.0-5.0-0.0","50057","List1B","white","woman","","","","null","","","","","","","","",""
"10339.899999976158","<img src=""portrait/WW1.jpg""style=""height:400px;""></img>","1","html-button-response","8","208201","0.0-3.0-7.0","50057","List1B","white","woman","","true","1","","","","","","","","","",""
"null","CORRECT","","html-keyboard-response","9","209703","0.0-3.0-8.0-0.0","50057","List1B","white","woman","","","","null","","","","","","","","",""
"3188.099999964237","<img src=""portrait/BW2.jpg""style=""height:400px;""></img>","2","html-button-response","10","212892","0.0-3.0-10.0","50057","List1B","white","woman","","true","2","","","","","","","","","",""
"null","CORRECT","","html-keyboard-response","11","214413","0.0-3.0-11.0-0.0","50057","List1B","white","woman","","","","null","","","","","","","","",""
"3538.300000011921","<img src=""portrait/BM2.jpg""style=""height:400px;""></img>","5","html-button-response","12","217953","0.0-3.0-13.0","50057","List1B","white","woman","","true","5","","","","","","","","","",""
"null","CORRECT","","html-keyboard-response","13","219462","0.0-3.0-14.0-0.0","50057","List1B","white","woman","","","","null","","","","","","","","",""
"6888.399999976158","<img src=""portrait/BW1.jpg""style=""height:400px;""></img>","0","html-button-response","14","226352","0.0-3.0-16.0","50057","List1B","white","woman","","true","0","","","","","","","","","",""
"null","CORRECT","","html-keyboard-response","15","227854","0.0-3.0-17.0-0.0","50057","List1B","white","woman","","","","null","","","","","","","","",""
"5110.699999988079","<img src=""portrait/BM1.jpg""style=""height:400px;""></img>","4","html-button-response","16","232966","0.0-3.0-19.0","50057","List1B","white","woman","","true","4","","","","","","","","","",""
"null","CORRECT","","html-keyboard-response","17","234482","0.0-3.0-20.0-0.0","50057","List1B","white","woman","","","","null","","","","","","","","",""
"2300.800000011921","<img src=""portrait/WW2.jpg""style=""height:400px;""></img>","3","html-button-response","18","236784","0.0-3.0-22.0","50057","List1B","white","woman","","true","3","","","","","","","","","",""
"null","CORRECT","","html-keyboard-response","19","238311","0.0-3.0-23.0-0.0","50057","List1B","white","woman","","","","null","","","","","","","","",""
"1458.0999999642372","<p>You got 8 out of 8 right first time. Press Continue.</p>","0","html-button-response","20","239770","0.0-3.0-25.0","50057","List1B","white","woman","","","","","","","","","","","","",""
