"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","subject","list","ppt_race","ppt_gender","url","first_guess","correct","key_press","responses","image_type","phrase_type","test_part","response","stimulus1","stimulus2","question_type","survey_item"
"12892.5","Welcome to the experiment. Press Continue to begin.","0","html-button-response","0","12896","0.0-0.0","59955","List2B","white","man","","","","","","","","","","","","",""
"53381.5","","","external-html","1","67716","0.0-1.0","59955","List2B","white","man","consent.html","","","","","","","","","","","",""
"14111.80000000447","<p>On the next page, you will see portraits of 8 people and their names.</p><p>Your first task is to take a few minutes to memorise the names of these people.</p><p>You will have to recall their names during the rest of the experiment, so it is</p><p>essential that you try to memorise these people and their names as best as you can.</p><br><p><strong>You will then be tested on your memory of these names and portraits.</strong></p><br><p>The experiment will start after you have completed this memory test.</p><br><p>Ready?</p>","0","html-button-response","2","81830","0.0-2.0","59955","List2B","white","man","","","","","","","","","","","","",""
"50476.89999999851","<img src='img/portrait_matrix_list2.jpg' style='width:900px;height:500px;''></img><p>If you have memorised all the portraits and names and are ready to start, press Continue.</p><p><strong>Please note: Your memory of these faces will be tested 4 times during this experiment.</strong></p>","0","html-button-response","3","133315","0.0-3.0-0.0","59955","List2B","white","man","","","","","","","","","","","","",""
"3071.2999999970198","<img src=""portrait/WM1.jpg""style=""height:400px;""></img>","6","html-button-response","4","137393","0.0-3.0-1.0","59955","List2B","white","man","","true","6","","","","","","","","","",""
"null","CORRECT","","html-keyboard-response","5","138905","0.0-3.0-2.0-0.0","59955","List2B","white","man","","","","null","","","","","","","","",""
"4085.10000000149","<img src=""portrait/BM1.jpg""style=""height:400px;""></img>","4","html-button-response","6","142991","0.0-3.0-4.0","59955","List2B","white","man","","true","4","","","","","","","","","",""
"null","CORRECT","","html-keyboard-response","7","144500","0.0-3.0-5.0-0.0","59955","List2B","white","man","","","","null","","","","","","","","",""
"2990.89999999851","<img src=""portrait/BM2.jpg""style=""height:400px;""></img>","5","html-button-response","8","147493","0.0-3.0-7.0","59955","List2B","white","man","","true","5","","","","","","","","","",""
"null","CORRECT","","html-keyboard-response","9","148999","0.0-3.0-8.0-0.0","59955","List2B","white","man","","","","null","","","","","","","","",""
"4025","<img src=""portrait/WW1.jpg""style=""height:400px;""></img>","1","html-button-response","10","153025","0.0-3.0-10.0","59955","List2B","white","man","","true","1","","","","","","","","","",""
"null","CORRECT","","html-keyboard-response","11","154535","0.0-3.0-11.0-0.0","59955","List2B","white","man","","","","null","","","","","","","","",""
"6519.5","<img src=""portrait/BW1.jpg""style=""height:400px;""></img>","0","html-button-response","12","161056","0.0-3.0-13.0","59955","List2B","white","man","","true","0","","","","","","","","","",""
"null","CORRECT","","html-keyboard-response","13","162562","0.0-3.0-14.0-0.0","59955","List2B","white","man","","","","null","","","","","","","","",""
"4454.79999999702","<img src=""portrait/WM2.jpg""style=""height:400px;""></img>","7","html-button-response","14","167019","0.0-3.0-16.0","59955","List2B","white","man","","true","7","","","","","","","","","",""
"null","CORRECT","","html-keyboard-response","15","168529","0.0-3.0-17.0-0.0","59955","List2B","white","man","","","","null","","","","","","","","",""
"3291.7999999970198","<img src=""portrait/BW2.jpg""style=""height:400px;""></img>","2","html-button-response","16","171822","0.0-3.0-19.0","59955","List2B","white","man","","true","2","","","","","","","","","",""
