"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","subject","list","ppt_race","ppt_gender","url","first_guess","correct","key_press","responses","image_type","phrase_type","test_part","response","stimulus1","stimulus2","question_type","survey_item"
"4708.394999997836","Welcome to the experiment. Press Continue to begin.","0","html-button-response","0","4719","0.0-0.0","6079","List2B","black","woman","","","","","","","","","","","","",""
"126050.54000000018","","","external-html","1","132176","0.0-1.0","6079","List2B","black","woman","consent.html","","","","","","","","","","","",""
"12111.990000001242","<p>On the next page, you will see portraits of 8 people and their names.</p><p>Your first task is to take a few minutes to memorise the names of these people.</p><p>You will have to recall their names during the rest of the experiment, so it is</p><p>essential that you try to memorise these people and their names as best as you can.</p><br><p><strong>You will then be tested on your memory of these names and portraits.</strong></p><br><p>The experiment will start after you have completed this memory test.</p><br><p>Ready?</p>","0","html-button-response","2","144294","0.0-2.0","6079","List2B","black","woman","","","","","","","","","","","","",""
"208416.73499999888","<img src='img/portrait_matrix_list2.jpg' style='width:900px;height:500px;''></img><p>If you have memorised all the portraits and names and are ready to start, press Continue.</p><p><strong>Please note: Your memory of these faces will be tested 4 times during this experiment.</strong></p>","0","html-button-response","3","353716","0.0-3.0-0.0","6079","List2B","black","woman","","","","","","","","","","","","",""
"8269.460000003164","<img src=""portrait/BW1.jpg""style=""height:400px;""></img>","0","html-button-response","4","362997","0.0-3.0-1.0","6079","List2B","black","woman","","true","0","","","","","","","","","",""
"null","CORRECT","","html-keyboard-response","5","364512","0.0-3.0-2.0-0.0","6079","List2B","black","woman","","","","null","","","","","","","","",""
"5831.465000002936","<img src=""portrait/WW1.jpg""style=""height:400px;""></img>","1","html-button-response","6","370349","0.0-3.0-4.0","6079","List2B","black","woman","","true","1","","","","","","","","","",""
"null","CORRECT","","html-keyboard-response","7","371901","0.0-3.0-5.0-0.0","6079","List2B","black","woman","","","","null","","","","","","","","",""
"6109.250000001339","<img src=""portrait/WM2.jpg""style=""height:400px;""></img>","7","html-button-response","8","378026","0.0-3.0-7.0","6079","List2B","black","woman","","true","7","","","","","","","","","",""
"null","CORRECT","","html-keyboard-response","9","379532","0.0-3.0-8.0-0.0","6079","List2B","black","woman","","","","null","","","","","","","","",""
"6934.110000001965","<img src=""portrait/WM1.jpg""style=""height:400px;""></img>","6","html-button-response","10","386471","0.0-3.0-10.0","6079","List2B","black","woman","","true","6","","","","","","","","","",""
"null","CORRECT","","html-keyboard-response","11","387974","0.0-3.0-11.0-0.0","6079","List2B","black","woman","","","","null","","","","","","","","",""
"4309.02999999671","<img src=""portrait/WW2.jpg""style=""height:400px;""></img>","3","html-button-response","12","392295","0.0-3.0-13.0","6079","List2B","black","woman","","true","3","","","","","","","","","",""
"null","CORRECT","","html-keyboard-response","13","393803","0.0-3.0-14.0-0.0","6079","List2B","black","woman","","","","null","","","","","","","","",""
"3950.6449999971665","<img src=""portrait/BM2.jpg""style=""height:400px;""></img>","5","html-button-response","14","397761","0.0-3.0-16.0","6079","List2B","black","woman","","true","5","","","","","","","","","",""
"null","CORRECT","","html-keyboard-response","15","399267","0.0-3.0-17.0-0.0","6079","List2B","black","woman","","","","null","","","","","","","","",""
"3977.9599999965285","<img src=""portrait/BW2.jpg""style=""height:400px;""></img>","2","html-button-response","16","403255","0.0-3.0-19.0","6079","List2B","black","woman","","true","2","","","","","","","","","",""
"null","CORRECT","","html-keyboard-response","17","404767","0.0-3.0-20.0-0.0","6079","List2B","black","woman","","","","null","","","","","","","","",""
"3702.2350000042934","<img src=""portrait/BM1.jpg""style=""height:400px;""></img>","4","html-button-response","18","408477","0.0-3.0-22.0","6079","List2B","black","woman","","true","4","","","","","","","","","",""
"null","CORRECT","","html-keyboard-response","19","409979","0.0-3.0-23.0-0.0","6079","List2B","black","woman","","","","null","","","","","","","","",""
"3968.8349999996717","<p>You got 8 out of 8 right first time. Press Continue.</p>","0","html-button-response","20","413952","0.0-3.0-25.0","6079","List2B","black","woman","","","","","","","","","","","","",""
