"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","subject","list","ppt_race","ppt_gender","url","first_guess","correct","key_press","responses","image_type","phrase_type","test_part","response","stimulus1","stimulus2","question_type","survey_item"
"3926.2999999998137","Welcome to the experiment. Press Continue to begin.","0","html-button-response","0","3928","0.0-0.0","70098","List2A","black","woman","","","","","","","","","","","","",""
"14555.099999999627","","","external-html","1","19617","0.0-1.0","70098","List2A","black","woman","consent.html","","","","","","","","","","","",""
"22127.299999999814","<p>On the next page, you will see portraits of 8 people and their names.</p><p>Your first task is to take a few minutes to memorise the names of these people.</p><p>You will have to recall their names during the rest of the experiment, so it is</p><p>essential that you try to memorise these people and their names as best as you can.</p><br><p><strong>You will then be tested on your memory of these names and portraits.</strong></p><br><p>The experiment will start after you have completed this memory test.</p><br><p>Ready?</p>","0","html-button-response","2","41745","0.0-2.0","70098","List2A","black","woman","","","","","","","","","","","","",""
"23770.299999999814","<img src='img/portrait_matrix_list2.jpg' style='width:900px;height:500px;''></img><p>If you have memorised all the portraits and names and are ready to start, press Continue.</p><p><strong>Please note: Your memory of these faces will be tested 4 times during this experiment.</strong></p>","0","html-button-response","3","66530","0.0-3.0-0.0","70098","List2A","black","woman","","","","","","","","","","","","",""
"6499.399999999907","<img src=""portrait/BM2.jpg""style=""height:400px;""></img>","5","html-button-response","4","74043","0.0-3.0-1.0","70098","List2A","black","woman","","true","5","","","","","","","","","",""
"null","CORRECT","","html-keyboard-response","5","75572","0.0-3.0-2.0-0.0","70098","List2A","black","woman","","","","null","","","","","","","","",""
"4277.100000000093","<img src=""portrait/BW2.jpg""style=""height:400px;""></img>","2","html-button-response","6","79850","0.0-3.0-4.0","70098","List2A","black","woman","","true","2","","","","","","","","","",""
"null","CORRECT","","html-keyboard-response","7","81377","0.0-3.0-5.0-0.0","70098","List2A","black","woman","","","","null","","","","","","","","",""
"4142.399999999907","<img src=""portrait/WM2.jpg""style=""height:400px;""></img>","7","html-button-response","8","85521","0.0-3.0-7.0","70098","List2A","black","woman","","true","7","","","","","","","","","",""
"null","CORRECT","","html-keyboard-response","9","87045","0.0-3.0-8.0-0.0","70098","List2A","black","woman","","","","null","","","","","","","","",""
"4166.200000000186","<img src=""portrait/BW1.jpg""style=""height:400px;""></img>","0","html-button-response","10","91212","0.0-3.0-10.0","70098","List2A","black","woman","","true","0","","","","","","","","","",""
"null","CORRECT","","html-keyboard-response","11","92735","0.0-3.0-11.0-0.0","70098","List2A","black","woman","","","","null","","","","","","","","",""
"6046.600000000093","<img src=""portrait/WM1.jpg""style=""height:400px;""></img>","6","html-button-response","12","98783","0.0-3.0-13.0","70098","List2A","black","woman","","true","6","","","","","","","","","",""
"null","CORRECT","","html-keyboard-response","13","100308","0.0-3.0-14.0-0.0","70098","List2A","black","woman","","","","null","","","","","","","","",""
