rt,stimulus,button_pressed,trial_type,trial_index,time_elapsed,internal_node_id,subject,list,ppt_race,ppt_gender,url,first_guess,correct,key_press,responses,image_type,phrase_type,test_part,response,stimulus1,stimulus2,question_type,survey_item
1187.3,Welcome to the experiment. Press Continue to begin.,0,html-button-response,0,1189,0.0-0.0,71750,List1B,white,woman,,,,,,,,,,,,,
7585.5,,,external-html,1,9921,0.0-1.0,71750,List1B,white,woman,consent.html,,,,,,,,,,,,
6790.1,"<p>On the next page, you will see portraits of 8 people and their names.</p><p>Your first task is to take a few minutes to memorise the names of these people.</p><p>You will have to recall their names during the rest of the experiment, so it is</p><p>essential that you try to memorise these people and their names as best as you can.</p><br><p><strong>You will then be tested on your memory of these names and portraits.</strong></p><br><p>The experiment will start after you have completed this memory test.</p><br><p>Ready?</p>",0,html-button-response,2,16713,0.0-2.0,71750,List1B,white,woman,,,,,,,,,,,,,
31394.9,"<img src='img/portrait_matrix_list1.jpg' style='width:900px;height:500px;''></img><p>If you have memorised all the portraits and names and are ready to start, press Continue.</p><p><strong>Please note: Your memory of these faces will be tested 4 times during this experiment.</strong></p>",0,html-button-response,3,49115,0.0-3.0-0.0,71750,List1B,white,woman,,,,,,,,,,,,,
2579.4,"<img src=""portrait/WW2.jpg""style=""height:400px;""></img>",3,html-button-response,4,52701,0.0-3.0-1.0,71750,List1B,white,woman,,TRUE,3,,,,,,,,,,
null,CORRECT,,html-keyboard-response,5,54215,0.0-3.0-2.0-0.0,71750,List1B,white,woman,,,,null,,,,,,,,,
1531.9,"<img src=""portrait/WM2.jpg""style=""height:400px;""></img>",7,html-button-response,6,55751,0.0-3.0-4.0,71750,List1B,white,woman,,TRUE,7,,,,,,,,,,
null,CORRECT,,html-keyboard-response,7,57260,0.0-3.0-5.0-0.0,71750,List1B,white,woman,,,,null,,,,,,,,,
3207,"<img src=""portrait/WM1.jpg""style=""height:400px;""></img>",6,html-button-response,8,60471,0.0-3.0-7.0,71750,List1B,white,woman,,TRUE,6,,,,,,,,,,
null,CORRECT,,html-keyboard-response,9,61978,0.0-3.0-8.0-0.0,71750,List1B,white,woman,,,,null,,,,,,,,,
2017.3,"<img src=""portrait/BM1.jpg""style=""height:400px;""></img>",4,html-button-response,10,63999,0.0-3.0-10.0,71750,List1B,white,woman,,TRUE,4,,,,,,,,,,
null,CORRECT,,html-keyboard-response,11,65508,0.0-3.0-11.0-0.0,71750,List1B,white,woman,,,,null,,,,,,,,,
4228.5,"<img src=""portrait/BM2.jpg""style=""height:400px;""></img>",5,html-button-response,12,69739,0.0-3.0-13.0,71750,List1B,white,woman,,TRUE,5,,,,,,,,,,
null,CORRECT,,html-keyboard-response,13,71247,0.0-3.0-14.0-0.0,71750,List1B,white,woman,,,,null,,,,,,,,,
2449.8,"<img src=""portrait/WW1.jpg""style=""height:400px;""></img>",1,html-button-response,14,73700,0.0-3.0-16.0,71750,List1B,white,woman,,TRUE,1,,,,,,,,,,
null,CORRECT,,html-keyboard-response,15,75207,0.0-3.0-17.0-0.0,71750,List1B,white,woman,,,,null,,,,,,,,,
2321.1,"<img src=""portrait/BW2.jpg""style=""height:400px;""></img>",2,html-button-response,16,77531,0.0-3.0-19.0,71750,List1B,white,woman,,TRUE,2,,,,,,,,,,
null,CORRECT,,html-keyboard-response,17,79044,0.0-3.0-20.0-0.0,71750,List1B,white,woman,,,,null,,,,,,,,,
2305.3,"<img src=""portrait/BW1.jpg""style=""height:400px;""></img>",0,html-button-response,18,81351,0.0-3.0-22.0,71750,List1B,white,woman,,TRUE,0,,,,,,,,,,
null,CORRECT,,html-keyboard-response,19,82863,0.0-3.0-23.0-0.0,71750,List1B,white,woman,,,,null,,,,,,,,,
1405.1,<p>You got 8 out of 8 right first time. Press Continue.</p>,0,html-button-response,20,84271,0.0-3.0-25.0,71750,List1B,white,woman,,,,,,,,,,,,,
15417.6,"<p>In this experiment, you will view photographs of the people from the memory game interacting.</p><p>By using the <strong>exact</strong> phrase given <i>after</i> the photograph appears and recalling the correct names of the people in the photographs, form a sentence describing the interaction. You do not need to capitalise names.</p><p>Type your answer in the space provided. Please complete every sentence before moving onto the next trial.</p><p>You will only have a few seconds to memorise each given photograph and phrase before you can respond, so try your best to focus.</p><p>An example is given below. Press 'Continue' when you are ready.</p><img src='img/speaking_example.jpg' style='width:800px;height:460px;''></img>",0,html-button-response,21,100697,0.0-4.0,71750,List1B,white,woman,,,,,,,,,,,,,
1490.3,"<p>Before the experiment starts, you will watch two example trials. Press 'Continue'.</p>",0,html-button-response,22,103191,0.0-5.0,71750,List1B,white,woman,,,,,,,,,,,,,
null,<img src='img/play_eg.gif' style='height:400px;''></img>,,html-keyboard-response,23,106200,0.0-6.0,71750,List1B,white,woman,,,,null,,,,,,,,,
null,<p>is playing with</p>,,html-keyboard-response,24,108206,0.0-7.0,71750,List1B,white,woman,,,,null,,,,,,,,,
1577.4,<p><b>Answer:</b> kate is playing with beth</p>,0,html-button-response,25,109785,0.0-8.0,71750,List1B,white,woman,,,,,,,,,,,,,
null,<img src='img/dance_eg.gif' style='height:400px;''></img>,,html-keyboard-response,26,112792,0.0-9.0,71750,List1B,white,woman,,,,null,,,,,,,,,
null,<p>is being entertained by</p>,,html-keyboard-response,27,114798,0.0-10.0,71750,List1B,white,woman,,,,null,,,,,,,,,
2268,<p><b>Answer:</b> luke is being entertained by dave</p>,0,html-button-response,28,117068,0.0-11.0,71750,List1B,white,woman,,,,,,,,,,,,,
4815.3,"<p>Ready to start the experiment?</p><br><p><strong>Remember to describe the picture using a full sentence,</strong></p><p><strong>that combines the names of the people with the <i>exact</i> phrase given.</strong></p><p><strong>To receive full payment you must do this correctly.</strong></p><p><strong> You do not need to capitalise names or use punctuation.</strong></p><br><p>Press 'Continue' to begin.</p>",0,html-button-response,29,122890,0.0-12.0,71750,List1B,white,woman,,,,,,,,,,,,,
