rt,stimulus,button_pressed,trial_type,trial_index,time_elapsed,internal_node_id,subject,list,ppt_race,ppt_gender,url,first_guess,correct,key_press,responses,image_type,phrase_type,test_part,response,stimulus1,stimulus2,question_type,survey_item
3239.9,Welcome to the experiment. Press Continue to begin.,0,html-button-response,0,3243,0.0-0.0,89559,List2B,white,man,,,,,,,,,,,,,
75905.1,,,external-html,1,80290,0.0-1.0,89559,List2B,white,man,consent.html,,,,,,,,,,,,
4118.2,"<p>On the next page, you will see portraits of 8 people and their names.</p><p>Your first task is to take a few minutes to memorise the names of these people.</p><p>You will have to recall their names during the rest of the experiment, so it is</p><p>essential that you try to memorise these people and their names as best as you can.</p><br><p><strong>You will then be tested on your memory of these names and portraits.</strong></p><br><p>The experiment will start after you have completed this memory test.</p><br><p>Ready?</p>",0,html-button-response,2,84409,0.0-2.0,89559,List2B,white,man,,,,,,,,,,,,,
56922.3,"<img src='img/portrait_matrix_list2.jpg' style='width:900px;height:500px;''></img><p>If you have memorised all the portraits and names and are ready to start, press Continue.</p><p><strong>Please note: Your memory of these faces will be tested 4 times during this experiment.</strong></p>",0,html-button-response,3,142334,0.0-3.0-0.0,89559,List2B,white,man,,,,,,,,,,,,,
3683.4,"<img src=""portrait/WW1.jpg""style=""height:400px;""></img>",1,html-button-response,4,147021,0.0-3.0-1.0,89559,List2B,white,man,,TRUE,1,,,,,,,,,,
null,CORRECT,,html-keyboard-response,5,148528,0.0-3.0-2.0-0.0,89559,List2B,white,man,,,,null,,,,,,,,,
4637,"<img src=""portrait/WM2.jpg""style=""height:400px;""></img>",6,html-button-response,6,153167,0.0-3.0-4.0,89559,List2B,white,man,,TRUE,7,,,,,,,,,,
8760.5,"<img src=""portrait/WM2.jpg""style=""height:400px;""></img>",7,html-button-response,7,162932,0.0-3.0-6.0-0.0,89559,List2B,white,man,,FALSE,7,,,,,,,,,,
null,CORRECT,,html-keyboard-response,8,164437,0.0-3.0-6.0-1.0-0.0,89559,List2B,white,man,,,,null,,,,,,,,,
2368.3,"<img src=""portrait/WW2.jpg""style=""height:400px;""></img>",3,html-button-response,9,166807,0.0-3.0-7.0,89559,List2B,white,man,,TRUE,3,,,,,,,,,,
null,CORRECT,,html-keyboard-response,10,168312,0.0-3.0-8.0-0.0,89559,List2B,white,man,,,,null,,,,,,,,,
3327.3,"<img src=""portrait/BM2.jpg""style=""height:400px;""></img>",5,html-button-response,11,171641,0.0-3.0-10.0,89559,List2B,white,man,,TRUE,5,,,,,,,,,,
null,CORRECT,,html-keyboard-response,12,173142,0.0-3.0-11.0-0.0,89559,List2B,white,man,,,,null,,,,,,,,,
6465.3,"<img src=""portrait/BM1.jpg""style=""height:400px;""></img>",4,html-button-response,13,179609,0.0-3.0-13.0,89559,List2B,white,man,,TRUE,4,,,,,,,,,,
null,CORRECT,,html-keyboard-response,14,181111,0.0-3.0-14.0-0.0,89559,List2B,white,man,,,,null,,,,,,,,,
9899.7,"<img src=""portrait/BW1.jpg""style=""height:400px;""></img>",0,html-button-response,15,191012,0.0-3.0-16.0,89559,List2B,white,man,,TRUE,0,,,,,,,,,,
null,CORRECT,,html-keyboard-response,16,192515,0.0-3.0-17.0-0.0,89559,List2B,white,man,,,,null,,,,,,,,,
4555.1,"<img src=""portrait/BW2.jpg""style=""height:400px;""></img>",2,html-button-response,17,197072,0.0-3.0-19.0,89559,List2B,white,man,,TRUE,2,,,,,,,,,,
null,CORRECT,,html-keyboard-response,18,198580,0.0-3.0-20.0-0.0,89559,List2B,white,man,,,,null,,,,,,,,,
3202.5,"<img src=""portrait/WM1.jpg""style=""height:400px;""></img>",6,html-button-response,19,201784,0.0-3.0-22.0,89559,List2B,white,man,,TRUE,6,,,,,,,,,,
null,CORRECT,,html-keyboard-response,20,203286,0.0-3.0-23.0-0.0,89559,List2B,white,man,,,,null,,,,,,,,,
2467.5,<p>You got 7 out of 8 right first time. Press Continue.</p>,0,html-button-response,21,205755,0.0-3.0-25.0,89559,List2B,white,man,,,,,,,,,,,,,
3867.7,"As you did not score 100%, the memory game will repeat. Press Continue.",0,html-button-response,22,210640,0.0-3.0-26.0-0.0,89559,List2B,white,man,,,,,,,,,,,,,
11628.2,"<img src='img/portrait_matrix_list2.jpg' style='width:900px;height:500px;''></img><p>If you have memorised all the portraits and names and are ready to start, press Continue.</p><p><strong>Please note: Your memory of these faces will be tested 4 times during this experiment.</strong></p>",0,html-button-response,23,223273,0.0-3.1-0.1,89559,List2B,white,man,,,,,,,,,,,,,
2579,"<img src=""portrait/WW1.jpg""style=""height:400px;""></img>",1,html-button-response,24,226854,0.0-3.1-1.1,89559,List2B,white,man,,TRUE,1,,,,,,,,,,
null,CORRECT,,html-keyboard-response,25,228357,0.0-3.1-2.1-0.1,89559,List2B,white,man,,,,null,,,,,,,,,
2651.7,"<img src=""portrait/WM2.jpg""style=""height:400px;""></img>",7,html-button-response,26,231010,0.0-3.1-4.1,89559,List2B,white,man,,TRUE,7,,,,,,,,,,
null,CORRECT,,html-keyboard-response,27,232515,0.0-3.1-5.1-0.1,89559,List2B,white,man,,,,null,,,,,,,,,
1573.5,"<img src=""portrait/WW2.jpg""style=""height:400px;""></img>",3,html-button-response,28,234091,0.0-3.1-7.1,89559,List2B,white,man,,TRUE,3,,,,,,,,,,
null,CORRECT,,html-keyboard-response,29,235594,0.0-3.1-8.1-0.1,89559,List2B,white,man,,,,null,,,,,,,,,
2040.6,"<img src=""portrait/BM2.jpg""style=""height:400px;""></img>",5,html-button-response,30,237636,0.0-3.1-10.1,89559,List2B,white,man,,TRUE,5,,,,,,,,,,
null,CORRECT,,html-keyboard-response,31,239137,0.0-3.1-11.1-0.1,89559,List2B,white,man,,,,null,,,,,,,,,
1776.3,"<img src=""portrait/BM1.jpg""style=""height:400px;""></img>",6,html-button-response,32,240915,0.0-3.1-13.1,89559,List2B,white,man,,TRUE,4,,,,,,,,,,
1107.2,"<img src=""portrait/BM1.jpg""style=""height:400px;""></img>",4,html-button-response,33,243025,0.0-3.1-15.1-0.1,89559,List2B,white,man,,FALSE,4,,,,,,,,,,
null,CORRECT,,html-keyboard-response,34,244527,0.0-3.1-15.1-1.1-0.1,89559,List2B,white,man,,,,null,,,,,,,,,
6603.1,"<img src=""portrait/BW1.jpg""style=""height:400px;""></img>",0,html-button-response,35,251132,0.0-3.1-16.1,89559,List2B,white,man,,TRUE,0,,,,,,,,,,
null,CORRECT,,html-keyboard-response,36,252635,0.0-3.1-17.1-0.1,89559,List2B,white,man,,,,null,,,,,,,,,
1452.8,"<img src=""portrait/BW2.jpg""style=""height:400px;""></img>",2,html-button-response,37,254090,0.0-3.1-19.1,89559,List2B,white,man,,TRUE,2,,,,,,,,,,
null,CORRECT,,html-keyboard-response,38,255592,0.0-3.1-20.1-0.1,89559,List2B,white,man,,,,null,,,,,,,,,
5011,"<img src=""portrait/WM1.jpg""style=""height:400px;""></img>",6,html-button-response,39,260604,0.0-3.1-22.1,89559,List2B,white,man,,TRUE,6,,,,,,,,,,
null,CORRECT,,html-keyboard-response,40,262108,0.0-3.1-23.1-0.1,89559,List2B,white,man,,,,null,,,,,,,,,
1474.9,<p>You got 7 out of 8 right first time. Press Continue.</p>,0,html-button-response,41,263584,0.0-3.1-25.1,89559,List2B,white,man,,,,,,,,,,,,,
1838.6,"As you did not score 100%, the memory game will repeat. Press Continue.",0,html-button-response,42,266427,0.0-3.1-26.1-0.1,89559,List2B,white,man,,,,,,,,,,,,,
11644.9,"<img src='img/portrait_matrix_list2.jpg' style='width:900px;height:500px;''></img><p>If you have memorised all the portraits and names and are ready to start, press Continue.</p><p><strong>Please note: Your memory of these faces will be tested 4 times during this experiment.</strong></p>",0,html-button-response,43,279075,0.0-3.2-0.2,89559,List2B,white,man,,,,,,,,,,,,,
1402.5,"<img src=""portrait/WW1.jpg""style=""height:400px;""></img>",1,html-button-response,44,281481,0.0-3.2-1.2,89559,List2B,white,man,,TRUE,1,,,,,,,,,,
null,CORRECT,,html-keyboard-response,45,282983,0.0-3.2-2.2-0.2,89559,List2B,white,man,,,,null,,,,,,,,,
4407.7,"<img src=""portrait/WM2.jpg""style=""height:400px;""></img>",7,html-button-response,46,287392,0.0-3.2-4.2,89559,List2B,white,man,,TRUE,7,,,,,,,,,,
null,CORRECT,,html-keyboard-response,47,288894,0.0-3.2-5.2-0.2,89559,List2B,white,man,,,,null,,,,,,,,,
1507.9,"<img src=""portrait/WW2.jpg""style=""height:400px;""></img>",3,html-button-response,48,290404,0.0-3.2-7.2,89559,List2B,white,man,,TRUE,3,,,,,,,,,,
null,CORRECT,,html-keyboard-response,49,291908,0.0-3.2-8.2-0.2,89559,List2B,white,man,,,,null,,,,,,,,,
2483,"<img src=""portrait/BM2.jpg""style=""height:400px;""></img>",5,html-button-response,50,294392,0.0-3.2-10.2,89559,List2B,white,man,,TRUE,5,,,,,,,,,,
null,CORRECT,,html-keyboard-response,51,295896,0.0-3.2-11.2-0.2,89559,List2B,white,man,,,,null,,,,,,,,,
1059.4,"<img src=""portrait/BM1.jpg""style=""height:400px;""></img>",4,html-button-response,52,296957,0.0-3.2-13.2,89559,List2B,white,man,,TRUE,4,,,,,,,,,,
null,CORRECT,,html-keyboard-response,53,298459,0.0-3.2-14.2-0.2,89559,List2B,white,man,,,,null,,,,,,,,,
3335.8,"<img src=""portrait/BW1.jpg""style=""height:400px;""></img>",0,html-button-response,54,301796,0.0-3.2-16.2,89559,List2B,white,man,,TRUE,0,,,,,,,,,,
null,CORRECT,,html-keyboard-response,55,303300,0.0-3.2-17.2-0.2,89559,List2B,white,man,,,,null,,,,,,,,,
1324,"<img src=""portrait/BW2.jpg""style=""height:400px;""></img>",2,html-button-response,56,304627,0.0-3.2-19.2,89559,List2B,white,man,,TRUE,2,,,,,,,,,,
null,CORRECT,,html-keyboard-response,57,306129,0.0-3.2-20.2-0.2,89559,List2B,white,man,,,,null,,,,,,,,,
5104.5,"<img src=""portrait/WM1.jpg""style=""height:400px;""></img>",6,html-button-response,58,311235,0.0-3.2-22.2,89559,List2B,white,man,,TRUE,6,,,,,,,,,,
null,CORRECT,,html-keyboard-response,59,312737,0.0-3.2-23.2-0.2,89559,List2B,white,man,,,,null,,,,,,,,,
1285.4,<p>You got 8 out of 8 right first time. Press Continue.</p>,0,html-button-response,60,314024,0.0-3.2-25.2,89559,List2B,white,man,,,,,,,,,,,,,
30811.6,"<p>In this experiment, you will view photographs of the people from the memory game interacting.</p><p>By using the <strong>exact</strong> phrase given <i>after</i> the photograph appears and recalling the correct names of the people in the photographs, form a sentence describing the interaction. You do not need to capitalise names.</p><p>Type your answer in the space provided. Please complete every sentence before moving onto the next trial.</p><p>You will only have a few seconds to memorise each given photograph and phrase before you can respond, so try your best to focus.</p><p>An example is given below. Press 'Continue' when you are ready.</p><img src='img/speaking_example.jpg' style='width:800px;height:460px;''></img>",0,html-button-response,61,345839,0.0-4.0,89559,List2B,white,man,,,,,,,,,,,,,
4073.2,"<p>Before the experiment starts, you will watch two example trials. Press 'Continue'.</p>",0,html-button-response,62,350914,0.0-5.0,89559,List2B,white,man,,,,,,,,,,,,,
null,<img src='img/play_eg.gif' style='height:400px;''></img>,,html-keyboard-response,63,353917,0.0-6.0,89559,List2B,white,man,,,,null,,,,,,,,,
null,<p>is playing with</p>,,html-keyboard-response,64,355919,0.0-7.0,89559,List2B,white,man,,,,null,,,,,,,,,
5493.8,<p><b>Answer:</b> jane is playing with ruth</p>,0,html-button-response,65,361413,0.0-8.0,89559,List2B,white,man,,,,,,,,,,,,,
null,<img src='img/dance_eg.gif' style='height:400px;''></img>,,html-keyboard-response,66,364417,0.0-9.0,89559,List2B,white,man,,,,null,,,,,,,,,
null,<p>is being entertained by</p>,,html-keyboard-response,67,366418,0.0-10.0,89559,List2B,white,man,,,,null,,,,,,,,,
3920.9,<p><b>Answer:</b> fred is being entertained by mike</p>,0,html-button-response,68,370340,0.0-11.0,89559,List2B,white,man,,,,,,,,,,,,,
2638,"<p>Ready to start the experiment?</p><br><p><strong>Remember to describe the picture using a full sentence,</strong></p><p><strong>that combines the names of the people with the <i>exact</i> phrase given.</strong></p><p><strong>To receive full payment you must do this correctly.</strong></p><p><strong> You do not need to capitalise names or use punctuation.</strong></p><br><p>Press 'Continue' to begin.</p>",0,html-button-response,69,373980,0.0-12.0,89559,List2B,white,man,,,,,,,,,,,,,
null,"<div style=""font-size:60px;"">+</div>",,html-keyboard-response,70,375484,0.0-13.0-0.0,89559,List2B,white,man,,,,null,,,,,,,,,
null,"<img src=""stim_listB/seduce8.gif""style=""height:400px;""></stim_listB>",,html-keyboard-response,71,377487,0.0-13.0-1.0,89559,List2B,white,man,,,,null,,,,,,,,,
null,is being seduced by,,html-keyboard-response,72,379487,0.0-13.0-2.0,89559,List2B,white,man,,,,null,,,,,,,,,
