rt,stimulus,button_pressed,trial_type,trial_index,time_elapsed,internal_node_id,subject,list,ppt_race,ppt_gender,url,first_guess,correct,key_press,responses,image_type,phrase_type,test_part,response,stimulus1,stimulus2,question_type,survey_item
24994.1,Welcome to the experiment. Press Continue to begin.,0,html-button-response,0,25022,0.0-0.0,95848,List1B,black,man,,,,,,,,,,,,,
56037.4,,,external-html,1,83734,0.0-1.0,95848,List1B,black,man,consent.html,,,,,,,,,,,,
11757.3,"<p>On the next page, you will see portraits of 8 people and their names.</p><p>Your first task is to take a few minutes to memorise the names of these people.</p><p>You will have to recall their names during the rest of the experiment, so it is</p><p>essential that you try to memorise these people and their names as best as you can.</p><br><p><strong>You will then be tested on your memory of these names and portraits.</strong></p><br><p>The experiment will start after you have completed this memory test.</p><br><p>Ready?</p>",0,html-button-response,2,95502,0.0-2.0,95848,List1B,black,man,,,,,,,,,,,,,
146379.3,"<img src='img/portrait_matrix_list1.jpg' style='width:900px;height:500px;''></img><p>If you have memorised all the portraits and names and are ready to start, press Continue.</p><p><strong>Please note: Your memory of these faces will be tested 4 times during this experiment.</strong></p>",0,html-button-response,3,242903,0.0-3.0-0.0,95848,List1B,black,man,,,,,,,,,,,,,
25915.2,"<img src=""portrait/BM1.jpg""style=""height:400px;""></img>",4,html-button-response,4,269840,0.0-3.0-1.0,95848,List1B,black,man,,TRUE,4,,,,,,,,,,
null,CORRECT,,html-keyboard-response,5,271366,0.0-3.0-2.0-0.0,95848,List1B,black,man,,,,null,,,,,,,,,
5434.1,"<img src=""portrait/BW2.jpg""style=""height:400px;""></img>",2,html-button-response,6,276812,0.0-3.0-4.0,95848,List1B,black,man,,TRUE,2,,,,,,,,,,
null,CORRECT,,html-keyboard-response,7,278333,0.0-3.0-5.0-0.0,95848,List1B,black,man,,,,null,,,,,,,,,
6412.8,"<img src=""portrait/WM1.jpg""style=""height:400px;""></img>",6,html-button-response,8,284756,0.0-3.0-7.0,95848,List1B,black,man,,TRUE,6,,,,,,,,,,
null,CORRECT,,html-keyboard-response,9,286276,0.0-3.0-8.0-0.0,95848,List1B,black,man,,,,null,,,,,,,,,
8498.4,"<img src=""portrait/WM2.jpg""style=""height:400px;""></img>",7,html-button-response,10,294785,0.0-3.0-10.0,95848,List1B,black,man,,TRUE,7,,,,,,,,,,
null,CORRECT,,html-keyboard-response,11,296294,0.0-3.0-11.0-0.0,95848,List1B,black,man,,,,null,,,,,,,,,
7533.1,"<img src=""portrait/WW2.jpg""style=""height:400px;""></img>",3,html-button-response,12,303837,0.0-3.0-13.0,95848,List1B,black,man,,TRUE,3,,,,,,,,,,
null,CORRECT,,html-keyboard-response,13,305356,0.0-3.0-14.0-0.0,95848,List1B,black,man,,,,null,,,,,,,,,
9275.4,"<img src=""portrait/BW1.jpg""style=""height:400px;""></img>",0,html-button-response,14,314640,0.0-3.0-16.0,95848,List1B,black,man,,TRUE,0,,,,,,,,,,
null,CORRECT,,html-keyboard-response,15,316166,0.0-3.0-17.0-0.0,95848,List1B,black,man,,,,null,,,,,,,,,
6755.5,"<img src=""portrait/BM2.jpg""style=""height:400px;""></img>",5,html-button-response,16,322931,0.0-3.0-19.0,95848,List1B,black,man,,TRUE,5,,,,,,,,,,
null,CORRECT,,html-keyboard-response,17,324449,0.0-3.0-20.0-0.0,95848,List1B,black,man,,,,null,,,,,,,,,
7377.2,"<img src=""portrait/WW1.jpg""style=""height:400px;""></img>",1,html-button-response,18,331834,0.0-3.0-22.0,95848,List1B,black,man,,TRUE,1,,,,,,,,,,
null,CORRECT,,html-keyboard-response,19,333353,0.0-3.0-23.0-0.0,95848,List1B,black,man,,,,null,,,,,,,,,
2744.1,<p>You got 8 out of 8 right first time. Press Continue.</p>,0,html-button-response,20,336107,0.0-3.0-25.0,95848,List1B,black,man,,,,,,,,,,,,,
95293,"<p>In this experiment, you will view photographs of the people from the memory game interacting.</p><p>By using the <strong>exact</strong> phrase given <i>after</i> the photograph appears and recalling the correct names of the people in the photographs, form a sentence describing the interaction. You do not need to capitalise names.</p><p>Type your answer in the space provided. Please complete every sentence before moving onto the next trial.</p><p>You will only have a few seconds to memorise each given photograph and phrase before you can respond, so try your best to focus.</p><p>An example is given below. Press 'Continue' when you are ready.</p><img src='img/speaking_example.jpg' style='width:800px;height:460px;''></img>",0,html-button-response,21,432428,0.0-4.0,95848,List1B,black,man,,,,,,,,,,,,,
143244.8,"<p>Before the experiment starts, you will watch two example trials. Press 'Continue'.</p>",0,html-button-response,22,576681,0.0-5.0,95848,List1B,black,man,,,,,,,,,,,,,
null,<img src='img/play_eg.gif' style='height:400px;''></img>,,html-keyboard-response,23,579701,0.0-6.0,95848,List1B,black,man,,,,null,,,,,,,,,
null,<p>is playing with</p>,,html-keyboard-response,24,581715,0.0-7.0,95848,List1B,black,man,,,,null,,,,,,,,,
3035.7,<p><b>Answer:</b> kate is playing with beth</p>,0,html-button-response,25,584756,0.0-8.0,95848,List1B,black,man,,,,,,,,,,,,,
null,<img src='img/dance_eg.gif' style='height:400px;''></img>,,html-keyboard-response,26,587772,0.0-9.0,95848,List1B,black,man,,,,null,,,,,,,,,
null,<p>is being entertained by</p>,,html-keyboard-response,27,589779,0.0-10.0,95848,List1B,black,man,,,,null,,,,,,,,,
903.1,<p><b>Answer:</b> luke is being entertained by dave</p>,0,html-button-response,28,590688,0.0-11.0,95848,List1B,black,man,,,,,,,,,,,,,
587639.7,"<p>Ready to start the experiment?</p><br><p><strong>Remember to describe the picture using a full sentence,</strong></p><p><strong>that combines the names of the people with the <i>exact</i> phrase given.</strong></p><p><strong>To receive full payment you must do this correctly.</strong></p><p><strong> You do not need to capitalise names or use punctuation.</strong></p><br><p>Press 'Continue' to begin.</p>",0,html-button-response,29,1179334,0.0-12.0,95848,List1B,black,man,,,,,,,,,,,,,
null,"<div style=""font-size:60px;"">+</div>",,html-keyboard-response,30,1180854,0.0-13.0-0.0,95848,List1B,black,man,,,,null,,,,,,,,,
null,"<img src=""stim_listB/seduce3.gif""style=""height:400px;""></stim_listB>",,html-keyboard-response,31,1182879,0.0-13.0-1.0,95848,List1B,black,man,,,,null,,,,,,,,,
null,is seducing,,html-keyboard-response,32,1184885,0.0-13.0-2.0,95848,List1B,black,man,,,,null,,,,,,,,,
22756.8,,,survey-text,33,1207665,0.0-13.0-3.0,95848,List1B,black,man,,,,,"{""Q0"":""ruth is seducing mike""}","<img src=""stim_listB/seduce3.gif""style=""height:400px;""></stim_listB>",is seducing,,,,,,
null,"<div style=""font-size:60px;"">+</div>",,html-keyboard-response,34,1208179,0.0-13.0-0.1,95848,List1B,black,man,,,,null,,,,,,,,,
null,"<img src=""stim_listB/look4.gif""style=""height:400px;""></stim_listB>",,html-keyboard-response,35,1210194,0.0-13.0-1.1,95848,List1B,black,man,,,,null,,,,,,,,,
null,is being looked at by,,html-keyboard-response,36,1212205,0.0-13.0-2.1,95848,List1B,black,man,,,,null,,,,,,,,,
18598.8,,,survey-text,37,1230817,0.0-13.0-3.1,95848,List1B,black,man,,,,,"{""Q0"":""dave is being looked at by jane""}","<img src=""stim_listB/look4.gif""style=""height:400px;""></stim_listB>",is being looked at by,,,,,,
null,"<div style=""font-size:60px;"">+</div>",,html-keyboard-response,38,1231336,0.0-13.0-0.2,95848,List1B,black,man,,,,null,,,,,,,,,
null,"<img src=""stim_listB/oppose2.gif""style=""height:400px;""></stim_listB>",,html-keyboard-response,39,1233352,0.0-13.0-1.2,95848,List1B,black,man,,,,null,,,,,,,,,
null,is being opposed by,,html-keyboard-response,40,1235364,0.0-13.0-2.2,95848,List1B,black,man,,,,null,,,,,,,,,
16571.1,,,survey-text,41,1251951,0.0-13.0-3.2,95848,List1B,black,man,,,,,"{""Q0"":""fred is being opposed by beth""}","<img src=""stim_listB/oppose2.gif""style=""height:400px;""></stim_listB>",is being opposed by,,,,,,
null,"<div style=""font-size:60px;"">+</div>",,html-keyboard-response,42,1252460,0.0-13.0-0.3,95848,List1B,black,man,,,,null,,,,,,,,,
